Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   401.018494   1692.132543   2726.259447   3951.439780
0.034375   1529.877702   2205.702961   3300.068420   4889.656017
0.040625   1200.489517   2254.969965   3256.600894   4838.216598
0.046875   1035.151072   2282.243278   3362.218659   4659.563365
0.053125   991.630601   2001.839212   3350.209671   4480.110843
0.059375   850.292408   1871.557302   3064.154146   4247.104758
0.065625   818.661597   1814.764965   3031.821378   4265.820279
0.071875   792.674661   1745.107745   2998.371343   4289.043455
0.078125   766.087570   1800.978104   3001.969489   4263.533454
0.084375   721.749077   1534.238584   2824.622404   3701.804857
0.090625   710.535077   1657.212391   2718.142063   3680.057541
0.096875   711.761279   1853.122171   3212.954495   3299.374745
0.103125   705.205955   1911.443305   3166.430351   4699.128479
0.109375   670.991947   1796.679799   2835.270549   3942.358940
0.115625   694.400572   1681.097630   2843.823987   4251.351455
0.121875   725.421835   1700.421224   2826.825309   4260.437238
0.128125   758.064437   1659.983970   2919.772583   4122.769393
0.134375   699.839036   1637.873121   2975.982912   3895.497115
0.140625   636.963484   1669.662861   3030.115010   3750.590845
0.146875   660.346545   1633.660175   2825.045831   4020.592074
0.153125   721.550428   1541.044720   2858.200833   4146.495497
0.159375   707.531363   1484.596739   2889.721366   4110.476936
0.165625   679.590220   1523.900080   2527.234998   3560.717821
0.171875   668.169973   2192.834615   2203.844979   3442.200823
0.178125   564.829247   1730.822804   3033.398989   3314.376357
0.184375   525.346656   1790.667874   3260.298647   3615.146174
0.190625   578.477528   1857.616352   2790.286491   3922.432421
0.196875   580.147747   1794.876075   2481.838295   3977.624509
0.203125   453.973547   1484.505361   2688.686937   3871.240936
0.209375   334.536854   1413.106562   2745.260661   3745.737379
0.215625   582.145936   1711.725180   2784.353066   3699.487373
0.221875   702.831329   1348.789551   2245.277809   3526.945830
0.228125   881.040867   2095.677117   3446.639305   4472.934797
0.234375   763.062448   2067.420263   3380.513402   4484.165665
0.240625   630.761896   1839.454372   3105.947641   4524.272987
0.246875   563.530680   1772.714104   2917.280695   3822.031834
0.253125   551.760606   1776.109819   2927.203765   3745.671587
0.259375   500.130897   1775.626942   2917.243408   3696.061695
0.265625   508.913353   1958.656741   3080.663707   3642.059363
0.271875   622.200863   1933.552329   3140.792115   3606.242312
0.278125   637.696817   1640.819801   2813.468778   3713.661609
0.284375   621.752212   1712.661508   2523.691155   3792.819409
0.290625   672.204026   1887.549064   2633.977463   4164.424583
0.296875   641.901727   1877.807843   2697.422126   4193.624479
0.303125   463.174064   1696.255612   2844.802411   4180.244222
0.309375   555.788488   1749.284122   2960.445377   4212.210835
0.315625   825.506646   2063.481593   3040.075856   4338.564939
0.321875   456.701977   1757.133846   2966.782938   4335.208268
0.328125   449.788244   1729.946685   2856.542554   4133.959502
0.334375   706.729221   1744.945412   2702.464452   4025.893125
0.340625   656.352632   1668.106263   2862.056840   4558.479825
0.346875   492.053580   1572.330779   2744.214157   4223.817764
0.353125   579.360853   1687.891859   2817.600501   4191.826253
0.359375   565.810080   1727.275971   2893.080113   3859.931988
0.365625   467.083507   1655.847899   2909.984306   4020.428817
0.371875   1157.846600   1929.737177   3205.642293   4439.062221
0.378125   1129.978427   2035.353740   3092.064956   4409.223957
0.384375   577.223486   1576.823842   2959.844193   4290.144661
0.390625   593.679648   1467.617824   2955.532487   3839.117854
0.396875   632.355808   1606.747820   3083.476294   4105.506905
0.403125   702.946736   1519.884883   2859.654149   4178.678778
0.409375   683.033898   1636.948722   3002.860656   4263.346999
0.415625   732.595165   1987.930171   3091.075983   3221.718401
