Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1087.907260   1959.274057   3068.885234   4043.147832
0.034375   1093.251968   2131.317115   3233.571537   4150.585785
0.040625   1134.647219   2122.244820   3348.970153   4240.282130
0.046875   1237.416515   2219.756358   3368.861655   4325.548560
0.053125   1425.927811   2260.875873   3245.510056   4400.976160
0.059375   1465.974739   2544.384535   3378.605526   4466.921481
0.065625   1195.744008   2372.976761   3416.919313   4534.258860
0.071875   1268.962423   2705.291280   3490.331958   4541.164678
0.078125   1359.471518   2810.113353   3728.341790   4607.711109
0.084375   1239.322939   1963.270683   3104.058779   3948.103956
0.090625   1216.709054   2035.783908   3197.685915   4048.240876
0.096875   1076.634759   2201.682907   3258.052709   4235.824531
0.103125   1132.360470   2450.793633   2968.789498   4111.358327
0.109375   1371.977165   2656.995439   3423.052996   4422.404342
0.115625   1339.466805   2429.723791   3430.235111   4498.205950
0.121875   1323.936276   2265.782598   3505.173478   4484.446373
0.128125   1367.541707   2232.971230   3585.618137   4625.074815
0.134375   1236.916883   2217.359277   3566.297672   4428.814231
0.140625   1234.307330   2291.798695   3470.730915   4505.951278
0.146875   1156.795106   2299.951984   3267.933757   4474.397450
0.153125   1141.839560   2060.024097   3030.407662   4226.153064
0.159375   1023.235267   2087.415541   3177.832961   4229.459820
0.165625   1198.893970   2123.403306   3351.280531   4160.405640
0.171875   1609.877669   2026.723613   3549.907764   4471.703389
0.178125   1659.523350   2380.207619   3310.862564   4459.657759
0.184375   1102.430475   2235.751737   3085.070631   4354.426709
0.190625   1178.842584   2327.602523   2962.455519   4366.359125
0.196875   1283.986280   1943.297019   3023.027932   4168.618303
0.203125   1263.757887   2071.894973   3076.740587   4144.123823
0.209375   1245.017405   2108.393694   3097.944326   4108.702690
0.215625   1168.558916   1959.262678   3238.271370   4172.522438
0.221875   1142.965729   2050.871749   3301.321236   4246.547921
0.228125   1175.902459   2214.459534   3269.886377   4187.871725
0.234375   1412.822652   2573.768992   3628.734375   4314.610060
0.240625   1187.941490   2216.040302   3555.580919   3977.311957
0.246875   1152.633384   2172.637587   3360.800509   4251.050974
0.253125   1321.475093   2421.727978   3509.964395   4656.128267
0.259375   1247.673115   2383.430874   3308.935482   4200.169056
0.265625   1165.118756   2194.850192   3248.280427   4203.777471
0.271875   1225.581382   2203.940500   3259.786725   4247.599965
0.278125   1348.024790   2554.078835   3685.037027   4560.172030
0.284375   1422.932952   2705.129352   3637.587578   4464.221167
0.290625   1282.880544   2307.039047   3166.969265   4171.487236
0.296875   1080.004754   2251.690133   3161.145230   4198.220018
0.303125   1216.884021   2228.550614   3200.985309   4295.030567
0.309375   1323.770360   2049.683534   3083.509164   4237.545572
0.315625   1219.542498   2025.256073   3089.585463   4157.927728
0.321875   1232.586758   2161.771325   3280.371728   4056.196457
0.328125   1200.062519   2195.259564   3344.464230   4032.027353
0.334375   1195.833789   2215.284342   3072.779053   3857.753044
0.340625   1369.568943   2241.908305   2938.155063   3963.109949
0.346875   1316.611947   2599.670593   3634.046458   4232.025589
0.353125   1103.253684   2423.194382   3114.478768   4186.369347
0.359375   1101.658055   2206.907428   3144.865768   4166.381854
0.365625   1599.269868   1599.440424   3105.278150   4212.207775
0.371875   1210.572076   1845.490343   3145.650961   4206.308409
0.378125   1374.471036   1910.203201   3058.118007   4025.219812
0.384375   1343.220037   1973.031551   3000.528516   4117.911364
0.390625   1132.560427   1994.813976   3007.818520   4059.565962
0.396875   1386.463041   2561.357499   2641.589649   4047.881300
0.403125   1417.070813   2280.761101   3325.920041   4203.002265
0.409375   1304.216227   2049.739014   3406.133900   4335.909577
0.415625   1121.557130   2138.179773   3198.442577   4264.292555
0.421875   1310.389512   2222.108078   3246.816479   4289.923992
0.428125   1257.929208   2134.791780   3115.207605   4176.845077
0.434375   1303.560992   2113.875526   2903.885861   4212.527124
0.440625   1144.630008   2091.104189   3060.959343   4178.986101
0.446875   1073.263682   2094.848079   3102.944101   4032.927643
0.453125   1029.997003   2143.661398   3197.192297   3970.931618
0.459375   1064.566406   2181.479367   3522.631806   3765.201898
0.465625   1101.949957   2259.885178   3604.784532   4285.708164
0.471875   1083.305837   1972.298736   3049.104718   3916.478271
0.478125   982.891869   2117.151796   3143.957014   4080.049822
0.484375   1211.485313   2124.284816   3068.179913   4054.113895
0.490625   1283.763275   2171.927980   2982.250620   4117.321631
0.496875   1126.233667   2172.299222   3158.563271   4322.787703
0.503125   935.309983   2279.667901   3268.601122   4186.458098
0.509375   1072.016642   2228.294948   3440.195890   4402.551606
0.515625   1395.705930   2418.910849   3379.811702   4416.629367
0.521875   1339.617524   1703.999592   3216.023108   4435.724228
0.528125   1300.234337   1625.664715   3219.111283   4387.132570
0.534375   1369.931025   1599.660665   3204.372607   3919.787591
0.540625   1347.566046   1884.297902   3066.845771   3490.603343
0.546875   1329.111186   3007.836260   3454.480082   4497.479047
0.553125   1366.908026   3053.805115   3514.132978   4382.033026
0.559375   419.537067   1706.320405   3141.609249   3672.212541
0.565625   385.311654   2210.427316   3247.164152   3946.028944
0.571875   380.153086   2339.980315   3223.191024   3782.212572
0.578125   342.202658   1504.661405   3263.350877   3810.072966
0.584375   335.838804   3254.374285   3952.276261   4509.400171
0.590625   334.634112   3193.955103   3772.146612   4576.655419
0.596875   331.788963   3236.977587   3692.862867   4505.573247
0.603125   332.328112   3252.598206   3788.442552   4536.354412
0.609375   335.424696   1500.136716   3229.813834   3890.785316
0.615625   341.073523   1634.295063   3236.376343   4039.594597
0.621875   354.607861   1730.668805   3222.548233   4064.325990
0.628125   356.565852   3042.544198   3447.205532   4618.562754
0.634375   346.554542   2984.074792   3424.142360   4661.786943
0.640625   346.702525   3057.136964   3538.030556   4677.932240
0.646875   353.730051   3046.785399   3672.713063   4640.213661
0.653125   355.292274   2990.632837   3575.406646   4620.934770
0.659375   357.991323   2953.335314   3634.812626   4645.065848
0.665625   363.185855   2960.965457   3672.092993   4754.143361
0.671875   367.393960   2897.511052   3597.797861   4802.267276
0.678125   367.032886   2866.301261   3567.410597   4846.339894
0.684375   364.660210   2867.201398   3563.020225   4791.114105
0.690625   367.068591   2882.610267   3565.398204   4750.921235
0.696875   368.558177   2882.609422   3553.593402   4749.298998
0.703125   371.219102   2880.051216   3525.596136   4755.412213
0.709375   377.351209   2903.149837   3473.630626   4784.760001
0.715625   387.604572   2955.907882   3511.935705   4787.977840
0.721875   395.417247   542.771823   2999.109586   3503.872467
0.728125   316.593984   400.196298   2844.707686   3457.183833
0.734375   394.587927   2377.106352   3451.354923   4790.609679
0.740625   376.171631   1017.219791   2434.122131   3414.777119
0.746875   352.654864   1550.328776   2485.233029   3412.282215
0.753125   350.880802   2283.328052   2326.175200   3422.187414
0.759375   353.379015   2379.319560   2948.344953   3274.363887
0.765625   352.819224   2368.921634   3336.509013   4084.859971
0.771875   350.231717   2378.727488   3413.822808   4481.444003
0.778125   364.462859   2446.579011   3434.318192   4950.192088
0.784375   378.496087   2410.649890   3465.491462   4935.346870
0.790625   368.676577   2220.177025   3475.391436   4939.522268
0.796875   356.416426   2093.928472   3388.767914   4913.601507
0.803125   351.551814   1989.243509   3323.214820   4838.251737
0.809375   353.406028   1965.328236   3317.292931   4633.108247
0.815625   352.776233   1856.204109   3314.632865   4662.953732
0.821875   350.904339   1821.143352   3317.499162   4736.782241
0.828125   354.327018   1860.380550   3370.009684   4626.184031
0.834375   352.884692   1866.659324   3412.652872   4645.942197
0.840625   350.150634   1877.813254   3382.536919   4664.846395
0.846875   349.357098   1926.251405   3318.110654   4622.406011
0.853125   354.941865   1878.998433   3219.208511   4657.480347
0.859375   357.201152   1884.349428   3268.856324   4667.282941
0.865625   353.171878   1999.353729   3375.422552   4654.491740
0.871875   353.579690   1984.700538   3418.818761   4813.395995
0.878125   360.263048   2027.671196   3456.259648   4908.778593
0.884375   360.812055   1910.551742   3464.566470   4916.030459
0.890625   347.733909   1976.822122   3417.634932   4825.854799
0.896875   1049.054567   1988.440538   3516.489116   4995.078834
0.903125   1137.674497   1885.191492   3407.453533   4902.975997
0.909375   1139.923610   1558.193843   3328.344699   4808.673448
0.915625   1140.473053   1252.916279   3465.588610   4704.733189
0.921875   816.226819   1152.292309   3489.238675   4674.699388
0.928125   986.548890   1398.456183   3631.047933   4259.470308
0.934375   1033.476200   1455.283245   3691.480805   4259.565609
0.940625   936.898330   1433.999178   3665.618333   4251.427150
0.946875   713.318214   1390.464606   3623.131664   4245.723668
0.953125   543.382944   1299.919270   3576.709081   4330.558445
0.959375   529.649590   1001.132541   3503.202314   4424.179893
0.965625   531.617147   943.509863   3489.104320   4363.062406
0.971875   563.438638   967.491831   3482.358646   4345.523288
0.978125   612.017566   1010.281342   3472.302633   4347.755761
0.984375   643.315960   1051.664354   3452.657451   4301.901645
0.990625   632.238347   1033.532633   3401.649347   4225.774990
0.996875   617.545760   1005.157394   3356.784764   4192.435484
1.003125   635.891148   977.924884   3354.392692   3746.462258
1.009375   823.327887   892.631262   3392.381274   4158.634341
1.015625   793.836559   1284.649483   3376.160501   4103.587723
1.021875   773.670727   1459.028481   3369.987789   4085.919477
1.028125   799.825050   1517.076605   3378.498124   4119.775496
1.034375   837.930652   1549.896789   3400.778866   4137.378928
1.040625   839.852453   1562.210328   3382.675234   4271.808333
1.046875   827.219827   1544.110195   3401.255131   4322.091852
1.053125   805.893555   1537.881123   3391.529251   4450.836145
1.059375   789.610797   1546.730354   3396.775600   4452.825374
1.065625   763.572938   1544.211399   3395.956934   4438.928243
1.071875   727.874421   1549.136086   3412.741484   4459.923744
1.078125   705.292271   1548.684406   3432.912204   4563.172263
1.084375   689.829448   1577.450460   3469.737716   4626.279941
1.090625   662.791088   1585.689462   3480.237202   4690.611814
1.096875   627.504097   1598.670839   3483.060372   4731.801010
1.103125   613.651167   1620.943624   3470.134866   4718.445352
1.109375   611.339766   1632.359717   3467.580480   4728.611918
1.115625   607.287669   1627.590254   3480.587885   4777.739053
1.121875   595.013883   1630.402007   3461.350244   4780.689947
1.128125   593.538846   1635.946738   3483.455228   4739.718507
1.134375   603.502392   1545.850422   3462.016429   4697.427962
1.140625   624.146420   1560.210003   3458.869957   4739.942073
1.146875   629.775564   1639.974754   3441.587851   4774.217960
1.153125   638.205104   1707.654627   3528.384061   4754.928590
1.159375   638.539932   1643.021283   3471.717537   4736.026732
1.165625   647.776623   1792.700107   3402.714538   4760.444191
1.171875   634.724280   1885.119562   3467.289108   4719.332967
1.178125   519.532906   1849.073816   3493.917175   4722.766820
1.184375   407.539301   1486.691930   3422.779226   4734.158946
1.190625   392.069440   1270.263121   3315.941910   4559.858766
1.196875   446.207272   1213.881252   3357.210775   4706.062857
1.203125   486.659765   1023.335373   3376.613349   4733.514736
1.209375   545.532617   824.838512   3377.384031   4730.279881
1.215625   598.895485   865.379566   3407.985546   4658.029335
1.221875   592.821070   1132.541553   3441.356320   4771.935320
