Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   708.339270   2262.307916   3544.497581   4678.602652
0.034375   554.154115   2151.456640   3471.959345   4807.230289
0.040625   377.856667   1996.922259   3201.418721   4006.376711
0.046875   316.385446   1918.570212   2897.299511   4061.926287
0.053125   310.463969   1947.599757   2931.652882   3970.265434
0.059375   1607.248602   2421.507594   3707.239356   5112.520459
0.065625   1348.622747   2379.122491   3687.047235   4265.565886
0.071875   1256.859286   2416.588391   3525.291778   4362.971523
0.078125   553.091728   2118.473074   2961.564271   4079.114590
0.084375   675.714473   2051.790804   2846.736253   4000.603078
0.090625   1532.127177   2764.062177   3296.289792   4043.971211
0.096875   646.522633   1802.618702   3003.882828   4010.954762
0.103125   1681.401751   3167.748018   --undefined--   --undefined--
0.109375   1851.200940   3051.229202   --undefined--   --undefined--
0.115625   1429.200122   2735.412703   3647.423175   4289.416421
0.121875   1293.171036   2583.412353   3760.099280   4460.215999
0.128125   1458.465018   2672.809791   3634.643712   4737.684736
0.134375   1465.891923   2366.275967   3138.572247   4558.554059
0.140625   1642.108827   2820.292734   4038.264113   4811.659719
0.146875   1601.135487   2693.609519   3961.859459   5000.671929
0.153125   1071.780648   2389.989562   3398.218081   4372.162318
0.159375   1355.403542   2265.619469   3326.716376   4314.372889
0.165625   1230.083280   2310.813792   3346.519344   4326.861821
0.171875   1247.526716   2263.097470   3468.092954   4319.911208
0.178125   305.045611   1655.637657   2939.732223   3961.868487
0.184375   1736.332592   2353.782411   3823.447746   4891.964123
0.190625   1859.353589   2306.888907   3757.160206   4901.617054
0.196875   1818.276071   2805.306859   3755.899037   5001.760598
0.203125   467.211549   1865.109168   2912.341595   3550.882887
0.209375   644.535835   1906.824548   3271.670874   4076.848508
0.215625   569.890497   1907.196576   3234.457014   4013.089266
0.221875   583.872560   1871.608178   2880.351730   3806.273078
0.228125   733.916888   1902.122546   2793.146545   3897.514744
0.234375   742.063573   1892.912258   2865.532479   3968.761343
0.240625   612.476594   1945.300284   2906.425566   4078.872552
0.246875   560.365935   2048.801723   3377.672743   4155.285615
0.253125   1019.712180   2099.622343   3524.224540   4239.059414
0.259375   676.998222   2117.957813   3407.181193   3976.874664
0.265625   835.618891   2145.542974   3124.322687   4118.012587
0.271875   1060.472436   2226.258836   3418.759122   4206.321603
0.278125   755.384999   2124.440265   2818.681971   4014.665606
0.284375   646.218180   2035.262443   2711.629097   3653.980950
0.290625   1946.954907   2143.762882   3611.048208   4234.627298
0.296875   1682.772597   2130.681303   3494.906233   4772.159981
0.303125   703.793364   2292.455760   2681.714585   3554.951834
0.309375   693.547165   2209.631857   2593.760082   3624.840799
0.315625   660.503882   2181.245376   2484.575887   3735.320612
0.321875   705.373053   2091.702712   2958.511123   3867.783369
0.328125   668.323781   2045.994686   2835.838470   3686.726803
0.334375   612.404198   2025.349293   2801.544856   3945.988605
0.340625   810.220048   2089.524866   2783.984164   3761.103187
0.346875   858.930122   2211.132049   2881.713042   3507.312522
0.353125   775.604028   2231.296126   3287.893857   3300.623602
0.359375   790.890334   2240.236582   3149.736938   4022.091015
0.365625   662.607786   2265.856806   2821.028833   3994.469850
0.371875   658.805953   2169.292566   2840.036789   3966.791502
0.378125   793.766101   2213.737657   2868.165221   3730.896699
0.384375   822.454044   2197.971503   2926.134135   3728.037629
0.390625   875.471038   2168.300704   3058.018647   3642.375645
0.396875   700.368577   2027.553589   2936.822161   3674.878704
0.403125   658.998502   2089.009963   2802.550928   3733.826805
0.409375   704.850473   2065.073567   2851.037943   3725.041355
0.415625   640.831073   2061.089790   2825.728668   3681.795203
0.421875   716.431262   2220.191185   2735.503727   3803.143342
0.428125   703.653390   2128.932513   2872.085059   3903.104522
0.434375   581.572380   2130.607731   2715.483254   3687.778005
0.440625   706.315261   2125.101918   2913.119504   3753.139629
0.446875   782.079386   2166.322314   2914.594554   4071.009755
0.453125   801.238161   2206.756825   2982.997915   4079.826233
0.459375   699.059768   2169.369499   2739.165825   3762.076879
0.465625   751.620548   2231.295139   2809.861903   3861.647760
0.471875   728.134520   2241.023028   3018.810506   3668.002050
0.478125   625.069230   2267.431628   2789.991218   3724.041957
0.484375   572.494969   2247.259158   2992.181700   4667.599742
0.490625   621.548453   2224.482604   3001.453501   3956.843453
0.496875   595.430953   2107.039422   3079.221680   3827.564296
0.503125   562.680995   2206.236136   3288.021513   4035.017925
0.509375   621.726181   2201.510314   3012.655595   3907.471492
0.515625   337.766956   2175.227219   2789.781155   3151.427283
0.521875   475.496656   2149.464306   3188.353899   3306.443909
0.528125   587.913444   2158.503912   2795.049795   3680.051797
0.534375   651.787551   2113.026751   2550.960649   3691.726157
0.540625   633.619059   2304.943385   2374.189092   3567.461260
