Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1081.369351   2279.709046   3525.727002   4702.215161
0.034375   1126.249809   2398.854019   3501.982283   4842.314371
0.040625   1281.729866   2475.307614   3532.741972   4775.850288
0.046875   1287.891290   2177.395642   3449.216482   4574.505276
0.053125   1516.330170   2006.083920   3622.603229   5158.562978
0.059375   1746.628183   2473.885591   3874.731366   4950.265846
0.065625   1455.934043   2312.852667   3640.124957   4936.697507
0.071875   1588.269284   2710.145567   3689.625022   4168.932837
0.078125   1183.377562   2312.890403   3146.194699   4259.040840
0.084375   1256.672821   2380.804031   3359.253045   4315.419878
0.090625   1063.854426   2482.780736   3392.735734   4424.778049
0.096875   1012.417587   2441.741362   3585.279731   4546.875654
0.103125   890.293993   2295.758463   3446.895632   4913.590224
0.109375   341.610454   2156.301963   3287.274120   4507.105271
0.115625   1085.857534   2231.247803   3408.763611   4505.112506
0.121875   371.080281   1955.615017   2896.520546   3813.217501
0.128125   462.034885   1822.100763   2791.939305   3779.413735
0.134375   801.077314   1825.910783   2321.814673   3856.913208
0.140625   781.616773   2064.870550   3120.383812   4313.941581
0.146875   1219.445042   2093.474954   3551.928669   4446.526430
0.153125   1444.545773   2008.949347   3486.263987   4466.816912
0.159375   1523.015810   2852.686936   3996.212793   4907.070410
0.165625   1598.294574   2848.044799   3972.488473   4867.960700
0.171875   2212.863534   2735.379354   3919.412714   4920.409162
0.178125   2110.240434   3239.155251   3794.332973   5023.609316
0.184375   2100.826665   3391.800157   3917.850512   5044.499368
0.190625   180.055695   2109.566432   3171.427236   3844.280006
0.196875   713.646505   2168.785331   3310.581660   4011.552255
0.203125   652.078894   2121.689619   3235.389599   4330.672955
0.209375   772.841555   2153.835074   3757.415048   4016.850180
0.215625   1124.233800   2132.387102   3653.492827   4802.980714
0.221875   1660.331551   2081.188014   3659.846856   5027.936783
0.228125   1525.763453   2317.409231   3540.653013   4656.550836
0.234375   1235.106157   2312.400595   3144.166776   4554.242323
0.240625   936.630733   2280.988341   3076.064469   4479.291675
0.246875   743.972153   2173.820292   3207.935980   4391.902526
0.253125   568.682170   2187.599708   3170.825668   4381.641434
0.259375   583.349099   2234.433168   3202.006255   4396.839391
0.265625   423.341023   2114.927861   3182.526427   4196.332758
0.271875   1790.849452   2286.065623   3356.797074   4583.734778
0.278125   1765.709338   2241.132953   3356.976546   4566.065545
0.284375   895.091914   2213.385125   3357.076970   4559.491840
0.290625   812.361013   2333.744876   3332.708810   4408.942940
0.296875   1251.304634   2365.523058   3446.846858   4496.231379
0.303125   586.413722   2102.221992   3064.542077   3710.891805
0.309375   1981.872732   3045.212548   3418.339622   4825.351384
0.315625   1385.720077   2471.827392   3441.577783   4862.906774
0.321875   1696.680379   2354.763843   3587.963314   5108.935523
0.328125   1632.798651   2383.774530   3353.440406   4256.147318
0.334375   1367.785321   2411.911612   3219.340469   4388.986968
0.340625   1436.399071   2366.552069   3329.600047   4345.476630
0.346875   2000.072814   2882.633404   3125.230893   4127.216556
0.353125   1320.030442   2394.842713   3598.493612   4282.991474
0.359375   1226.781003   2413.581038   3454.374965   4434.659799
0.365625   1427.227988   2441.718995   3410.119475   4654.312176
0.371875   625.459583   2053.857270   2934.470494   4163.730642
0.378125   650.302893   2174.918093   3216.772353   3997.901858
0.384375   624.325717   2201.665431   2751.610345   3866.192994
0.390625   679.002498   2132.263328   3162.220489   4197.919388
0.396875   721.614542   2072.926284   2998.296049   3901.668337
0.403125   795.050555   2022.241329   3017.666453   3912.695382
0.409375   1020.868183   2230.664236   3473.811550   4566.053155
0.415625   889.852073   2246.116699   3550.780614   4472.902818
0.421875   877.625024   2102.674126   2642.313673   3792.952852
0.428125   1052.838135   2155.945135   3104.818861   4235.358770
0.434375   828.528668   2120.841973   3203.020411   4345.749526
0.440625   876.790587   2112.864866   3300.479829   4290.019570
0.446875   995.135175   2055.027379   3321.115025   4324.566848
0.453125   745.901550   2044.514171   3165.849118   4226.535139
0.459375   825.006567   1965.173189   2970.499707   4037.690538
0.465625   1211.169769   2258.962793   3188.531628   4283.963689
0.471875   781.052636   2147.177295   3128.274535   4141.487315
0.478125   708.427025   2087.274980   3228.260971   4050.221156
0.484375   720.699936   1985.302450   3105.590076   4062.121052
0.490625   862.276826   2036.467074   3162.548296   4287.527562
0.496875   685.256364   1990.938473   3117.973343   4043.202554
0.503125   1649.735572   2011.304806   3279.873104   4024.884427
0.509375   1783.309979   2313.096552   3412.412782   4049.310839
0.515625   1907.366649   2335.090994   3468.595465   4662.747033
0.521875   1684.290336   2688.591718   --undefined--   --undefined--
0.528125   561.071629   1803.641553   2774.371696   3786.765061
0.534375   505.194901   1843.180322   3019.133155   3652.510972
