Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1290.609230   2097.898188   3134.571346   4162.858551
0.034375   1466.665262   2140.097443   3142.412851   4266.278716
0.040625   1421.377340   2191.644305   3175.970293   4298.091994
0.046875   1373.882725   2213.085492   3390.988353   4433.678005
0.053125   1257.375267   2186.251873   3437.456802   4503.634253
0.059375   1216.962123   2345.131248   3310.945495   4535.713973
0.065625   1135.310643   2283.718976   3352.939052   4495.372182
0.071875   1237.969703   2094.925940   3241.225452   4146.238931
0.078125   1141.544158   2080.804936   3165.752658   4186.232672
0.084375   1105.491462   2053.892929   3077.451324   4141.493377
0.090625   1120.910714   2096.859392   3022.831102   4191.259481
0.096875   1092.023875   2226.099158   3360.806924   4353.124438
0.103125   1070.808215   2273.435562   3415.978468   4483.313661
0.109375   1089.785375   2563.355306   3412.094761   4489.526509
0.115625   1203.262746   2552.673807   3387.423510   4506.128292
0.121875   946.360962   2170.957325   3206.257488   4328.759685
0.128125   1011.876723   2260.141294   3323.406715   4295.089829
0.134375   1053.232442   2170.651563   3128.160234   4220.248664
0.140625   1150.873263   2183.415072   3083.128853   4303.820728
0.146875   1108.956785   2345.960590   3272.181104   4326.048174
0.153125   1208.383368   2362.273579   3468.032464   4411.514472
0.159375   1153.741057   2227.633141   3263.950597   4267.248567
0.165625   1247.655950   2154.942512   3219.916631   4282.898189
0.171875   1321.947080   2475.164946   3349.375905   4104.709651
0.178125   1225.629692   2275.261345   3146.191279   4292.993376
0.184375   1260.744990   2216.338760   3341.886752   4505.480850
0.190625   1361.731499   2440.486103   3266.137638   4319.207417
0.196875   1265.455899   2036.138789   3113.824066   4177.384871
0.203125   1051.407527   1981.264338   3139.626280   3997.539425
0.209375   1093.668739   2211.175281   3218.862445   4375.876723
0.215625   1115.975849   2150.292019   3227.477028   4352.782249
0.221875   1377.083556   2040.395857   3281.901992   4237.399170
0.228125   1192.455772   2091.399734   3268.453862   4163.141843
0.234375   1253.228065   2207.191191   3322.860280   4312.868248
0.240625   1246.340985   2211.345476   3242.469562   4313.398075
0.246875   1305.507817   2291.884357   3057.738732   4168.023713
0.253125   1439.846011   2644.530624   3483.053980   4265.029463
0.259375   1128.516895   2201.726142   3104.336354   4224.056687
0.265625   1107.455070   2070.416234   3048.000700   4300.284325
0.271875   1164.071330   2080.209979   3013.220332   4323.748113
0.278125   1273.983284   2405.224506   3057.613632   4234.229427
0.284375   1088.255288   2351.461074   3416.292919   4339.783374
0.290625   989.617200   2054.458584   3205.739445   4115.375933
0.296875   1151.174657   1995.251324   3104.515711   4097.772063
0.303125   1394.365175   2473.195688   3398.780858   4368.414728
0.309375   1342.532492   2417.664762   3447.398286   4509.336966
0.315625   1207.806368   2418.373833   3541.593435   4525.554288
0.321875   1055.693464   2126.365329   3123.624153   4157.075220
0.328125   1083.645653   2367.869783   3195.264609   4440.774060
0.334375   1205.673596   2517.354872   3415.682388   4625.021659
0.340625   1258.733543   2132.126663   3436.281605   4513.682325
0.346875   1005.816242   2082.138994   3291.637224   4257.831272
0.353125   1046.503696   2147.301162   3222.998946   4183.265337
0.359375   1407.647957   2493.988373   3580.511213   4326.105497
0.365625   1504.994906   2606.013891   3924.611248   4355.027667
0.371875   1474.792896   2502.194312   3785.212667   4330.890010
0.378125   1235.588612   2436.757327   3597.826956   4525.388504
0.384375   1128.299669   2271.781932   3582.443414   4514.983440
0.390625   1099.642184   2117.358200   3071.959006   4153.430549
0.396875   1212.605325   2058.666199   3294.689916   4421.122188
0.403125   1215.905240   2173.281966   3371.330780   3937.424344
0.409375   1236.821197   2260.975663   3386.652807   4320.244300
0.415625   1177.733264   2147.831513   3168.373587   4226.725363
0.421875   1145.154046   2097.035275   3103.192137   4190.940796
0.428125   1144.097774   2184.302246   3193.918279   4231.991639
0.434375   1487.142063   2365.091362   3372.280965   4549.365997
0.440625   1155.819471   2097.422765   3307.626962   4446.746586
0.446875   994.551680   1976.851353   3331.462257   4522.935328
0.453125   995.614076   2004.623816   3286.592495   4252.634300
0.459375   1046.800288   2194.761076   3245.280228   4171.099662
0.465625   1278.169089   1913.110660   3286.679437   4211.703321
0.471875   1272.296833   2239.141482   3567.085732   4240.315126
0.478125   1365.972376   2335.677553   3472.725085   4396.496871
0.484375   1320.379389   2012.753062   3101.568402   4302.092898
0.490625   1122.276546   2309.100248   3147.767237   4342.335505
0.496875   1261.093359   2302.528452   3385.716381   4348.457855
0.503125   1180.438641   2119.440634   3229.047995   4190.224071
0.509375   1201.848680   2132.595775   3408.364310   4122.313277
