Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   539.094469   1937.826419   3406.919106   3497.416514
0.034375   525.390328   1828.996028   3368.932885   4408.596655
0.040625   555.376418   1595.757022   3377.274980   3705.815110
0.046875   619.842292   1579.088690   3169.965087   3882.047104
0.053125   502.147241   1776.551931   3146.961800   4431.649700
0.059375   504.272789   1807.010280   3047.176082   4270.858803
0.065625   558.437161   1976.736102   3129.905333   3976.754714
0.071875   612.853368   1830.358802   3188.691382   3674.958169
0.078125   559.340681   1826.306487   3250.550846   4596.098540
0.084375   697.209113   1571.190681   2859.043421   4003.733105
0.090625   758.023088   2371.144539   2964.079955   4376.975569
0.096875   814.438722   2307.600015   3357.260933   4481.182368
0.103125   1065.037261   2300.875869   3491.911745   4485.683444
0.109375   1188.355501   2566.286633   3280.513850   4308.146994
0.115625   584.341327   1757.515785   2774.350353   4190.635402
0.121875   594.434933   1894.922162   2981.627708   4261.080369
0.128125   1111.957212   2430.820097   3300.860480   4465.686649
0.134375   1166.753018   2344.058480   3398.106080   4390.786307
0.140625   1101.069346   2372.749604   3631.676171   4578.744619
0.146875   939.208598   1055.906351   2536.133913   3797.306255
0.153125   1209.388079   2363.786541   3225.486192   4168.065662
0.159375   1268.410061   2429.902123   3220.140517   4178.479617
0.165625   610.686185   1716.832898   3186.768060   3844.812122
0.171875   1034.387140   2026.325541   3373.157960   4680.773229
0.178125   952.771591   1413.244004   2771.201630   3919.104741
0.184375   695.201860   1737.445873   3464.201708   4600.346812
0.190625   1085.173572   2297.944617   3607.273669   4763.960977
0.196875   1238.811067   2575.552096   3733.133614   4870.223352
0.203125   1312.307067   2474.049152   3785.531575   5045.495151
0.209375   1399.180898   2397.884310   3228.379840   4556.194156
0.215625   1339.297827   2459.782647   3399.426607   4676.524763
0.221875   1281.134106   2177.209503   3368.440215   4448.714763
0.228125   1435.994600   2895.262626   --undefined--   --undefined--
0.234375   1373.318620   2823.544556   --undefined--   --undefined--
0.240625   1227.399537   2837.511278   3933.418547   5007.991620
0.246875   1087.347069   2350.573126   3265.316519   4424.539214
0.253125   1180.420528   2429.676758   3517.785559   4307.874093
0.259375   1258.322213   2603.103285   3693.048295   4050.686736
0.265625   1270.089690   1675.577824   2968.048380   4207.918999
0.271875   835.840691   1741.922002   2930.500225   4022.049283
0.278125   827.514479   1763.907859   2984.564322   4025.662124
0.284375   1149.654937   2514.612788   3081.572792   4127.206275
0.290625   1041.808624   2344.327085   3586.572423   4328.054074
0.296875   1247.252434   2528.885695   3782.079568   4941.861586
0.303125   604.180069   1221.892667   2648.444024   3824.073093
0.309375   631.546656   1653.873558   2909.037922   4102.915207
0.315625   661.781471   1625.178753   2960.966965   4172.258356
0.321875   726.125372   1667.768401   3152.009240   4048.462685
0.328125   806.318675   1894.452506   3119.093404   4362.725410
0.334375   860.303541   2002.257904   3097.602690   4287.411414
0.340625   1422.185335   2839.692601   2938.404493   4280.768919
0.346875   1296.930858   2557.428942   3564.250943   4721.086706
0.353125   596.538853   1613.466154   2788.706474   3940.447212
0.359375   359.913039   1792.437399   3102.237636   3866.190050
0.365625   1256.107571   2135.373655   3351.794386   4576.316537
0.371875   1418.258541   2332.675631   3256.139514   4638.198957
0.378125   311.906670   1648.052509   2858.369458   3955.999687
0.384375   651.250391   1801.193501   2895.277292   3955.259557
0.390625   713.606528   1913.389610   2819.123568   3976.300998
0.396875   684.475622   2018.818072   3114.839916   3961.328899
0.403125   720.141034   2102.059151   3364.209441   4688.523603
0.409375   1112.484958   2143.214970   3370.498897   4576.744189
0.415625   1217.667642   2235.503914   3398.983732   4438.051650
0.421875   1391.684549   2373.416628   3416.697622   4521.389504
0.428125   1762.160010   2776.912718   3710.303490   4938.470471
0.434375   534.158511   1849.584529   3025.356207   3735.655910
0.440625   620.749374   1747.311364   2937.628155   3816.661692
0.446875   695.811489   1748.159717   2799.504136   3848.064602
0.453125   679.877699   1767.605090   2820.214097   3844.484366
0.459375   621.901582   1697.155251   2661.552574   3794.742265
0.465625   576.971946   1540.597296   2734.901210   3789.584078
0.471875   625.514020   1664.604793   2892.005446   3878.234672
0.478125   536.705982   1783.702710   2929.829194   3906.033095
0.484375   469.535062   1873.503710   2930.470860   4035.396635
0.490625   1532.129376   2837.838625   3947.680146   5007.363391
0.496875   1421.602423   2607.474422   3315.092162   4361.634951
0.503125   686.753975   1652.103625   3163.664208   3683.660753
0.509375   678.406052   1534.537182   2956.592544   3812.960758
0.515625   1010.479604   1802.759183   3205.026207   4417.125282
0.521875   828.918314   1853.893899   2551.240362   3678.784190
0.528125   998.465085   1735.368121   2446.159586   3960.900110
0.534375   653.992522   2167.312383   2962.738213   4177.280401
0.540625   664.116029   1788.402921   2759.290624   4314.341147
0.546875   780.635972   1649.821658   2614.209715   3870.274473
0.553125   888.295902   1620.331542   2780.894643   3877.082938
0.559375   843.743275   1798.463604   2960.025040   3858.050273
0.565625   880.777283   1571.917308   2593.535723   3701.809211
