Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1256.043061   2225.289146   3431.991924   4859.120186
0.034375   1274.640315   2346.496475   3331.701121   4863.436230
0.040625   1272.658216   2335.559386   3281.878868   4667.841954
0.046875   1337.978109   2508.408630   3195.136214   4584.688629
0.053125   1434.071784   2791.294383   --undefined--   --undefined--
0.059375   1434.420232   2792.231085   --undefined--   --undefined--
0.065625   1341.787018   2999.010140   --undefined--   --undefined--
0.071875   1861.813233   3046.729361   --undefined--   --undefined--
0.078125   1168.241544   2268.893622   3338.160343   4565.834882
0.084375   1164.722181   2273.063237   3383.463062   4804.020534
0.090625   1069.433526   2259.711772   3433.178158   4896.273481
0.096875   1090.847232   2295.539467   3385.069877   4839.019682
0.103125   1317.488164   2663.843825   3673.027832   4759.923996
0.109375   1344.911222   2200.753209   3267.558995   4629.399969
0.115625   1205.676568   2362.176472   3172.867456   4306.232684
0.121875   1181.063085   2454.213697   3473.964087   4239.904222
0.128125   1223.214199   2322.944787   3334.052847   4545.108568
0.134375   1308.182737   2400.989382   3630.117607   4916.166377
0.140625   987.030591   2570.629126   3530.212539   4789.386096
0.146875   1075.517557   2398.585151   3360.343606   4453.378037
0.153125   1225.218968   2230.130295   3317.931178   4687.912027
0.159375   1413.953999   2280.856159   3639.865982   4856.609050
0.165625   1378.421764   2378.924266   3806.463426   5105.039788
0.171875   1309.221485   2552.063113   3733.258205   4774.259421
0.178125   1327.858013   2148.180722   3384.212643   4317.485162
0.184375   1486.260030   2228.335165   3291.912546   4252.841136
0.190625   1402.907980   2273.927617   3202.935989   4241.554994
0.196875   1390.314504   2322.082704   3406.657970   4467.531219
0.203125   1852.214741   2156.120301   3626.778597   4905.924051
0.209375   474.728701   1907.360729   2815.364642   4346.725064
0.215625   641.713395   1855.476768   2747.242313   4175.069923
0.221875   790.507065   1976.626447   3016.432465   4433.406717
0.228125   364.107897   1896.349285   2868.916900   4154.518076
0.234375   852.511780   2231.594664   3392.665967   4345.551871
0.240625   1253.372604   2279.453245   3571.692467   4519.208274
0.246875   1378.573869   2054.866190   3509.292725   4374.424420
0.253125   1256.872520   2035.388760   3388.399663   4296.668058
0.259375   1405.529700   2217.158098   3580.016959   4577.652902
0.265625   1442.692000   2210.982305   3319.933392   4360.221918
0.271875   1477.447378   2184.773702   3205.300588   4245.749729
0.278125   814.082022   1805.111065   2689.444676   4132.724177
0.284375   593.004168   1858.691854   2664.675380   3720.791637
0.290625   551.484500   1647.357941   2558.647895   3820.397113
0.296875   1095.140042   2336.432350   3365.407005   4146.859589
0.303125   1125.522508   2358.414682   3295.702440   4600.659327
0.309375   1194.508358   2552.642537   3602.761589   4915.257376
0.315625   1109.078000   2347.649397   3614.849741   4535.907035
0.321875   1338.031366   2275.059920   3471.437985   4385.257399
0.328125   1464.326075   2383.334973   3434.550220   4601.431996
0.334375   1447.306971   2249.274383   3340.713022   4657.696893
0.340625   1512.427220   2768.213560   3495.704119   4743.046778
0.346875   1429.252964   2370.933654   3454.564476   4882.685988
0.353125   1116.830441   2178.273455   3380.958989   4713.425703
0.359375   1411.734643   2061.313922   3293.298979   4218.461751
0.365625   1310.360278   2197.290083   3338.925192   4399.341117
0.371875   1354.173366   2446.994988   3302.579520   4638.895373
0.378125   1514.969177   2392.519821   3466.111647   4779.634996
0.384375   1398.347870   2318.216577   3453.210260   4697.446750
0.390625   1417.945594   2209.866547   3353.383231   4575.095669
0.396875   1621.278237   2450.525692   3459.739287   4859.736013
0.403125   1646.945807   2395.049141   3461.544081   5079.340365
0.409375   1510.428710   2382.340170   3492.252863   5007.589009
0.415625   1296.973773   2309.177835   3393.915614   4815.306812
0.421875   1427.451820   2407.644460   3688.478824   5000.984630
0.428125   1736.103893   1988.173341   3445.525660   4644.564184
0.434375   289.692825   1621.067452   2520.854226   3587.189060
0.440625   638.007092   1694.365862   2890.156637   3707.700682
0.446875   708.575184   1617.778458   3039.194856   3821.559140
0.453125   760.566786   1540.906892   3056.814145   4354.520154
0.459375   1109.793276   2536.876498   3420.656459   4251.173668
0.465625   1202.439572   2449.416502   3595.111637   4544.236574
0.471875   1213.683141   2396.873469   3872.011177   4444.260110
0.478125   915.458703   2487.611437   3181.463391   4360.644291
0.484375   933.726476   2281.788260   3107.896256   4531.528885
0.490625   1167.648744   2308.113277   3127.753685   4512.065146
0.496875   1383.194928   2403.605020   3065.510646   4524.847535
0.503125   1573.834253   1951.030090   2991.341151   4409.394380
0.509375   1317.015359   2331.331116   3416.695562   4773.406364
0.515625   1187.444903   2367.491190   3531.599859   4727.634744
0.521875   1189.716856   2395.956948   3463.189760   4468.049550
0.528125   1352.219039   2587.019615   3468.975645   4293.651400
0.534375   1376.974853   2508.957468   3388.224668   4415.644826
0.540625   1390.903058   2408.973867   3333.101253   4354.316304
0.546875   1439.174998   2401.313475   3348.711849   4880.337089
0.553125   1449.616435   2340.694210   3230.292789   4782.270713
0.559375   1599.901137   2832.751690   3013.612132   4110.720584
0.565625   1618.604174   2176.494580   3342.853593   4540.212302
0.571875   1537.071812   2534.434985   3679.723765   4910.642141
0.578125   728.222842   1673.999645   2676.034148   3790.629426
0.584375   789.834201   1767.620089   2656.403681   3864.789718
0.590625   856.280365   1831.510809   2956.235566   4531.578398
0.596875   1320.222223   2113.626740   3384.765284   4702.911562
0.603125   1370.381264   2354.974417   3430.399826   4711.880709
0.609375   1444.879831   2285.860272   3359.787013   4541.381566
0.615625   1469.146824   2443.370725   3499.668380   4401.812389
0.621875   1228.118785   2306.066229   3617.057786   4204.347410
0.628125   1237.719257   2308.543753   3710.693259   4549.087290
0.634375   1378.446948   2453.056181   3891.653744   5010.479814
0.640625   1021.575817   2200.337667   3357.083012   4307.978486
0.646875   728.303644   1894.440089   3279.828576   4320.751175
0.653125   1344.495292   2595.842322   3623.391564   4863.476931
0.659375   1309.997371   2516.421828   3405.437430   4311.260586
0.665625   1594.601473   2933.380200   --undefined--   --undefined--
0.671875   1599.309507   2744.304156   3713.850361   5122.679201
0.678125   1607.041597   2684.565464   --undefined--   --undefined--
0.684375   1372.699214   2463.538136   3212.679741   4296.420455
0.690625   1321.258992   2312.115048   3586.213277   4755.017589
0.696875   1296.805018   2393.899858   3660.857385   5008.242598
0.703125   1258.218806   2509.260378   3698.278198   4357.974332
0.709375   1253.779728   2539.479300   3739.136045   4336.315601
0.715625   1449.498508   2546.102958   3742.724953   4886.180410
0.721875   958.055900   1891.100688   2991.723008   4263.383607
0.728125   1170.147498   1979.504241   3255.416694   4298.975753
0.734375   1391.417990   2234.228784   3374.098266   4464.616965
0.740625   1474.919147   2619.428577   3903.994148   5128.101438
0.746875   469.836435   1561.441452   2644.255425   3949.181942
0.753125   1071.085041   2313.608082   3558.884456   4795.627679
0.759375   654.721607   1824.998830   2726.226646   3827.251094
0.765625   1182.155818   2328.051377   3410.089840   4263.996425
0.771875   1253.257960   2328.859660   3578.445112   4269.234411
0.778125   1284.947048   2189.439374   3372.600608   4294.019729
0.784375   1401.947116   2052.941659   3257.137342   4397.308644
0.790625   1343.224521   2098.177471   3233.230814   4406.341487
0.796875   963.850866   2155.331645   3285.106535   4258.283882
0.803125   555.012287   2180.685422   3287.521193   4211.370635
0.809375   519.424460   2051.885611   2626.426475   3990.049631
0.815625   543.781930   2005.842950   2577.869445   3652.453933
0.821875   501.398895   1872.755115   2635.416021   3625.724995
0.828125   294.622458   1840.472639   2518.622520   3640.121026
0.834375   1552.629191   2195.453109   3550.962746   4966.176043
0.840625   1913.457406   2098.194870   3655.876518   5103.696810
0.846875   1584.158796   2289.383313   --undefined--   --undefined--
0.853125   2095.245252   2247.113866   --undefined--   --undefined--
0.859375   383.138463   1811.658321   2531.821070   3789.848860
0.865625   1372.484261   2555.743688   3538.602282   4781.128083
0.871875   1383.975301   2458.811812   3577.399758   4743.288986
0.878125   1418.607120   2359.878938   3696.687428   5061.870947
0.884375   1484.951299   2497.442751   3682.298141   4536.883591
0.890625   1475.657712   2450.871504   3638.867892   4342.549344
0.896875   1326.520126   2345.595194   3225.841218   4341.417821
0.903125   1592.086785   2138.250449   3614.370729   4443.338700
0.909375   1828.827521   2852.970977   3747.695858   4443.301457
0.915625   1703.593855   2533.069058   3899.222917   4469.004910
0.921875   1619.362966   2464.959520   3834.685349   4438.219544
0.928125   1569.516040   2410.313157   3571.218006   4452.641387
0.934375   1445.657538   2300.707299   3428.879874   4458.425180
0.940625   1220.771279   2316.479741   3334.079216   4523.990324
0.946875   1123.512843   2334.352507   3525.604475   4684.779909
0.953125   1321.990110   2373.180510   3428.768739   4617.843349
0.959375   1580.963301   2183.472623   3379.837011   4740.244499
0.965625   1347.832872   2215.166888   3439.460857   4290.580051
0.971875   1711.652733   2740.387528   --undefined--   --undefined--
0.978125   1645.459106   2028.242325   2830.021074   4196.792005
0.984375   1404.674161   2347.642302   3302.679052   4217.946246
0.990625   1488.281571   2416.107625   3611.799655   5028.073631
0.996875   1566.930607   2954.821889   3676.931763   4972.727892
1.003125   1426.694419   3166.524803   3739.716783   5026.094939
1.009375   489.234560   1824.301731   3162.830380   3746.430126
1.015625   1313.725407   1846.340069   2494.874952   3995.127133
1.021875   588.068006   1844.964612   2328.975075   3992.932830
1.028125   1881.042945   2078.000785   3902.522270   4668.017994
1.034375   747.840972   1994.975483   2005.919769   3768.961656
1.040625   693.789746   1987.086358   2238.481649   3864.911226
1.046875   470.145641   1936.350298   2089.644653   3883.464878
1.053125   1865.314262   2131.287299   3732.645274   5168.465814
1.059375   167.227022   1904.212804   2142.891135   3595.790046
1.065625   168.977530   1812.523643   2162.783583   3595.411138
1.071875   835.056889   1997.972411   2219.534988   3611.700772
1.078125   850.248204   2029.192416   2537.461329   3776.915619
1.084375   1453.939678   2039.847996   3266.724465   4184.612149
1.090625   1774.847950   2019.608997   3406.588686   4074.311859
1.096875   1772.063767   2132.388639   3274.322139   3964.954086
1.103125   2025.322753   2100.965604   2605.201206   4058.095751
1.109375   1695.557734   2075.398126   3314.291123   4008.742712
1.115625   1985.494428   2012.896425   3866.069850   5112.344603
1.121875   1924.103572   2113.509023   3892.699203   3921.450170
1.128125   963.803530   1992.883697   2376.724424   3949.481004
1.134375   917.948844   1963.925485   2666.869656   3869.935205
1.140625   1835.556203   1985.560005   3841.145152   5259.248832
1.146875   1618.921953   1987.087707   3919.234473   4718.018117
1.153125   1540.548072   2014.381757   3392.225558   3982.743163
