Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   743.253061   2039.817256   3353.979836   4400.516431
0.034375   1618.980409   2489.977571   3394.778068   4578.775390
0.040625   937.620726   2061.990285   2940.035453   4040.126316
0.046875   945.254513   2007.681322   3116.533712   4039.610366
0.053125   1051.671434   2001.510846   2905.334596   3928.980583
0.059375   1419.066320   2406.860061   3673.413418   4835.315395
0.065625   1189.760728   2252.417682   2590.523587   4009.895557
0.071875   1166.553890   2211.532235   2994.120543   4136.258650
0.078125   1327.273446   2316.672344   3426.607641   4365.781531
0.084375   1336.515043   2384.940021   3779.361060   4678.411666
0.090625   1473.643653   1590.048440   2957.915566   3910.217937
0.096875   1047.709971   1758.222815   3231.207721   3980.669070
0.103125   1740.544351   2292.342405   3399.111013   4566.640712
0.109375   1531.027050   2365.157465   3458.181779   4568.505656
0.115625   1204.028628   1791.209600   3327.359920   4367.680385
0.121875   1259.067023   2657.958574   3826.992237   4893.456843
0.128125   1110.876865   2423.724544   3652.373109   4652.900593
0.134375   1021.813763   2167.598151   3191.003967   4003.170225
0.140625   1119.462884   1893.596077   3025.876815   3910.364481
0.146875   826.017912   1828.831708   3071.854263   3826.497664
0.153125   1672.172231   2539.397007   3450.770968   4634.481252
0.159375   1605.108406   2432.369863   3636.661306   4793.905423
0.165625   1361.731776   2319.989594   3633.980774   4714.681807
0.171875   1125.471674   2548.841674   3840.391981   4729.267922
0.178125   1280.157238   2589.709499   3712.341269   4815.623419
0.184375   1188.033158   2408.429535   3101.894220   3673.257907
0.190625   1053.523730   2248.973345   3199.141896   3942.937112
0.196875   1011.197197   2435.094045   3522.342224   4576.401962
0.203125   1079.004310   2181.260442   2610.697612   3974.178920
0.209375   1382.921663   2696.715295   3791.453369   4586.389578
0.215625   1028.544364   2187.883902   3018.560031   4046.427517
0.221875   1142.066111   2003.338987   2853.970380   4024.721535
0.228125   1917.391238   2816.753837   3610.986576   4892.071037
0.234375   1613.369019   2860.190064   3522.918754   4721.348049
0.240625   1540.879106   2906.514634   3653.145823   4449.528051
0.246875   1385.156649   2458.458882   3490.700218   4419.448393
0.253125   1160.556773   2047.771845   3331.944955   4491.762885
0.259375   992.981078   2150.284701   3073.843585   4055.946662
0.265625   1130.735426   2281.819890   3248.572733   4245.194643
0.271875   1737.191248   2703.301925   --undefined--   --undefined--
0.278125   1743.305684   2783.211061   4028.070876   5297.989271
0.284375   1188.675334   2289.557807   2955.436456   4473.694139
0.290625   1291.033504   2169.534524   3195.436771   4594.954784
0.296875   1096.933852   2104.393604   3285.971883   4508.764426
0.303125   1401.708172   2404.908862   3479.099630   4482.913306
0.309375   1395.171896   2412.347484   3881.087278   4450.104546
0.315625   1638.436594   2727.437480   4024.416008   5293.811795
0.321875   1679.558856   2628.213896   3776.237226   5342.275855
0.328125   1803.530054   2447.893691   3740.728818   4712.453656
0.334375   1146.389894   2341.769555   3640.095953   4170.694040
0.340625   1275.657913   2357.843674   3562.864956   4625.585443
0.346875   1350.234275   2369.095464   3648.184851   4663.554169
0.353125   1117.836869   2212.799692   3598.248649   4734.989176
0.359375   1117.885289   2254.799123   2927.106308   3798.763368
0.365625   1053.687177   2193.068429   2800.830202   3935.813407
0.371875   1076.009364   2102.916506   3537.929193   4540.405253
0.378125   1136.524988   1932.535853   3190.640083   4296.920341
0.384375   1209.881228   1776.451632   3006.163856   4044.617983
0.390625   1456.539798   2482.464512   3668.464687   4491.379984
0.396875   1251.150361   2424.170908   3507.148308   4492.295263
0.403125   1336.237034   2749.398771   3543.275125   4466.370895
0.409375   1414.740657   1658.586902   2854.797225   3896.444923
0.415625   1062.361811   1778.950358   2981.044718   3869.776901
0.421875   1351.364525   2441.250681   3535.219690   4445.541568
0.428125   1081.340234   2599.437337   3443.322332   4426.082788
0.434375   1018.994412   2312.304788   3199.210586   4233.705862
0.440625   1039.481774   2326.885340   3221.540587   4247.663355
0.446875   1586.263164   2551.273118   3463.130831   4457.143582
0.453125   1633.383071   2561.268822   3461.396219   4444.230137
0.459375   1311.285702   2513.890142   3557.224660   4412.392936
0.465625   1399.305508   2429.241256   3685.132658   4498.573892
0.471875   1290.675512   2241.554818   3606.896693   4549.404419
0.478125   1761.839866   1843.958975   3483.319739   3494.437668
0.484375   1549.270344   2554.685838   3312.465184   4666.783300
0.490625   1222.689942   2233.890557   3216.901829   4546.703380
0.496875   1315.679589   2522.839426   3158.326105   4510.944569
0.503125   1476.540693   2493.277480   3473.253089   4483.761603
0.509375   1258.826671   2338.507309   3536.794254   4547.532350
0.515625   1332.171654   2443.748440   3631.881860   4474.260230
0.521875   1484.652489   2246.916961   3320.524323   4325.805667
0.528125   563.173689   1829.323846   2787.495327   3486.983055
0.534375   672.273978   1834.320196   2803.891201   3584.271123
0.540625   797.156464   1927.073506   2827.359524   3638.292410
0.546875   865.793257   2020.100864   3015.121903   4102.441330
0.553125   785.178856   1982.470976   2970.109374   4151.812606
0.559375   975.863397   1985.380463   3010.457873   3965.426320
0.565625   1066.657501   1908.765713   3291.680705   3895.635358
0.571875   884.135575   1873.430007   3252.252751   3847.566939
0.578125   707.796136   1840.253763   2964.109006   3987.429210
0.584375   677.815851   1877.836288   2979.645074   3991.684369
0.590625   782.608061   2059.018004   3222.040499   4206.069563
0.596875   919.896132   2095.686991   3315.051733   4386.520489
0.603125   792.359896   1886.126873   3202.555362   4403.693049
0.609375   700.775619   1800.924550   3223.458952   4221.873031
0.615625   742.742369   1827.902979   3318.220693   4168.709531
0.621875   665.714742   1858.136462   3013.202222   4112.308613
0.628125   594.023482   1870.794177   2992.241358   4194.778623
0.634375   672.715537   1924.467879   3292.436294   4166.514763
0.640625   609.116454   1855.572453   2927.872176   3803.640267
0.646875   460.054022   1738.171736   2985.749296   4316.957690
0.653125   1206.292657   1997.552391   3405.693630   4440.400744
0.659375   776.834274   2009.941174   3306.864681   3492.973931
0.665625   720.830866   1774.901791   2792.699971   3847.667296
0.671875   754.585928   1966.640536   2748.920971   3849.140281
0.678125   785.176659   1994.379479   2933.192959   4167.560672
0.684375   956.096562   2166.501764   3185.453638   4217.118675
0.690625   897.234493   2116.111260   3104.481474   4243.513304
0.696875   767.595233   1972.941651   3042.060623   4380.569325
0.703125   734.048690   2152.194001   3060.337479   4299.716607
0.709375   612.762787   2374.474235   2469.017364   3312.561305
0.715625   1120.599687   2426.528535   3790.445710   4639.934269
0.721875   911.209062   2228.436131   3514.657091   4348.699210
0.728125   764.568708   1937.691909   2919.211083   4288.072752
0.734375   668.090951   1672.109744   2800.260999   4267.072544
0.740625   666.856322   1786.919176   3216.646912   4183.048230
0.746875   697.629722   1908.975254   2758.507032   3955.256627
0.753125   750.488873   1938.389646   2684.168837   4015.598009
0.759375   678.409402   1969.527701   2937.063748   3957.718663
0.765625   608.298568   1941.683412   3050.210326   3887.423752
0.771875   726.906015   1822.633393   3119.444420   3564.857362
0.778125   654.754727   1842.158822   2963.689819   3588.014405
0.784375   606.281100   1835.325537   2988.278172   3681.657535
0.790625   610.216973   1755.685776   3108.021346   3880.993751
0.796875   668.149913   1885.545070   3240.997580   4042.664488
0.803125   779.012058   2039.629753   3321.085146   3964.673954
0.809375   776.874102   1910.808487   3431.056157   3877.534022
0.815625   845.989522   1964.615981   3309.274350   3931.123097
0.821875   791.265373   1910.494294   2940.936591   4076.484785
0.828125   818.250386   1887.498737   3625.326751   4203.129327
0.834375   595.858182   1933.576615   3427.143129   4317.730654
0.840625   481.880953   1632.303192   3207.644888   4308.068748
0.846875   478.462968   1600.695428   2940.328169   4280.397939
0.853125   476.394455   1521.454629   2967.589712   4242.121730
0.859375   494.590246   1536.744463   2950.743552   4224.883494
0.865625   507.194250   1561.528098   2912.332572   4253.033693
0.871875   503.829263   1591.515475   2918.974810   4272.746510
0.878125   499.705398   1602.048036   2930.483328   4367.920682
0.884375   476.754439   1637.382094   2921.961107   4429.792371
0.890625   466.358053   1702.406296   2862.818533   3224.548916
0.896875   490.370627   1831.342731   2782.814514   3009.818941
0.903125   493.367714   1982.304569   2250.994145   2959.419757
0.909375   486.193102   1881.289316   2099.253669   3110.612850
0.915625   481.341831   1957.652909   2181.509382   3073.720763
0.921875   479.196909   1967.297288   2210.136937   3040.498078
0.928125   475.166139   2063.866975   2273.507666   3013.272038
0.934375   476.452806   2082.369164   2304.563743   2984.415012
0.940625   480.336931   2300.355089   2317.200833   2972.544549
0.946875   480.462769   2161.759630   2442.665165   3009.820495
0.953125   478.563635   2182.249545   2687.262439   3054.673854
0.959375   479.686212   2131.801396   2872.623495   2974.283056
0.965625   481.619691   2043.445947   2809.013300   3164.820507
0.971875   485.857985   2108.152536   2811.427499   3181.185006
0.978125   486.623677   2285.898290   2738.389324   2948.441334
0.984375   490.035660   2396.673138   2419.806750   2963.047402
0.990625   494.908252   2330.531558   2383.825162   3071.382499
0.996875   497.667300   2001.638766   2411.068116   3186.574576
1.003125   498.456818   1832.598333   2428.915843   3176.977782
1.009375   500.531103   1935.485065   2397.187210   3209.659104
1.015625   500.343626   2194.867353   2283.934262   2991.890116
1.021875   500.698829   2236.654590   2870.151557   4449.990843
1.028125   501.067838   2223.494551   2941.075808   4491.502744
1.034375   496.801015   2204.328141   2912.841740   4362.049097
1.040625   486.622712   2197.508920   2965.932279   4228.819415
1.046875   475.383913   2152.681982   3068.977243   4285.356565
1.053125   455.959995   2048.810124   2943.638223   4274.951572
1.059375   441.596170   2062.731078   2895.597781   4117.009285
1.065625   468.094218   2089.233517   2999.873482   4032.350841
1.071875   590.583138   2103.224798   3186.731777   4491.214780
1.078125   709.398089   2051.604280   3166.726410   4446.387663
1.084375   813.257615   1907.547985   2980.818477   4250.069242
1.090625   847.989779   1965.958102   3149.125739   4312.098661
1.096875   895.798061   2108.268268   3426.339074   4469.575608
1.103125   1089.730526   2020.062125   3529.334243   3881.207638
1.109375   998.172647   1821.636109   3282.184880   3883.512278
1.115625   956.805253   1766.382623   3301.471462   4492.693307
1.121875   1285.057323   1792.218145   3284.711704   4528.892652
1.128125   1590.342750   1673.132390   3217.855020   4247.198270
1.134375   848.903490   1573.666286   3055.030179   4294.856911
1.140625   819.629490   1647.096130   2908.538718   4256.586345
1.146875   685.883386   1733.642552   2764.845085   4019.059576
1.153125   554.041041   1706.606815   2923.863471   3970.991890
1.159375   626.836524   1620.357524   2965.341143   4351.610063
1.165625   609.225030   1746.582269   2793.714790   3849.234754
1.171875   625.691522   1696.399935   2894.503224   3857.886539
1.178125   834.024404   1662.257489   2219.599631   3753.977975
