Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1458.219146   2530.589653   3249.761354   4358.165433
0.034375   1281.060579   2597.484444   3254.117601   4333.639885
0.040625   1315.992926   2630.820731   3294.050171   4310.731529
0.046875   1320.002061   2646.280793   3183.258979   4264.544524
0.053125   2074.970539   2731.367879   4157.911516   4961.583526
0.059375   878.604802   2587.773041   3277.247934   4700.023697
0.065625   1105.186300   2561.610777   3125.985719   4691.789586
0.071875   101.422582   2421.306164   2635.506382   4113.294198
0.078125   198.043466   2020.553058   2681.463154   3922.233135
0.084375   193.772281   2080.606984   2700.548064   3861.939867
0.090625   138.534478   2093.614069   2783.856172   4130.632542
0.096875   1375.290879   2240.804302   2793.026088   4355.881520
0.103125   1727.729496   2668.257945   3606.143693   4607.599196
0.109375   1669.719953   2665.265722   3769.789772   4677.506067
0.115625   1473.418362   2604.551977   3780.512269   4684.539297
0.121875   958.536191   1548.061367   2605.489295   3607.837003
0.128125   596.093327   1844.319946   3159.767444   3470.529443
0.134375   318.778369   1820.648875   2867.288247   3535.609801
0.140625   1175.632745   1777.403547   2681.585080   3590.042102
0.146875   1080.934937   1667.167883   2617.633099   3595.651969
0.153125   1666.217943   2621.000487   3792.592368   3874.500828
0.159375   1742.998747   2457.060577   3340.044007   4095.174566
0.165625   1670.433473   2351.847025   3324.894494   4138.787543
0.171875   1599.971062   2164.241761   3248.463851   4109.624026
0.178125   1247.880610   1714.819413   2901.404280   3654.383463
0.184375   1140.132264   1703.953960   2865.556272   3760.985804
0.190625   940.934426   1705.589097   2785.686082   4137.282965
0.196875   813.193476   1672.808989   2730.117239   4290.100697
0.203125   881.790359   1785.725366   2712.189032   4408.526537
0.209375   989.973243   2162.604311   2856.444962   4383.630283
0.215625   774.929439   1839.925240   3046.196386   4412.485847
0.221875   570.000315   1649.778490   2969.977166   4443.318998
0.228125   649.923097   1566.897155   2776.551940   4206.047183
0.234375   539.553255   1709.894420   2787.172177   3892.820118
0.240625   248.727126   1672.436245   2721.039301   3730.590460
0.246875   475.071914   1707.226127   2607.826944   3715.453041
0.253125   479.854822   1792.719888   2693.988879   3782.734476
0.259375   369.859428   1834.572806   2888.035855   3819.479818
0.265625   342.387790   1754.558655   2771.634306   3711.561356
0.271875   1753.945248   2699.512961   3759.779957   4876.073352
0.278125   286.263092   1825.876704   2790.293501   3764.458127
0.284375   384.464200   1879.059776   2867.557566   3753.453499
0.290625   1819.189425   2753.853639   3796.328476   4833.151903
0.296875   125.341513   1845.698891   2693.830046   3842.001304
0.303125   95.070413   1868.572711   2680.169621   3865.194351
0.309375   1799.023224   2719.504905   3867.870225   4879.122246
0.315625   1845.156194   2713.279626   3769.630615   4879.573467
0.321875   1835.862437   2737.775508   3760.071266   4783.150120
0.328125   420.349002   1812.593569   2765.444449   3790.879006
0.334375   385.312999   1844.126767   2711.765766   3622.896981
0.340625   289.831866   1796.112949   2686.450678   3635.481703
0.346875   243.569632   1763.635204   2669.549000   3783.381956
0.353125   1814.032497   2683.113067   3920.208684   4804.886424
0.359375   1840.847025   2740.489303   3794.297633   4858.805846
0.365625   355.171975   1825.402879   2766.277988   3653.256503
0.371875   330.771634   1815.754767   2760.931377   3732.220844
0.378125   494.517212   1787.521362   2761.456990   3756.566932
0.384375   702.792939   1741.840926   2710.080826   3618.643410
0.390625   576.584172   1687.514437   2719.819305   3693.896215
0.396875   374.053051   1788.558457   2670.130813   3781.762696
0.403125   1892.153417   2604.064144   3716.849808   4891.860128
0.409375   1894.968373   2422.436490   3624.155687   4332.869200
0.415625   1903.202027   2420.833244   3673.243519   4236.137048
0.421875   1969.242152   2675.415764   2722.378322   4040.221054
0.428125   879.706734   2396.834496   2699.738150   4102.078728
0.434375   738.418403   2431.835495   3095.436832   4045.774114
0.440625   1605.437939   2416.842078   3428.429386   4207.524923
0.446875   511.258281   2304.078876   3093.737710   4209.883329
0.453125   557.950506   2236.188334   3021.201380   4187.964287
0.459375   201.372301   2213.134408   2836.302326   4277.082247
0.465625   501.845067   2208.066977   3202.674713   4313.648949
0.471875   524.244273   2212.183907   2824.802993   3606.559773
0.478125   339.920807   2180.926967   2772.067778   3686.747730
0.484375   467.568654   2114.653770   3017.535468   3852.303008
0.490625   265.604408   2107.228207   2381.861709   3891.042716
0.496875   255.290705   2016.181382   2593.059886   3803.212156
0.503125   260.899240   2007.974162   2705.699213   3706.238056
0.509375   268.645412   1879.946894   2612.386734   3685.530589
0.515625   254.486206   1808.759843   2570.707379   3797.937664
0.521875   170.936679   1960.092663   2820.507335   3776.018286
0.528125   216.714277   1726.392670   2774.981683   3836.600034
0.534375   1204.972693   2256.238122   3228.264495   4110.674979
0.540625   882.520515   2179.207653   3353.060483   4582.972449
0.546875   808.813048   2317.553812   3519.249774   4688.204759
0.553125   529.231409   2122.659880   3295.330585   4241.300613
0.559375   478.127960   1775.263550   2730.326399   3874.016767
0.565625   1100.254111   2093.371197   3352.088058   4515.034666
0.571875   2003.948067   2309.897737   3839.876722   4746.567081
0.578125   1727.000011   2596.165498   3903.716843   4800.274238
0.584375   269.236010   1708.719806   2673.909447   3959.290217
0.590625   441.601130   1882.800883   2724.507975   3954.950984
0.596875   489.444032   1760.928996   2604.789141   3950.026152
0.603125   423.936438   1644.381173   2711.749817   4010.027118
0.609375   624.313939   1829.383360   2589.730715   3866.270932
0.615625   690.524721   1826.925324   2942.806365   3825.307174
0.621875   612.161149   1810.074128   3125.297138   3880.646785
0.628125   563.622314   1816.387546   3193.678198   3953.640248
0.634375   710.880146   1773.880131   3534.816678   3561.184099
0.640625   1120.094692   2182.156629   3644.798863   5168.472081
0.646875   686.346270   1930.651137   3089.101862   3995.142667
0.653125   648.182566   1853.818016   2960.850560   3772.736463
0.659375   754.443137   1831.347346   2877.367013   3680.158397
0.665625   710.984440   1858.279090   3103.267891   3669.645247
0.671875   911.284291   1875.748514   3010.179858   3542.226258
0.678125   1381.068110   1998.180850   3477.439567   5018.136509
0.684375   204.299044   1710.094308   3267.809693   3473.985626
0.690625   239.526692   1773.378529   3166.159521   4519.785004
0.696875   245.087957   1799.434857   3070.699050   4450.419129
0.703125   265.923400   1836.980373   3176.792000   4045.549131
0.709375   282.177432   1924.386779   3077.956207   4490.541782
0.715625   309.483922   2155.914849   3146.006518   4275.146742
0.721875   334.135154   2229.236694   3197.366371   4159.725465
0.728125   336.350416   2316.821698   3220.108915   4294.976096
0.734375   330.628136   2451.416897   3230.861977   4441.316223
0.740625   329.987382   2500.457915   3182.121804   4465.594902
0.746875   354.665632   2497.703208   3182.901426   4443.430920
0.753125   364.762908   2530.780111   3167.935798   4371.370799
0.759375   362.078709   2541.609212   3193.634469   4388.570657
0.765625   362.255114   2570.199657   3182.923961   4515.583306
0.771875   364.527769   2552.660061   3146.449568   4293.516885
0.778125   361.881742   2498.016065   3108.728880   4113.245559
0.784375   339.481339   2486.915373   3102.175253   4166.042451
0.790625   340.242224   2456.818183   3174.949658   4334.431969
0.796875   359.542000   2453.321160   3142.370764   4332.800871
0.803125   354.149121   2443.157961   3154.049525   4275.459529
0.809375   351.274855   2380.370148   3169.549562   4250.158047
0.815625   320.446910   2225.718522   3170.935208   4327.497823
0.821875   267.148519   2197.598327   3304.437400   4041.080148
0.828125   246.744567   2172.960804   2939.096377   3410.173452
0.834375   235.805322   2209.713009   3135.020146   3811.471086
0.840625   96.029868   2191.773731   3273.841842   3944.117777
0.846875   2057.637359   2800.277493   3240.238403   4771.750696
0.853125   2015.365165   2331.497632   3360.763885   4724.740762
0.859375   2010.544752   3075.756189   3162.384439   4772.431778
0.865625   1988.336546   2786.239334   3526.158727   4786.154645
0.871875   2043.838435   2100.865528   3355.956492   4835.702921
0.878125   1983.199669   2200.678679   3344.923441   4878.208275
0.884375   1919.639637   2334.878691   3450.548646   4924.998635
0.890625   1970.956445   2525.847269   3534.203727   4980.554740
0.896875   1972.000831   2948.295901   4095.973645   5030.270225
0.903125   2024.491556   2555.423130   3500.824084   4815.837118
0.909375   1951.931809   2586.892647   3274.835653   4750.610031
0.915625   1838.390799   2725.563122   3052.788436   4818.657645
0.921875   147.708588   1817.997554   3023.055410   4846.458683
0.928125   430.037995   1788.414059   2947.427366   4361.492032
0.934375   322.725323   1747.940523   2956.908112   4283.157249
0.940625   390.549451   1750.591123   3009.485128   4198.754877
0.946875   396.486864   1882.951346   2801.982591   4300.068729
0.953125   578.601006   1779.074988   2713.588813   4304.275393
0.959375   653.781132   1953.239229   2865.156597   4212.673106
0.965625   510.792282   2086.728458   2129.565479   4038.251702
0.971875   954.412509   2214.671387   2281.032460   4340.842433
0.978125   869.432280   2158.254986   3166.684730   4369.721496
0.984375   1195.614056   1782.460588   3413.478373   4686.373450
0.990625   1028.244274   1160.134943   1733.099550   3536.392266
0.996875   979.633531   1395.102457   1842.266458   3595.104154
1.003125   728.233294   1391.242384   2469.343475   3433.549627
1.009375   647.734910   1355.524098   2894.329742   3288.986472
1.015625   813.145096   1353.365727   2416.872539   3716.799776
1.021875   891.166293   1339.357288   2722.357607   3780.947160
1.028125   620.777298   1384.078452   2800.335792   3841.046727
1.034375   382.881847   1283.026951   2758.744943   3984.918224
1.040625   358.158319   1135.866855   2395.284413   3914.095558
1.046875   371.723045   1142.438314   2621.597258   3829.128820
1.053125   402.397902   1119.869078   2832.517257   3760.386703
1.059375   430.278848   1107.019294   2860.023911   3863.422142
1.065625   417.554919   1110.412479   2901.541926   3879.042414
1.071875   407.203554   1063.660111   2975.929366   3901.298327
1.078125   409.184380   1100.103930   2945.422063   3806.820493
1.084375   410.011801   1114.435049   3021.259524   3721.020422
1.090625   414.215909   1099.535140   3134.568759   3742.541607
1.096875   420.845707   1081.853733   3153.632898   3915.606865
1.103125   422.432940   1077.992948   3143.513153   4020.779898
1.109375   416.797858   1093.256404   3157.843903   4134.533536
1.115625   412.360926   1122.809903   3248.764424   4392.696833
1.121875   404.835805   1143.243429   3283.897056   4470.900916
1.128125   371.098430   1157.013264   3255.215979   4732.584715
1.134375   331.119896   1197.366205   3273.555453   4358.826145
1.140625   310.778674   1271.403276   3274.744156   4244.361812
1.146875   274.781420   1331.406909   3231.544431   4313.226084
1.153125   277.560976   1412.858032   3158.892146   4589.424818
1.159375   255.593670   1428.321381   3139.942778   4279.411467
1.165625   226.526118   1517.819218   3109.983502   4380.565829
1.171875   227.346847   1625.741710   3015.574779   4381.984996
1.178125   207.977288   1834.110542   3195.399184   3513.867631
1.184375   187.818600   1810.877085   3198.269582   3709.869472
1.190625   622.455311   1803.964351   2921.550318   3690.271383
1.196875   609.887591   1794.730138   2957.201592   3779.099495
1.203125   180.730491   1802.398718   2971.129519   4217.695577
1.209375   431.176071   1840.589826   3077.976785   4263.570639
1.215625   666.938791   1868.385899   3154.964859   3839.805991
1.221875   625.951557   1870.950714   2945.667982   3738.803028
1.228125   650.387692   1893.985175   3177.162633   4055.220508
1.234375   584.553241   1908.466682   3139.520868   4569.474451
1.240625   1866.624412   3025.046451   3835.032734   5144.667678
1.246875   1907.564500   3082.695165   4143.194905   5054.792802
1.253125   1905.943758   3156.573912   --undefined--   --undefined--
1.259375   1968.204031   2205.642264   3299.091269   4728.264153
1.265625   2056.698660   3179.985883   4353.976714   5142.038403
1.271875   2011.081124   2753.163280   3790.904014   5099.498613
1.278125   585.243847   2062.129410   3698.617270   4026.335472
1.284375   814.948264   2258.281043   3560.158342   4731.265731
1.290625   962.371659   2702.639192   3583.516989   5128.646106
1.296875   191.806463   2316.594237   3282.293991   4496.908928
1.303125   365.228333   2142.303590   3151.488838   4311.372089
1.309375   492.467807   2049.539081   3172.597774   4286.207939
1.315625   563.970718   2011.450756   2880.791259   3722.802430
1.321875   532.935781   2276.225397   2729.227966   3849.420770
1.328125   556.732926   2178.901521   3160.397787   3843.881985
1.334375   520.102887   2077.555871   3214.732355   4208.116509
1.340625   503.334524   2097.477410   3194.473954   4704.423416
1.346875   527.478928   2093.910336   3209.798436   4704.580999
1.353125   404.036925   2075.417357   3173.362083   4586.163335
