Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   840.060913   1802.647950   3232.071334   4215.734941
0.034375   982.844743   1912.068384   3266.197560   4222.109783
0.040625   890.545194   1897.000889   3335.509862   4444.301579
0.046875   629.405888   1864.935554   3522.909806   4777.858629
0.053125   810.376329   1867.963794   3522.874443   4298.913952
0.059375   408.797904   1893.280778   3494.788276   4163.155044
0.065625   396.056573   1848.267241   3497.095304   4374.760773
0.071875   423.589540   1841.370724   3468.445252   4442.154292
0.078125   801.056714   1776.904712   3342.476080   4377.940715
0.084375   342.062200   1711.845236   3355.349058   4417.793228
0.090625   478.749567   1731.804084   3388.868194   4628.781166
0.096875   407.628241   1655.428610   3215.826700   3520.033586
0.103125   334.588044   1692.489647   2870.349713   3701.926056
0.109375   576.530507   1672.783086   3062.798406   4198.943477
0.115625   622.037047   1744.286033   3231.285948   4244.992528
0.121875   582.165686   1798.153033   3252.451493   4449.329909
0.128125   552.057989   1744.339033   3250.108487   4536.936782
0.134375   570.289752   1727.934009   3091.918356   4266.566531
0.140625   633.341413   1819.268569   3173.812658   4521.584241
0.146875   645.210266   1917.851844   3281.583649   4446.076435
0.153125   551.334000   1945.022950   3114.150510   4648.187688
0.159375   524.028516   1956.030327   3220.329392   4669.113699
0.165625   1079.090598   2112.154196   3541.775031   4545.540535
0.171875   424.396070   1792.772318   3186.088134   4261.784202
0.178125   484.296612   1898.107315   3087.655382   4310.285535
0.184375   422.178975   1913.669065   3362.774088   3460.872950
0.190625   427.281886   1991.469833   2404.898824   3781.496597
0.196875   459.150261   1982.752561   2331.088896   3777.481305
0.203125   474.503813   1868.073530   2958.601868   4441.599424
0.209375   506.911137   1845.454920   2993.528002   4243.068999
0.215625   453.498507   1840.217167   2669.979887   4031.246524
0.221875   430.696550   1891.956688   2776.374038   4118.400713
0.228125   587.045771   1936.174584   3055.342028   4214.653654
0.234375   553.847148   1965.291570   3048.303080   4187.048175
0.240625   451.320101   1954.022650   2429.087543   3845.092100
0.246875   462.317990   1950.015185   3348.815396   4208.582340
0.253125   569.490814   1906.492007   3068.894792   4222.775138
0.259375   602.673416   1964.186691   2762.667595   4142.636541
0.265625   550.406001   1949.804983   2919.664119   4229.081201
0.271875   558.745686   1891.748659   2964.522381   4341.181762
0.278125   509.837449   1970.049703   2692.165020   4113.630086
0.284375   749.173799   2010.863127   3354.475435   4836.199044
0.290625   937.201451   2007.991696   3284.192989   4547.236103
0.296875   451.436540   2019.507170   3256.506774   4552.386881
0.303125   536.014444   1999.731820   2863.496066   4126.382597
0.309375   537.895995   2072.676909   2125.964845   3988.116914
0.315625   621.436996   1751.789469   2136.782238   3807.839590
0.321875   584.043318   2157.240661   2332.038564   3753.765322
0.328125   672.122515   2091.910061   3273.765452   4454.614792
0.334375   595.412268   2089.501575   3176.951470   4421.565193
0.340625   376.191280   1988.928822   2301.714618   3704.791901
0.346875   517.106370   1937.611827   2679.986228   3662.175483
0.353125   464.239832   1719.247798   2884.739834   4050.120406
0.359375   420.624581   1729.564377   2655.101923   4218.374181
0.365625   440.688854   2041.985340   2103.685530   4109.204301
0.371875   647.496201   2033.268205   3417.534358   4305.837229
0.378125   443.801058   2005.167617   3319.334922   4495.310720
0.384375   356.446563   1899.122017   3274.092170   4586.479876
0.390625   687.215986   1938.637068   3257.611790   4437.156185
0.396875   509.472060   1869.606633   3380.190729   4768.724479
0.403125   496.148545   2016.703442   3403.208387   4473.915683
0.409375   578.212287   1962.908437   3499.025987   3553.193522
0.415625   526.718005   1993.672590   3501.234772   4740.755086
0.421875   597.169764   1901.388216   3289.080529   4321.832019
0.428125   712.436384   2114.971915   3496.337785   4622.276572
0.434375   609.317586   2091.809943   3342.934656   4603.736403
0.440625   704.998518   1983.874747   3272.460274   4376.718379
0.446875   498.543053   1942.635704   3219.235980   4343.059908
0.453125   510.444194   1972.699109   3311.677719   4472.301810
0.459375   570.422935   1984.599334   3322.352045   4491.444055
0.465625   648.454246   2199.959061   3370.026087   4454.864861
0.471875   826.308449   1992.301718   3414.901632   4426.595143
0.478125   615.113769   1732.451954   3221.537507   3957.882190
0.484375   532.643201   1894.233598   2916.825709   4066.954678
0.490625   591.858149   2032.563517   3135.455901   4192.507492
0.496875   779.847056   2104.379934   3362.174612   4423.037594
0.503125   810.242363   2098.989262   3352.079763   4782.690290
0.509375   822.125200   1996.567552   3272.105828   4601.480746
0.515625   345.757565   2032.404818   3319.698938   4811.080730
0.521875   409.114423   1916.997163   3467.848281   4901.452892
0.528125   453.723313   2008.968593   2507.733679   3758.427404
0.534375   340.282963   2082.438802   2941.303291   3983.719499
0.540625   621.372528   2246.861991   3416.115177   4181.841197
0.546875   750.882725   2045.993997   3357.081029   4405.021283
0.553125   728.266497   2074.534627   3337.428882   4457.956747
0.559375   814.500675   2061.690122   3382.500519   4506.230120
0.565625   552.540531   2024.614966   3392.160305   4388.503419
0.571875   810.512012   1939.204806   3374.605008   4447.639728
0.578125   699.475014   1936.181032   3348.304061   4603.381701
0.584375   733.785786   1974.460243   3330.497059   4669.124371
0.590625   841.938186   1897.669144   3424.002256   4426.040180
0.596875   436.532730   1895.564034   3278.020726   4331.542582
0.603125   825.839956   2007.367376   3356.758115   4394.306464
0.609375   578.110602   2021.629117   3284.044655   4331.870390
0.615625   460.831892   1833.326204   3061.267548   3920.439422
0.621875   481.325398   1851.723804   2455.511613   3799.894111
0.628125   670.814363   2169.310987   3307.613228   4481.162571
0.634375   537.265237   2098.371939   3256.594134   4692.341328
0.640625   644.478715   2016.547308   3354.823526   4863.193977
