Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1139.272839   2238.217796   3321.492576   4583.993715
0.034375   1175.662875   2258.454552   3307.558094   4595.103841
0.040625   1331.859707   2282.929429   3290.558024   4549.397546
0.046875   1323.643206   2324.027777   3601.126167   4576.551608
0.053125   923.832504   2321.463456   3261.200483   4493.878393
0.059375   1070.368091   2364.276098   3356.710194   4569.596576
0.065625   1121.696514   2352.298584   3342.067545   4287.239724
0.071875   1099.078058   2265.731999   3272.476990   4205.373168
0.078125   1111.430805   2372.416866   3246.504387   4128.234421
0.084375   1113.231142   2289.240300   3208.944952   4122.094002
0.090625   1083.035643   2165.207461   3091.993256   3987.090608
0.096875   955.395034   1988.347694   3070.385769   3990.543064
0.103125   921.602697   2157.416316   3175.869078   4191.775141
0.109375   966.262927   2131.271649   3176.652860   3929.929328
0.115625   870.824155   2205.355067   3480.338400   3958.851108
0.121875   1055.382802   2303.314723   3536.686902   3697.948569
0.128125   1282.896647   2455.563041   3483.734200   4718.456055
0.134375   1165.023245   2345.197701   3296.320959   4364.512026
0.140625   849.391516   2175.306820   3271.000487   4381.569785
0.146875   845.535064   2138.732420   3213.023554   4080.457928
0.153125   748.175982   2088.978341   3223.404119   4242.582576
0.159375   805.138870   2041.510266   3076.125269   4244.213690
0.165625   711.380777   2059.306967   2970.769207   3947.584814
0.171875   688.353052   2053.990689   2902.734599   3844.003381
0.178125   879.057543   2094.348335   3039.936302   4043.438117
0.184375   817.735453   2111.071439   3100.148526   4191.765385
0.190625   767.136752   2098.267022   2916.262477   4150.289126
0.196875   899.191169   2120.632811   2991.731106   3933.659118
0.203125   879.761396   1989.219297   2626.897561   3957.392224
0.209375   807.206103   1756.894014   2661.558543   3902.401705
0.215625   884.168405   2262.412582   2693.467968   3811.412016
0.221875   844.775259   2207.802301   2775.367936   3772.204941
0.228125   1011.771957   2131.673803   2349.672851   3715.925081
0.234375   1203.208031   2294.452879   3685.966356   4628.605229
0.240625   1242.462097   2253.906512   3584.296115   4575.749257
0.246875   1055.761731   2294.895990   3859.998235   4534.056378
0.253125   1242.129337   2280.276464   3922.971112   4558.804847
0.259375   778.086368   1865.357325   2530.911915   4078.338919
0.265625   647.920067   1713.183901   2849.365802   4193.532004
0.271875   716.404892   1800.402167   3045.614083   4137.849963
0.278125   818.194133   1932.259562   2791.226497   3699.186857
0.284375   915.016734   1837.508335   3409.253798   3702.019449
0.290625   960.238408   1831.631114   3531.486158   4436.271144
0.296875   938.121780   1910.357154   3511.506918   4449.262078
0.303125   877.870526   1906.450156   3336.696872   4371.160734
