Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   570.987980   1978.672819   2989.173451   3697.383741
0.034375   759.273662   1985.879096   3172.621615   4123.215368
0.040625   721.965108   1913.908737   2837.626358   4337.066931
0.046875   564.690681   1695.174995   2677.066127   3957.281487
0.053125   628.554306   1996.566877   2590.349380   3940.657523
0.059375   665.940014   1869.302918   2541.691711   3747.916676
0.065625   549.298353   1361.902268   2665.248774   3705.291318
0.071875   367.309404   1462.712196   2687.402461   3749.852848
0.078125   1308.901551   2398.649815   3112.311631   4112.537878
0.084375   701.470055   1897.171688   2874.432639   3982.927022
0.090625   732.767691   1747.692598   2775.269122   3650.154007
0.096875   922.665031   1634.129675   2865.874912   3737.439184
0.103125   882.593368   1771.084531   2933.137549   3876.700044
0.109375   946.038338   1974.004003   2981.876985   4027.322121
0.115625   1055.033558   2446.452323   3691.669312   4424.417191
0.121875   1662.514969   2421.095373   3677.194585   4619.134264
0.128125   1728.986571   2381.248662   3554.151780   4683.519249
0.134375   1986.884230   2245.769661   3521.345913   4342.272652
0.140625   1829.092558   2509.873124   3454.613687   4330.395981
0.146875   1575.070832   2620.023171   3534.615870   4450.251646
0.153125   1508.582026   2731.460728   3658.767734   4474.309185
0.159375   1872.445096   2553.352539   3540.897917   4391.270551
0.165625   1774.703718   2582.604936   3544.931282   4292.164229
0.171875   1772.272525   2794.660367   3541.504237   4360.100504
0.178125   1736.894758   2891.155135   3908.571876   4223.975312
0.184375   1668.789353   2842.647865   3886.475313   4327.687750
0.190625   1663.629054   2688.403709   3686.100599   4499.054894
0.196875   1564.622438   2611.188051   3663.643323   4584.174072
0.203125   1523.881219   2651.028927   3625.205698   4515.933857
0.209375   1697.448574   2829.256735   3264.445912   4477.957711
0.215625   1660.798282   2692.083139   3383.635270   4513.216539
0.221875   1782.359913   2427.101869   3543.721781   4505.084350
0.228125   1576.513031   2550.262978   3495.160961   4559.968104
0.234375   1442.508861   2612.191953   3659.025358   4591.010884
0.240625   1500.904346   2606.906234   3715.046305   4558.571801
0.246875   1602.842507   2636.670816   3591.615869   4608.954830
0.253125   1640.945343   2934.236746   3549.689096   4513.720290
0.259375   1587.909583   2844.662259   3475.766807   4586.322506
0.265625   1757.788180   2508.417865   3316.771603   4413.190386
0.271875   1566.817400   2331.111252   3574.040214   4418.342833
0.278125   1780.192889   2424.023305   3617.854997   4486.118771
0.284375   1640.622284   2635.113920   3732.664862   4585.903556
0.290625   1643.555244   2588.925635   3600.354167   4517.683904
0.296875   1605.924741   2416.269479   3571.419696   4498.052843
0.303125   1603.837696   2465.859342   3733.450058   4719.751394
0.309375   1628.936755   2562.371697   3690.278841   4616.368569
0.315625   1599.376088   2522.076049   3465.642879   4639.118680
0.321875   1666.834414   2535.541310   3458.973270   4658.302827
0.328125   1517.659287   2636.265347   3585.336652   4567.821684
0.334375   1464.183210   2573.941646   3453.956671   4578.272724
0.340625   1483.430482   2466.666334   3389.694336   4575.428305
0.346875   1540.722284   2523.033249   3454.555334   4656.733103
0.353125   1567.656607   2598.088769   3351.087141   4586.864930
0.359375   1607.974214   2753.089076   3205.496416   4529.036276
0.365625   1642.745384   2640.051102   3508.659058   4543.685446
0.371875   1591.752504   2728.273413   3652.550323   4467.151574
0.378125   1786.459200   2559.231135   3529.681477   4406.500255
0.384375   1488.349047   2521.888956   3418.907561   4550.305693
0.390625   1470.612493   2645.599102   3416.373469   4628.476446
0.396875   1536.626767   2605.826384   3583.581795   4538.263179
0.403125   1324.376076   2574.334410   3662.519749   4478.807302
0.409375   1305.406726   2642.255112   3516.726530   4535.063538
0.415625   1356.516957   2589.721625   3414.072790   4520.742759
0.421875   1429.541776   2535.621809   3661.556620   4571.861175
0.428125   1511.517078   2548.040199   3675.058532   4591.981987
0.434375   1523.223391   2668.543586   3674.472692   4530.197387
0.440625   1663.917165   2939.733972   4193.114869   4204.192383
0.446875   1840.033617   3011.538333   3671.734336   4165.097090
0.453125   1622.498490   2446.058830   3446.659395   4483.760507
0.459375   1681.065292   2698.166932   3535.596986   4410.822423
0.465625   1612.451733   2475.227954   3577.035642   4448.191235
0.471875   1482.208523   2519.280032   3491.389284   4516.336824
0.478125   1372.633869   2457.228855   3455.818706   4536.065718
0.484375   1510.592539   2330.538282   3489.974779   4540.852501
0.490625   1513.945670   2375.325628   3585.187552   4502.874694
