Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   841.709398   2001.347105   2715.975577   4032.767172
0.034375   854.335664   2035.334507   2776.634390   4290.667092
0.040625   1048.556433   2444.468915   2829.729650   4314.427742
0.046875   1140.431344   2646.959983   2810.528866   4240.588151
0.053125   1505.735757   2660.469883   --undefined--   --undefined--
0.059375   1307.992224   2267.655961   3648.117833   4870.899289
0.065625   1299.257912   2230.612754   3625.070329   4876.029454
0.071875   1330.120282   2176.238292   3610.410943   4840.732511
0.078125   702.406651   1690.344755   2784.538037   3838.893491
0.084375   142.651613   1585.579582   2745.992879   4005.665126
0.090625   154.633544   1637.163957   2853.570283   4130.374002
0.096875   482.134351   1811.416567   2850.806839   4003.588800
0.103125   746.379643   1797.735656   2812.695933   3937.805526
0.109375   748.535765   1770.132043   2846.872635   3897.586226
0.115625   532.418194   1794.334732   2845.458209   3812.752195
0.121875   682.190230   1821.280831   2906.468617   3654.982299
0.128125   753.373358   1829.267574   2754.012308   3595.310693
0.134375   800.321877   1833.152400   2508.863905   3757.024357
0.140625   998.679219   1860.889727   3293.841095   4607.903802
0.146875   1281.768710   2076.011781   3369.865428   4385.875025
0.153125   1000.840421   1836.231632   3014.921389   4061.869819
0.159375   659.756761   1796.849567   2847.205415   4149.997969
0.165625   654.920559   1648.667292   2915.971434   3993.467008
0.171875   617.671002   1772.986506   2966.102360   3910.281894
0.178125   608.025017   1847.318958   3009.803754   4275.794385
0.184375   470.458011   1769.410045   2781.260325   4326.515959
0.190625   1688.045074   2491.368473   3915.924879   4823.153710
0.196875   581.888646   1759.381850   2773.588288   3806.066908
0.203125   720.916400   1725.847009   2841.299708   3684.983132
0.209375   634.528833   1695.920685   2902.841667   3875.065996
0.215625   343.042365   1951.725988   3055.446008   4338.780710
0.221875   546.771537   1843.744970   2979.872628   3932.175413
0.228125   827.385936   1854.446267   2920.038112   3915.988925
0.234375   550.275751   1654.757547   2660.306876   3821.167025
0.240625   550.364812   1669.446801   2732.918463   4033.042654
0.246875   504.857907   1679.446136   2444.453777   3767.462773
0.253125   381.416200   1470.358891   2480.591016   3695.060445
0.259375   1459.526077   2705.928356   --undefined--   --undefined--
0.265625   1127.941202   1842.266206   3449.654188   4527.547251
0.271875   891.929963   1956.605527   3471.596134   4510.810294
0.278125   1246.471266   2034.269450   3362.931941   4491.935191
0.284375   1209.766696   2253.219000   3020.085054   4484.899791
0.290625   1150.919054   2370.880921   3422.587816   4436.929133
0.296875   1264.036606   2311.875350   3242.761355   4350.553984
0.303125   1240.379241   1988.461135   3230.775294   4447.934929
0.309375   565.980898   1722.938733   2798.363626   4327.240471
0.315625   797.664099   1904.131264   2925.264955   4164.316320
0.321875   599.621586   1859.506487   2840.851283   4184.589308
0.328125   476.181022   1745.927991   2851.283194   4154.677695
0.334375   469.449449   1688.346128   2874.648227   4026.399375
0.340625   536.856464   1815.917068   3045.936252   4011.699206
0.346875   571.704900   1823.080230   2758.551454   3676.339833
0.353125   1255.868169   2476.716719   --undefined--   --undefined--
0.359375   1030.482889   2197.128410   3344.470170   4192.998661
0.365625   434.551154   2062.684386   3340.335269   3490.571172
0.371875   434.435669   2096.648161   3105.774959   4412.927055
0.378125   409.427677   1798.503344   3054.673401   4339.991852
0.384375   392.220403   1793.170233   2814.977565   4317.036107
0.390625   558.034112   1672.572292   2709.987548   3814.977694
0.396875   604.994962   1594.910345   2670.898763   3809.964529
0.403125   565.933404   1710.063779   2719.089183   3888.077847
0.409375   541.912283   2239.414228   3146.660886   4508.776626
0.415625   1084.245990   2411.689222   3347.740858   4458.200552
0.421875   1252.470774   2534.232966   3224.748615   4297.799073
0.428125   1550.608257   1949.696723   2806.044227   4253.407872
0.434375   591.744759   1625.261809   2763.613113   4168.505081
0.440625   559.351988   2024.995314   2796.625765   4367.724392
0.446875   465.750769   2060.249305   3020.756989   4257.013049
0.453125   1093.385622   2126.030928   3389.278670   4217.565396
0.459375   463.944254   1739.309116   2715.271034   3878.695123
0.465625   298.388018   1533.346938   2725.156277   3825.783481
0.471875   202.197326   1501.908730   2700.087621   3725.255329
0.478125   433.888006   1587.169779   2734.658688   3707.615514
0.484375   471.623975   1727.765273   2923.407182   3786.235465
0.490625   581.020131   1756.354355   2893.000526   3840.250838
0.496875   1307.317373   2591.132993   3151.375996   4196.451760
0.503125   1357.432003   2207.869161   2710.131937   4190.523310
0.509375   1460.727782   2716.945875   --undefined--   --undefined--
0.515625   1396.018117   2822.703446   --undefined--   --undefined--
0.521875   1143.212290   2581.677666   3780.686394   4584.029601
0.528125   1192.182397   2418.310854   3173.816984   4580.107004
0.534375   1217.998084   2360.800179   2802.888195   4475.098648
0.540625   910.807796   1265.420965   2706.442503   4276.876849
0.546875   1087.253379   2732.014105   --undefined--   --undefined--
0.553125   565.742391   1015.866733   2613.328690   3754.977442
0.559375   721.635365   1549.151230   2500.937584   3799.839488
0.565625   689.702960   1991.259928   2617.758534   3856.263941
0.571875   735.306213   1808.372049   2953.768966   3741.582617
0.578125   609.547475   1728.187393   2846.693562   3784.382996
0.584375   606.087711   1830.686923   2852.532128   3801.044058
0.590625   934.985040   2313.688749   3445.134503   4197.551884
0.596875   1107.315752   2406.970604   3445.605537   4224.942380
0.603125   1412.685923   2883.141718   --undefined--   --undefined--
0.609375   1511.658474   2899.389324   3965.417621   4973.097611
0.615625   1457.643528   2434.759941   3358.229149   4943.575720
0.621875   781.184198   1983.462880   3109.287979   4247.949612
0.628125   820.099971   1947.474625   3022.368124   4190.010704
0.634375   481.927922   1635.864331   2728.707801   3837.674681
