Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   662.880417   1625.153307   2571.219534   3830.038597
0.031250   553.546558   1694.048111   2608.586134   3721.321083
0.037500   1686.790051   2607.122382   --undefined--   --undefined--
0.043750   613.169328   1706.014408   2688.200279   3560.241362
0.050000   903.514307   2062.522267   2954.189950   3166.368024
0.056250   910.184427   1958.096160   3185.286980   4441.500444
0.062500   1134.768526   1970.519878   3260.159979   4392.877527
0.068750   1222.993419   2086.141447   --undefined--   --undefined--
0.075000   1378.245352   2128.381922   --undefined--   --undefined--
0.081250   1267.772619   2264.452912   3382.697426   4287.368227
0.087500   1206.471800   2341.809033   3358.159247   4220.709695
0.093750   817.163340   2011.887614   2669.864507   4041.617250
0.100000   796.033854   2147.444082   2495.373097   3680.266786
0.106250   1443.584586   2370.674122   3487.657146   4569.040443
0.112500   1379.866152   2296.500508   3470.873352   4455.072995
0.118750   1274.934663   2313.485481   3518.686221   4224.209032
0.125000   1284.953861   2247.576409   3435.452399   4155.794077
0.131250   1662.981108   3098.073442   --undefined--   --undefined--
0.137500   881.031195   2081.246844   3091.491294   3584.569749
0.143750   1154.229805   2300.178254   3336.287914   4351.906240
0.150000   1250.996485   2206.008337   3344.399950   4378.808570
0.156250   774.300176   2012.412954   2965.639235   3826.778829
0.162500   1508.243324   2850.730790   3201.222143   3998.233623
0.168750   1665.851375   2738.760601   3140.428801   4053.555990
0.175000   1565.929739   2049.237616   3171.431828   4410.411323
0.181250   1388.349496   2393.989781   3301.690059   4446.087169
0.187500   1541.259114   2522.489426   --undefined--   --undefined--
0.193750   669.681950   1718.173364   2743.406228   3782.931850
0.200000   771.887271   1709.644287   2761.069013   3828.963438
0.206250   420.337164   1807.041458   2712.355213   3856.787802
0.212500   765.678512   1806.762951   3086.995323   3468.476770
0.218750   1656.719595   2399.008695   --undefined--   --undefined--
0.225000   1679.283575   2509.469362   --undefined--   --undefined--
0.231250   1495.361977   2542.094269   --undefined--   --undefined--
0.237500   704.881402   1812.108155   2742.953500   3670.052517
0.243750   709.614413   1796.631445   2848.840511   3743.452746
0.250000   814.886194   1792.578591   2834.365853   3690.147355
0.256250   688.534801   1871.513373   2654.695705   3583.529951
0.262500   869.366051   1925.033381   2635.790670   3468.406714
0.268750   1371.829711   2657.987272   --undefined--   --undefined--
0.275000   1297.669808   2360.931326   3213.817207   4874.978807
0.281250   791.843716   2189.153186   2810.861255   4097.460734
0.287500   814.804371   1901.284569   2792.857306   3867.323865
0.293750   792.339928   1903.820395   2843.782786   3845.418778
0.300000   926.905722   1743.304342   2915.555270   3811.659934
0.306250   356.070159   1682.264966   2746.632044   3847.492268
0.312500   645.593037   1652.801400   2685.125996   3747.448932
0.318750   661.704364   1562.349269   2725.770464   3684.595018
0.325000   1477.555297   2342.635114   3156.509788   4177.237109
0.331250   1482.429069   2296.293118   3399.520638   4460.353585
0.337500   408.488164   1915.369612   2668.230713   3622.579941
0.343750   781.086625   1890.920438   2704.374564   3702.415219
0.350000   605.843306   1626.679374   2781.743859   3672.821612
0.356250   805.459844   1657.898775   2788.561903   3686.544149
0.362500   1469.828867   2270.261859   3361.387275   4400.725327
0.368750   1486.093420   2404.825297   --undefined--   --undefined--
0.375000   1562.606955   2510.667550   --undefined--   --undefined--
0.381250   757.787847   1577.580843   2829.309955   3511.407517
0.387500   962.384964   1620.465621   2876.377967   3788.936371
0.393750   789.829587   1671.212659   2777.416480   3672.904012
0.400000   722.691822   1658.269945   2688.055058   3696.131112
0.406250   199.666247   1723.207645   2625.385136   3621.220584
0.412500   271.289936   1723.130831   2413.547854   3489.199029
0.418750   258.792908   1747.938250   2766.800237   3617.567248
0.425000   679.278309   1837.558136   2895.709607   3745.430947
0.431250   877.638860   1743.522222   2962.818576   3777.653094
0.437500   794.305104   1682.877747   2809.053708   3786.188910
0.443750   120.805166   1705.142770   2584.892455   3728.249813
0.450000   1526.503320   2610.519877   --undefined--   --undefined--
0.456250   1615.400819   2454.986626   --undefined--   --undefined--
0.462500   1586.808097   2604.344354   --undefined--   --undefined--
0.468750   905.794331   1769.924871   2621.470604   3596.519882
0.475000   781.879757   1770.656762   2880.848937   3625.135517
0.481250   734.163255   1825.613875   2774.364797   3656.690855
0.487500   876.867932   1793.012282   2478.156698   3691.596923
0.493750   421.311884   1416.457145   2609.876111   3695.883382
0.500000   1136.669347   1144.577363   2634.308925   3646.318298
0.506250   926.418450   1859.459642   2828.506849   3755.302505
0.512500   772.031778   1836.703805   2791.202158   3678.279507
0.518750   582.499638   1728.178393   2736.519534   3585.868636
0.525000   1074.765736   2529.090576   2976.958543   3384.248476
0.531250   1169.973008   2702.863471   3448.467779   4085.356061
0.537500   1329.165269   2686.692972   3580.338813   4238.181532
0.543750   1531.958384   2733.572342   3709.058278   4377.915935
0.550000   179.420490   1731.036503   2806.867862   3672.932957
