Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1365.367419   2410.962203   --undefined--   --undefined--
0.031250   1096.982914   2123.937608   2878.750625   3922.803032
0.037500   1033.820028   2052.808165   2935.060147   3997.459501
0.043750   1257.611283   2183.531703   3060.706636   4018.237950
0.050000   1554.900051   2163.243713   3221.838893   4030.565802
0.056250   1500.116022   2197.810588   3263.388141   4100.967933
0.062500   1522.010600   2564.918144   3143.250378   3942.640688
0.068750   1623.578561   2620.072764   3181.266147   3954.062269
0.075000   1552.906744   2325.650004   3145.917389   4111.856588
0.081250   1507.095052   2297.909189   3227.182914   4119.517695
0.087500   1707.914078   2357.636995   3050.973152   4130.217012
0.093750   1589.082211   2487.328101   2955.979216   3989.786766
0.100000   1427.346905   2450.005824   3072.292875   4076.107471
0.106250   1460.084277   2292.565388   3117.007120   4128.997426
0.112500   1363.051176   2276.609877   3191.707801   4074.760056
0.118750   1514.375627   2411.512607   3169.167153   4157.723985
0.125000   1521.414075   2513.892579   3142.110270   4163.663058
0.131250   1389.840140   2485.213217   3173.990410   4282.505385
0.137500   1425.404583   2389.546538   3232.727175   4222.336212
0.143750   1522.157746   2350.328245   3277.232278   4210.365823
0.150000   1653.315972   2434.411877   3287.542938   4285.478934
0.156250   1711.709610   2780.409187   3280.776015   3733.828284
0.162500   1565.369292   2242.236799   3120.704058   3968.561745
0.168750   1348.054378   2240.057805   3228.175212   4049.783269
0.175000   1363.848222   2256.084052   3356.548901   4031.964944
0.181250   1427.526145   2368.259226   3373.021471   4061.516301
0.187500   1426.878425   2359.846852   3377.413917   3975.472034
0.193750   1382.891378   2268.051229   3340.426309   4079.804302
0.200000   1396.003010   2422.181732   3288.837976   4046.564411
0.206250   1539.061486   2394.607989   3237.894803   4094.046312
0.212500   1561.274957   2420.596459   3263.744063   4148.072363
0.218750   1472.976852   2389.227902   3183.485528   4154.357607
0.225000   1373.332824   2371.963966   3138.968619   4127.526913
0.231250   1354.376439   2347.134846   3138.292130   4078.608620
0.237500   1452.483891   2693.992314   2885.878380   4021.941409
0.243750   1483.243966   2476.299076   2907.275651   4030.933012
0.250000   1460.620103   2151.845120   3043.399430   4154.662983
0.256250   1510.488499   2712.503505   2907.798224   4080.428367
0.262500   1501.903971   2435.044870   3255.428869   4154.250760
0.268750   1374.598528   2374.867910   3248.632936   4117.038868
0.275000   1517.384409   2326.211195   3077.973446   4058.671893
0.281250   1682.112047   2160.994963   3087.999322   4071.864987
0.287500   1486.486252   2364.699663   3110.654315   3981.920080
0.293750   1556.359194   2385.226648   3137.887632   3949.581805
0.300000   1455.598723   2438.424071   3142.664339   4121.008255
0.306250   1425.489712   2381.495891   3157.010892   4183.130111
0.312500   1533.333134   2390.493839   3311.659096   4125.199525
0.318750   1378.997202   2264.028261   3313.874883   4041.273330
0.325000   1226.845327   2353.789206   3246.903863   4155.227435
0.331250   1383.253959   2410.245692   3384.327661   4017.011129
0.337500   1426.470202   2414.793319   3514.066162   3939.295334
0.343750   1483.194701   2279.723922   3292.513770   3976.363250
0.350000   1625.112643   2300.405370   3213.608977   3998.472617
0.356250   1554.461803   2360.676552   3120.394927   4093.503594
0.362500   1393.365099   2482.740842   3197.661723   4075.854879
0.368750   1434.898561   2355.982707   3277.772545   4042.393414
0.375000   1455.490435   2292.860991   3318.858461   4115.660771
0.381250   1437.677312   2314.029227   3279.399014   4077.703860
0.387500   1411.753970   2374.385598   3262.463764   4045.641760
0.393750   1423.083687   2316.440562   3217.503429   4019.799725
0.400000   1551.364343   2352.676138   3326.489055   4035.867705
0.406250   1515.252901   2399.676355   3565.940882   3931.811965
0.412500   1374.565120   2412.789240   3483.887917   4028.279497
0.418750   1447.419861   2341.518950   3234.294129   4091.830166
0.425000   1434.238750   2311.466318   3361.036912   4040.556860
0.431250   1418.432267   2389.836206   3293.822069   4058.082937
0.437500   1418.161435   2379.026900   3246.709753   4178.013578
0.443750   1387.264015   2341.414897   3235.080619   4205.569988
0.450000   1441.057634   2232.192870   3138.487850   4128.497173
0.456250   1546.760707   2231.951636   3130.667642   4118.922484
0.462500   1513.959856   2219.278842   3282.212308   4062.631708
0.468750   1585.989831   2141.654098   3129.364088   3976.461334
0.475000   1786.124583   2736.879028   2796.284946   3979.228276
0.481250   1504.800275   2373.352260   3229.518160   4024.619062
0.487500   1391.017797   2358.745703   3336.246008   4084.126299
0.493750   1581.534701   2328.357853   3263.697422   4060.990034
0.500000   1526.423492   2569.153751   3180.569866   4121.696969
0.506250   1487.670906   2362.164640   3519.195851   4041.785569
0.512500   1653.756989   2168.333772   3320.968431   3986.492244
0.518750   1491.709508   2223.459581   3334.306817   4127.320838
0.525000   1801.414717   2492.572630   3463.726737   4577.354521
0.531250   244.166264   1772.544005   2480.023467   3493.143470
0.537500   305.044703   1747.692753   2487.958577   3496.600753
0.543750   427.243432   1742.710957   2560.572779   3485.179062
0.550000   465.248957   1787.434055   2546.594691   3483.502081
0.556250   532.935309   1929.726142   2440.187749   3504.773303
