Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   962.857157   1766.025339   2996.084966   3965.731804
0.031250   866.236851   1698.281262   2857.666620   3890.025712
0.037500   978.152622   1792.521841   2957.332355   3922.466694
0.043750   999.455504   1781.337757   2932.086450   3880.209683
0.050000   1052.088902   1998.213482   2869.264158   3875.624443
0.056250   1139.709696   1926.528311   2837.705809   3832.814228
0.062500   1199.928902   1903.710939   2887.703051   3866.191226
0.068750   1161.459776   1893.719485   2886.750089   3969.361378
0.075000   1060.943132   1871.947773   2930.705421   3975.976344
0.081250   1088.119231   1853.428735   3035.457510   4021.339330
0.087500   1127.084170   1899.820534   2939.659632   4062.600129
0.093750   1226.683395   1978.745911   2883.903043   3960.266627
0.100000   1123.555807   1922.891741   2923.444445   3746.302584
0.106250   1076.383319   1951.021868   2956.269727   3775.359424
0.112500   1120.127231   1944.583254   2885.308786   3740.265709
0.118750   1161.414372   2032.516158   2709.834314   3553.262906
0.125000   1230.008234   1924.842602   2506.147875   3618.057509
0.131250   1115.168423   2119.253439   3075.347072   4024.148284
0.137500   1060.085499   1929.074648   3141.140506   4098.469678
0.143750   1159.737003   2076.107150   3249.408930   4120.864565
0.150000   1142.210271   2142.576431   3224.575117   4117.262754
0.156250   988.919376   1972.798215   3065.201368   4082.044826
0.162500   1055.689110   1901.810579   2765.181236   3729.402762
0.168750   1119.894935   2130.395318   3019.447819   3954.105592
0.175000   1206.467036   2095.566677   3066.711115   4014.804343
0.181250   1360.587457   2141.203368   3206.269811   3989.947993
0.187500   1441.754486   2414.870174   3137.890226   3993.093539
0.193750   1200.749301   2271.698847   2858.537827   4092.244317
0.200000   852.593518   1878.298794   2969.274132   3808.083204
0.206250   985.201903   1933.587460   3060.448972   4018.147001
0.212500   1093.101652   1852.428075   3074.470772   3634.562138
0.218750   1697.563636   2192.184549   3482.578189   3523.602910
0.225000   910.589193   1970.995816   3070.550687   3892.351208
0.231250   1045.176461   1915.966296   3046.627290   3685.253120
0.237500   1174.270161   2283.334408   3291.953988   4441.419374
0.243750   1144.811933   2213.397945   3244.636984   4099.156702
0.250000   1068.618858   2098.629878   3070.888054   4012.426553
0.256250   1200.712714   1969.841122   3018.005183   4045.076121
0.262500   1323.052362   2168.240817   3200.287044   3974.207431
0.268750   1150.692824   2222.844882   2946.038121   3788.174289
0.275000   1046.361002   2260.838539   2962.866231   4015.069428
0.281250   1081.996008   2334.934642   3179.171744   4183.160161
0.287500   1045.326237   2103.689568   3239.651035   3419.693624
0.293750   1121.070711   2020.392135   2896.132332   3699.884291
0.300000   1004.161847   2030.866332   3015.180222   3837.392579
0.306250   944.185955   2173.900780   3166.774971   4050.291868
0.312500   1064.870921   2158.283484   3203.025691   3921.653969
0.318750   1117.668914   2065.633986   2876.780372   3693.595764
0.325000   1161.257986   2082.871245   2934.006868   4042.584023
0.331250   1104.943546   2144.592922   2924.675163   4060.314216
0.337500   1146.461464   1876.899067   2743.300678   3881.002461
0.343750   1082.283619   1953.453801   2757.918169   3814.949469
0.350000   1008.756993   1988.356468   2784.178141   3708.417389
0.356250   1130.070140   1864.989521   2643.686871   3540.230542
0.362500   1182.686257   2265.882798   2833.613540   3684.608200
0.368750   1160.259784   1926.119318   2720.635525   3760.486164
0.375000   1193.964390   1972.988990   2752.398071   3811.640524
0.381250   1024.325480   1924.642470   2926.507559   3750.818035
0.387500   856.798574   2025.218470   2747.570889   3673.102552
0.393750   1285.351932   2750.300918   3212.911773   4173.147859
0.400000   1156.214127   2132.423783   3031.898987   3988.333912
0.406250   921.548362   2024.928603   2954.336803   3781.553668
0.412500   975.096833   2050.424114   2847.750520   3694.644669
0.418750   936.682104   2001.804488   2912.580398   3822.833097
0.425000   980.031545   1961.101705   2830.542594   3747.450413
0.431250   1178.143370   2020.069732   2854.404872   3447.418054
0.437500   1079.514059   2046.913520   3017.367272   3913.806520
0.443750   1017.088950   1956.910533   2876.736579   3865.629305
0.450000   1083.345260   1907.282712   2819.985795   3862.759886
0.456250   1351.581223   1746.629239   2774.787605   3951.053678
0.462500   1298.705758   1873.027630   2855.817379   3876.228979
0.468750   1195.055492   1935.832516   2934.867282   3839.918342
0.475000   1203.345727   1975.672438   2770.145316   3777.645166
0.481250   1390.518174   2394.492301   2778.048556   3857.294843
0.487500   1120.000574   2129.999460   2911.658807   3979.950873
0.493750   1104.618894   2064.133225   2898.142647   4029.107096
0.500000   1066.101232   2178.037502   3273.257188   4007.660126
0.506250   1140.515429   2134.012536   3218.581050   4046.832194
0.512500   1397.784055   2272.156206   3152.677446   3966.649260
0.518750   1319.038476   1380.411635   2717.615652   3729.044563
0.525000   749.718493   1726.708833   2805.144734   3701.679609
0.531250   767.783289   1720.997791   2002.700534   3453.130451
0.537500   760.384187   1542.010907   2372.365012   3466.834714
0.543750   755.235642   1466.901713   2578.978790   3601.049438
0.550000   936.479751   1557.125496   2698.018784   3968.989254
0.556250   823.823745   1565.069882   2549.793552   3744.543363
0.562500   1003.438310   2430.213742   2671.718502   3944.859486
0.568750   1101.808569   2224.313687   2763.247404   4060.005843
0.575000   819.749446   2164.531025   3047.262944   4513.962368
0.581250   826.487446   1788.719962   2366.378049   3306.435803
0.587500   767.789681   1632.335480   2489.629636   3486.677053
0.593750   706.829804   1671.860566   2647.060429   3516.236728
0.600000   694.526018   1753.551509   2631.966506   3521.734577
0.606250   774.327555   2031.011311   2493.659276   3477.151027
0.612500   902.203367   1959.135076   3182.963254   3944.415318
0.618750   737.315997   1764.750183   2886.873172   3581.067249
0.625000   758.540927   1726.804659   2873.358130   3696.665528
