Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   885.780792   2084.127477   2693.640648   3720.794825
0.031250   926.348706   2249.891628   3093.894972   3987.109899
0.037500   1011.460815   2229.339964   3112.589949   4013.116181
0.043750   899.544828   1835.241618   3048.943601   3787.412830
0.050000   1007.509434   1729.069809   3262.006040   3281.021074
0.056250   1396.276316   2295.797022   3302.865294   4322.213936
0.062500   1177.458645   1875.825063   2669.226668   3611.856534
0.068750   1136.772926   1773.981293   2902.211281   3795.036503
0.075000   1091.548700   1851.807346   3167.992293   4197.054555
0.081250   1431.082402   2042.023729   2299.750975   3511.459296
0.087500   1459.299905   2153.832842   3092.627928   4049.589288
0.093750   1343.047269   2143.605805   3207.494305   3934.997614
0.100000   1204.450141   1982.321315   2878.251483   3809.785178
0.106250   986.365828   2048.388542   2866.042486   3934.658761
0.112500   926.217848   1952.507536   2680.184919   3860.147847
0.118750   1034.203253   2037.871370   2711.076245   3757.676502
0.125000   1130.569424   2145.608849   2969.368862   4001.791704
0.131250   1161.294776   1819.340579   2896.869399   3961.797779
0.137500   1004.200821   1869.088759   2823.426592   3922.824029
0.143750   1073.153149   2067.143586   2903.534786   3876.322569
0.150000   940.462272   1917.232036   2833.464406   3905.880252
0.156250   898.759878   1942.014895   2924.361121   3908.510185
0.162500   931.956431   1854.043383   2999.719795   3850.803146
0.168750   954.020328   1886.258151   2873.744948   3691.888516
0.175000   1056.863662   2159.709894   2864.436830   3999.920695
0.181250   1087.535375   2289.177358   2954.166487   4101.048341
0.187500   977.423081   1822.826458   2973.087444   3862.480665
0.193750   932.102967   1823.168518   2976.742362   3828.492473
0.200000   970.567848   1980.707902   2991.236525   4010.013969
0.206250   1154.437967   2228.358552   3045.558212   3945.546665
0.212500   1233.546579   2125.562878   2873.214941   3838.019960
0.218750   1197.197552   1910.408598   2772.814199   3923.268949
0.225000   1090.918184   2048.346269   3039.170446   4011.703515
0.231250   1207.105763   2156.137342   3160.454897   3987.674311
0.237500   1131.703081   2327.216753   2916.332048   3874.458939
0.243750   1352.426134   1906.553617   2898.670966   4142.540527
