Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   745.640380   1713.646545   2713.906479   3789.537818
0.031250   685.986890   1616.721676   2502.375472   3523.950290
0.037500   759.956372   1624.469768   2863.721164   3958.762808
0.043750   821.684102   1859.766774   2909.124965   3956.337245
0.050000   940.107206   2066.325318   3094.891560   3973.591834
0.056250   1060.612863   1945.799320   3172.031659   3951.143340
0.062500   1174.059921   1883.138515   3155.757057   4031.983983
0.068750   1184.166167   2006.304329   3335.066339   4674.747651
0.075000   1271.731055   1980.242940   3266.420308   4673.215701
0.081250   1074.575432   1811.345970   3029.157359   3833.973651
0.087500   702.464091   1691.043453   2979.473660   3127.811042
0.093750   622.296221   1733.234559   2673.520765   3087.957033
0.100000   766.888020   1851.372891   2212.479733   3067.529931
0.106250   906.062978   1841.042710   2805.968704   3152.710018
0.112500   920.832731   1780.310253   2726.279330   3190.396143
0.118750   757.002211   1698.063514   2487.463800   3224.592740
0.125000   706.599334   1735.627249   2303.777986   3223.592020
0.131250   818.482507   1579.273946   2312.188329   3236.666919
0.137500   772.758313   1612.721413   2506.570024   3317.797907
0.143750   723.739574   1662.378846   2685.435321   3383.357280
0.150000   769.822698   1685.793846   2698.026683   3333.560232
0.156250   819.583562   1744.190121   2507.036101   3308.424130
0.162500   699.484697   1589.352799   2393.094335   3366.416452
0.168750   614.459673   1540.152160   2460.616334   3426.245597
0.175000   641.350861   1657.705333   2412.997306   3445.204160
0.181250   671.029277   1622.782066   2474.032320   3313.169151
0.187500   582.106073   1652.370725   2583.493803   3336.825858
0.193750   507.773014   1599.252660   2469.933720   3438.045995
0.200000   541.938949   1534.837134   2435.147941   3437.630255
0.206250   559.798452   1556.899616   2686.347099   3425.414212
0.212500   631.289436   1593.917044   2416.225055   3417.495637
0.218750   534.419327   1575.751919   2519.508106   3491.231488
0.225000   540.683127   1540.187909   2369.442212   3534.387045
0.231250   512.831417   1625.533067   2403.721472   3563.860254
