Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   412.523325   1580.320833   2369.523249   3496.552420
0.031250   1215.158164   2348.667372   --undefined--   --undefined--
0.037500   1135.562274   2266.231696   3169.685959   4209.329183
0.043750   1254.894190   2298.719807   3144.055854   4199.110418
0.050000   1484.698875   2242.736345   3175.740727   4238.101276
0.056250   1511.245973   2245.380610   3178.014305   4215.266305
0.062500   1382.125422   2371.704308   3374.759600   4137.550547
0.068750   1380.234239   2320.870428   3391.936864   4165.818119
0.075000   1317.569245   2377.639609   3297.834085   4150.111023
0.081250   1299.727297   2378.677798   3255.700346   4166.949133
0.087500   1445.593896   2338.517311   3298.098659   4047.600549
0.093750   1566.418885   2491.101602   3333.015483   4015.138144
0.100000   1518.506718   2501.437221   3470.978403   3999.430587
0.106250   1447.840676   2393.477363   3271.536342   4060.074093
0.112500   1398.473187   2364.481787   3461.099882   4025.078687
0.118750   1447.497872   2380.242269   3378.078326   4054.091736
0.125000   1387.942678   2426.005203   3318.376126   3982.179446
0.131250   1411.815909   2271.766402   3273.303726   4107.808111
0.137500   1428.852140   2151.754047   3268.796068   4185.174016
0.143750   1578.882887   2152.664985   3239.216982   4130.083677
0.150000   1509.960181   2202.626038   3169.678199   4120.447584
0.156250   1448.231393   2268.102639   3201.438279   4125.554834
0.162500   1276.789838   2358.835024   3411.003757   4155.014841
0.168750   1347.005369   2474.777335   3418.989677   4180.296071
0.175000   1377.206230   2458.242190   3156.821094   3996.426983
0.181250   1314.818916   2350.689352   3191.634703   4058.742319
0.187500   1256.772871   2309.932986   3192.115847   4143.097982
0.193750   1376.413606   2395.090784   3177.743094   4184.053745
0.200000   1455.526811   2431.072961   3064.810136   4199.815240
0.206250   1634.678917   2628.494829   2938.506180   4192.448283
0.212500   1582.189489   2514.318399   3400.278430   4087.877714
0.218750   1422.614624   2457.376202   3399.945610   3962.954192
0.225000   1347.821769   2280.132295   3186.856976   4110.585414
0.231250   1413.825869   2259.225928   3191.508907   4009.353424
0.237500   1532.084737   2645.857272   3357.747671   3820.304214
0.243750   1535.337098   2732.589889   3384.877657   3677.708146
0.250000   1480.851604   2490.109492   3499.087183   4135.417950
0.256250   1383.748865   2454.601822   3297.215448   4208.392703
0.262500   1372.201738   2451.219956   3367.222029   4138.609511
0.268750   1380.915911   2507.181814   3502.955011   4001.452936
0.275000   1600.803925   2249.006629   3339.620898   4061.222845
0.281250   1652.496750   2230.974840   3274.544108   3908.176926
0.287500   1439.726516   2470.692159   3148.892983   4012.841636
0.293750   1452.327124   2411.337610   3148.236575   4138.098309
0.300000   1477.631995   2375.082344   3168.759963   4171.387410
0.306250   1484.257951   2257.596377   3229.768315   4129.137533
0.312500   1325.206417   2370.913988   3148.527685   4092.867711
0.318750   1293.996667   2380.209909   3109.756401   4135.685551
0.325000   1314.853620   2428.393161   3087.972008   4144.902017
0.331250   1450.105277   2553.560676   2909.845863   4114.993426
0.337500   1469.705930   2319.452883   3129.253367   4004.464761
0.343750   1379.657845   2323.363834   3272.399988   4014.223589
0.350000   1464.521969   2741.700485   2980.904466   3884.059076
0.356250   1387.430665   2441.908745   3289.290714   3986.249796
0.362500   1355.753275   2333.960614   3268.954869   4036.641099
0.368750   1310.016055   2378.853924   3325.480835   4005.365230
0.375000   1306.232247   2269.775843   3268.833580   4013.667406
0.381250   1304.898982   2259.213726   3146.881422   3975.931394
0.387500   1380.222499   2251.949579   3326.784611   4100.295644
0.393750   1488.225557   2320.989478   3340.815621   4101.144854
0.400000   1459.032237   2335.029621   3218.715286   4179.859246
0.406250   1453.762235   2407.970515   3245.460988   4199.357292
0.412500   1440.770837   2440.541009   3362.574543   4005.740983
0.418750   1427.165242   2341.530367   3355.245477   4116.666044
0.425000   1407.655185   2252.122329   3449.447285   4180.303421
0.431250   1583.978867   2179.343219   3178.257199   4049.151029
