Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1206.940961   2337.945855   3239.419668   4357.890902
0.031250   1087.095244   2182.866288   3171.513430   3980.282013
0.037500   1054.503061   2170.316775   3203.499421   4013.199183
0.043750   544.990107   1894.273122   2248.866404   3860.710727
0.050000   1218.216649   2331.427937   3302.643538   4036.784636
0.056250   1248.025344   2456.616740   3013.659785   3982.152048
0.062500   1397.771768   2506.283432   3471.220676   4051.570804
0.068750   425.302918   1299.079456   2422.470254   3498.388147
0.075000   1198.376490   2385.746667   3359.380238   4352.544462
0.081250   1267.323155   2299.611229   3212.061879   4229.785331
0.087500   1370.231432   2375.099549   3342.724951   4344.163855
0.093750   1207.310259   2281.892735   2872.102815   3886.611723
0.100000   1281.815907   2250.204859   3168.206482   4172.183567
0.106250   603.767499   1515.981630   2065.584020   3019.801946
0.112500   611.639232   1966.286827   1982.758020   3073.152751
0.118750   323.048352   1891.125095   2157.328473   3131.332792
0.125000   1138.977252   1869.790910   2712.435891   3880.441799
0.131250   576.344577   1813.716070   2325.106582   3251.833416
0.137500   512.285794   1583.128119   2317.406509   3341.831549
0.143750   500.681660   1595.644815   2447.470849   3479.724092
0.150000   198.613558   1545.990044   2430.020611   3283.883418
0.156250   1375.460890   2327.321955   3364.366562   3897.036213
0.162500   1416.016341   2322.219904   2340.739462   3547.148784
0.168750   547.601303   1608.763695   2527.308019   3509.428635
0.175000   560.069935   1730.681755   3047.547966   3886.241523
0.181250   326.170310   1826.183911   2881.061986   3790.131479
0.187500   321.749774   1783.768537   2668.657084   3625.089151
0.193750   407.581566   1591.718543   2602.294857   3456.292363
0.200000   406.402351   1588.120097   2588.416666   3331.044436
0.206250   90.354746   1660.585084   2626.700768   3638.139646
0.212500   411.578714   1651.840214   2659.133793   3617.868063
0.218750   627.913340   1660.461618   2767.628068   3547.700878
0.225000   640.752601   1695.715035   2803.511012   3666.899782
0.231250   1205.109606   1703.860255   2710.189739   3718.781508
0.237500   1526.328467   2209.758495   2664.447266   3730.923117
0.243750   213.310324   1485.757014   2540.397015   3400.142000
0.250000   558.238786   1525.629435   2700.300480   3558.476548
0.256250   335.509061   1593.107278   2817.534022   2845.928864
0.262500   770.323350   1693.368282   2817.494510   3836.604956
0.268750   783.697800   1677.654551   2787.104737   3764.391845
0.275000   760.940632   1578.837369   2707.548322   3742.308612
0.281250   583.329857   1578.461016   2799.242152   3840.509482
0.287500   563.007280   1623.746852   2787.394324   3871.772530
0.293750   664.108559   1598.079620   2656.167873   3748.076622
0.300000   567.771882   1544.732740   2687.170189   3682.791199
0.306250   590.045332   1632.908448   2581.979159   3519.671925
0.312500   691.573811   1691.147820   2630.374381   3656.051971
0.318750   598.171252   1598.596944   2787.312258   3574.518606
0.325000   1315.516900   1536.909969   2631.304601   3476.177854
0.331250   545.592117   1599.303088   2593.271058   3616.813441
0.337500   500.208234   1615.815356   2668.607138   3687.668540
0.343750   640.671830   1547.187482   2763.187388   3640.786046
0.350000   439.900246   1503.967216   2531.376928   3416.526859
0.356250   496.408705   1471.797531   2426.601373   3473.568119
0.362500   317.974614   1526.487877   2731.992275   3439.536938
0.368750   941.502610   1556.002350   2910.078638   3613.581683
0.375000   759.361263   1553.006657   2734.617297   3700.519770
0.381250   392.662010   1605.600630   2610.326468   3704.213449
0.387500   560.169983   1597.155233   2485.243541   3535.310933
0.393750   562.904214   1578.942060   2484.315729   3396.983538
0.400000   1199.937474   2409.060517   3087.163080   4255.254061
0.406250   351.507281   1385.629333   2495.688935   3373.653405
0.412500   366.500351   1531.636447   2468.189453   3278.976337
0.418750   306.402750   1497.015719   2409.976342   3089.733937
0.425000   369.613021   1472.268806   2581.547134   3422.330977
0.431250   209.356935   1437.506732   2498.516039   3194.372733
0.437500   303.158276   1370.103826   2317.868390   2999.720752
0.443750   1013.593925   1992.959678   3149.561337   4213.849781
0.450000   1124.996464   2268.270449   3267.497536   4314.889655
0.456250   417.676733   1351.288810   2402.749520   3462.013911
0.462500   525.420229   1373.080988   2461.197653   3521.268627
0.468750   539.497213   1348.299577   2375.215701   3415.762594
0.475000   1203.945555   2359.588978   3279.734621   4329.915675
0.481250   1361.905135   2254.542075   3282.276160   4292.975148
0.487500   606.057135   1508.025506   2416.351058   3438.621456
0.493750   402.509727   1403.261172   2460.186963   3411.780000
0.500000   453.175395   1408.705626   2462.956107   3287.858571
0.506250   491.313298   1451.038147   2512.196577   3272.684174
0.512500   535.232074   1567.244669   2680.065025   3497.885656
0.518750   495.101877   1630.787391   2766.478734   3467.615745
0.525000   445.298915   1710.312008   2834.698900   3378.873217
0.531250   413.265711   1623.799294   2672.099621   3334.090725
0.537500   1589.221761   2731.279473   3418.060038   4193.698208
0.543750   1556.249467   2516.359396   2886.205263   4050.585839
0.550000   77.380959   1712.000474   2853.938078   3515.224644
0.556250   272.505508   1721.727643   2563.932940   3216.387179
0.562500   291.389308   1705.435087   2463.046374   3180.008949
0.568750   297.392914   1885.734629   2448.697932   3197.413686
0.575000   302.579561   2037.526738   2396.648022   2934.057144
0.581250   303.485030   1844.486660   2399.593159   2853.825511
0.587500   304.794755   1843.594319   2362.157694   2783.865235
0.593750   303.348209   1763.366248   2335.057861   2754.458485
0.600000   302.536057   1677.250742   2349.632357   2749.668384
0.606250   302.213292   1746.106043   2356.807921   2767.900023
0.612500   303.608697   1790.254993   2353.535091   2779.626060
0.618750   305.613527   1786.599363   2342.307813   2784.269922
0.625000   304.446433   1765.827421   2355.249653   2779.687461
0.631250   305.566259   1650.340020   2371.313108   2780.769471
0.637500   305.246568   1543.631209   2373.453048   2813.625611
0.643750   307.393086   1453.780938   2350.989334   2825.089675
0.650000   310.119586   1462.972837   2328.776110   2821.241662
0.656250   313.186757   1477.540838   2313.001356   2788.433100
0.662500   314.925474   1471.906634   2236.021355   2794.421866
0.668750   316.002323   492.328351   2120.392649   2826.453107
0.675000   316.440835   2053.582300   2815.223851   4129.191561
0.681250   313.904525   2001.876099   2790.591050   4175.472185
0.687500   308.199929   1832.239328   2681.205534   3609.860425
0.693750   299.482033   1669.312501   2535.499977   3547.965370
0.700000   295.139862   1695.300954   2589.807571   3543.824397
0.706250   292.044594   1739.544154   2635.876326   3618.884404
0.712500   291.388222   1737.684336   2709.649891   3775.505187
0.718750   298.760600   1667.453254   2611.742971   3790.532414
0.725000   292.998857   1639.359141   2652.412943   3884.042749
0.731250   278.337575   1620.673690   2705.777855   3888.981553
0.737500   264.493283   1650.069828   2843.951316   3812.506696
0.743750   203.344437   1623.895455   2801.141946   3890.306311
0.750000   1570.559664   2549.189783   3841.754464   4496.518348
0.756250   295.521769   1527.249401   2482.433629   3804.130674
0.762500   537.249685   1535.861114   2626.564593   3403.570488
0.768750   237.140365   1596.167592   2404.899645   3387.390220
0.775000   1581.872276   2388.003983   3429.334095   4527.703390
0.781250   165.812373   1435.969561   2372.952347   3393.402983
0.787500   1351.675738   1965.869050   2752.960498   4345.029161
0.793750   489.191840   1455.600832   2499.823484   3367.331264
0.800000   412.720326   1456.159216   2448.389722   3543.181545
0.806250   495.337532   1373.012694   2382.208576   3532.241387
0.812500   515.092182   1260.332791   2381.211022   3547.652728
0.818750   540.312176   1372.893332   2477.169028   3441.211546
0.825000   792.346793   1305.350421   2469.174137   3211.773302
0.831250   1222.431417   1258.542965   2783.470182   4368.362567
0.837500   1099.237791   1292.975899   2689.859573   4391.009202
0.843750   955.530111   1356.988474   2667.698008   4197.965960
0.850000   884.218445   1309.032179   2613.374503   3733.959653
0.856250   690.640336   1215.686401   2572.310127   3557.532792
0.862500   748.819415   1195.259856   2562.435377   3690.734303
0.868750   499.119571   1192.156521   2645.843913   3730.324185
0.875000   142.995948   1135.605057   2550.177874   3697.396431
0.881250   345.315538   1088.836822   2639.029464   3632.300843
0.887500   385.086417   1001.896148   2712.051110   3607.497477
0.893750   427.395410   1012.797377   2691.573759   3607.548171
0.900000   405.383369   1022.319479   2719.698546   3623.281398
0.906250   454.770017   999.640895   2725.537298   3695.556967
0.912500   492.681129   988.792711   2726.572956   3692.444882
0.918750   523.643528   981.393537   2744.346528   3721.546652
0.925000   531.164150   945.313042   2760.902940   3702.969834
0.931250   498.741695   933.761064   2757.043707   3638.883881
0.937500   528.373366   947.307023   2803.891904   3705.291910
0.943750   541.010214   941.781911   2786.166970   3732.824612
0.950000   539.708165   949.850452   2790.383733   3740.144042
0.956250   516.785168   933.363671   2774.485633   3729.169832
0.962500   531.798532   942.375443   2785.334927   3717.527827
0.968750   556.783873   947.542126   2796.259018   3771.078188
0.975000   590.267228   968.667405   2771.520264   3733.875361
0.981250   599.805665   992.892926   2783.547918   3741.255013
0.987500   605.614397   1005.488074   2778.352817   3740.207533
0.993750   617.856258   1008.421765   2790.334455   3740.574767
1.000000   579.383586   731.001481   1001.247827   2816.568958
1.006250   613.775222   1006.472375   2809.821608   3733.452088
1.012500   619.458603   1006.967607   2809.560398   3736.293852
1.018750   604.282714   1004.267213   2823.408870   3737.564605
1.025000   567.974270   1002.921979   2825.267354   3766.340192
1.031250   534.810846   993.745466   2828.508488   3768.660913
1.037500   510.235417   985.917117   2855.398233   3781.716703
1.043750   515.391132   992.817282   2856.444186   3789.302514
