Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   680.752191   1844.877589   2211.611153   3359.862514
0.031250   1060.988806   2235.089932   --undefined--   --undefined--
0.037500   1070.252121   2218.616290   3242.685376   3851.508798
0.043750   1137.926875   2250.352904   3443.956265   4004.523437
0.050000   1307.464773   2433.020563   3455.867482   4097.345670
0.056250   1527.021946   2558.043624   3360.936594   4029.071095
0.062500   1413.856474   2196.308949   3141.923922   4256.048048
0.068750   1250.434441   2222.868152   3176.469778   4145.514326
0.075000   1297.511884   2286.680105   3266.637995   4140.454690
0.081250   1491.088169   2453.978235   3204.388574   4189.586214
0.087500   1692.384322   2520.562870   3689.711628   3791.240599
0.093750   1421.143328   2322.181179   3457.451318   4168.662527
0.100000   1306.544817   2328.621526   3352.547508   4105.746257
0.106250   1349.668283   2384.504022   3356.452817   4172.595144
0.112500   1406.643365   2467.987452   3312.072975   4236.029645
0.118750   1411.927912   2439.865587   3247.781893   4209.480472
0.125000   1349.230491   2448.822911   3228.503612   4155.905645
0.131250   1402.120007   2467.675151   3303.626323   4147.016264
0.137500   1404.290753   2559.476904   3362.108146   4102.690622
0.143750   1383.093171   2333.050287   3302.972653   4044.855250
0.150000   1254.578042   2334.131434   3217.250397   4139.370586
0.156250   1399.635091   2477.263150   3296.567034   4149.129292
0.162500   1342.587777   2427.672530   3272.963549   4102.825703
0.168750   1339.006599   2450.518550   3322.574903   4107.301421
0.175000   1510.267264   2325.970410   3592.960718   4108.796687
0.181250   1435.886106   2410.861026   3350.576811   4094.981962
0.187500   1394.647430   2599.762647   3158.050265   4153.751319
0.193750   1466.436691   2591.582835   3317.794048   4099.720948
0.200000   1498.856245   2563.108207   3123.875053   4203.786154
0.206250   1405.674284   2379.093268   3286.678937   4347.523839
0.212500   1371.782186   2313.365021   3418.439819   4361.096507
0.218750   1351.408549   2381.638787   3330.893234   4192.563528
0.225000   1370.554557   2475.548581   3329.546149   4104.299925
0.231250   1394.658553   2408.709782   3275.220211   4068.221469
0.237500   1304.832448   2506.221667   3204.897255   4196.217860
0.243750   1490.824275   2283.242339   3110.508494   4229.480025
0.250000   1700.580863   2644.348294   3838.052230   3900.406596
0.256250   1744.297687   2758.245217   --undefined--   --undefined--
0.262500   1747.149160   2781.960271   --undefined--   --undefined--
0.268750   1541.523470   2295.987709   3191.006413   4068.324269
0.275000   1453.285530   2395.739759   3491.249902   4418.452942
0.281250   1345.869702   2308.670445   3324.545316   4367.399719
0.287500   1675.540332   2227.894444   3481.690163   4140.145055
0.293750   1676.151989   2326.673114   3390.778462   4189.279830
0.300000   1462.597409   2364.926579   3312.007295   4200.827606
0.306250   1436.310542   2348.944243   3352.853865   4309.189538
0.312500   1480.250815   2398.232737   3556.303218   4393.392084
0.318750   1509.186240   2589.417192   --undefined--   --undefined--
0.325000   1379.025780   2364.675185   3407.122604   4206.112646
0.331250   1397.966735   2338.778916   3435.985886   4271.608559
0.337500   1267.662754   2244.986881   3469.830284   4224.021231
0.343750   975.097698   1809.110833   2704.025333   3765.539691
0.350000   1433.886833   2576.970110   --undefined--   --undefined--
0.356250   244.438315   1413.338905   2528.624673   3602.016284
0.362500   324.604215   1354.833801   2628.549866   3700.629021
0.368750   695.419460   2172.396133   2913.263867   4042.915330
0.375000   431.610426   1256.037139   2471.273715   3326.410847
0.381250   435.452378   1403.705589   2753.217766   3700.628665
0.387500   334.556392   1309.756302   2611.244586   4034.274751
0.393750   1009.037348   1191.664201   2618.260473   3942.719060
