Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   976.740458   2099.237695   3198.329561   3724.837219
0.031250   958.775190   1884.643732   2851.521865   3776.441871
0.037500   976.175819   1895.558035   2853.501813   3901.579356
0.043750   953.670312   1853.597636   2806.406178   3900.610989
0.050000   1174.712298   1834.132605   2764.102952   3875.908525
0.056250   1260.916300   1881.479709   2830.044061   3957.936812
0.062500   1208.703535   1771.135029   2884.758453   3835.961679
0.068750   1114.860042   1848.431965   2914.812575   3788.225385
0.075000   1105.911403   1744.309400   2913.421108   3668.221261
0.081250   1227.483097   1899.585059   2979.973192   3680.251440
0.087500   1225.848863   1842.555628   2849.679934   3721.717795
0.093750   1028.599853   1783.583366   2809.270984   3845.369141
0.100000   952.389073   1919.723831   2850.055025   3785.672145
0.106250   884.975432   1783.425734   2753.662833   3783.510515
0.112500   862.291803   1879.193505   2728.729507   3807.621854
0.118750   885.374698   1860.505426   2856.429423   3765.060184
0.125000   1105.268175   1782.588077   2923.922343   3761.301845
0.131250   1016.271655   1861.081057   2935.727974   3667.831072
0.137500   996.290641   2000.280340   2817.575844   3516.434038
0.143750   1150.590798   2099.080087   3081.274801   3696.530693
0.150000   1117.436728   1999.614051   2959.928167   3882.505064
0.156250   1107.885112   1986.515354   2607.752115   3572.020594
0.162500   1024.294068   1891.058558   2709.603167   3540.278378
0.168750   964.966518   1793.578926   2831.405440   3684.425169
0.175000   1021.014713   1765.982403   2736.792268   3700.007660
0.181250   1075.212597   2086.806416   2449.255830   3493.736784
0.187500   1057.611212   2301.606462   2585.907639   3410.636428
0.193750   1025.497878   2208.616494   2546.331171   3578.718967
0.200000   947.474254   1886.620179   2707.674098   3748.253756
0.206250   953.578187   1818.258232   2753.906665   3854.898857
0.212500   871.779781   1871.585285   2930.620858   3715.270405
0.218750   904.570369   1859.140298   3003.869051   3645.741287
0.225000   905.096115   1942.428149   2746.141088   3807.660599
0.231250   914.405113   1968.335299   2594.963908   3710.277766
0.237500   909.831702   1846.420456   2833.420831   3492.456805
0.243750   804.896055   1856.268337   2829.235419   3585.396197
0.250000   828.733827   2048.028005   2876.435982   3705.452351
0.256250   940.681882   2066.573488   2906.299662   3732.674064
0.262500   941.249958   1995.087927   2774.600490   3852.092119
0.268750   937.001522   1910.755978   2815.622014   3896.563017
0.275000   1017.851192   1916.437220   2931.363072   3818.238173
0.281250   954.918337   1954.352723   2890.589468   3746.477482
0.287500   944.584368   2004.176769   2942.572614   3608.981730
0.293750   1002.598630   1903.278665   2834.417119   3526.324432
0.300000   1046.893076   1997.383169   2834.677020   3640.162459
0.306250   1006.861568   2015.868460   2809.766239   3684.475791
0.312500   1079.853372   1990.982786   2837.194534   3642.841481
0.318750   991.093513   2028.388296   2862.833799   3726.167489
0.325000   1067.145289   1887.256193   2931.667591   3726.175232
0.331250   1099.820111   1877.639960   2862.757761   3606.350161
0.337500   1037.159160   2039.957937   2765.624105   3613.044403
0.343750   1043.656503   2046.583821   2572.930377   3714.489934
0.350000   1019.567057   2012.399495   2734.225952   3660.145399
0.356250   1009.408892   1917.809941   2837.921751   3707.298175
0.362500   1049.961263   1913.703020   2770.711400   3660.521945
0.368750   998.644954   1886.484928   2758.894426   3670.505009
0.375000   1049.902671   1879.243100   2787.910468   3810.095921
0.381250   1134.977735   1771.758083   2765.158365   3765.633096
0.387500   1022.853218   1833.269294   2817.205530   3786.476564
0.393750   976.752695   1805.200422   2868.535569   3716.594747
0.400000   917.642865   1918.498740   2839.969828   3735.969375
0.406250   831.751325   1982.681482   2953.843946   3581.203258
0.412500   880.829271   2034.881249   2904.452762   3583.328965
0.418750   1029.655105   2096.031093   2731.791269   3624.369120
0.425000   1023.100715   1988.332222   2743.877665   3728.254603
0.431250   1011.327160   1977.883208   2753.745883   3716.754630
0.437500   897.234461   2016.641083   2695.455089   3677.176136
0.443750   952.136797   1886.811965   2783.347458   3707.831184
0.450000   1050.614296   1823.412311   2949.041972   3663.179117
0.456250   1095.882673   1825.138451   3227.458675   3460.893600
0.462500   985.945197   1998.298805   2599.791694   3707.338116
0.468750   966.162685   1918.899158   2911.268307   3859.376315
0.475000   1080.626056   1921.330539   2977.300942   3855.232471
0.481250   1055.613401   1927.503124   2861.786001   3704.319923
0.487500   1192.449518   1486.145900   2771.404184   3788.835704
0.493750   1092.909905   1905.039935   2886.687575   3834.293063
0.500000   990.681624   2063.030449   3008.739098   3685.271006
0.506250   1083.200226   2071.612160   3217.773347   3246.391777
0.512500   1131.335411   1897.792209   2992.602445   3577.243423
0.518750   517.433081   1733.301410   2877.182906   3531.107130
0.525000   1016.969326   1922.767173   2972.917526   3902.431817
0.531250   1014.538261   1929.283700   2970.592386   3928.063823
0.537500   1049.771499   1991.258427   3031.161465   4014.301301
0.543750   1112.701842   2267.989961   3255.391961   4073.979294
0.550000   1939.115553   2474.103463   3360.722728   4095.756427
0.556250   1911.562968   2515.699338   3330.473027   4138.083549
0.562500   1800.678390   2527.323899   3311.508164   4158.829045
0.568750   1679.350633   2535.385985   3353.907236   4184.724540
