Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   433.752322   1482.263846   2432.721671   3501.692667
0.031250   289.054294   1337.322416   2380.210869   3566.273193
0.037500   249.958005   1351.353065   2391.825606   3617.340122
0.043750   1345.855402   2374.414592   3565.061455   4235.885658
0.050000   971.711705   2376.418541   --undefined--   --undefined--
0.056250   807.549246   2233.974037   2688.770229   3832.956754
0.062500   925.130545   2285.238470   3094.421158   4490.766916
0.068750   146.359989   890.284000   2249.743025   3216.350369
0.075000   901.645564   2277.786492   3420.253468   4268.996544
0.081250   868.475140   2372.626641   3106.589125   3719.461660
0.087500   763.424551   2386.666653   3032.621624   3631.295498
0.093750   751.265516   2289.799203   2899.614402   3671.758487
0.100000   655.985048   2218.838559   2947.752825   3610.834323
0.106250   851.444722   2165.860281   3011.282386   3765.166235
0.112500   968.338121   2288.271178   3489.796927   3727.799340
0.118750   961.611977   2277.875870   3729.856120   4118.519295
0.125000   265.663110   1394.652370   2441.845212   3474.015319
0.131250   255.351464   1647.834007   2457.177319   3451.568844
0.137500   257.781176   1700.033391   2331.613895   3632.522455
0.143750   282.169825   1446.490835   2310.527377   3563.539503
0.150000   224.446642   1224.891556   2302.483946   3523.897049
0.156250   890.965699   2297.678979   --undefined--   --undefined--
0.162500   632.558831   2317.418164   2536.154264   3710.429520
0.168750   634.353182   2294.354731   3580.379085   4535.885653
0.175000   192.599017   1976.649488   2522.814079   3576.877806
0.181250   179.119680   1982.286048   2860.784337   3819.537171
0.187500   769.494966   2010.015964   2999.353482   3874.496446
0.193750   808.317283   1953.869836   3434.816498   3910.525015
0.200000   437.060934   1966.394176   3613.679302   4024.168640
0.206250   286.559556   1981.112219   2585.095073   3847.721939
0.212500   326.571747   1830.302384   2037.423027   3668.297206
0.218750   745.750910   2055.961513   2962.120925   3888.302496
0.225000   731.458331   2057.604983   2999.887428   3937.303827
0.231250   828.040933   2143.561301   3077.976736   3910.711405
0.237500   866.082939   2244.481083   3394.093790   4135.732826
0.243750   778.149796   2382.988609   3182.795216   4014.358578
0.250000   220.833150   1398.845570   2535.887615   3487.955610
0.256250   1574.447050   2548.463090   3406.659187   4310.922257
0.262500   1149.878318   2205.049921   3365.943627   4289.664415
0.268750   1201.095906   2356.775204   3404.109889   4351.875122
0.275000   1320.467160   2389.288986   3418.328935   4402.887853
0.281250   1279.510820   2433.362287   3330.414481   4392.220261
0.287500   974.261485   2474.068108   2650.069164   4008.350663
0.293750   1263.315090   2366.705003   3509.106755   4828.254480
0.300000   1199.096340   2296.262691   3070.070642   3940.973577
0.306250   958.792968   2155.450728   2994.318809   3933.226990
0.312500   859.075334   2169.110045   3274.365517   3782.240682
0.318750   660.268046   2065.429162   2816.624605   4009.355330
0.325000   359.526998   2000.276654   2686.288512   3238.408175
0.331250   249.671287   1515.981505   2390.827716   3471.636278
0.337500   1737.760736   2237.946263   3411.146111   4368.785463
0.343750   217.433128   1727.456286   2432.307425   3339.292875
0.350000   413.204035   1591.285980   2444.888581   3508.410052
0.356250   371.859172   1577.360017   2563.348662   3654.071024
0.362500   1400.016290   2525.097488   3534.053838   4784.477401
0.368750   104.638541   1434.882203   2535.805016   3571.655756
0.375000   281.555165   1520.597292   2580.375661   3593.572413
0.381250   180.697997   1361.772317   2405.861340   3493.192745
0.387500   289.154038   1633.020770   2410.063477   3456.640036
0.393750   270.436200   1783.482706   2469.058415   3667.278284
0.400000   262.226817   1753.461197   2328.156426   3777.549649
0.406250   1058.581122   2222.594993   3016.256225   3799.370029
0.412500   905.134304   2160.186706   3208.509533   4102.002554
0.418750   1467.409075   2398.408341   3558.188313   4406.364335
0.425000   264.068464   1843.405815   2670.763658   3980.222085
0.431250   372.290646   2205.182156   3024.590076   4240.173245
0.437500   318.079418   1526.856271   2358.769906   3485.313931
0.443750   641.362676   2208.977830   3336.747742   4423.353020
0.450000   141.752638   1633.267375   2295.462565   3399.186684
0.456250   1363.539257   2317.998841   3432.885547   4592.005030
0.462500   303.376384   1814.483896   2508.564554   3600.627592
0.468750   1509.674384   2744.348010   3582.194576   4156.708823
0.475000   409.076468   1437.023487   2739.799048   3577.823215
0.481250   1373.754095   2712.011538   2973.837859   3607.414661
0.487500   1307.754216   2539.058640   3541.856428   4452.455035
0.493750   1472.314697   2550.138646   --undefined--   --undefined--
0.500000   1372.310038   2452.973391   3536.171874   4531.739564
0.506250   273.146051   1448.716132   2435.332816   3535.604530
0.512500   265.038196   1424.632792   2579.647209   3363.748135
0.518750   89.091705   1420.686035   2796.204745   3216.169456
0.525000   296.634889   1431.393273   2527.929638   3265.121985
0.531250   341.535904   1666.672380   2551.276452   3326.735315
0.537500   286.505958   1711.499749   2707.439287   3424.159525
0.543750   239.795315   1769.319913   2805.038216   3940.775641
0.550000   261.536809   1744.722228   2669.051263   3749.868083
0.556250   1504.250666   2211.512933   3644.277888   4375.506366
0.562500   953.722832   2384.998152   2983.566773   4062.744283
0.568750   1269.754546   2385.791535   3438.556652   4380.001269
0.575000   1532.880199   2388.213204   3525.661693   4435.866848
0.581250   1088.956605   2401.787893   --undefined--   --undefined--
0.587500   892.098813   2594.293639   2636.989307   3781.719844
0.593750   296.655943   1558.098608   2453.073506   3438.722128
0.600000   216.923929   1274.679646   2249.987631   3381.638252
0.606250   1146.383523   2399.072576   3383.988738   4398.503797
0.612500   1156.574085   2367.592370   3427.501966   4420.155511
0.618750   1147.453656   2369.898388   3543.788750   4391.490841
0.625000   1299.591741   2460.495551   3512.737616   4423.486580
0.631250   247.201401   1314.276180   2392.776389   3440.841492
0.637500   256.502787   1677.174235   2447.540963   3365.771523
0.643750   735.287410   2320.373785   3030.234565   3904.132988
0.650000   2078.354206   2456.844528   --undefined--   --undefined--
0.656250   187.042548   1931.233550   2557.505310   3752.820026
0.662500   195.078720   1874.113541   2401.985846   3652.903266
0.668750   87.117251   1573.248799   2319.426073   3608.143122
0.675000   257.375230   2038.403884   2396.955689   3637.244723
0.681250   1411.900231   2107.918023   2816.036419   3888.018939
0.687500   1447.630175   2043.507271   3019.045005   4184.536128
0.693750   505.899607   1859.647800   2244.823913   3164.135693
0.700000   410.067776   1863.850242   2580.873032   3343.285240
0.706250   354.562565   1931.341083   2708.347043   3397.976100
0.712500   140.895122   2028.748113   2711.650775   3594.474055
0.718750   155.499069   2027.212804   2819.264936   3638.013909
0.725000   167.402044   1922.013973   2830.766971   3609.035479
0.731250   196.235640   1690.192626   2701.251021   3546.452142
0.737500   250.549701   1711.391744   2687.683048   3502.069036
0.743750   284.046457   1929.113538   2732.616591   3503.004630
0.750000   288.378933   2053.613258   2818.534748   3957.294428
0.756250   287.764251   2002.421015   2736.793047   3839.685583
0.762500   284.916167   1948.443564   2722.903330   3934.750102
0.768750   283.215582   1946.930341   2664.119812   3887.770214
0.775000   284.420606   2237.112849   2543.201486   3688.601436
0.781250   287.158070   2351.401342   2692.081602   3995.080282
0.787500   290.549764   2179.719078   2712.748614   3953.345829
0.793750   291.544362   2114.081095   2707.484719   3908.990070
0.800000   291.812144   2092.987070   2705.956162   3818.701510
0.806250   326.601398   2095.362612   2849.671948   3802.459078
0.812500   333.342255   2073.091131   3029.708043   3834.799451
0.818750   278.849567   2197.487565   2681.564320   3852.467359
0.825000   218.378475   1868.143038   2669.423715   3832.377256
0.831250   236.650268   1908.308830   2675.960755   3830.152945
0.837500   246.849383   1962.469182   2840.788003   3809.415916
0.843750   249.374003   1997.050600   3090.056409   3890.373936
0.850000   216.656156   2036.585684   3010.534561   3966.900589
0.856250   166.057621   1971.133920   3102.036123   3910.836624
0.862500   157.118063   2060.664761   2919.630607   3904.887046
0.868750   271.569053   2001.892790   3216.337020   3902.782435
0.875000   186.381099   1870.839527   3038.106478   3880.123774
0.881250   1765.131697   3007.245865   3853.864209   4551.018060
0.887500   1753.374139   2931.494816   3745.579041   4539.122366
0.893750   1663.624792   2472.726698   3761.831774   3985.764201
0.900000   1607.432182   1612.388749   3265.438141   3775.589523
0.906250   617.339664   1569.051401   3227.015279   3725.499403
0.912500   561.935441   1442.642158   3202.754707   3706.767724
0.918750   181.158709   1496.639509   2947.596782   3748.422771
0.925000   1178.922967   2520.657271   --undefined--   --undefined--
0.931250   1140.132181   2547.267137   3793.044147   4508.265659
0.937500   760.733551   2137.577864   2629.203658   3773.907300
0.943750   236.386481   1567.078041   2539.007832   3862.876680
0.950000   920.324231   2248.102395   2916.278507   3852.117711
0.956250   881.520532   2323.878624   3610.910032   4649.634224
0.962500   849.966873   2263.316402   2839.776248   3738.189338
0.968750   837.316915   2125.077310   2830.485980   3831.326005
0.975000   707.306912   1654.695891   2897.351841   3878.970166
0.981250   620.591870   984.886007   2488.320540   3228.848300
0.987500   552.999908   1036.539844   2979.697492   3878.189549
0.993750   445.678163   891.883678   2934.438180   3255.716296
1.000000   425.407599   839.686717   2502.218885   3719.974821
1.006250   454.706057   1093.459522   2362.507988   3656.635488
1.012500   526.900798   1861.289848   2864.585222   3767.475050
1.018750   535.814751   2085.802640   2467.756278   3614.944778
1.025000   359.303164   586.225743   2556.391319   3606.736829
1.031250   327.928523   704.988566   2474.311729   3532.966418
1.037500   346.689517   706.026862   2453.490809   3440.946334
1.043750   358.589136   668.560888   2506.151286   3375.715701
1.050000   360.228374   662.899838   2519.148832   3332.565040
1.056250   368.953934   672.103149   2466.334086   3322.608315
1.062500   379.320012   682.950877   2450.288200   3355.598530
1.068750   455.479656   678.981473   2323.849966   3358.718931
1.075000   425.183312   712.465867   2365.475871   3358.855150
1.081250   401.404845   725.531032   2474.885705   3369.226286
1.087500   410.509363   738.181647   2489.685194   3393.485586
1.093750   418.432629   765.766616   2487.500173   3398.988995
1.100000   423.046684   802.561899   2490.022038   3430.003035
1.106250   426.239106   835.862466   2503.665017   3490.501623
1.112500   418.135034   858.480680   2498.564482   3507.914218
1.118750   410.633038   857.677642   2525.740880   3551.283240
1.125000   393.556703   855.839366   2499.025917   3499.605876
1.131250   371.434108   861.952403   2487.623427   3442.978369
1.137500   364.032899   869.564712   2498.144007   3357.644472
1.143750   356.473204   867.842878   2480.682028   3382.530931
1.150000   352.151405   863.838079   2527.756904   3498.738025
1.156250   351.179932   862.228149   2478.040013   3495.795205
1.162500   344.818306   868.009122   2469.167520   3433.989325
1.168750   342.231637   883.735734   2502.013401   3497.335201
1.175000   340.823695   887.631339   2541.260712   3518.460352
1.181250   341.318444   899.876648   2556.586147   3505.002878
1.187500   339.292757   892.728342   2559.400806   3494.251891
1.193750   337.582560   895.695817   2567.282033   3545.891413
1.200000   336.012406   898.170942   2566.792441   3543.161899
1.206250   330.807765   890.422975   2581.824156   3582.288878
1.212500   325.945176   872.217724   2633.357785   3602.948217
1.218750   323.185834   859.969251   2658.954291   3612.118884
1.225000   326.421794   805.151788   2610.394667   3625.258607
1.231250   341.052101   817.535249   2623.348775   3694.666574
1.237500   344.907554   869.217857   2652.190126   3638.443625
1.243750   337.598096   913.741275   2698.199747   3767.068529
1.250000   339.917052   1073.680409   2661.797585   3798.095600
1.256250   350.005847   948.287551   2398.891691   3542.485308
1.262500   399.266635   1425.380990   2488.942249   3541.388200
1.268750   386.973068   2177.279458   2630.860576   3581.294408
1.275000   376.886591   2112.161582   2956.930684   4051.517127
1.281250   398.020423   1261.980745   2504.357514   3359.447739
1.287500   405.156657   1830.664558   2738.793992   3846.084638
1.293750   281.890491   1762.956405   2519.426614   3505.338898
1.300000   336.205144   2040.243106   2613.654133   3471.793198
1.306250   424.915395   1940.003381   2576.923101   3502.108538
1.312500   497.122877   1034.431366   2636.396990   3707.977600
1.318750   234.963636   1045.476956   2569.637545   3717.325236
1.325000   329.029913   1233.868704   2568.907800   3646.301666
1.331250   355.114292   1309.354471   2593.171407   3597.447299
1.337500   310.141291   1498.991069   2701.406521   3789.514765
1.343750   278.387154   1383.103708   2607.997909   3804.673839
1.350000   1176.210168   1532.538149   2706.124504   4038.150027
1.356250   1000.367155   1836.159715   2740.758146   4050.489618
1.362500   1065.272563   2021.616801   2690.134187   3938.065894
1.368750   1163.509789   2390.559002   2572.685716   3934.373589
1.375000   1195.458117   2131.563514   2621.636523   3944.811512
1.381250   948.873130   2202.181614   2671.620749   3964.067764
1.387500   864.575996   2417.546223   2572.115663   3834.423563
1.393750   217.262746   1462.168853   2594.826995   3589.353970
1.400000   1258.949222   2371.925183   3546.537921   4638.600299
1.406250   460.374865   1761.103766   2652.668098   3966.102356
1.412500   424.761950   1652.596334   2678.190351   3927.526521
1.418750   360.462961   1651.797214   2607.674971   3741.538423
1.425000   369.018282   1933.117995   2957.401397   3949.796388
1.431250   1684.729502   2655.596801   3753.903047   4665.043706
1.437500   1344.496449   2601.296372   --undefined--   --undefined--
1.443750   1481.261873   2394.609287   3546.382868   4059.670300
1.450000   1397.045472   2584.437342   3756.881032   4633.161986
1.456250   1570.090433   2643.802084   3718.984510   4589.452654
1.462500   1455.836320   2565.949021   3648.641789   4575.818144
1.468750   1603.034361   2586.296872   3737.685174   4584.246774
1.475000   1793.278819   2772.670378   --undefined--   --undefined--
1.481250   1870.849804   2666.731537   3843.930014   4627.590576
