Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   847.394448   2173.814488   2992.656403   3877.480113
0.031250   495.454714   1745.966369   2268.516935   3737.870176
0.037500   469.004283   1683.597601   2317.513814   3664.455855
0.043750   414.389714   1646.054584   2498.409173   3563.301703
0.050000   424.953002   1731.803129   2742.545391   3522.096017
0.056250   516.583649   1716.319941   2680.069829   3788.023661
0.062500   489.239608   1672.275875   2438.713461   3671.635248
0.068750   462.875863   1601.384205   2630.684260   3635.862537
0.075000   459.171014   1567.154080   2638.089927   3534.613518
0.081250   439.898328   1507.293516   2644.667782   3602.496390
0.087500   485.994317   1494.329041   2542.808904   3677.789089
0.093750   486.576688   1551.982328   2546.215158   3571.094600
0.100000   442.416169   1471.978168   2622.234658   3508.135911
0.106250   436.278301   1521.695803   2525.466327   3495.093204
0.112500   433.530250   1666.318301   2665.412316   3559.083169
0.118750   423.331029   1679.802504   2761.268441   3818.641228
0.125000   443.490626   1575.516022   2599.435324   3610.012392
0.131250   461.862376   1506.021136   2573.225499   3581.184030
0.137500   457.763684   1442.617583   2575.941553   3567.525954
0.143750   311.237274   1422.263096   2506.594119   3510.745739
0.150000   450.457333   1683.487666   2636.610036   3434.109793
0.156250   463.112281   1748.995747   2874.674989   3341.593549
0.162500   426.445967   1872.757029   2791.229594   3540.430894
0.168750   407.839130   1578.479101   2478.326701   3571.265166
0.175000   466.525835   1553.138447   2591.535559   3758.343258
0.181250   456.103045   1770.771581   2506.176482   3307.508431
0.187500   426.661378   1594.581478   2495.420698   3491.941647
0.193750   530.597783   1572.561989   2383.290122   3551.154236
0.200000   520.430353   1883.536584   2707.125372   3964.896145
0.206250   564.743905   1721.752584   2805.052542   4064.184474
0.212500   562.758497   1806.104335   2837.729030   3882.608312
0.218750   590.901441   1787.163020   2703.858949   3699.581689
0.225000   665.223996   1812.746653   2331.002994   3459.405128
0.231250   521.627540   1859.893372   2722.673007   3619.153555
0.237500   452.822431   1715.840927   2610.898991   3442.433313
0.243750   414.093081   1787.176077   2618.674353   3337.379326
0.250000   615.182129   2163.207496   3141.393769   4665.060786
0.256250   392.452876   1570.886033   2596.548502   3391.552570
0.262500   406.380985   1701.012003   2666.461832   3514.829702
0.268750   438.879027   1725.498348   2589.445370   3341.238954
0.275000   578.672798   2032.427342   3420.849544   3517.854252
0.281250   427.239416   1533.946326   2681.047796   3644.583939
0.287500   462.910226   1656.109145   2619.852865   3657.513412
0.293750   477.365036   1603.493603   2532.357762   3696.569378
0.300000   418.190179   1729.702592   2586.343863   3448.101547
0.306250   507.264391   1969.126944   3177.653284   3982.277129
0.312500   569.632059   1833.367712   2832.180512   3810.561700
0.318750   466.027841   1733.065598   2760.015265   3895.654970
0.325000   429.764229   1706.691656   2856.729295   3907.403125
0.331250   405.600738   1610.659388   2777.862057   4037.847578
0.337500   396.553655   1664.794425   2613.416127   3477.662186
0.343750   407.214348   1891.115555   2948.707739   4310.806606
0.350000   353.052120   1528.238519   2761.123919   3937.001393
0.356250   266.708321   1458.330275   2355.876413   2958.040110
0.362500   1295.164444   1471.200160   2673.448619   3723.573015
0.368750   1276.000173   1692.621185   2656.981680   3798.723265
0.375000   445.629161   1446.071620   2494.423766   3321.883100
0.381250   501.712884   1452.458266   2676.557973   3345.700120
0.387500   458.853573   1514.270311   2495.458428   3550.497703
0.393750   436.728420   1548.345923   2449.129417   3563.781332
0.400000   420.827853   1648.574257   2541.902198   3399.065043
0.406250   415.030751   1608.408109   2666.993796   3550.296289
0.412500   405.487111   1637.969620   2629.232736   3620.758125
0.418750   405.396660   1522.536099   2592.523835   3684.203540
0.425000   375.623409   1496.039830   2629.190875   3672.295696
0.431250   421.064105   1610.744901   2554.257117   3746.873734
0.437500   432.971667   1861.035440   2395.228468   3442.864168
0.443750   442.007548   1554.862113   2524.470145   3511.102429
0.450000   428.645077   1688.898281   2802.551218   3820.453904
0.456250   394.849425   1733.889804   2778.102742   3578.241365
0.462500   399.454313   1679.535037   2618.762698   3582.262559
