Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
20.921764,,,339.408241,,,1961.290416,,,2473.964357,,,3175.215615
20.928014,,,341.617776,,,1971.306079,,,2465.702984,,,3167.807706
20.934264,,,342.814671,,,1987.316855,,,2504.630159,,,3257.896323
20.940514,,,352.648771,,,2077.284173,,,2601.583962,,,3266.55365
20.946764,,,353.376508,,,2139.952495,,,2500.559949,,,3191.238576
20.953014,,,351.606474,,,2177.014616,,,2456.504654,,,3194.32797
20.959264,,,352.285503,,,2095.621647,,,2435.725978,,,3268.51216
20.965514,,,342.124786,,,2085.489456,,,2431.905261,,,3277.655884
20.971764,,,335.693187,,,2065.978815,,,2419.880383,,,3302.894889
20.978014,,,328.528809,,,2036.301897,,,2405.737168,,,3220.644776
20.984264,,,313.644592,,,1994.913799,,,2404.015608,,,3220.736516
20.990514,,,317.946565,,,1985.660445,,,2352.830769,,,3197.672633
20.996764,,,319.25167,,,1970.452185,,,2322.512623,,,3227.148184
21.003014,,,317.242878,,,1914.153554,,,2315.639844,,,3255.352094
21.009264,,,320.699589,,,1897.534886,,,2295.857074,,,3305.248765
21.015514,,,317.231821,,,1909.508919,,,2324.785384,,,3274.846453
21.021764,,,319.792711,,,1902.86885,,,2317.136093,,,3293.934426
21.028014,,,302.84081,,,1880.127847,,,2310.283654,,,3303.830461
21.034264,,,300.996447,,,1895.729763,,,2367.879505,,,3294.771572
21.040514,,,309.901283,,,1833.568332,,,2415.114735,,,3399.522415
21.046764,,,301.155743,,,1648.106,,,2316.491553,,,3326.727396
