Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1146.923539   2337.408131   3603.157949   4986.948770
0.034375   1156.689449   2156.573326   3561.009031   4515.269917
0.040625   1345.313380   2415.603402   3602.202045   4551.742724
0.046875   1397.249955   2573.739969   3669.613989   4557.278918
0.053125   1370.604222   2530.965001   3683.218262   4488.761644
0.059375   1247.053889   2119.725121   3529.999173   4257.293872
0.065625   1540.018317   2555.172890   3634.145856   4252.702598
0.071875   1357.591618   2535.712428   3958.347110   4205.034544
0.078125   1796.423977   2377.871713   3169.745693   4227.583535
0.084375   1023.628695   2098.207260   3309.695238   4235.012655
0.090625   1419.376229   2374.711191   3489.767000   4400.152182
0.096875   1658.724469   2468.530540   3481.582962   4365.230185
0.103125   1699.056775   2821.579397   3059.684949   4249.795880
0.109375   1137.120404   2101.319417   3188.215994   4341.229523
0.115625   1066.782200   2175.173559   3091.996361   4176.718032
0.121875   1108.142474   2325.037210   3378.403925   4397.314361
0.128125   1388.439872   2440.073800   3328.149551   4460.177565
0.134375   1545.528358   2516.193543   3413.684081   4358.219947
0.140625   1395.418195   2252.064066   3483.439492   4447.507537
0.146875   1405.597490   2244.091859   3521.854688   4543.818231
0.153125   1568.574440   2606.814107   3586.225471   4660.108293
0.159375   1541.171792   2589.271815   3634.161567   4129.421443
0.165625   1263.201567   1970.583057   3299.469472   4439.694592
0.171875   1874.354083   2433.914382   3200.858352   4415.779670
0.178125   1304.420898   2278.281253   3318.838453   4506.421982
0.184375   1261.778359   2461.374639   3243.403713   4481.873359
0.190625   1541.752720   2413.437458   3194.402184   4436.450409
0.196875   1710.935608   2843.586470   3172.445892   4410.242822
0.203125   1596.136452   2553.839330   3740.741123   4460.130697
0.209375   1531.854170   2555.524320   3546.653884   4268.713573
0.215625   1411.118141   2683.666104   3487.082385   4326.446822
0.221875   1485.315070   2338.453852   3550.652467   4338.632260
0.228125   1456.789911   2623.523408   3657.812507   4314.515332
0.234375   1480.257135   2553.926861   3578.330862   4396.833592
0.240625   1251.435834   2508.419494   3615.846329   4416.990676
0.246875   1092.944559   2022.256386   3386.638243   4411.992063
0.253125   1409.868825   2328.799550   3378.335390   4427.440670
0.259375   1292.919475   2683.411669   3673.501281   4361.350871
0.265625   1377.485097   2615.062198   3741.530967   4373.995990
0.271875   1424.655120   2603.204922   3823.051481   4566.912016
0.278125   1337.436694   2662.897018   3628.911272   4598.394021
0.284375   1315.415042   2604.110129   3307.088225   4559.061124
0.290625   1442.434933   2489.565554   3257.989941   4486.373682
0.296875   1226.723780   2311.891436   3151.695733   4270.908384
0.303125   1396.506784   2542.226651   3843.872254   4418.236398
0.309375   1484.037916   2639.297532   3852.579061   4544.402603
0.315625   1491.100195   2623.901772   3800.950203   4775.463953
0.321875   1374.235944   2492.704766   3591.327108   4633.991942
