Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   514.450397   1982.207343   3153.921019   4218.898600
0.034375   625.054868   1998.454468   2771.411905   3955.223528
0.040625   647.759953   1931.309410   2799.164578   4286.961289
0.046875   729.511546   1839.570846   2883.255589   4461.562482
0.053125   740.222089   1745.439222   2882.547518   4350.059545
0.059375   760.300380   1715.184132   2888.377402   3926.572325
0.065625   750.704653   1804.035441   2752.108510   3906.490032
0.071875   714.381708   1832.377696   3040.588566   3970.453780
0.078125   827.007113   1711.447956   3110.221162   3950.672523
0.084375   934.992903   1336.397263   2690.282379   3603.200891
0.090625   645.274843   1232.474590   2596.560466   3741.783429
0.096875   753.766007   1267.038077   2603.923000   3755.400483
0.103125   721.555510   1384.252137   2836.156663   3803.892680
0.109375   824.341171   1796.502083   2872.131975   4474.534962
0.115625   836.469766   1812.865208   2865.979760   3829.660391
0.121875   837.029185   2074.941194   2869.335338   3734.786001
0.128125   1069.088829   2191.535288   3642.655013   4868.242078
0.134375   872.539591   1205.977233   2310.864350   3822.262122
0.140625   946.214604   1107.531625   2201.495427   3703.829700
0.146875   1168.730696   2122.394542   3662.228642   4781.260464
0.153125   781.047224   1684.719630   2292.880052   3447.889691
0.159375   705.235688   1719.582547   2617.826653   3624.224773
0.165625   919.747311   2168.838116   3344.342589   4212.770071
0.171875   918.984040   2175.983667   3269.878749   4781.802938
0.178125   865.895517   1426.791953   2680.387557   3334.591727
0.184375   731.761845   1560.463980   2768.744586   3783.236227
0.190625   737.035801   1860.341870   3506.771477   4643.016188
0.196875   1117.734387   2031.470338   3497.082582   4711.381209
0.203125   1178.243752   2251.894643   3651.440963   4882.080310
0.209375   1036.143082   2090.146087   3409.765265   4214.422654
0.215625   858.155063   1955.815703   3154.624348   4340.841455
0.221875   754.117026   1857.764626   2790.931711   3749.700691
0.228125   595.469747   1614.804075   2488.077704   3817.268335
0.234375   959.277700   1653.900283   2439.933359   3736.745472
0.240625   905.628459   2080.505906   3305.353083   4418.967883
0.246875   881.844710   2174.727032   3154.190579   4321.466231
0.253125   734.730080   2097.449801   2931.423671   4176.111251
0.259375   752.920825   1905.119075   3199.584666   4434.398507
0.265625   861.049157   1918.353654   3236.273822   4426.469361
0.271875   895.969145   1887.413863   2928.264243   4214.017033
0.278125   1005.038050   1764.542940   2953.993655   4209.240024
0.284375   642.326537   1708.940818   3092.398540   4146.065941
0.290625   638.386336   1811.743949   2981.633945   3885.099132
0.296875   754.708879   1901.651500   3009.344053   3987.418916
0.303125   744.545122   1876.446245   2984.518574   4256.780930
0.309375   784.146857   1892.227812   3066.207473   4206.917512
