Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   935.388847   2116.999448   3265.344655   4371.352939
0.034375   877.755689   2063.008969   3243.086077   4402.063797
0.040625   929.678042   2104.316231   3185.770776   4368.985444
0.046875   1008.785463   2207.890517   3167.235375   4467.446034
0.053125   550.627648   2164.787590   3067.741532   4705.389434
0.059375   480.356955   2154.702301   2878.753070   4596.420635
0.065625   983.791063   2154.620275   3360.708385   4438.779198
0.071875   949.890244   2104.487029   3353.252781   4293.079951
0.078125   624.633949   1979.252522   3218.697752   4319.304449
0.084375   475.077046   1896.789217   2985.761052   3936.460034
0.090625   568.874917   1975.180241   3114.408496   4551.491748
0.096875   1057.880363   2160.148485   3102.253665   4393.047066
0.103125   1185.295763   2151.508946   3107.444734   4286.151937
0.109375   1295.658623   2152.785082   3160.009527   4362.101371
0.115625   1229.862242   2378.548100   3660.684634   4481.567891
0.121875   1228.995123   2373.989770   3911.824879   4141.675278
0.128125   670.286985   2114.439998   2489.079006   4042.783972
0.134375   571.982389   730.943782   2391.212523   3515.657490
0.140625   1135.271093   2254.413643   3387.316374   4510.855680
0.146875   1218.372103   2439.365672   3726.976607   4456.890300
0.153125   1360.889432   2559.149740   3986.980875   4921.603755
0.159375   414.928488   1818.961742   3005.999485   4249.559076
0.165625   1291.217720   2580.892102   3361.937568   4629.112275
0.171875   484.496063   2246.729122   2867.116438   3996.381611
0.178125   396.671488   1713.857960   2729.917248   4078.226358
0.184375   1443.336649   2673.786244   3262.707215   4434.751716
0.190625   1582.234130   2787.608952   3502.923520   4381.064013
0.196875   849.783594   1857.161142   3114.213495   4235.190594
0.203125   1445.629875   2104.598443   3122.592212   4201.774663
0.209375   618.696890   1721.417945   2722.749569   3849.485142
0.215625   562.540411   1824.199981   2846.346477   3929.843670
0.221875   499.769536   1888.208682   2871.490342   4015.140208
0.228125   360.706399   1638.543928   2633.962015   3979.898762
0.234375   526.967377   1872.467044   2679.230163   3807.431873
0.240625   603.029713   1843.082154   2683.082278   3707.754748
0.246875   316.191764   1692.733217   2551.443010   3661.492690
0.253125   425.397712   1811.410140   2781.991295   3575.304952
0.259375   487.659995   1839.906899   2777.755803   4014.714651
0.265625   1105.482478   2447.593977   4122.038939   4531.610033
0.271875   709.407553   2002.868188   3203.792816   4459.511524
0.278125   178.715003   1349.934900   2856.072433   3884.678763
0.284375   591.804686   2082.333973   3090.191758   4562.044769
0.290625   752.251115   2186.924382   3291.802303   4356.041395
0.296875   728.308520   1902.135130   2763.165959   3832.452921
0.303125   780.566535   1590.911120   2603.441850   3805.534734
0.309375   1519.300234   1827.889697   3047.575619   4429.981476
0.315625   401.394223   1868.640126   2974.466912   4436.457109
0.321875   391.963435   1895.789024   2987.114320   4275.861185
0.328125   1845.467622   2908.061708   --undefined--   --undefined--
0.334375   1451.636635   2285.212760   3409.685490   3856.469108
0.340625   539.302498   1872.327639   2809.866634   4015.932846
0.346875   606.322061   1853.432118   2683.392303   3918.409497
0.353125   484.419219   1820.709275   2733.804664   4192.067069
0.359375   431.281490   1577.915258   2823.756891   4117.775875
0.365625   908.940978   1559.907363   2886.860768   4219.308624
0.371875   914.702848   2130.594830   3122.596850   4360.403858
0.378125   702.227433   2031.742106   3037.291543   4421.853587
0.384375   504.029023   1604.607573   2696.785222   4044.218642
0.390625   554.890738   1581.077345   2934.989753   4152.130143
0.396875   661.729642   1779.157761   3002.909538   4181.088154
0.403125   396.836903   1770.096852   2753.000711   4033.337817
0.409375   520.249948   1658.052883   2674.255666   4053.078593
0.415625   455.691620   1835.775219   2782.263684   4098.691554
0.421875   70.657211   1806.690709   2529.955069   3918.632889
0.428125   408.908787   1756.705061   2726.604773   3762.574272
0.434375   710.319814   1925.069972   3211.835529   4310.248228
0.440625   1625.837574   2691.908556   --undefined--   --undefined--
0.446875   1632.507567   2696.761019   3773.430803   5260.811247
0.453125   452.852701   1677.662026   2693.329721   3862.586185
0.459375   430.263626   1863.120764   2633.393159   4293.169731
0.465625   1099.502468   2303.071817   3299.502419   4580.089442
0.471875   548.328403   1896.634261   2708.530490   4300.767760
0.478125   441.614354   1872.764919   2811.073957   3913.883345
0.484375   508.426226   2011.284432   2851.027528   3775.901246
0.490625   551.859633   2003.003537   2918.863052   3990.590928
0.496875   1587.312269   2482.755900   3983.370493   5107.696872
0.503125   302.942068   1835.363881   2641.695105   4153.258451
0.509375   459.674474   1867.498607   2764.803230   4215.318441
0.515625   558.702589   1929.226294   2709.299360   4235.483255
0.521875   531.285853   1982.134885   2670.421874   4111.045663
0.528125   683.402856   1770.030264   2679.868203   4271.180433
0.534375   1643.648852   2530.637965   2912.961458   4401.206948
0.540625   601.041356   1997.345707   3168.005264   4369.758172
0.546875   924.891211   2170.015938   3321.045049   4436.174573
0.553125   620.263813   1951.604549   2978.703977   4301.145383
0.559375   560.982336   1766.449240   2866.666473   4005.109071
0.565625   421.724490   1696.129585   2772.332942   4184.032423
0.571875   507.616002   1848.365235   2763.606389   3931.587444
0.578125   748.289017   2019.569147   3122.632700   4539.991438
0.584375   1154.926632   2161.738487   3101.972649   4271.767090
0.590625   1515.031771   2178.060968   3361.647242   4336.094367
0.596875   1176.822359   2159.813133   3303.882972   4545.885850
0.603125   756.193137   2122.191224   3374.925553   4458.723581
0.609375   1487.252329   2226.051718   3693.335105   4137.344292
0.615625   1359.469481   2165.835384   3351.834346   4302.421154
0.621875   1131.321401   2266.955042   3352.791317   4447.606423
0.628125   942.425752   2258.111410   3331.937660   4278.111463
0.634375   1000.054516   2187.821713   3237.655491   4304.567704
0.640625   850.513420   2087.885499   3266.050044   4235.591170
0.646875   891.564739   2287.936897   3258.179142   4263.470147
0.653125   229.979658   1322.626237   2540.089839   3755.548534
0.659375   442.033057   1372.503580   2405.719324   3844.500189
0.665625   306.017443   1351.058917   2458.722271   3928.653881
0.671875   1251.330289   2378.838192   3170.153992   4263.779293
0.678125   790.903551   2547.195094   3125.351624   4213.135448
0.684375   1123.978447   2399.899634   3542.269269   4607.950309
0.690625   835.692920   1494.676353   2554.517248   3983.042787
0.696875   1013.127655   2319.660163   3216.459139   4383.632227
0.703125   692.717649   2246.256040   3175.202036   4335.038654
0.709375   1919.594875   3104.153154   --undefined--   --undefined--
0.715625   1325.646670   2187.955387   3122.406963   4271.712040
0.721875   650.894827   1913.772060   3295.520705   4233.422497
0.728125   537.410550   1969.304925   3218.827740   4140.396124
0.734375   562.081459   1955.819804   2970.041940   4188.106038
0.740625   485.112855   1912.733332   2871.450995   3812.094434
0.746875   740.147317   1800.273321   2864.424218   3703.572902
0.753125   607.676723   1772.896784   2830.735766   3672.060453
0.759375   583.536099   1798.777433   2858.940636   3651.879436
0.765625   581.497415   1855.999534   2943.643712   3586.720518
0.771875   615.535749   1882.403339   2761.829969   3599.418598
0.778125   1911.423531   2160.548704   3621.573383   3714.746545
0.784375   1970.505883   2145.080970   3494.556932   3919.041105
0.790625   1029.854948   2028.424418   2983.179719   3779.972989
0.796875   1913.263269   2962.881959   --undefined--   --undefined--
0.803125   295.548864   1829.871323   3004.822016   3824.306556
0.809375   319.716523   1768.231037   2961.737604   3782.859013
0.815625   317.172204   1730.507454   2880.853103   3970.512499
0.821875   303.497473   1761.530856   2993.310323   3974.092408
0.828125   378.577976   1792.150646   2959.231183   3661.506236
0.834375   446.945454   1940.779290   2884.793242   3307.717150
0.840625   442.318738   2071.599018   2771.725450   3771.309542
0.846875   440.437787   2139.678002   2863.394106   3853.823887
0.853125   427.919394   2162.766380   2896.183978   3951.594290
0.859375   412.466085   2159.284865   2935.716055   4043.554670
0.865625   394.227379   2178.016638   2973.330894   4069.941142
0.871875   386.119544   2220.246674   3056.952826   4085.297264
