Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   495.723881   1741.972022   2793.804806   3841.438830
0.034375   274.915241   1721.099609   2910.936993   3913.897793
0.040625   1425.766716   2738.039940   3193.711869   4028.327090
0.046875   1145.753926   2365.956302   3271.380269   4492.780460
0.053125   734.657370   2045.393227   3237.676579   3651.365018
0.059375   1025.585639   2282.495519   3617.778627   4801.173066
0.065625   1326.307377   2798.375151   3784.287202   4851.243606
0.071875   720.250350   1644.511286   2913.918465   3963.567124
0.078125   818.059432   1693.967531   2881.282668   3983.054361
0.084375   844.130301   1776.337488   2861.737641   3998.339945
0.090625   816.802956   1757.016137   2691.992541   3986.163133
0.096875   821.493699   1551.264113   2675.844354   3874.975920
0.103125   834.307349   1543.076171   2521.480258   3869.474787
0.109375   678.402657   1761.913672   2674.168608   3603.035830
0.115625   665.325186   1769.381065   3160.107829   3567.542205
0.121875   1617.875558   1623.524635   3198.747461   4458.247880
0.128125   1255.575193   2258.701263   3447.591179   4618.785068
0.134375   1119.063405   2384.654380   3630.611997   4976.931966
0.140625   654.557166   1855.223457   2828.535061   3828.233822
0.146875   649.575709   1857.319790   2980.428365   4368.241237
0.153125   906.551074   2102.808665   3256.894336   4429.757442
0.159375   806.769001   1961.655508   3026.067684   4052.905763
0.165625   1523.648054   2849.516389   3919.156179   4835.368828
0.171875   487.138297   1524.237060   2938.019154   3886.820344
0.178125   668.505616   1644.551078   3185.974775   3648.030691
0.184375   901.001901   1663.092936   3135.440044   3480.093468
0.190625   780.595890   1576.939966   2747.064175   3782.204078
0.196875   1492.078219   2195.596086   2960.635118   4071.832984
0.203125   1157.711996   2218.785877   3139.585499   4143.210450
0.209375   1062.332192   1979.611589   3048.421763   3715.544024
0.215625   846.510112   1835.542707   3149.942377   3528.887916
0.221875   668.144517   1972.345880   2905.296359   3730.825365
0.228125   709.504419   1670.604511   2800.551429   3975.227160
0.234375   739.453216   1693.124844   2884.311977   3912.392660
0.240625   1540.677705   2653.326308   3628.821040   4764.239084
0.246875   1394.464379   2579.644004   3665.118856   4843.053537
0.253125   1449.408607   2773.369104   3250.495141   4849.042162
0.259375   1113.769228   1571.432885   2801.458646   3402.627424
0.265625   1471.923245   2448.116574   3809.789070   4794.506132
0.271875   450.641215   1553.416103   2748.729089   3905.754570
0.278125   692.209678   1635.294098   2852.787907   3692.421540
0.284375   1127.864288   2259.276293   3295.557654   4532.457851
0.290625   1057.674044   2129.028159   3456.302490   4319.322033
0.296875   1954.287092   2006.812873   3410.285370   4942.993526
0.303125   1935.646690   2193.643244   3447.372699   4933.749343
0.309375   665.578367   1952.865600   2951.869191   3746.331364
0.315625   700.749441   2011.566185   3301.005232   3872.099771
0.321875   601.130211   2024.299932   3089.644199   3965.783769
0.328125   1742.413784   3081.492837   3995.859769   4785.067100
0.334375   1616.181676   3097.412212   3971.253528   4668.019116
0.340625   1615.622246   3140.853123   4102.176592   4725.812987
0.346875   269.762203   2003.823967   3275.297227   4002.977658
0.353125   260.240848   1938.973760   3211.283360   3982.912536
0.359375   254.596944   1970.925907   3167.452112   4027.109143
0.365625   245.162571   2042.140647   3245.955080   4240.841822
0.371875   257.729730   2235.987519   3176.297348   4361.868571
0.378125   294.049059   2276.139055   3041.265175   4316.675076
0.384375   323.534786   2409.621690   3038.441318   4220.116776
0.390625   312.952123   2431.318366   3137.884341   3538.277878
0.396875   298.962822   2389.091133   3178.125685   3441.980872
0.403125   293.605768   2439.770287   3133.204729   3193.999475
0.409375   292.312216   2561.576861   3047.534142   3208.975510
0.415625   294.079551   2654.158670   2777.202597   3266.227802
0.421875   298.815572   2645.204722   3235.684433   4229.683573
0.428125   298.896337   2619.799818   3191.405884   4236.011145
0.434375   288.988822   2588.133345   3138.192356   4283.154565
0.440625   277.793632   2481.657078   3133.383190   4322.211666
0.446875   273.097037   2478.910024   3162.533063   4431.575737
0.453125   275.328042   2394.783774   3084.411377   4405.382265
0.459375   275.312422   2259.428761   3066.961071   4426.480252
