Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   681.414484   2030.049252   2965.010136   3642.272151
0.034375   559.599398   2038.629741   2925.766913   3681.907487
0.040625   565.746028   1989.936075   3044.433430   3705.602012
0.046875   609.597678   1951.399628   3015.087563   3684.597492
0.053125   725.118143   1898.892284   2924.725398   3796.546552
0.059375   864.782340   1904.759156   2989.366316   3834.802807
0.065625   776.783610   1852.851322   2973.003509   3770.005055
0.071875   720.475832   1865.293214   2992.151284   3901.398326
0.078125   786.433731   1880.973991   3054.718224   3790.694573
0.084375   831.540779   1832.179144   2821.769298   3631.074509
0.090625   783.591857   1791.379783   2798.951707   3731.106056
0.096875   814.517622   1818.791710   2916.053934   3864.095207
0.103125   799.578408   1895.201437   3010.107829   3846.177030
0.109375   909.686773   1928.365875   2965.018926   3750.819425
0.115625   857.201859   1904.285114   2870.964943   3888.050880
0.121875   725.054005   1918.131826   2981.960546   3791.798881
0.128125   792.630062   1890.251879   2961.342686   3744.961885
0.134375   939.515350   1885.394771   2982.728615   3792.577383
0.140625   898.064937   1804.443259   2995.554939   3918.407917
0.146875   821.588588   1821.108159   2987.039013   3892.274281
0.153125   652.506425   1857.456522   2676.967777   3826.993196
0.159375   650.253666   1725.678996   3096.109816   3160.965529
0.165625   705.466835   1674.771657   2859.562175   3667.663533
0.171875   886.475847   1760.618530   2900.193167   3724.959791
0.178125   890.194811   1875.624450   2922.471181   3878.948440
0.184375   851.973605   1871.877564   2878.517225   3898.084789
0.190625   676.846564   1791.748255   2794.556737   3850.583081
0.196875   731.284296   1827.486338   2805.147277   3833.881591
0.203125   758.198434   1873.213966   2761.246174   3908.853377
0.209375   752.779506   1808.871638   2811.999179   3879.690259
0.215625   796.157409   1773.795050   2792.647277   3878.804029
0.221875   773.588890   1789.940362   2865.657937   3850.671796
0.228125   778.875751   1819.957540   2873.782117   3861.456734
0.234375   729.530369   1799.392695   2836.756540   3868.666946
0.240625   615.386032   1725.319163   2789.680749   3772.149281
0.246875   644.452053   1852.537739   2897.452972   3695.799166
0.253125   698.745422   1877.371731   3055.565010   4058.088140
0.259375   636.367786   1819.922137   2967.829184   4109.965979
0.265625   582.467569   1831.873565   2951.469220   4044.271413
0.271875   648.146464   1904.844415   3067.546573   3982.374988
0.278125   664.387908   1953.418454   2979.539384   3894.861214
0.284375   477.604059   1833.925242   2970.308077   3856.943621
0.290625   671.736289   2064.459045   2907.682804   3841.763090
0.296875   816.114613   2316.075985   3351.096044   4727.592919
0.303125   650.102403   1959.105237   3057.732453   3723.387725
0.309375   521.115945   1520.709056   2809.223288   3861.709145
0.315625   723.406154   1699.498177   2778.668181   4249.009488
0.321875   656.281127   1970.415106   2957.768522   4275.388769
0.328125   712.159958   1952.348127   3146.498377   4566.217015
0.334375   639.773550   1901.038015   3027.185996   4465.161278
0.340625   631.259582   1871.963032   3034.342123   4345.397809
0.346875   679.778521   1741.906881   2913.863836   4179.963900
0.353125   769.333222   1580.051063   2439.597262   3737.796132
0.359375   610.522980   1674.949428   2729.440559   3699.004234
0.365625   639.351307   1703.538473   2783.497658   3595.835582
0.371875   596.116986   1718.090397   2796.937134   3447.283983
0.378125   345.346888   1717.152781   2827.663024   3506.119477
0.384375   360.142806   1770.100530   2854.986175   3747.466796
0.390625   364.141916   1830.784363   2889.906537   4153.944723
0.396875   369.660416   1852.736796   2098.751147   2907.310811
0.403125   365.550491   1840.662659   2304.284815   2903.789006
0.409375   352.734667   1817.565810   2771.844029   2787.966920
0.415625   353.450654   1796.726446   2774.213564   3187.051221
0.421875   341.147739   1812.324315   2799.350809   3903.608404
0.428125   324.566024   1831.152243   2818.506328   3777.939253
0.434375   327.860478   1879.471110   2815.399822   3796.906081
0.440625   384.177691   1966.358686   2872.852920   3783.453934
0.446875   425.086129   1996.341858   2895.943315   3314.210568
0.453125   454.275671   1945.135487   2908.495203   3132.522131
0.459375   482.161457   1954.728728   2954.610606   3107.552627
0.465625   496.950954   1792.022921   2896.780818   3515.539506
0.471875   503.825448   1798.386322   2881.890325   3745.584263
0.478125   506.331667   1980.615148   2889.529438   3895.535396
0.484375   506.697788   2046.303989   2910.652778   3894.673082
0.490625   504.462158   2100.009091   2972.990561   3950.061421
0.496875   499.994434   2184.584933   2975.528049   3054.855023
0.503125   497.506902   2238.198006   3065.086005   4085.257452
0.509375   494.082313   2291.292796   3094.138880   4104.019907
0.515625   492.385348   2340.581598   3073.611965   4003.465732
0.521875   483.039449   2381.817192   3029.820495   4012.379340
0.528125   467.349657   2350.920662   3015.929378   4135.889129
0.534375   453.157643   2315.869651   3045.083618   4293.801609
0.540625   431.476355   2330.509568   2694.528449   3107.647900
0.546875   408.756829   2332.206437   2516.624598   3392.296666
0.553125   382.829510   2294.705674   2605.991375   3502.053227
0.559375   356.139465   2263.186741   2809.413691   3512.404711
0.565625   342.216364   2269.273543   2848.902263   3492.268127
0.571875   337.355070   2283.874247   2878.539436   3472.506337
0.578125   338.105273   2299.040115   2890.398613   3475.268400
0.584375   345.243176   2329.473494   2887.709252   3426.689736
0.590625   353.016499   2426.272585   2674.359157   3252.484748
0.596875   347.264755   2465.945128   2777.250144   3267.089224
0.603125   332.599761   2427.419584   2867.776752   3289.525593
0.609375   323.722679   2432.864424   2663.270904   3195.135454
0.615625   324.529066   2420.705675   2449.004357   3249.976635
0.621875   325.365799   2288.503961   2429.450852   3245.057749
0.628125   324.970961   2196.855449   2446.171519   3131.947103
0.634375   322.446939   2395.911741   2425.405647   3181.542595
0.640625   320.193559   2260.222171   2414.304165   3250.388067
0.646875   318.994792   2368.804000   2405.222090   3220.490721
0.653125   318.070669   2309.967002   2404.432222   3386.849620
0.659375   317.415954   2399.159835   2496.944723   3318.192655
0.665625   319.172032   2387.531340   2530.652356   3296.583714
0.671875   324.994809   2384.297628   2545.428690   3349.056009
0.678125   328.532281   2385.576425   3035.943736   3172.417446
0.684375   328.147105   2368.699741   3052.861208   3216.628183
0.690625   331.459745   2384.132163   3065.200620   3066.392913
0.696875   331.578904   2382.733151   2606.339094   3093.573846
0.703125   327.114284   2362.465533   3047.494346   3155.549048
0.709375   327.531021   2356.909360   3130.219027   3984.008832
0.715625   327.142895   2373.009414   3182.482212   3440.617666
0.721875   326.291001   2377.645101   3203.987091   3414.093678
0.728125   324.461964   2368.730652   3151.606090   4120.267432
0.734375   321.179856   2376.475303   2766.459559   3203.260094
0.740625   317.770695   2354.044256   2766.341763   3203.376296
0.746875   315.443308   2259.235011   3017.816848   3267.685517
0.753125   314.174293   2251.995917   2897.099096   3234.524483
0.759375   313.371836   2133.389404   2829.552282   3466.596018
0.765625   314.275548   2137.252306   2955.829646   3448.682059
0.771875   321.177588   2153.001117   2980.438279   3394.279515
0.778125   350.881175   2098.351112   2990.064257   4497.206011
0.784375   395.615417   2039.772355   3075.010208   4560.128393
0.790625   438.623678   1964.628831   3126.453809   4588.643755
0.796875   391.963651   1950.243281   3129.740233   4606.149234
0.803125   331.444396   1950.686677   3085.736506   4521.755331
0.809375   319.742030   1939.650166   3196.973691   4502.453726
0.815625   158.689500   1974.150258   3239.167627   4536.347057
0.821875   476.218562   1988.323192   3145.379255   4507.139024
0.828125   592.303806   1952.052420   3057.485084   4498.146848
0.834375   1850.375222   3049.772850   4610.499817   4934.513926
0.840625   1830.570417   3155.150181   4774.143700   4792.848897
0.846875   1799.242688   3172.172985   4715.157362   4758.074169
0.853125   1711.941489   2578.572556   3928.243767   4790.673305
0.859375   1549.771694   2667.920076   4082.236076   4811.673193
0.865625   1546.470213   2720.137727   4205.744541   4809.771008
0.871875   1525.058669   2785.810391   4398.383348   4758.701579
0.878125   1485.498820   2788.574177   4308.685860   4673.270332
0.884375   1412.684587   2757.631270   4084.680761   4661.300157
0.890625   1422.385174   3120.474580   3763.056743   4688.489682
0.896875   1468.175207   3267.303011   3832.632295   4773.692473
0.903125   1633.386764   2548.682095   3923.478974   4801.979450
0.909375   1742.026022   1986.495996   3742.378569   4710.591524
0.915625   1452.482790   2869.086116   3571.562110   4787.347431
0.921875   1452.271901   3007.869085   4304.507363   5018.136126
0.928125   1468.221373   2901.485014   4301.534935   4816.588855
0.934375   1543.039647   2928.328225   4176.938025   4873.784913
0.940625   1335.214661   2829.183280   4133.004838   4873.798806
0.946875   1322.584360   2604.087082   4115.397138   4909.701572
0.953125   647.566811   1780.694132   2676.911208   4058.005053
0.959375   1291.407055   2568.500735   4215.042597   4798.304083
0.965625   1244.754718   2472.193974   4245.864961   4806.916521
0.971875   656.502237   1201.328827   2592.185898   4262.841889
0.978125   693.035116   1257.478618   3049.615230   4400.604671
0.984375   747.091469   1244.903084   2888.954813   4451.440986
0.990625   360.532763   1275.757371   2805.077247   4116.030585
0.996875   370.801297   1232.443245   2505.152205   3850.567983
1.003125   428.136088   1088.411815   2802.309037   3980.274675
1.009375   493.847629   1134.112825   2830.617507   3903.651077
1.015625   507.801032   1164.974536   2823.934564   3904.504152
1.021875   507.480079   1172.678304   2811.608067   3683.173894
1.028125   507.918892   1197.064264   2807.921081   3724.166232
1.034375   505.175798   1175.410857   2801.534291   3711.428267
1.040625   502.272201   1142.681681   2796.329485   3720.899124
1.046875   500.567533   1130.415233   2852.296100   3812.407881
1.053125   499.702905   1118.043517   2862.441675   3941.929609
1.059375   495.259084   1074.039507   2872.557056   3804.056562
1.065625   494.149287   1053.686354   2889.424317   3749.099833
1.071875   496.854736   1038.945319   2888.278442   3915.596968
1.078125   495.677189   1024.027817   2909.029422   3653.896917
1.084375   493.776820   1023.979671   2892.260495   3793.423176
1.090625   493.572050   1058.073764   2885.198639   3985.031341
1.096875   493.317134   1095.508426   2867.012294   3981.387316
1.103125   491.961383   1058.968327   2856.144912   3983.684428
1.109375   492.295246   1000.635355   2825.657306   3950.775075
1.115625   495.036243   1000.564061   2811.437595   3973.857747
1.121875   494.624375   1035.461658   2808.747597   3997.358059
1.128125   492.084987   1048.273035   2811.278639   3968.527602
1.134375   491.138948   1046.919809   2812.618904   3900.692891
1.140625   491.562294   1048.074950   2802.416478   3876.806855
1.146875   491.623282   1048.537196   2769.491532   3875.858897
1.153125   492.739600   1074.220130   2756.615613   3853.604908
1.159375   492.310375   1101.762713   2769.383328   3830.694378
1.165625   491.139868   1130.349002   2779.820855   3774.670681
1.171875   488.915275   1135.465000   2759.685464   3755.978027
1.178125   488.114310   1139.275042   2752.965855   3757.976653
1.184375   485.940198   1132.829253   2758.187594   3760.107369
1.190625   483.698547   1127.946278   2773.847386   3687.709285
1.196875   483.490397   1142.013251   2780.616198   3596.639391
