Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1237.247572   2226.246921   3269.641584   4415.119752
0.034375   1175.082407   2228.104276   3257.278432   4508.080301
0.040625   1234.914692   2382.359535   3414.157169   4816.605623
0.046875   1175.123638   2232.461392   3395.133831   4888.493789
0.053125   1118.744653   2204.991327   3417.585666   4395.276813
0.059375   1232.427747   2310.317754   3344.489139   4208.756015
0.065625   1437.936836   2252.316884   3362.532818   4620.317284
0.071875   1338.110547   2188.760880   3317.050558   4772.341240
0.078125   1765.016763   2755.994538   3839.623986   5124.403819
0.084375   311.687467   2161.311176   3366.049856   4572.288154
0.090625   620.193473   2409.096607   3708.749044   4523.665759
0.096875   509.619579   1823.495197   2705.947404   3786.498104
0.103125   474.980402   1597.268135   2778.479233   3779.073821
0.109375   341.629817   2119.015684   3141.809896   4458.921085
0.115625   388.388509   1821.572105   2680.382889   3883.474581
0.121875   381.344823   1747.168175   2795.824859   3832.910687
0.128125   361.855756   1822.871123   2796.488806   3896.558439
0.134375   478.718608   2313.829694   2436.465971   3810.974311
0.140625   371.852584   1873.846335   2986.849069   4016.323316
0.146875   349.973462   1672.940374   2772.640108   3975.451385
0.153125   411.171246   1530.094562   2788.199760   4058.663331
0.159375   427.564010   1499.473197   3008.580217   4052.820570
0.165625   285.980065   1770.493375   2971.800605   4298.599046
0.171875   857.231589   2267.946174   3189.489644   4389.287303
0.178125   339.082862   2129.110229   2959.173968   4020.829135
0.184375   319.216391   1733.748331   2855.882002   3936.587584
0.190625   210.140242   1656.669317   2705.687389   3761.655409
0.196875   556.887828   1478.342870   2494.843851   3790.016667
0.203125   1006.758374   2359.141241   3426.691735   4062.310383
0.209375   1211.956697   2384.031257   3211.499476   4258.809103
0.215625   692.978375   1914.750474   3272.532177   3298.526154
0.221875   652.360412   1796.715151   3201.354599   4682.469266
0.228125   510.783566   1738.048357   3213.249071   4686.091063
0.234375   515.685367   1883.533157   2993.837506   4349.889095
0.240625   742.700892   2079.902463   3304.438588   4353.364124
0.246875   521.853648   2099.603145   3265.129806   4283.251479
0.253125   1095.317886   2177.703373   2756.498080   4053.970269
0.259375   952.451371   2391.334625   3239.106939   4177.101156
0.265625   757.805940   2114.096367   3332.707953   4472.370719
0.271875   1606.987036   3192.260933   --undefined--   --undefined--
0.278125   292.895373   1642.153973   3021.188541   4253.324216
0.284375   1692.934642   3089.985239   --undefined--   --undefined--
0.290625   305.060899   2013.382358   3313.202171   3514.654074
0.296875   362.954261   2084.406443   2861.117324   3601.650518
0.303125   345.182428   2217.042079   3396.014081   4764.632843
0.309375   289.852068   2049.350647   3283.772374   4630.989719
0.315625   258.644694   1789.810311   3006.492962   3799.061495
0.321875   261.434417   1848.241275   3037.931001   4146.307025
0.328125   252.551667   1745.082952   2958.810698   4054.706319
0.334375   1703.988866   2790.817691   3754.577469   4933.497568
0.340625   1876.877077   2953.260525   3712.986830   5071.033302
0.346875   1620.688811   2809.626321   3835.126240   5029.068153
0.353125   1690.805780   2821.997676   3806.092600   4988.678073
0.359375   1677.137282   2737.951007   3745.690158   4985.388719
0.365625   1259.676981   2398.199496   3360.582040   4117.938310
0.371875   1549.800437   2407.505646   --undefined--   --undefined--
0.378125   318.769561   1663.524598   2609.998085   3911.001534
0.384375   207.497282   1657.452784   2635.938730   3913.659807
0.390625   374.273297   1871.561901   2593.580373   3700.105741
0.396875   474.565336   2170.440117   2626.224496   3770.797586
0.403125   544.540733   2219.533797   2929.996059   3725.275273
0.409375   424.811205   2213.113433   3519.932329   4336.778563
0.415625   249.571202   1989.688774   3266.429837   4247.090093
0.421875   1707.292825   2985.969774   --undefined--   --undefined--
0.428125   386.498560   1990.461186   3107.270256   4490.946321
0.434375   967.584499   1909.083762   3133.676576   4656.133540
0.440625   1371.375243   2524.120195   3552.956937   4872.159376
0.446875   1446.524367   2632.766891   3851.354944   4890.036324
0.453125   1586.145100   2795.138031   3757.053453   4903.683039
0.459375   1256.644786   2358.640171   3438.559342   4447.986635
0.465625   1394.151046   2302.847685   3261.564865   4414.041470
0.471875   456.648881   1880.209850   3086.084539   3944.601424
0.478125   403.313343   1846.924356   2948.254311   4157.252445
0.484375   406.265502   1875.662481   3021.849914   4054.880421
0.490625   1688.427479   2683.356227   3790.378705   4980.798132
0.496875   1568.405072   2577.873203   3959.138774   4761.381703
0.503125   1387.386222   2667.485280   4030.910358   4952.811355
0.509375   362.209381   1512.385323   2692.148734   3909.236072
0.515625   396.007538   1741.250270   2644.988215   3975.269765
0.521875   521.997650   1787.411357   2895.027768   4010.651511
0.528125   1089.909488   2665.751056   3542.606708   4456.188946
0.534375   1051.455779   2534.357333   3938.748435   4855.952259
0.540625   601.341735   1438.934390   2550.125426   3924.603798
0.546875   715.706734   2416.371516   3591.652430   4792.044902
0.553125   566.044617   2295.297004   3181.059540   4446.982574
0.559375   1556.273878   2763.273692   --undefined--   --undefined--
0.565625   1750.867620   3109.973120   --undefined--   --undefined--
0.571875   544.361065   1695.091769   3005.204780   3754.276395
0.578125   431.927668   1705.346374   2938.976214   3743.781661
0.584375   366.265035   1579.789544   2795.365338   3762.853930
0.590625   541.080332   2002.234098   3250.825544   3720.138977
0.596875   503.395862   1963.463672   3288.347151   4366.979073
0.603125   392.434599   1828.766741   3303.023774   4192.996283
0.609375   1333.476615   2074.527982   3395.433258   4195.591130
0.615625   1391.579303   2657.675830   3926.499201   5248.298730
0.621875   1333.191840   2699.726121   3581.256260   4984.765585
0.628125   1098.303323   2418.587539   3480.077601   4790.137095
0.634375   1180.533151   2617.857844   3550.542112   4733.204776
0.640625   1132.076324   2239.194396   3563.844241   4686.801813
0.646875   1138.003529   1996.768225   3238.601463   4553.085222
0.653125   922.204021   2187.777687   3283.611064   4643.669270
0.659375   484.547937   1732.605737   2886.472497   3810.595703
0.665625   1557.515757   3005.424485   4301.527506   4979.819980
0.671875   1209.552448   2363.803037   3262.072368   4407.777737
0.678125   1631.198656   2270.073719   3397.290242   4315.887844
0.684375   1571.505440   2703.045466   2958.212219   4188.879790
0.690625   1548.877714   3149.885558   3871.736115   5075.890527
0.696875   1004.252877   2337.481317   3376.512060   4342.690448
0.703125   968.022543   2274.437821   3284.625591   4401.373125
0.709375   889.288510   1985.471421   3069.072388   4408.912075
