Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1164.326622   2265.085682   3099.551655   4418.247490
0.034375   1135.778749   2213.991714   3065.515863   4315.940258
0.040625   908.430659   1775.462926   2233.032003   3662.367883
0.046875   856.001515   1639.071538   2227.143419   3712.573355
0.053125   813.933695   1884.573037   2117.117591   3678.145848
0.059375   1191.727717   2122.315371   3396.684860   4010.912224
0.065625   1242.827974   2095.933710   3124.182328   4140.480862
0.071875   1163.470398   2089.436106   3273.213128   3743.609461
0.078125   891.309229   2122.844772   3023.585032   3850.360861
0.084375   589.937085   2131.679322   2583.632401   3828.855826
0.090625   718.566719   1970.728678   2833.689670   4075.864924
0.096875   1163.468918   2121.828834   3065.682403   3861.499784
0.103125   1198.387995   1973.699835   2982.622496   3942.499978
0.109375   1054.679053   1924.993720   2861.297286   4255.068354
0.115625   1021.668830   1863.801981   2743.920853   4310.927058
0.121875   530.427091   1589.041661   2743.259362   4008.183869
0.128125   690.774053   1739.255859   2965.544508   4121.029045
0.134375   622.246130   1709.256362   3037.071272   4171.742750
0.140625   578.979090   1735.919147   2905.113102   3977.622066
0.146875   594.319596   1789.913790   2854.474744   4000.867111
0.153125   754.735946   1801.872747   2903.960570   4060.556934
0.159375   848.543254   1894.352270   2890.989959   4184.055303
0.165625   1142.896194   1853.321505   2952.350331   4238.435753
0.171875   407.242699   1626.284437   2839.381718   4036.098846
0.178125   861.934860   1801.383460   2880.523127   4128.266725
0.184375   1234.241300   1865.584174   2976.094978   4167.145315
0.190625   1098.784399   1982.603866   3079.811849   4158.064775
0.196875   1037.505744   1947.716003   2858.662784   4035.195018
0.203125   416.496493   1568.432210   2508.404896   4172.896879
0.209375   1179.771078   2116.127471   3980.848553   4203.812768
0.215625   803.808438   2247.898623   4131.950303   4188.986806
0.221875   763.323874   2172.800802   3249.249962   4126.350087
0.228125   795.738612   2134.757825   3571.671212   4181.124029
0.234375   754.339618   2136.089318   3428.127676   4217.693923
0.240625   793.254354   2191.900335   3322.539034   4224.230470
0.246875   848.492017   2272.769810   3597.182752   4298.574095
0.253125   899.851366   2255.171466   3712.928948   4312.708219
0.259375   913.979595   2242.890204   3718.410025   4358.903391
0.265625   892.726234   2209.167747   3957.361554   4413.665859
0.271875   1015.659939   1381.822332   3080.068705   4537.641027
0.278125   940.159932   1114.345613   3248.853012   4536.890758
0.284375   575.974046   1228.780900   3406.327119   4442.443481
0.290625   535.253548   1279.969039   3423.977996   4383.275074
0.296875   686.038287   1313.732275   3262.455390   4419.391338
0.303125   551.511199   1241.237363   2945.483835   4396.978970
0.309375   867.488041   2573.125412   4325.079473   4886.886118
0.315625   463.812393   720.847073   2543.412886   4226.223425
0.321875   444.029360   2424.381678   3779.060973   4739.018270
0.328125   489.859258   2592.664127   3660.811699   4665.446022
0.334375   502.100929   2522.427981   3795.275397   4772.228306
0.340625   508.601606   2438.816643   3924.564929   4903.928949
0.346875   511.498444   2499.150316   4073.038288   4858.065356
0.353125   500.286757   2561.979242   3828.217623   4815.681903
0.359375   486.385874   2569.209869   3819.420888   4859.070804
0.365625   462.259185   2584.306220   3949.586272   4841.051994
0.371875   446.732150   2590.324145   3821.969497   4750.263692
0.378125   425.824861   2587.413752   3753.582206   4695.816217
0.384375   404.268607   2595.704348   3726.898295   4689.290293
0.390625   388.196912   2606.335725   3653.469692   4674.786023
0.396875   373.100510   2612.098634   3633.364108   4719.193092
0.403125   361.135793   2618.039569   3622.125507   4869.114343
0.409375   356.694179   2606.379924   3578.525858   4940.396427
0.415625   345.282638   2465.916446   3550.429950   4947.004070
0.421875   343.817664   2300.510746   3583.625150   5035.021471
0.428125   337.039001   2320.360269   3746.902382   4903.090720
0.434375   316.078036   2300.385972   3424.417673   4906.812184
0.440625   310.348336   2313.064040   3165.203048   4883.891434
0.446875   314.425722   2342.813209   3213.532018   4720.116439
0.453125   1032.238582   2394.548097   4645.078448   5218.336146
0.459375   1501.515111   2146.305270   4762.350902   5255.668819
0.465625   1246.779268   2255.327448   4709.179460   5278.729391
0.471875   1164.666973   2280.122036   4731.683898   5261.982813
0.478125   1159.916969   2403.360364   4612.128647   5205.413903
0.484375   1404.601318   2434.734184   4582.386239   5150.464154
0.490625   1830.302729   2511.879465   4669.960561   5144.996599
0.496875   1874.124362   2593.289581   4648.600598   5085.348580
0.503125   1814.806035   2425.006624   4523.755764   5042.723825
0.509375   1751.686858   2298.686324   4534.106674   5064.434310
0.515625   1747.819925   2595.972298   4669.424850   5255.038563
0.521875   1660.769541   2345.501248   3880.821106   4733.108538
0.528125   1616.113348   2134.308379   2969.032731   4773.996687
0.534375   1419.221214   2106.359628   2701.491277   4735.416430
0.540625   1305.331853   1575.264095   2548.384830   4695.725490
0.546875   1171.137999   1461.473269   2422.314202   4615.550717
0.553125   1159.613989   1774.496426   2641.076758   4687.362451
0.559375   1351.018936   1898.879851   4731.154652   5287.088135
0.565625   1344.117646   1881.876141   3862.786754   4754.176682
0.571875   1317.578696   1842.560090   4782.457447   5244.276271
0.578125   1280.326676   1804.683278   --undefined--   --undefined--
0.584375   1290.160820   1514.808696   2436.876690   4753.637789
0.590625   1263.183498   1456.398983   1961.741018   4695.285791
0.596875   1269.483570   1456.641465   1972.967741   4828.544849
0.603125   1121.273901   1292.767414   1802.722104   4962.579747
0.609375   1036.956782   1283.568065   1652.645475   4868.339722
0.615625   1233.722481   1364.425973   4784.702128   5087.097032
0.621875   1183.568652   1320.758461   4256.882687   5072.524903
0.628125   1124.658858   1352.434735   4576.387682   5046.597882
0.634375   1212.540175   1242.436300   4830.336999   5142.276869
