Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1080.310162   2182.861838   3005.951383   4286.901127
0.034375   1079.239501   2191.353522   2938.609928   4251.916946
0.040625   1106.799198   2211.474919   2972.963879   4248.309347
0.046875   1122.255065   2158.130040   3017.398312   4279.443017
0.053125   135.309487   1828.633372   3092.666814   4469.436879
0.059375   1969.481496   3271.906196   --undefined--   --undefined--
0.065625   2091.732839   3104.641759   --undefined--   --undefined--
0.071875   1995.075195   3021.851421   --undefined--   --undefined--
0.078125   2001.437423   3354.068701   --undefined--   --undefined--
0.084375   2029.905273   3408.853746   --undefined--   --undefined--
0.090625   2032.096313   3138.719874   --undefined--   --undefined--
0.096875   2104.784427   3104.249718   --undefined--   --undefined--
0.103125   1972.276758   2879.430646   --undefined--   --undefined--
0.109375   1906.892469   3047.521828   --undefined--   --undefined--
0.115625   2068.064555   3177.939514   --undefined--   --undefined--
0.121875   1892.605343   3137.644803   --undefined--   --undefined--
0.128125   1952.444837   3112.143542   --undefined--   --undefined--
0.134375   2085.990706   3099.119991   --undefined--   --undefined--
0.140625   2067.189022   3146.815040   --undefined--   --undefined--
0.146875   2020.627518   3191.949392   --undefined--   --undefined--
0.153125   2064.721163   3085.367941   --undefined--   --undefined--
0.159375   2085.123992   2986.069023   --undefined--   --undefined--
0.165625   2053.212974   2955.817680   --undefined--   --undefined--
0.171875   2196.950102   2877.419115   --undefined--   --undefined--
0.178125   1939.567420   2923.118759   --undefined--   --undefined--
0.184375   1877.644638   2998.965714   --undefined--   --undefined--
0.190625   2091.678953   3552.083441   --undefined--   --undefined--
0.196875   2010.156438   3313.206612   --undefined--   --undefined--
0.203125   2069.367187   3353.279177   --undefined--   --undefined--
0.209375   2139.316759   3090.210219   --undefined--   --undefined--
0.215625   1987.164832   2973.400754   --undefined--   --undefined--
0.221875   1963.937749   3058.530276   --undefined--   --undefined--
0.228125   1962.126116   3061.725537   --undefined--   --undefined--
0.234375   2070.975410   3103.022921   --undefined--   --undefined--
0.240625   2023.037241   3140.746377   --undefined--   --undefined--
0.246875   2052.621394   3100.083757   --undefined--   --undefined--
0.253125   1953.199816   3040.348625   --undefined--   --undefined--
0.259375   1999.927024   3070.250271   --undefined--   --undefined--
0.265625   1946.030333   3083.566439   --undefined--   --undefined--
0.271875   2024.164137   3129.272301   --undefined--   --undefined--
0.278125   2067.407246   3119.629658   --undefined--   --undefined--
0.284375   2096.511618   3191.795151   --undefined--   --undefined--
0.290625   2085.239749   3267.992249   --undefined--   --undefined--
0.296875   2019.735177   3236.417743   --undefined--   --undefined--
0.303125   1929.117464   3153.916794   --undefined--   --undefined--
0.309375   1886.482772   3039.582295   --undefined--   --undefined--
0.315625   1884.828531   3000.117065   --undefined--   --undefined--
0.321875   1946.517429   3068.627106   --undefined--   --undefined--
0.328125   1912.392829   3073.483147   --undefined--   --undefined--
0.334375   1973.773807   3206.513913   --undefined--   --undefined--
0.340625   2053.338301   3134.999152   --undefined--   --undefined--
0.346875   2137.893214   3106.945420   --undefined--   --undefined--
0.353125   2092.223306   3200.647302   --undefined--   --undefined--
0.359375   2046.582726   3171.685900   --undefined--   --undefined--
0.365625   1914.522198   3068.852256   --undefined--   --undefined--
0.371875   2054.661114   3029.280475   --undefined--   --undefined--
0.378125   2051.263708   3183.002768   --undefined--   --undefined--
0.384375   1851.411030   3190.718696   --undefined--   --undefined--
0.390625   2047.091813   3065.178626   --undefined--   --undefined--
0.396875   2058.823140   3055.324842   --undefined--   --undefined--
0.403125   2118.109766   3150.696094   --undefined--   --undefined--
0.409375   2088.820208   3211.313663   --undefined--   --undefined--
0.415625   1980.945969   3166.115597   --undefined--   --undefined--
0.421875   2062.381419   3158.024076   --undefined--   --undefined--
0.428125   2116.724127   3004.455771   --undefined--   --undefined--
0.434375   2053.337019   3086.057076   --undefined--   --undefined--
0.440625   1968.449979   3163.015732   --undefined--   --undefined--
0.446875   2029.555149   3161.160707   --undefined--   --undefined--
0.453125   2068.849554   3395.735509   --undefined--   --undefined--
0.459375   2031.772356   3273.017330   --undefined--   --undefined--
0.465625   2013.155497   3171.945706   --undefined--   --undefined--
0.471875   1951.795145   3140.739994   --undefined--   --undefined--
0.478125   2070.107443   3156.210391   --undefined--   --undefined--
0.484375   1995.766269   3157.533848   --undefined--   --undefined--
0.490625   1978.312192   3071.191298   --undefined--   --undefined--
0.496875   1884.466452   3041.717673   --undefined--   --undefined--
0.503125   2009.722913   3130.711514   --undefined--   --undefined--
0.509375   2175.308956   3091.161831   --undefined--   --undefined--
0.515625   2021.262203   3057.309998   --undefined--   --undefined--
0.521875   1266.771046   2009.149091   3281.661484   4353.318399
0.528125   1525.128661   2059.626653   3082.591583   4089.343155
0.534375   732.716126   1680.794312   2797.929764   3979.500404
0.540625   1118.399353   1624.922862   3019.651321   4094.275690
0.546875   1407.803142   1879.875397   3046.100578   4285.520452
0.553125   955.863299   1583.365817   3026.494856   4334.930213
0.559375   995.004579   1584.057846   2858.747143   4192.788542
0.565625   1355.643413   2323.963328   3017.989252   4375.355674
0.571875   1456.302626   2829.031810   --undefined--   --undefined--
0.578125   553.307018   1658.061766   2848.049012   4146.232308
0.584375   1480.696359   1811.661701   2947.861288   4264.031520
0.590625   1510.527990   2929.622184   4116.389600   4647.149892
0.596875   611.400944   1402.612581   2851.351782   3909.121960
0.603125   654.623992   1630.631220   2894.822046   4118.216890
