Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   997.374321   2014.916370   3190.824063   3932.021434
0.034375   1124.302060   2077.658105   3284.201092   3963.615495
0.040625   1189.940382   1985.767876   3259.220769   4062.664267
0.046875   1308.716525   2047.649441   3160.706944   4120.920341
0.053125   1411.693141   2313.404977   3490.849691   4433.199353
0.059375   1093.371006   2027.814749   3636.677577   4063.978627
0.065625   1063.824016   2231.311353   3422.187494   4384.286974
0.071875   1365.145650   2499.091204   3378.458296   4500.675748
0.078125   1400.372627   2277.772575   3038.706206   4353.528868
0.084375   1332.859987   2219.759046   3369.483972   4417.298486
0.090625   1367.816369   2352.203620   3517.186014   4516.158537
0.096875   1296.457543   2606.700443   3398.874888   4473.834730
0.103125   1193.963002   2052.607864   3262.991496   4227.484029
0.109375   1166.655995   2121.744801   3341.297003   4264.930211
0.115625   1286.498442   2167.227686   3395.804613   4464.887556
0.121875   1441.506420   2362.016353   3552.607906   4418.573939
0.128125   1400.801421   2272.891686   3544.465571   4452.536340
0.134375   1312.437463   2034.075201   3213.790248   4181.598023
0.140625   1121.652454   2035.529385   2951.426238   4101.608184
0.146875   1051.619536   2279.441498   2995.956736   4138.914614
0.153125   1140.096805   2448.810592   3680.217046   4318.014254
0.159375   1169.191696   2314.717132   3349.043967   4479.746034
0.165625   1054.909318   2162.198388   3111.621839   4300.200890
0.171875   1057.802802   2120.535627   3073.278974   4061.371614
0.178125   1265.771962   2503.184767   3119.804392   4207.252593
0.184375   1223.123781   2424.225629   3176.940254   4159.582312
0.190625   1141.728542   2275.240472   3175.225062   4217.960810
0.196875   1160.660764   2174.956263   3157.452317   4231.870437
0.203125   1179.569078   2192.652255   3170.184195   4241.745878
0.209375   1117.006044   2376.727452   3120.632543   4502.966659
0.215625   1212.194182   2564.981535   3555.615022   4550.003277
0.221875   1252.387343   2401.909216   2829.625884   3978.134333
0.228125   1408.696698   1942.838646   3163.795713   4125.176845
0.234375   1329.700983   1803.012638   3094.571854   4047.374685
0.240625   1105.398561   2151.290331   3039.097818   3979.586779
0.246875   1137.615038   2214.336201   3145.795895   4149.753417
0.253125   1078.841977   2194.130921   3212.607593   4244.861978
0.259375   1088.239173   2123.523007   3227.695032   4317.839470
0.265625   1091.455190   2023.834817   3405.008352   4368.700957
0.271875   1201.558365   2230.829268   3427.060922   4309.418669
0.278125   1194.092624   2445.028882   3140.528879   4388.002049
0.284375   1283.735479   2240.659883   3320.635518   4369.298234
0.290625   1182.893486   2204.746098   3258.362929   4133.134726
0.296875   1168.462186   2490.526916   2998.649483   4089.082323
0.303125   1250.743565   2641.447973   3622.056406   4568.026484
0.309375   1275.471213   2543.274820   2948.809013   3992.720397
0.315625   1408.824640   2022.552839   2932.836383   4068.055962
0.321875   1508.141095   1934.539568   2954.043817   4069.174822
0.328125   1152.049556   2332.330414   3736.980047   3824.708686
0.334375   1134.532115   2321.525794   3474.224413   4379.132783
0.340625   1223.722149   2307.197228   3333.040551   4601.002617
0.346875   1209.877719   2052.303734   3118.502166   4214.609863
0.353125   1126.593336   1911.597736   3330.510892   4293.491014
0.359375   1172.375648   2074.649524   3358.713006   4537.614719
0.365625   1174.728435   2254.377913   3228.403289   4477.265886
0.371875   1145.385375   2208.843196   3221.190303   4220.533469
0.378125   1076.653939   2288.286762   3200.551237   4175.401268
0.384375   1120.622918   2429.485283   3265.721908   3942.773064
0.390625   1154.399087   2375.271842   3369.029734   3899.713427
0.396875   1080.016259   2176.137816   3174.847084   4036.729305
0.403125   1124.400186   2045.980768   3193.575754   4076.499105
0.409375   1019.357390   2124.113477   3175.308131   4127.208953
0.415625   1078.970699   2301.387954   3194.887343   4123.387768
0.421875   1616.218486   2843.516249   --undefined--   --undefined--
