Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1024.900497   2211.696163   3182.843887   4861.843423
0.034375   998.870303   2244.529771   3228.693185   4848.461269
0.040625   1012.295405   2132.550094   3293.811253   4660.197221
0.046875   1051.183011   1979.851430   3388.097516   4419.715676
0.053125   653.036919   1519.891379   2631.737241   3623.232645
0.059375   1085.701381   2583.731485   3430.843568   4495.701559
0.065625   376.107518   1659.297683   3038.246674   4214.352107
0.071875   1186.938673   2791.275104   3798.829075   4836.128174
0.078125   1195.267837   2807.530873   4094.189779   4973.247930
0.084375   528.332945   1333.269827   2844.792596   3890.544835
0.090625   1295.578818   2825.035819   3795.177613   4758.208799
0.096875   1184.523457   2077.534440   3468.793088   4511.300903
0.103125   629.974856   1943.837151   3333.374422   4519.044005
0.109375   307.300653   1511.516385   3263.794552   4717.304711
0.115625   1034.072126   2281.544218   3655.900708   4873.128561
0.121875   566.435835   1943.964962   2771.594253   3667.690263
0.128125   517.855252   2214.577991   3415.628044   3448.378770
0.134375   421.704872   1782.764319   3232.425107   4270.803759
0.140625   478.549805   1548.166499   2949.524479   3872.166033
0.146875   1090.788226   2695.702347   3714.511951   4862.970480
0.153125   1189.550613   2497.022466   3550.912726   4531.990784
0.159375   1169.111135   2438.246125   3400.165058   4544.963860
0.165625   1081.547578   2277.689926   3377.092709   4419.105952
0.171875   1070.763684   2112.704779   3438.241677   4405.230965
0.178125   1042.466043   2107.760774   3292.960642   4513.142627
0.184375   860.039061   2037.486732   3235.899613   4589.681381
0.190625   592.486025   1760.267432   3217.033683   4416.986105
0.196875   589.365415   1931.756928   3255.439565   4131.952283
0.203125   955.615591   2048.535902   3427.006191   4218.349361
0.209375   896.786388   2167.893583   3398.728246   4341.859020
0.215625   609.968326   1974.874524   3381.877537   4341.042842
0.221875   457.924942   1821.753740   3318.800673   4388.252382
0.228125   363.529583   1820.333272   3299.026500   4384.372971
0.234375   630.741413   1988.231330   3268.058457   4340.513724
0.240625   846.878642   2150.894109   3350.787257   4481.899341
0.246875   397.932875   1849.704613   3103.832081   3431.661321
0.253125   264.040946   1830.098594   3211.299744   3615.924608
0.259375   783.551165   2456.269464   3452.963080   4517.492397
0.265625   957.308616   2289.801022   3319.740680   4534.601700
0.271875   1109.033962   2252.745996   3342.875650   4555.151512
0.278125   740.358673   1859.377708   3359.830879   4600.626988
0.284375   992.267631   2135.461579   3415.818054   4652.222819
0.290625   1019.683239   2049.891653   3429.999507   4761.939040
0.296875   1076.535618   2315.232362   3524.873088   4833.343973
0.303125   511.382142   1709.763513   2610.735815   3754.752345
0.309375   467.396481   1412.462685   2764.049547   3890.795628
0.315625   1121.708652   2329.323184   3286.184330   4359.979019
0.321875   909.598000   2258.510752   3327.935524   4371.588476
0.328125   879.115227   2322.773721   3395.061250   4428.409757
0.334375   1077.757387   2491.679077   3456.786169   4939.268197
0.340625   931.682227   2333.969686   3346.059864   4588.746462
0.346875   426.083819   1894.235944   3389.373714   4150.502521
0.353125   477.944568   1893.714830   3401.028062   4442.223662
0.359375   1096.577053   2556.810015   3415.030266   4671.582013
0.365625   1066.855459   2778.517337   3193.450171   4358.171912
0.371875   1113.739538   2365.014065   3331.088520   4274.320905
0.378125   996.942002   2337.349615   3334.615629   4344.819163
0.384375   862.253058   2240.102347   3363.951117   4395.428740
0.390625   877.371769   2175.272760   3426.205726   4605.455254
0.396875   1041.091455   1995.928816   3335.430782   4393.788229
0.403125   1294.723684   1599.885205   3363.926891   4319.608349
0.409375   1435.315129   2832.018739   3820.031970   4774.751695
0.415625   1064.274920   2339.778796   3453.417641   4396.907626
0.421875   1193.242036   2279.355061   3405.372688   4471.536190
0.428125   1024.577509   2042.741378   3399.785156   4527.215075
0.434375   1211.225459   2115.792135   3373.659291   4552.307599
0.440625   1171.486176   2349.023379   3517.580087   4546.280642
0.446875   999.473555   2194.817150   3441.597585   4763.342334
0.453125   898.042128   2169.857489   3366.880710   4695.069638
0.459375   1163.777090   1958.893759   3273.572841   4740.099387
0.465625   1084.772848   2191.835055   3412.249302   4779.202082
0.471875   996.479071   2481.020448   3465.544103   4672.721365
0.478125   1054.876961   2411.105182   3487.190511   4863.545956
0.484375   558.335437   2084.939983   3305.277292   4415.197450
0.490625   721.729219   2131.126918   3361.632502   4463.890369
0.496875   1860.997943   3102.716894   --undefined--   --undefined--
0.503125   834.876721   2218.102140   3333.446351   4264.247881
0.509375   1095.580534   2335.042124   3293.010499   4415.245670
0.515625   665.365947   2121.639097   3143.648320   4457.932636
0.521875   499.697724   1863.410351   3021.979447   3941.145868
0.528125   174.240488   1538.713035   2729.500671   3870.170336
0.534375   258.088408   2139.853101   2903.791203   4271.520545
0.540625   572.793081   2083.741307   3060.982283   4330.471314
0.546875   559.195839   1558.147696   2927.802371   3801.795179
0.553125   273.173261   1297.594317   2981.463289   3719.015497
0.559375   853.617012   2413.527421   3373.000560   4513.670680
0.565625   717.870430   2401.022842   3244.603570   4601.758087
0.571875   455.825668   2453.377614   2597.866142   3284.577737
0.578125   661.518008   2396.941981   3509.773625   5009.735010
0.584375   324.768538   1629.292499   2839.173633   3843.855131
0.590625   302.488495   1673.590550   2827.235821   3838.645123
0.596875   540.723188   1923.340331   2424.593083   3784.999678
0.603125   685.419681   2112.452334   3629.855889   4844.068775
0.609375   1190.840040   2085.408837   3564.635912   4787.288894
0.615625   346.081666   1732.260562   2950.129636   3756.453473
0.621875   520.619663   2062.776936   3221.268622   4461.669557
0.628125   519.909697   2108.569421   3144.834278   4348.099592
0.634375   447.526087   1994.029734   3123.436088   4084.030216
0.640625   410.049416   1328.599495   3039.786008   3947.660074
0.646875   433.020807   1152.937155   3415.221010   3607.039649
0.653125   457.514994   1164.121344   3514.969597   3806.368370
0.659375   469.561537   1161.617390   3476.640959   3988.432657
0.665625   477.340677   1102.521469   3465.880914   4009.142385
0.671875   489.814640   1030.520329   3455.184116   3977.325909
0.678125   359.405140   507.992773   3438.327517   3912.136949
0.684375   510.402733   3407.492725   3885.128822   4487.383219
0.690625   493.497634   3371.070704   3819.880112   4491.238680
0.696875   461.764426   3332.780271   3848.940267   4488.169132
0.703125   414.269971   3363.544296   3862.171091   4490.302406
0.709375   370.127612   3385.010270   3889.165807   4487.285659
0.715625   406.210178   1873.431128   3367.935755   4389.258469
0.721875   507.600991   1833.320627   3337.534324   4264.122053
0.728125   519.853263   1906.435886   3505.154084   3671.003145
0.734375   522.402983   2002.626777   2978.911174   3796.392701
0.740625   522.704587   2118.199912   2583.406337   3992.225166
0.746875   519.341872   2060.251648   2651.773208   4043.802946
0.753125   516.971193   2146.738664   2721.847470   4072.518173
0.759375   516.780862   2350.933813   2757.753894   4093.448923
0.765625   513.045580   2432.886989   2825.949974   4144.132059
0.771875   510.065525   2514.202148   2932.763123   4194.769536
0.778125   510.952149   2518.259924   2974.404953   4230.714440
0.784375   486.830774   2637.282746   3068.031434   4297.746505
0.790625   454.944282   2755.258873   3222.343970   4245.389225
0.796875   415.018317   2707.303646   2915.185256   3836.597652
0.803125   390.281709   2518.612168   2916.517339   3746.649231
0.809375   385.219042   2519.900476   2774.748669   3665.628623
0.815625   393.744519   2545.611413   2761.528841   3678.899779
0.821875   389.507266   2493.894654   2774.739547   3671.495253
0.828125   366.304307   2526.276576   2849.683246   3650.284557
0.834375   343.564390   2475.441916   3111.575801   3613.837988
0.840625   340.870600   2472.110700   3353.169736   3415.478099
0.846875   343.950968   2525.386643   3375.071663   3843.795852
0.853125   338.035692   2574.733176   3419.400175   4341.716260
0.859375   324.057763   2677.140599   3523.045228   4374.121872
0.865625   306.729840   2510.695605   2876.605488   3903.474658
0.871875   299.656538   2353.116427   3082.097160   4027.842829
0.878125   307.130529   2345.965062   3224.896319   4310.712014
0.884375   302.081293   2328.528348   3105.942327   4328.658549
0.890625   308.293583   2361.188258   2990.138735   4208.983654
0.896875   328.238027   2367.480973   3170.526083   4235.561636
0.903125   309.552430   2286.644265   3376.818342   4352.317305
0.909375   291.707660   2193.391011   3387.187919   4219.430301
0.915625   372.388072   2192.016632   3466.209577   4241.109694
0.921875   529.090765   2232.108327   3379.540864   4416.082888
0.928125   547.167513   2341.001164   3085.282814   4325.727812
0.934375   2166.111485   3465.325621   4379.586105   5188.490601
0.940625   2049.493563   3322.813828   4417.650790   5175.165800
0.946875   1945.084611   3383.483461   4376.591631   5188.233551
0.953125   1917.713211   3195.235592   4460.737383   5320.474166
0.959375   775.818751   2077.523901   3169.452494   4420.138917
0.965625   935.302891   1927.971289   3389.292411   4474.423047
0.971875   413.038723   1747.093531   3428.540175   4557.133056
0.978125   1659.092319   3403.640567   4532.328879   5215.956027
0.984375   1570.100051   3265.072305   4473.350353   5425.011380
0.990625   1621.856724   2988.352095   3811.457739   4656.520149
0.996875   1552.901691   2446.613214   3702.506893   4664.568375
1.003125   1581.937643   3070.542092   4484.760340   4928.362804
1.009375   241.430847   1628.253947   3147.178557   4374.824663
1.015625   540.606673   1608.803519   3129.990013   4688.130677
1.021875   515.611146   1636.608570   2874.194589   4197.082268
1.028125   502.639575   1714.479491   2870.412992   4197.745341
1.034375   226.117193   1654.479317   3148.696723   4430.117937
1.040625   1545.890641   2495.242573   3368.776105   4647.656299
1.046875   1499.585848   1742.800548   3351.656903   4671.517017
1.053125   735.456403   1510.601085   3523.672946   4714.697646
1.059375   716.856845   1544.653622   3580.426088   4694.082608
1.065625   680.978650   1511.679740   3242.805923   4496.212841
1.071875   694.621508   1457.054334   3001.267630   4531.989700
1.078125   743.884982   1462.590317   2937.057038   4390.252100
1.084375   653.622097   1538.128588   3022.530356   4321.001507
1.090625   517.761816   1353.461031   3071.531737   4379.092534
1.096875   585.014047   1221.272259   3027.003128   3918.372165
1.103125   636.240796   1226.805289   2874.442837   3916.176058
1.109375   672.037845   1220.099443   2938.770684   3923.598769
1.115625   678.596622   1196.217036   3090.041865   4124.188645
1.121875   681.645981   1190.636072   3089.542957   4138.467207
1.128125   689.087201   1189.789360   3061.255094   3995.429369
1.134375   691.325847   1177.894054   3048.579731   3908.157249
1.140625   685.938834   1163.954687   3067.893504   3803.236897
1.146875   680.387115   1161.440178   3158.336039   3744.609687
1.153125   683.650029   1157.523151   3310.317865   3907.797749
1.159375   682.859736   1152.789398   3309.882838   4057.458898
1.165625   677.614875   1150.480428   3293.389436   4013.182296
1.171875   680.599289   1143.254950   3279.683161   4066.367116
1.178125   681.492733   1137.174609   3263.306456   4091.503603
1.184375   675.999033   1130.661777   3239.082734   4087.214119
1.190625   670.818102   1120.788992   3232.092629   4090.722190
1.196875   666.308852   1119.287959   3242.577301   4107.439612
1.203125   658.607825   1104.248700   3272.563636   4077.649319
1.209375   648.292743   1072.658411   3313.156044   4034.184952
1.215625   634.843337   1021.424645   3351.421873   4128.430046
1.221875   639.126476   915.466434   3387.883584   4165.675873
1.228125   668.866085   757.610719   3402.912577   4153.386856
1.234375   666.470117   717.474109   3408.038662   4139.835923
1.240625   668.023316   681.194174   3414.549230   4148.213529
1.246875   617.390622   749.503292   3431.905662   4140.261143
1.253125   549.050035   848.700035   3433.742345   4143.199424
1.259375   521.527408   893.569447   3434.015862   4171.260659
1.265625   472.082054   959.891605   3440.382855   4240.028064
1.271875   390.596978   1053.037073   3449.309682   4294.377261
1.278125   257.226137   1136.934910   3464.687462   4302.683624
1.284375   333.910253   1166.577096   3439.074357   4352.228557
1.290625   419.819316   1188.026750   3395.639206   4556.848599
1.296875   465.231460   1184.703211   3274.076913   4412.769193
1.303125   741.569703   1222.320448   3431.176053   4496.699969
1.309375   742.123865   1840.921938   3522.661022   4720.230999
1.315625   709.151165   2038.402553   3471.009433   4372.173428
1.321875   669.191820   2034.523176   3331.457917   4217.688972
1.328125   695.178613   1943.607883   3141.528554   4204.599716
1.334375   717.861589   1973.035383   3229.652928   4247.383569
1.340625   782.312198   2018.912884   3399.195972   4433.783401
1.346875   848.871217   2031.796353   3369.730151   4485.741626
1.353125   841.653850   1931.292818   3360.012184   4554.124745
1.359375   753.429901   1967.446616   3406.775969   4463.048326
1.365625   797.183067   1970.754770   3386.179979   4374.870523
1.371875   869.243031   2094.137292   3477.628821   4523.265709
1.378125   860.116338   1975.047380   3431.818442   4494.115618
1.384375   847.028058   2058.960974   3327.066229   4303.315534
1.390625   888.093831   2050.059716   3309.554156   4231.767587
1.396875   756.935544   1819.546782   3443.699253   4384.071294
1.403125   500.565298   1776.852497   3391.074358   4324.809892
1.409375   1478.679946   3123.417782   3965.797007   5100.631752
1.415625   1072.239515   2560.654000   3790.113419   4624.958286
1.421875   1014.147646   2565.565700   3492.958087   4685.264814
1.428125   1000.691919   2230.792958   3486.988943   4615.375989
1.434375   801.791588   2163.410936   3614.893798   4433.089432
1.440625   966.664512   2219.360404   3497.996567   4544.848066
1.446875   718.932854   2008.546784   3434.239793   4629.706501
1.453125   760.336469   2036.035178   3459.876495   4633.285008
1.459375   655.030479   2089.194837   3507.495328   4625.962685
1.465625   530.165334   2123.837847   3437.409329   4315.714689
1.471875   439.942241   2114.720898   3449.376654   4386.431970
1.478125   486.862579   2146.819268   3368.202802   4386.916016
1.484375   517.473950   2108.418581   3270.972630   4316.015641
1.490625   574.052047   2104.766630   3247.574865   4263.228362
1.496875   602.765194   2068.984460   3253.615072   4293.669948
1.503125   620.564960   2001.299924   3260.453316   3442.144890
1.509375   622.051932   1990.898345   3366.875572   3368.055214
1.515625   622.615208   1983.196432   3344.016158   3685.487012
1.521875   623.659451   2000.030081   3285.767670   4093.712528
1.528125   650.160541   2022.871091   3253.266334   3956.871425
1.534375   672.859490   1926.853247   3370.789002   3580.758566
1.540625   708.125618   1874.148437   3379.157010   3559.302087
1.546875   727.699002   1847.459393   3328.998914   3462.619857
1.553125   720.287468   1778.653392   3425.559814   3463.911587
1.559375   702.683595   1682.924628   3279.962636   3769.363022
1.565625   685.706211   1604.404179   3202.405619   3752.216697
1.571875   670.507274   1585.561023   3251.188070   3879.767003
1.578125   628.601085   1524.793917   3305.608916   3904.914863
1.584375   555.381798   1433.050940   3283.374755   4147.369376
1.590625   533.594515   1410.901768   3191.505582   4285.465074
1.596875   534.432798   1425.016830   3214.364505   4310.833842
1.603125   557.345630   1388.960858   3241.957068   4319.817375
1.609375   552.485265   1321.405235   3258.511902   4331.185576
1.615625   534.179240   1286.402201   3266.519801   4277.816724
1.621875   548.269716   1228.568760   3199.416954   4249.185734
1.628125   568.651131   1252.739022   3207.396667   4282.830415
1.634375   627.577379   1329.284479   3219.632753   4368.981675
1.640625   663.705275   1379.989444   3239.768715   4363.396801
1.646875   679.499555   1365.733962   3244.273057   4263.120567
1.653125   695.201906   1357.858494   3197.880851   4252.552928
1.659375   706.394894   1369.611107   3160.410999   4141.669220
1.665625   711.502891   1377.808042   3133.913461   4071.695727
1.671875   721.410662   1383.518525   3092.491994   3823.104478
1.678125   719.938393   1401.518035   3064.569410   4091.140557
1.684375   746.960401   1401.904831   3065.068015   4075.204558
1.690625   749.561462   1412.951885   3022.026781   4016.977343
1.696875   788.138180   1427.094119   2987.960972   4040.848737
1.703125   773.041395   1455.898188   2921.988652   4022.157463
1.709375   765.721710   1478.235000   2888.757027   3986.645745
1.715625   769.804708   1432.904729   2894.033150   3882.935076
1.721875   720.445983   1363.885558   2923.037417   4007.355316
1.728125   716.824567   1392.054227   2988.335088   4102.727685
1.734375   676.085265   1372.749395   3105.895660   4167.579973
1.740625   683.416338   1378.962396   2933.715995   4027.563902
1.746875   701.182369   1439.161426   2903.039951   3891.682390
1.753125   721.948186   1448.699778   2909.312014   3839.722932
1.759375   692.766540   1472.761418   3022.055280   4123.648674
1.765625   787.312864   1384.690370   3125.758136   4212.076156
1.771875   781.988416   1415.518006   3007.420629   4190.529178
1.778125   881.246954   1446.401489   3010.423692   4412.329391
