Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   930.390233   1940.151684   3041.170267   3873.045076
0.034375   937.608068   2038.463632   3242.918382   3938.361983
0.040625   1037.770383   2128.579778   3198.019703   4225.310440
0.046875   1121.404319   2341.547671   3186.405800   4267.484193
0.053125   1298.750909   2584.910598   3550.992940   4500.689895
0.059375   1413.492037   2486.932744   3366.542787   4608.083247
0.065625   1327.641962   2398.732869   3359.754169   4530.084184
0.071875   1098.020412   2117.109522   3266.377069   4208.671339
0.078125   1094.495435   2019.279356   3294.224229   4235.204635
0.084375   1064.135981   2088.529014   3430.798895   4299.210729
0.090625   1158.041531   2278.535168   3423.525911   4395.049176
0.096875   1199.851853   2343.380339   3303.403504   4460.086979
0.103125   1250.669568   2584.417612   3460.128416   4528.401634
0.109375   1205.024643   2437.185123   3598.009633   4635.972024
0.115625   1217.755594   2378.524079   3539.229713   4431.396150
0.121875   1241.939030   2394.973068   3541.186437   4459.384584
0.128125   1107.946064   2304.483213   3355.136598   4538.516206
0.134375   1171.471614   2281.384108   3323.306346   4576.549273
0.140625   1482.524979   2454.625072   3208.578990   4621.770393
0.146875   1249.056125   2174.966083   3046.118809   4220.781499
0.153125   1166.293440   2275.253275   3352.240206   4027.619327
0.159375   1240.770201   2128.401216   3462.707620   4182.535823
0.165625   1093.067382   2130.325602   3464.969867   4474.412298
0.171875   929.359757   2108.633910   3323.391313   4404.738974
0.178125   1500.572955   2199.620560   3290.989650   4436.140874
0.184375   1358.628545   2073.681443   3278.755164   4258.860893
0.190625   1016.878674   1981.693019   3109.836776   4092.621479
0.196875   1074.527555   2040.155203   3139.978122   4232.243995
0.203125   1098.214656   2189.581024   2913.230676   4385.337949
0.209375   1180.188486   2451.685394   3115.132228   4275.638565
0.215625   1246.893370   2285.796270   3303.445368   4175.472359
0.221875   1174.018267   2207.460747   3239.019955   4309.855491
0.228125   1145.320587   2203.098324   3214.205656   4267.206943
0.234375   1243.011546   2300.872623   3274.869211   4295.668285
0.240625   1441.091421   1938.326783   3093.333805   4252.744623
0.246875   1095.905678   2046.947863   3034.598906   4141.543606
0.253125   1138.322451   2264.041803   3093.126560   4180.529751
0.259375   1308.893815   2517.309235   3140.804988   4314.374579
0.265625   1344.011503   2535.776673   3305.915338   4558.488692
0.271875   1453.463801   2580.746119   3673.523543   4547.864108
0.278125   1134.065281   2283.703164   3638.655562   4444.774602
0.284375   1107.318556   2117.783708   3196.459780   4207.567457
0.290625   1139.428211   2139.181975   3259.444286   4390.920096
0.296875   1049.257597   1978.433221   3239.918974   4307.991034
0.303125   1296.902224   1923.524021   2995.118694   4096.489324
