Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1265.211894   2313.992192   3198.654731   4527.367800
0.034375   1491.254839   2330.214511   2993.335020   4441.146990
0.040625   1110.667173   2311.699473   3143.749630   4539.813982
0.046875   1049.432854   2287.316047   3156.344794   4573.774578
0.053125   1168.977128   2446.287365   3378.011581   4590.792286
0.059375   436.184148   913.463134   2537.171257   3712.447298
0.065625   382.724912   2102.039751   2648.290378   4442.658864
0.071875   955.060867   2627.196057   2756.875085   4516.184183
0.078125   362.520061   1813.829460   2730.006217   3834.669515
0.084375   396.548763   2391.711410   3701.803984   5157.428438
0.090625   381.246425   2339.264043   3647.886331   4681.608257
0.096875   354.395231   2269.488207   3482.846112   4647.355490
0.103125   357.441662   2233.205789   3510.681221   4655.623945
0.109375   530.996082   2294.623202   3322.714976   4544.815263
0.115625   396.500279   2168.625856   3084.977212   4481.143917
0.121875   342.944430   2238.463130   3273.644970   4350.252807
0.128125   390.589876   2288.838344   3283.624409   4427.095159
0.134375   389.030829   1908.233957   3010.701034   3542.554442
0.140625   329.255864   1809.994161   2987.750240   4053.112165
0.146875   407.369195   2033.742308   3345.461818   4685.913860
0.153125   393.931712   1984.053108   3214.499666   4429.767074
0.159375   306.150279   1994.203431   3173.079949   4419.196550
0.165625   403.115488   2057.619394   3046.469959   4233.706438
0.171875   491.577188   1984.333012   2815.821577   4149.679204
0.178125   428.148980   1943.208770   3074.135543   4245.825004
0.184375   648.863387   2004.108223   3407.030866   4504.834096
0.190625   562.370871   1933.096855   3500.062331   4021.203338
0.196875   377.851916   1936.172257   3049.289219   3767.031817
0.203125   253.384655   2419.408981   3360.275547   4012.389787
0.209375   505.177255   1614.641392   2546.344900   3936.776181
0.215625   579.275445   2129.815628   2633.944366   4078.853157
0.221875   568.915330   2302.199719   2942.369570   3958.482351
0.228125   483.510491   2129.350652   2769.221483   4164.469787
0.234375   454.281945   2012.625712   2600.945848   4440.554040
0.240625   486.238630   1963.289396   2718.006312   4390.715739
0.246875   385.745630   1958.099952   3243.380909   4895.703689
0.253125   365.320578   1964.389838   2470.500791   3990.544782
0.259375   378.261688   1901.138510   2777.792772   3995.530742
0.265625   405.214984   1767.871126   2842.514997   3999.310976
0.271875   374.317432   1860.763892   2851.057157   4065.744823
0.278125   265.835212   1909.682488   2712.338152   4063.613686
0.284375   1497.170067   2491.455890   --undefined--   --undefined--
0.290625   2017.418653   2234.655162   3962.473784   5047.680132
0.296875   345.022240   2128.432481   2641.101360   3993.804070
0.303125   227.632554   2182.271331   2674.213009   3933.177383
0.309375   2014.731329   2506.388644   3997.110234   5216.696904
0.315625   259.080625   2107.624074   2559.320933   3979.344483
0.321875   1970.045205   2695.933007   3756.872197   5339.406048
0.328125   1893.165255   2745.699252   --undefined--   --undefined--
0.334375   538.358121   1883.164586   2529.798954   3644.927336
0.340625   106.210603   1882.871107   2584.923012   3746.469911
0.346875   1892.464136   2704.796820   3700.002025   4866.117076
0.353125   1920.277904   2987.948087   3662.024699   4891.035051
0.359375   1924.889163   3155.869984   3647.359880   4951.236243
0.365625   227.352968   1918.880820   2527.241989   3934.415544
0.371875   332.487217   1952.917404   2788.925180   3880.440043
0.378125   293.214363   1965.086454   2868.795445   3936.035161
0.384375   344.306477   2094.293581   2782.101851   4080.773741
0.390625   409.104964   2110.791624   2804.831080   4187.369470
0.396875   344.110945   2321.224450   2322.396350   3970.694234
0.403125   407.191211   1941.492953   2457.892607   3847.244071
0.409375   1301.742657   2380.102680   3764.029488   5113.596991
0.415625   1399.096560   2334.118609   3809.968076   5073.925353
0.421875   1608.815084   2452.141170   3877.720737   5029.464059
0.428125   552.339244   1187.714963   2333.127984   3664.138053
0.434375   416.086797   2169.983830   3435.027616   4820.836056
0.440625   1069.329667   2194.776417   3503.771189   4708.670887
0.446875   1093.312669   2211.128806   3515.883465   4809.079178
0.453125   1026.109401   2231.887251   3501.631678   4407.164124
0.459375   970.146044   2189.096066   3473.403086   4374.853439
0.465625   1855.299741   2278.894836   3954.367444   4920.245329
0.471875   1491.815452   2217.021927   3531.641466   4599.596769
0.478125   1066.347029   2224.263310   3258.956299   4504.400132
0.484375   502.011166   2192.570994   3288.745423   4206.162747
0.490625   347.315568   2131.442767   2704.534873   3928.860811
0.496875   346.653099   2183.327091   2738.068895   3791.955528
0.503125   349.804136   2160.211836   2941.489027   3786.669770
0.509375   309.789537   2134.084101   3048.900015   3964.500645
0.515625   304.980694   2166.101044   3508.027454   4654.269756
0.521875   424.525088   2121.657187   2808.792377   3781.995556
0.528125   405.782112   2126.061866   3275.753751   4470.882286
0.534375   397.078913   2157.533359   3047.296208   4240.696785
0.540625   418.296979   2180.877605   2806.291342   3982.898086
0.546875   459.929869   2183.712079   2621.890810   3994.560326
0.553125   377.534275   1674.510373   2211.309856   3987.988920
0.559375   385.060630   1071.964167   2176.566180   3950.960308
0.565625   369.043722   2076.675161   2704.441227   4095.630223
0.571875   209.310871   1986.161686   2705.622029   3903.617979
0.578125   404.743539   2025.935120   2807.181763   3968.290359
0.584375   391.521362   2096.817710   3306.813105   3694.072907
0.590625   2069.684935   3515.590666   --undefined--   --undefined--
0.596875   313.317741   2052.692857   3453.401109   4510.056146
0.603125   388.979336   2057.057558   3449.769856   4466.134409
0.609375   540.170720   2114.185906   2949.604967   3762.133020
0.615625   522.396163   2088.039604   2849.545006   3899.179964
0.621875   410.124592   2083.894538   2828.104747   4108.537455
0.628125   194.898994   2149.712992   2754.114595   3547.064588
0.634375   323.183731   2157.794599   3313.342583   4743.415520
0.640625   370.474580   2165.198524   3419.069039   4598.812470
0.646875   404.695408   2089.477227   3475.786442   4519.064517
0.653125   420.099835   2054.818666   3492.800507   4660.575111
0.659375   440.022982   1969.124641   3120.872040   3488.037131
0.665625   421.643908   1937.564110   3390.974197   3701.338709
0.671875   470.521224   1935.949782   3347.471918   4440.890936
0.678125   391.807447   1994.583268   3348.866366   4016.176288
0.684375   398.932280   1920.400355   2887.541493   3943.667906
