Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   581.301105   2179.905344   3072.927380   4360.834490
0.034375   651.790853   2188.798524   3155.982524   4420.461559
0.040625   659.150096   2152.957937   3206.637940   4440.993291
0.046875   564.701955   1926.152022   2852.607492   4038.869236
0.053125   511.169615   1901.045591   2681.876367   4069.050545
0.059375   581.052598   1749.060303   2441.677036   3774.373980
0.065625   850.034034   2243.609818   3428.876589   4351.293892
0.071875   503.087583   1973.071591   3162.918406   4321.192283
0.078125   531.798875   2072.520834   3155.164396   4477.244440
0.084375   590.002572   2185.572618   3414.861417   4502.264474
0.090625   426.088069   2149.594661   3580.970263   3960.526938
0.096875   442.675329   2020.352740   2468.910361   3741.320352
0.103125   1124.965569   2403.976180   3591.788756   4795.066106
0.109375   1290.496020   2319.248854   3476.212773   4597.966874
0.115625   458.264235   1999.302803   3133.214104   3384.103525
0.121875   550.814604   2185.812318   3247.848464   4465.283667
0.128125   560.576591   2051.794821   3188.410378   4203.293597
0.134375   1188.292770   2284.653743   3359.285811   4172.683369
0.140625   1505.767726   2271.538584   3754.781805   4766.887770
0.146875   501.019905   2083.866912   2851.783304   3880.680012
0.153125   504.500057   2083.143784   3172.624887   4142.655614
0.159375   554.893506   1972.226418   2906.581417   3826.283446
0.165625   627.416299   1757.455477   2863.733331   3991.762271
0.171875   551.716853   1869.026295   3058.117873   4375.483240
0.178125   470.545468   1852.344900   3182.145674   4230.575724
0.184375   389.550407   1894.181275   3288.265979   4321.528922
0.190625   658.976737   1969.665233   3223.260799   4216.259301
0.196875   518.033508   1854.731418   3058.160621   3931.888725
0.203125   509.914015   1948.439668   3145.987994   4217.198680
0.209375   532.171607   1857.123066   2815.783598   4084.003872
0.215625   535.163094   1906.613224   2859.652939   4252.842295
0.221875   475.200049   1888.090650   3273.431279   4374.470584
0.228125   549.227100   1916.204533   3313.510238   4121.444310
0.234375   539.993927   1950.104115   3291.679583   4012.484618
0.240625   553.518470   1948.679340   3285.764108   4333.988595
0.246875   1480.709486   1754.658823   3245.187365   4633.756971
0.253125   1633.419525   2394.435431   3710.666606   4894.375503
0.259375   247.672438   1793.455491   3162.179872   3889.813311
0.265625   1808.417748   3361.099730   --undefined--   --undefined--
0.271875   600.284236   1952.147953   3095.263170   4079.630843
0.278125   634.641892   2056.962406   3129.287931   4271.228863
0.284375   667.683047   1910.154309   3124.638415   4304.280824
0.290625   637.976459   1723.377142   2860.882877   4103.735154
0.296875   157.497380   1569.665389   2985.513003   4142.440026
0.303125   1522.600253   3020.788474   4368.811664   5075.181441
0.309375   1644.587157   1841.359732   3179.946267   4332.053494
0.315625   1576.062448   1913.666758   3189.405854   4214.324783
0.321875   1600.942151   1955.888291   3195.020101   4241.132952
0.328125   1574.569854   2088.827257   3381.287549   4460.365563
0.334375   1565.451308   2147.320420   3334.694906   4752.671282
0.340625   813.510884   1819.700585   3270.834317   4789.102006
0.346875   1287.238683   1854.308503   3161.818998   4362.239416
0.353125   1607.123623   2033.641369   3226.020245   4277.694892
0.359375   1768.326480   2187.260349   3491.124043   3909.892884
