Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   794.421948   2289.994675   3139.689331   3652.080059
0.034375   821.308634   2070.116028   3020.419348   3679.254566
0.040625   969.337796   1918.876005   3017.413733   3860.138114
0.046875   1025.783679   2019.430270   3113.785267   3875.182150
0.053125   1013.106762   2014.965005   3114.829595   3709.793822
0.059375   938.696883   1882.455666   2979.519387   4704.218349
0.065625   895.839980   2025.345306   2835.582890   4079.817138
0.071875   900.105836   1748.754322   2823.970647   4044.211588
0.078125   911.672053   1768.768383   2903.888374   4168.570649
0.084375   1095.063735   2292.513969   3294.301105   4260.526398
0.090625   989.200102   1943.687549   3057.563632   4139.205223
0.096875   1421.887048   2273.966475   3452.665904   4416.871312
0.103125   1336.400105   2237.895952   3499.037857   4520.287632
0.109375   1194.859243   2414.049936   3325.805324   4238.698417
0.115625   1026.723026   2250.846323   2992.865122   3530.032640
0.121875   924.662321   1980.506655   3144.762019   4183.786412
0.128125   1013.048097   1800.301173   2771.651666   3883.576709
0.134375   824.398760   1976.350191   2978.350520   3894.273974
0.140625   902.116019   1842.324943   3043.911707   4090.376786
0.146875   941.111370   1893.103554   3007.805489   3872.079321
0.153125   1045.737901   1915.191443   3126.397978   4035.278788
0.159375   940.833286   1826.175216   3223.147008   4598.357815
0.165625   972.502295   1861.078345   3074.687135   4442.805711
0.171875   912.169269   2028.330513   2899.346249   4172.524172
0.178125   885.266026   2261.455842   3169.989927   4159.719232
0.184375   844.304306   1917.617574   3038.658434   3990.082228
0.190625   826.715889   1901.281857   2891.239595   4051.475051
0.196875   872.736280   1966.855901   2873.912863   4212.138279
0.203125   882.577715   1946.370750   2866.282021   3866.565788
0.209375   880.878209   1886.443293   2905.985277   4008.751796
0.215625   921.697202   1907.713730   2781.664256   3939.216705
0.221875   894.536848   1925.946383   2690.550879   3965.003273
0.228125   868.533575   1929.820167   2706.131965   4045.191890
0.234375   888.297253   1964.982802   3419.540721   4437.437013
0.240625   774.179079   1921.436386   3372.612647   4624.492646
0.246875   1291.456276   1803.271871   3275.933487   4427.263088
0.253125   1397.549747   1972.998529   2792.536452   4174.198596
0.259375   998.729520   1981.275488   3000.384224   4042.794895
0.265625   1017.643371   1759.755899   3036.297010   4273.459749
0.271875   965.945208   1851.325156   3085.863569   4149.911540
0.278125   818.453801   1841.882675   3234.984358   4491.539383
0.284375   621.998089   1997.283070   3271.914715   4511.694877
0.290625   827.522843   2029.450633   3069.064997   4414.592734
0.296875   965.897640   1923.349252   3142.060204   4515.072403
0.303125   674.357509   1740.548674   3175.791378   3824.154211
0.309375   828.947837   1883.588395   3163.135726   4103.578061
0.315625   918.733969   1998.496618   2896.506751   4173.163217
0.321875   824.686105   1819.219254   2923.132910   4198.976273
0.328125   1073.196143   1984.790329   3272.282578   4527.108693
0.334375   623.173802   1762.587561   2948.674264   4102.750378
0.340625   521.382078   1684.361970   2967.987425   3940.360832
0.346875   1321.985678   2260.096887   3561.715051   4872.568601
0.353125   908.786491   2000.175516   3109.986526   3916.139265
0.359375   1006.569349   1972.788279   2869.313273   3915.359573
0.365625   942.483954   1766.473888   2875.650061   3970.892824
0.371875   741.843934   1846.074444   2911.872317   3851.963854
0.378125   753.490646   1816.130638   2835.540363   3848.121534
0.384375   1640.719996   1903.689108   3272.712967   4519.453109
0.390625   1220.838883   2009.961623   3376.539081   4451.847663
0.396875   881.132957   1900.836052   3386.496395   4226.510863
0.403125   818.365885   1876.515835   3266.188546   3901.916853
0.409375   905.647489   1911.032809   3044.178827   3690.958269
0.415625   950.007757   1658.980071   3053.262374   3812.669423
0.421875   881.897804   1709.332443   3023.227228   3952.481993
0.428125   933.093839   1835.592538   3127.229346   4155.160721
0.434375   1575.472890   1614.151858   2944.644004   4081.235880
0.440625   1137.802278   1534.423100   2850.492206   4224.751443
0.446875   1216.517251   1588.631613   3087.241034   4189.011071
0.453125   939.310150   1554.726131   3062.308289   4050.175052
0.459375   1044.995628   2091.640789   3211.396126   4675.700059
0.465625   1069.198326   1842.757089   3092.194922   4636.163971
0.471875   841.452884   2009.207499   2994.896070   4029.063008
0.478125   800.854865   2094.306456   2889.503087   4001.143238
0.484375   1341.679139   2493.304421   3636.540445   4482.480520
0.490625   1205.334667   1350.700800   2673.781744   3917.856794
0.496875   942.200670   1724.920943   2871.757097   3932.803741
0.503125   900.607596   1597.458520   2798.540168   3923.284736
0.509375   1148.579245   1454.019753   2785.135111   3787.747582
0.515625   959.385211   2008.892267   3098.511279   3811.877863
0.521875   810.529746   1920.228445   2918.571194   3765.114754
0.528125   840.095903   1864.948657   2848.537530   3859.071605
0.534375   914.412416   1912.263765   3061.098582   4129.070955
0.540625   824.023119   1815.853235   2943.561109   4130.695613
0.546875   904.805972   2008.148877   3035.296072   4249.018163
0.553125   1039.165807   1736.843007   2786.368037   3871.993910
0.559375   1107.726893   1701.460384   2779.080104   3870.547779
0.565625   1245.314038   1670.296588   2851.571625   3902.415175
0.571875   1318.095053   1915.974300   2617.848262   3683.822015
0.578125   1329.294399   1706.413266   2609.829969   3729.593388
0.584375   403.209380   1535.059992   2316.547042   3745.423240
0.590625   1349.070831   1707.577927   2583.849102   3739.158360
0.596875   1543.944097   1937.427605   2429.122558   3667.181903
0.603125   781.986301   1648.682134   2601.316196   3640.491830
0.609375   1028.943246   1886.811889   2656.603715   3670.482542
0.615625   1807.715241   2507.505281   3655.242341   4946.323711
0.621875   1893.428278   2572.547980   3762.263740   5095.593313
0.628125   190.747075   1828.494771   2716.412993   3799.453431
0.634375   242.517349   1979.642715   2952.728458   3750.842636
0.640625   226.233735   1992.574474   2863.658691   3690.938312
0.646875   235.619178   1924.410244   2843.737045   3717.647913
0.653125   232.624944   1894.658715   2955.237636   3779.530066
0.659375   230.929123   1799.124569   2967.816136   3793.888930
0.665625   239.610025   1860.412761   3037.107859   3787.010500
0.671875   294.407689   1991.256699   2950.879602   3822.652589
0.678125   403.422379   2248.323396   2690.401872   3960.276399
0.684375   416.737694   2594.977562   2605.086669   4045.315636
0.690625   432.678720   2526.337162   3017.809421   4078.671265
0.696875   439.895398   2551.127122   3026.070171   4086.195254
0.703125   428.965075   2583.962263   3228.076860   3846.023130
0.709375   414.131843   2571.275494   3097.426007   3988.181532
0.715625   391.931254   2547.494333   2985.617088   4138.252137
0.721875   374.958228   2507.111392   2975.158902   4182.446453
0.728125   449.968363   2511.861059   2950.983920   4063.213296
0.734375   467.367423   2559.170392   3187.946990   4007.154609
0.740625   477.154504   2571.022221   3409.990600   3571.686018
0.746875   487.357707   2553.143366   3182.149256   4135.554135
0.753125   494.269379   2542.313340   3226.721076   4233.829770
0.759375   500.530489   2548.173760   3274.330760   3394.938581
0.765625   501.913909   2567.781009   3301.417823   3373.050653
0.771875   492.331137   2570.555765   3342.878879   4052.894213
0.778125   463.317153   2588.201077   3274.089408   4071.813184
0.784375   438.825157   2625.922806   3273.542074   4034.713868
0.790625   388.968713   2652.438321   3117.468600   3980.256925
0.796875   332.617755   2682.410886   2943.436975   4037.502704
0.803125   370.787634   2644.468044   3064.213954   4181.970077
0.809375   371.574720   2614.235380   3073.025207   4202.669773
0.815625   343.968207   2480.751683   2991.007959   4102.084724
0.821875   322.517655   2540.399820   3041.581273   3878.936614
0.828125   353.478796   2555.298957   3141.842389   3933.272422
0.834375   405.971753   2537.603098   3178.516347   4243.407941
0.840625   429.663024   2517.929966   3133.199435   4215.151181
0.846875   439.656621   2512.704466   3094.762891   4097.220846
0.853125   458.948235   2519.860748   3114.330903   4219.087572
0.859375   476.373357   2498.588326   3091.953508   4234.123086
0.865625   488.145390   2519.487671   3048.572812   4130.482658
0.871875   497.148111   2488.357190   3074.018875   4150.987341
