Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   939.219123   1890.893899   3058.317216   3828.801502
0.034375   935.520851   1896.255365   3012.139820   3963.807157
0.040625   1058.490239   1896.492210   3037.191201   4084.267425
0.046875   795.000990   1794.440848   2936.161641   4112.789637
0.053125   661.571032   1763.401131   2868.290587   4082.162088
0.059375   681.730065   1429.331025   2841.902793   3744.577339
0.065625   668.779945   1341.934987   2783.792079   3712.299615
0.071875   688.415482   1458.305277   2636.572232   3650.846203
0.078125   765.801806   1171.344857   2272.082572   3533.098271
0.084375   1118.379220   2234.261973   3557.925086   4716.310327
0.090625   1105.688120   2074.167231   3381.681475   4384.330071
0.096875   1217.721189   2113.517167   3347.618179   4328.379588
0.103125   1226.284826   2270.510565   3522.753002   4861.768472
0.109375   1179.499516   2286.245758   3713.589110   4928.295638
0.115625   823.488949   1321.245619   2420.779383   3778.955992
0.121875   679.975054   1644.834060   2546.691997   3735.346571
0.128125   735.521743   1781.087309   2743.665245   3676.040701
0.134375   686.196340   1786.248782   3269.529067   3617.270811
0.140625   626.067970   1792.452894   3036.873816   3615.238423
0.146875   652.816550   1748.341058   2844.567234   4683.129524
0.153125   626.806663   1701.585159   2739.280693   4338.280067
0.159375   557.824084   1658.254998   2833.758589   4053.085219
0.165625   528.305763   1599.896005   2861.423782   3799.755853
0.171875   544.750076   1565.720400   2876.797890   3778.301936
0.178125   626.376271   1356.287122   2902.460441   3733.035618
0.184375   986.936789   1322.803964   3093.165943   3590.750087
0.190625   1011.105518   1348.303315   2826.961131   4012.898437
0.196875   1156.063977   1306.169590   2728.907253   3975.658304
0.203125   888.608957   1134.645979   2518.842159   3522.281552
0.209375   913.484136   1278.296065   2703.746782   4082.563311
0.215625   813.347436   1281.818543   2652.316366   4166.182025
0.221875   683.305611   1518.240842   2743.756884   4270.393833
0.228125   621.018373   1618.645747   2727.371449   4161.702712
0.234375   747.990666   1578.070696   2720.144452   4101.092078
0.240625   1018.955647   1547.944964   2773.822862   4295.279790
0.246875   756.376391   1588.833738   2801.067323   4180.488391
0.253125   726.033865   1575.171368   2751.441394   4343.769372
0.259375   695.525805   1607.078708   2694.608660   3692.287065
0.265625   682.516856   1650.757150   2779.066156   3711.907001
0.271875   659.411935   1571.432739   2811.273918   3765.393566
0.278125   869.273873   1601.419358   2719.532606   4115.179990
0.284375   890.771072   1661.350417   2716.987345   4362.901643
0.290625   873.163959   1549.752111   2701.233817   4239.295387
0.296875   869.486459   1471.583848   2669.183418   4208.952314
0.303125   851.013164   1529.021550   2672.654205   4165.987420
0.309375   812.211205   1577.607647   2809.788329   3991.573156
0.315625   743.039692   1605.733042   2825.036634   3818.716856
0.321875   910.512224   1610.996094   2976.109101   3949.858136
0.328125   889.382911   1603.355964   2937.709094   3926.401925
0.334375   900.393839   1586.261623   2948.999853   4002.650960
0.340625   1262.033506   1706.804574   3269.111604   4566.159235
