Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1335.543043   2137.406641   3509.608745   4454.164478
0.034375   1107.209870   2041.744666   2897.740748   3598.371847
0.040625   1020.858910   1984.599917   3211.519112   3642.466182
0.046875   980.160814   1995.500691   3168.583671   3997.568824
0.053125   1008.510688   2112.067610   3248.013990   4227.376194
0.059375   1269.881112   2278.267970   3368.837974   4365.188230
0.065625   1084.417688   2166.383890   3028.019365   3582.843397
0.071875   998.355604   2053.010916   3018.800086   3604.033401
0.078125   928.023639   2005.259525   2939.889312   3641.518633
0.084375   913.778198   2069.411536   3220.275514   3780.334906
0.090625   921.340856   2075.747082   3210.008936   4190.534289
0.096875   879.705393   1944.198164   2990.696755   4019.760765
0.103125   914.964558   1948.159505   3025.969529   3806.652791
0.109375   948.379206   2036.236138   3155.228560   3724.097572
0.115625   962.426984   2021.340300   3070.056837   3834.864500
0.121875   923.941390   2005.189452   3090.952060   3835.441228
0.128125   944.588830   2024.346054   3059.224193   3775.621598
0.134375   916.192790   1954.249943   3029.268300   3884.005418
0.140625   932.893336   1911.603544   3043.198990   4027.942576
0.146875   883.768409   1993.121850   2969.252924   3990.355617
0.153125   900.613080   2059.441229   3396.877041   4240.664689
0.159375   1054.083233   2136.951024   3347.726771   4581.905126
0.165625   1080.675439   1996.179143   3247.431746   3996.336574
0.171875   982.277413   1973.652200   3021.452404   3850.214763
0.178125   897.943684   1951.487510   2773.554003   3742.006836
0.184375   786.174885   1914.416631   2853.667917   3663.083607
0.190625   758.534827   1892.151377   3154.046687   3697.634769
0.196875   836.330632   1940.380704   3148.377827   3732.035073
0.203125   879.519361   1984.862476   3214.650913   3799.541129
0.209375   816.575719   1993.896673   3242.738952   4240.276976
0.215625   856.683661   1976.180472   3217.179388   4528.656097
0.221875   884.438416   1982.619227   3220.815044   3875.785908
0.228125   835.695547   1889.612483   3106.975364   3705.768595
0.234375   966.926002   1878.054120   2776.837594   3619.030054
0.240625   923.198559   2013.586522   2697.522505   3400.433230
0.246875   895.528986   1941.069288   3011.984434   3531.946340
0.253125   852.669858   1924.558657   3423.926871   3550.964690
0.259375   901.613624   1935.547825   3454.467395   3502.868087
0.265625   985.039815   1991.954830   2652.954655   3575.644834
0.271875   852.534722   1995.050153   2899.150795   3592.430879
0.278125   887.239358   1996.633798   2969.343448   3551.928517
0.284375   815.701306   1951.193657   3065.361055   3589.418712
0.290625   776.370704   1946.718571   3461.421224   3486.339888
0.296875   820.831604   2014.837250   3272.522768   3608.929700
0.303125   898.196471   2013.397310   3151.451525   3648.786578
0.309375   926.953052   1969.949453   2780.054143   3727.332819
0.315625   993.849974   1990.891003   3586.453504   4516.182093
0.321875   1097.781437   2101.827245   3516.768691   4620.163424
0.328125   1079.732841   2174.378581   3511.696946   4697.274512
0.334375   964.948941   2083.092998   2421.239076   3624.388310
0.340625   815.507303   1934.658444   3345.330541   3543.708282
0.346875   903.421791   1922.108642   2924.447295   3706.711767
0.353125   760.738356   1902.042968   2858.437825   3578.126774
0.359375   833.195400   1980.101216   3142.099455   3482.898841
0.365625   906.406170   1998.355532   3463.057358   4536.457673
0.371875   755.848823   1963.977169   2814.178312   3791.029949
0.378125   770.683221   1924.414195   2765.462683   3694.130027
0.384375   797.230521   1946.903526   2924.142429   3702.180289
0.390625   818.340094   2056.007206   3472.867107   4285.002477
0.396875   793.773798   2060.571380   3443.374509   4450.895811
0.403125   1053.002938   2005.401607   3532.329054   4613.114115
0.409375   791.677445   1947.852698   3610.724819   4760.593754
