Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   927.888015   1688.101374   2954.310311   4166.771050
0.034375   752.685910   1769.527536   2802.459202   4002.603617
0.040625   805.971848   2149.654607   2582.924965   3935.427399
0.046875   777.909311   1425.105117   2716.505047   3715.186112
0.053125   702.894388   1501.774116   2843.471721   3734.766736
0.059375   1146.907436   1681.090971   2762.132251   4175.246419
0.065625   1083.095012   2090.157388   2954.359034   4363.620213
0.071875   1059.891233   2286.248958   3240.693674   4449.613388
0.078125   751.742822   2138.484647   3018.731387   4533.872117
0.084375   770.288873   2129.255686   3077.654289   4634.463726
0.090625   655.062179   1891.208410   2871.755633   4251.601276
0.096875   785.363288   1822.662072   3007.218996   3958.764407
0.103125   1166.387374   1843.253921   3100.503420   4331.121900
0.109375   1132.003630   2174.558607   3113.673127   4335.087260
0.115625   1034.814697   1934.233877   3153.611033   4351.468081
0.121875   780.473553   1946.742346   3069.307590   4389.311955
0.128125   892.223270   1894.111876   3104.756411   4065.783507
0.134375   1141.553975   1877.645584   3227.796350   4062.002904
0.140625   1192.597576   1890.559309   3237.473046   4087.409020
0.146875   1285.477279   1886.204751   3313.456898   4181.488243
0.153125   1215.455872   1895.329766   3213.398991   4151.514957
0.159375   1125.492453   1870.191758   3352.823948   4136.841025
0.165625   1419.398114   1783.287372   3195.644478   4136.329063
0.171875   1175.839681   1745.312311   2863.010781   4158.106887
0.178125   1177.030688   1869.609605   3084.952573   4183.173285
0.184375   963.434441   1849.090883   3046.256318   4144.306629
0.190625   916.757297   1894.882973   3134.176438   4137.655544
0.196875   891.141689   1889.526390   3311.518794   4246.278671
0.203125   799.526933   1866.810919   3262.360389   3450.666691
0.209375   707.854138   1835.769979   3301.087000   3439.779528
0.215625   856.930986   1845.046005   3340.491875   4309.980262
0.221875   997.265349   1885.424288   3233.681565   4371.149007
0.228125   1047.035043   1919.490090   3206.691631   4298.835972
0.234375   1030.681112   1872.442064   3246.623751   4154.974282
0.240625   1055.670524   1836.068187   3027.876128   4134.297536
0.246875   947.156368   1833.731323   3091.840157   4190.419921
0.253125   880.590137   1829.596911   3237.929312   4174.272585
0.259375   1079.156401   1706.657232   3201.398225   4141.408303
0.265625   862.821725   1725.927160   3021.863776   4244.094234
0.271875   821.538237   1742.112824   3054.727569   4227.261080
0.278125   789.972552   1793.667284   3206.755060   4038.751374
0.284375   843.233575   1694.331550   2959.289428   3782.306981
0.290625   679.135791   1639.286478   2812.616572   3858.617094
0.296875   875.589356   1684.911957   3207.389786   3552.054681
0.303125   816.275261   1776.126960   3103.512137   3608.466626
0.309375   715.218539   1782.684633   2907.109229   4095.060770
0.315625   799.638271   1742.502831   2928.274863   4166.221960
0.321875   750.177980   1693.008436   3007.251302   4079.320315
0.328125   643.562004   1709.786591   2751.751745   3983.481817
0.334375   666.292555   1769.323816   2714.292776   3773.549655
0.340625   604.194280   1794.489967   2849.723327   3926.042316
0.346875   627.120039   1689.075745   2816.062278   3858.472366
0.353125   744.307261   1695.353833   2731.848471   3790.578410
0.359375   743.049095   1745.365336   2748.602203   3816.138333
0.365625   699.019923   1790.312965   2805.731056   3731.012439
0.371875   786.926700   1804.206723   2686.459863   3798.926277
0.378125   808.498681   1701.261545   2621.906057   4084.900916
0.384375   820.868943   2073.624966   2588.267199   4091.333405
0.390625   787.121481   1982.886101   2787.302895   4116.327126
0.396875   668.633834   1781.393727   2784.102028   3996.517661
0.403125   758.312302   1832.881592   2993.178664   4016.005540
0.409375   750.812846   1986.249961   3140.127202   4381.048399
0.415625   751.729307   1933.738704   2757.353498   4068.762769
0.421875   787.834339   1777.598063   2755.265174   4000.447208
0.428125   787.758677   1919.839635   2934.215713   4204.518385
0.434375   699.003274   1840.960177   2869.179913   3881.664243
0.440625   801.433426   1938.275543   3112.164941   4273.009808
0.446875   843.102448   2127.762183   3106.543582   4359.605969
0.453125   898.968643   2263.982044   3066.329841   4456.567654
0.459375   786.457747   1890.968018   3044.192462   4173.273276
0.465625   656.298817   1839.962636   3183.675991   4192.375871
0.471875   1268.077270   1909.130548   3121.038375   4097.099967
0.478125   1204.331340   1831.783006   3150.305913   4095.486103
0.484375   818.505439   1760.273550   3128.549681   3991.412882
0.490625   749.235049   1781.458797   3199.256602   3980.553695
0.496875   1247.501045   1820.162833   3333.592093   4024.770263
0.503125   1448.789841   1644.540491   3236.072979   4054.674460
0.509375   911.241579   2016.892645   3233.616008   4065.754538
0.515625   859.552682   2042.383915   3133.323207   4147.774962
0.521875   1216.359817   2098.646351   3142.381409   4196.148788
0.528125   1276.641883   2123.648688   3289.495964   4359.913254
0.534375   274.740588   1902.722949   3290.263623   4120.781730
0.540625   340.522048   1961.272706   3311.617577   4395.706643
0.546875   380.684320   2059.724641   3396.972597   4499.358877
0.553125   412.580388   2157.838346   2752.558264   3611.994183
0.559375   427.579825   2215.611730   2500.831954   3653.978066
0.565625   426.678649   2162.555548   2985.398455   3446.732457
0.571875   387.767389   2183.704256   3007.063763   3416.207092
0.578125   332.032764   2347.562074   3047.457604   3343.388118
0.584375   306.625013   2543.971311   2674.293240   3230.914856
0.590625   317.598983   2549.268197   3180.504973   4454.876360
0.596875   322.068888   2200.544179   2730.064601   3149.180606
0.603125   313.487756   2003.698214   2726.149390   3365.066231
0.609375   299.949064   1995.334917   2738.415756   3342.197991
0.615625   303.338712   1987.306822   2780.192246   3228.216105
0.621875   312.740193   2155.507619   2858.578773   3042.332054
0.628125   316.961633   2141.578002   2734.537128   3067.421228
0.634375   322.850789   2058.799601   2682.763215   3126.425090
0.640625   337.786676   2238.382885   2588.665444   2988.467635
0.646875   354.259754   2178.765963   2422.222460   3022.214262
0.653125   350.853950   2115.461206   2321.230448   2997.197470
0.659375   336.983256   2199.840072   2798.639743   2969.016672
0.665625   328.954859   2121.677748   2907.589603   3704.583013
0.671875   333.424398   2058.915507   2918.553148   3203.036262
0.678125   343.949293   1940.016844   2879.137659   4455.952645
0.684375   327.512632   1900.253136   2824.132290   4202.799686
0.690625   317.073620   1958.360139   2779.166584   3791.945256
0.696875   317.601510   1990.515764   2849.434938   4029.405491
0.703125   323.056099   1971.352763   2807.566639   3791.647404
0.709375   312.882324   1949.575616   2869.767264   3765.516793
0.715625   307.337071   1946.062773   2827.253855   3869.395783
0.721875   328.313548   1887.621766   2765.992492   3997.629748
0.728125   357.260960   1924.015372   2810.011865   4226.824085
0.734375   282.202758   1863.885283   2973.890800   4572.774865
0.740625   1409.981843   1953.587869   3146.792754   4244.749607
0.746875   1435.391130   1957.840397   2817.887496   4149.189182
0.753125   894.450326   1417.417404   2658.019407   4103.855029
0.759375   1325.952095   2674.736543   3879.919613   5050.312779
0.765625   289.704234   1437.637622   2733.917275   3922.518487
0.771875   316.185056   1645.002635   2792.227869   4148.528518
0.778125   310.568920   1767.667766   2797.101826   4009.180219
0.784375   313.647850   1729.898556   2802.680802   3906.266162
0.790625   326.614445   1740.936124   2735.913094   4056.579889
0.796875   334.518232   1795.524877   2716.407669   3831.814458
0.803125   322.936557   1642.600082   2729.869924   3638.735422
0.809375   1483.580895   1780.140416   3337.919530   5038.379715
0.815625   1490.405700   1769.435413   3402.627562   5005.408880
0.821875   1568.511651   1758.835813   3553.795472   4952.501117
0.828125   1388.942667   1699.269308   3506.316815   4808.749307
0.834375   913.531829   1608.292220   3385.990483   4626.915382
0.840625   835.413139   1603.676519   3327.976275   4621.861551
0.846875   1087.356231   1638.514665   3313.274311   4540.273548
0.853125   1201.971243   1555.213450   3229.762407   4398.465115
0.859375   366.081684   1451.061061   3234.928596   4357.195622
0.865625   472.650969   1444.668931   3168.234787   4134.761913
0.871875   531.262173   1397.748982   2821.525087   4150.796757
0.878125   575.284558   1366.927951   2891.379203   4190.419538
0.884375   618.818293   1352.051566   2922.087571   4234.653041
0.890625   637.383081   1342.484264   2955.152891   4170.239550
0.896875   637.816619   1339.997830   3045.158338   4101.164376
0.903125   647.457112   1338.253226   3040.370032   4025.089058
0.909375   648.663956   1336.489132   2838.691736   4007.346432
0.915625   644.995593   1326.160653   2700.321971   4004.350809
0.921875   652.690262   1322.130830   2781.345812   4016.956422
0.928125   654.270707   1310.900617   2644.283955   3978.756382
0.934375   672.170782   1307.215153   2596.079274   3977.482761
0.940625   692.436104   1300.536927   3038.583680   3968.771413
0.946875   664.225249   1289.924795   3040.946652   3975.120205
0.953125   655.773222   1295.382275   3289.214469   4007.006362
0.959375   649.812919   1304.858000   2862.318969   4024.851158
0.965625   650.406717   1305.101004   2873.473489   4001.810898
0.971875   655.959144   1302.271989   2701.981436   3999.077905
0.978125   650.812130   1315.287753   2541.053260   3993.139070
0.984375   637.908781   1318.112083   2638.132870   4039.254774
0.990625   635.817026   1384.646792   2713.997784   4061.854761
0.996875   623.217986   1421.763148   2731.973081   4061.968035
1.003125   593.184795   1389.667161   2812.772496   4200.679837
1.009375   498.703836   1383.234816   2842.744813   4194.856451
1.015625   481.237505   1343.848711   2917.725145   4185.426879
1.021875   506.704449   1291.295854   2804.030309   4142.419843
1.028125   647.896388   1360.069864   2851.890875   4203.813000
1.034375   669.079174   1552.983154   3281.908686   4177.910042
1.040625   661.274892   1468.038247   3217.159670   3768.115047
1.046875   636.425672   1385.123523   2974.975026   3867.830770
1.053125   642.431461   1527.967898   3036.902281   4156.062413
1.059375   672.609702   1538.807471   3268.041641   4126.666389
1.065625   685.724289   1728.872431   3333.880294   3863.535105
1.071875   673.719201   1796.211383   3341.874671   3869.153997
1.078125   670.367373   1490.858877   3288.863438   3791.190908
1.084375   668.572126   1464.809640   2997.253942   3821.125143
1.090625   716.547135   1640.330362   3071.065961   4079.835804
1.096875   757.633804   1522.650143   2829.030792   3811.079440
1.103125   795.928647   1723.155735   2947.939364   3597.945791
1.109375   798.033715   1881.938904   3372.138267   4497.184710
1.115625   776.744306   1901.250358   3417.839477   4389.498244
1.121875   771.233920   1485.642316   3199.828633   4108.526870
1.128125   772.640736   1418.680369   2914.482122   4045.618232
1.134375   998.544706   2436.746106   3469.335118   4716.765078
1.140625   815.313138   2327.731316   3376.632987   4701.156204
1.146875   756.273369   2354.379562   3537.537971   4767.721874
1.153125   685.330678   1578.098419   3146.077513   4282.937168
1.159375   723.806794   2076.187759   3031.705934   4106.612681
1.165625   574.328419   2076.352330   2954.029235   4113.922981
1.171875   812.215451   1999.630903   3315.721113   3918.285073
1.178125   757.458010   1942.645739   3246.031857   3701.160708
1.184375   616.212225   1879.411955   3094.633995   3978.198679
1.190625   461.619302   1921.554496   3114.985452   4670.846211
1.196875   500.286019   1899.807822   2963.748292   4493.830711
1.203125   567.041133   1893.675845   2925.411833   4625.984438
1.209375   582.528640   1903.264793   3019.463199   4657.500764
1.215625   597.668043   1936.453724   2988.247735   4517.283397
1.221875   622.476384   1943.759340   2974.073695   4342.248806
1.228125   637.114643   1965.579054   2677.499834   4281.037934
1.234375   644.937830   1971.125884   1986.974853   3966.429256
1.240625   661.049836   1946.271879   2144.324097   3973.646650
1.246875   684.523917   1908.032429   2150.669300   3991.093895
1.253125   693.752695   1863.964993   2058.389303   3799.423255
1.259375   694.242178   1883.059445   2050.515262   3651.525323
1.265625   695.714321   1858.897933   2087.680517   3668.592145
1.271875   721.492449   1862.124335   2042.273598   3709.448092
1.278125   744.524814   1830.446619   2209.138373   3737.804683
1.284375   776.092710   1797.967842   2349.197799   3700.520428
1.290625   785.112678   1761.100552   2198.995289   3785.905591
1.296875   775.587275   1715.561460   2105.199829   3891.792027
1.303125   815.194123   1680.473648   2264.981803   3875.933465
1.309375   711.827033   1688.514488   3582.289088   4024.246596
1.315625   645.731544   1571.885540   3607.778239   4320.720997
1.321875   651.315800   1604.156605   3709.700715   4439.509039
1.328125   675.945857   1615.687791   3963.568039   4280.962694
1.334375   787.449222   1606.056506   3655.700891   4289.152618
1.340625   814.956554   1621.007487   4134.271910   4734.256655
1.346875   801.529152   1640.967811   3738.584772   4264.719130
1.353125   795.912422   1668.759318   3534.883127   4359.261080
1.359375   862.595522   1704.673549   3524.033871   4583.350336
1.365625   979.410884   1745.634023   3605.720738   4443.232408
1.371875   1035.121308   1732.212812   3585.600772   4566.332086
1.378125   1088.406067   1750.392397   3526.425501   4571.151454
1.384375   1058.092088   1786.401639   3540.943434   4735.374382
1.390625   1064.906829   1798.465197   3640.628641   4995.905579
1.396875   1053.850658   1805.662104   3667.073078   5064.777816
1.403125   1112.061883   1792.050613   3611.790343   4591.910225
1.409375   1123.779697   1784.545181   3575.886547   4436.824682
1.415625   989.101216   1242.598523   1794.795932   3693.650418
1.421875   754.960903   1646.265141   1991.839150   3741.375984
1.428125   734.076921   1634.425438   2198.467911   3712.476302
1.434375   747.687449   1656.942534   2638.773228   4035.283211
1.440625   680.788672   1643.988996   2456.547742   4151.274269
1.446875   625.446445   1612.400882   2453.688550   4058.488676
1.453125   660.563478   1626.647882   2563.044079   4084.821301
1.459375   853.795393   1795.284818   3029.131085   4156.031251
1.465625   1032.020908   1689.045638   3250.561210   4042.399907
1.471875   507.739095   1623.750736   2934.446520   4029.480655
1.478125   413.170136   1542.099010   2858.622172   4151.554537
1.484375   462.122343   1577.596759   2904.934980   4284.379960
1.490625   545.255808   1707.501175   3119.267430   4392.901422
1.496875   647.827295   1811.816179   3106.900712   4249.555457
1.503125   540.223755   1696.914846   3138.947729   4360.926351
1.509375   404.715925   1573.897647   3163.917180   4369.833457
1.515625   405.370205   1642.760933   3169.482617   4364.984107
1.521875   481.534481   1722.050947   3143.455999   4537.454667
1.528125   608.573485   1897.312612   3126.528759   4552.243394
1.534375   553.888439   1936.331312   3140.842102   4561.785509
1.540625   579.084122   1874.649914   3262.269207   4627.139513
1.546875   610.693027   1777.802741   2523.426496   3459.446672
1.553125   682.247636   1796.979842   2648.953579   3279.544914
1.559375   645.297537   1739.524192   2901.658179   3454.065014
1.565625   632.904590   1657.808368   2841.314351   3728.827505
