Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   425.408113   1394.595536   2860.138937   3822.659337
0.034375   464.772060   1549.727449   3148.105588   3587.023028
0.040625   434.530008   1714.326990   3391.859523   3468.869475
0.046875   63.402728   1783.568433   2937.386725   3868.769688
0.053125   314.250221   1801.631641   2895.660532   3991.115871
0.059375   1883.673791   3066.598683   --undefined--   --undefined--
0.065625   1864.293544   2361.432326   3176.562255   4229.873305
0.071875   1784.488823   2873.349760   4037.216938   5291.809513
0.078125   400.519020   1835.362923   2875.754341   4028.471522
0.084375   461.538074   1833.037562   3032.625908   3890.817477
0.090625   505.828645   1857.135096   3013.218378   3874.893217
0.096875   796.360228   1866.005775   3329.256656   4577.672435
0.103125   762.704465   1808.383922   3577.017551   3637.769909
0.109375   246.457135   1773.131377   3171.697099   3960.134970
0.115625   106.648419   1732.456232   3207.787800   3582.614188
0.121875   474.979492   1766.326813   3095.028770   3990.667796
0.128125   579.569445   1828.742954   2942.850259   3942.673693
0.134375   665.404305   1750.464107   2879.393336   3821.962362
0.140625   1681.081107   1944.334164   3484.548172   5121.238309
0.146875   1355.997635   1972.827208   3414.684654   4511.141506
0.153125   1131.597293   1872.052258   3299.388190   4425.268767
0.159375   1381.554270   2081.002041   3395.377919   4316.217444
0.165625   1387.147034   2056.618006   3330.116093   4390.566672
0.171875   1407.164300   2052.610909   3248.202138   4548.922188
0.178125   1383.903618   2218.207055   3159.335627   4372.390650
0.184375   587.234408   1712.487582   3098.003792   4208.491493
0.190625   654.315103   1763.372332   3143.691422   4168.568102
0.196875   1292.080023   1835.037436   3327.062724   4386.668256
0.203125   1663.896628   1832.417547   3464.512241   5025.433448
0.209375   615.296832   1745.862199   3371.488076   3559.850197
0.215625   632.027430   1721.040586   2855.212454   3888.610638
0.221875   444.566842   1635.585739   2685.289818   3858.490142
0.228125   539.463481   1766.967112   2883.624941   3799.401754
0.234375   607.209364   1719.338187   2877.094338   3708.184223
0.240625   1243.407551   2883.570555   3361.630752   4028.866166
0.246875   1369.100902   2824.287306   3816.295152   5322.868027
0.253125   1522.156461   1968.298922   3450.250188   4588.005868
0.259375   1688.580191   2144.392942   3379.251041   4858.882852
0.265625   1688.067173   2855.132561   3627.505015   4901.156063
0.271875   1656.891865   2512.078551   3324.625855   4120.290650
0.278125   398.172971   1722.131671   2790.643220   3836.780554
0.284375   1521.082270   2826.644481   --undefined--   --undefined--
0.290625   1525.198091   2831.825237   --undefined--   --undefined--
0.296875   1328.112519   2240.590740   3691.693968   4580.244299
0.303125   905.625690   1692.936184   2851.651022   3807.940655
0.309375   965.131830   1717.893862   2931.651050   3861.396121
0.315625   1004.362461   1652.854315   2966.711081   3964.384993
0.321875   1177.673369   1708.735261   3013.463383   4140.126493
0.328125   1123.699745   2089.489064   3324.472997   4467.534709
0.334375   1118.603169   1861.871952   2689.370740   3670.373397
0.340625   774.666532   1859.461607   2671.596795   3737.510353
0.346875   712.841056   1879.473516   2930.970581   3889.325563
0.353125   974.050078   1835.762295   3092.549356   4409.098025
0.359375   1245.166447   2216.202107   3309.156010   4585.412846
0.365625   1216.229005   2360.568753   3558.108144   4617.803113
0.371875   1175.785490   2363.636533   3294.276085   4560.176332
0.378125   1179.608719   2317.257159   3374.431040   4451.869202
0.384375   1275.203706   2154.761947   3366.218823   4246.203432
0.390625   1576.295252   2456.014924   3878.844153   4711.861183
0.396875   1539.168661   2669.682410   3913.855221   5322.169167
0.403125   1425.913872   2465.743931   3880.505324   5181.160632
0.409375   1322.216492   2144.228344   3602.046838   4155.768152
0.415625   1257.085087   2118.376782   3354.729867   4061.272366
0.421875   1209.314399   2045.238263   3346.676705   4257.867879
0.428125   1266.953896   2204.509073   3416.344746   4564.523239
0.434375   1279.605612   2245.073336   3356.557238   5058.664725
0.440625   1366.874746   2450.527908   3262.017070   4348.633405
