Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1201.268075   1915.652286   3235.857622   4158.253960
0.034375   1121.834959   1977.046433   3237.761695   4185.115522
0.040625   1320.816418   1979.825872   3161.960440   4185.917337
0.046875   1308.681740   1972.059822   3183.968305   4271.630564
0.053125   975.533026   1879.305062   3118.269441   4248.461287
0.059375   1235.723592   2140.512222   3106.348939   4125.318485
0.065625   180.452622   2128.000212   2520.184179   3895.649223
0.071875   257.506811   1900.204901   2865.720542   3726.569190
0.078125   1860.592893   2185.608183   --undefined--   --undefined--
0.084375   822.196720   2449.393927   2959.155352   4225.266650
0.090625   668.697684   1789.144343   2788.910670   3961.984676
0.096875   679.038216   1914.624277   2885.252914   3961.039577
0.103125   1184.867806   2493.887190   3240.264992   4112.291760
0.109375   1325.987034   2530.269586   --undefined--   --undefined--
0.115625   774.924382   2510.690606   3131.348406   4151.571310
0.121875   1100.601270   2283.330208   3126.736775   4456.436260
0.128125   847.078527   2153.044743   3046.618469   4021.155510
0.134375   1045.276676   2234.923655   3047.061713   4232.818457
0.140625   1193.337154   2217.654660   3081.788755   4139.820590
0.146875   1060.204923   2304.622725   3053.149202   4041.289211
0.153125   1260.206609   2258.168922   3030.287518   4180.793533
0.159375   1277.522413   2118.362226   2907.761340   4253.215124
0.165625   1062.172163   2089.334840   3119.879658   4185.110454
0.171875   1067.187427   2006.497691   3239.085997   4378.328169
0.178125   1213.710537   2053.873038   3231.874085   4239.380801
0.184375   1449.069719   2523.240352   3076.493133   4031.779994
0.190625   1439.361550   2481.083597   3330.911720   4371.843746
0.196875   1265.296675   2384.657456   3697.413508   3741.782220
0.203125   1082.508702   2313.504031   3353.291008   4247.755923
0.209375   1069.363350   2134.549623   3197.323523   4387.102818
0.215625   1108.015422   2106.416549   3055.609048   4235.839920
0.221875   1098.694455   2165.007427   3110.961266   4084.343624
0.228125   1137.428308   2203.841442   2996.445269   4042.104877
0.234375   1109.621898   2182.713342   3038.316673   4049.086092
0.240625   1131.689807   2411.312090   3291.789491   3873.109301
0.246875   1188.986175   2353.550230   3357.614434   3749.378527
0.253125   1316.562878   2206.612606   3217.284329   4000.488694
0.259375   1310.335740   2199.060993   3362.441803   4025.983370
0.265625   1431.496118   2534.550368   3555.283011   5110.935932
0.271875   1505.627702   2033.225662   2699.824563   4341.586197
0.278125   1234.127033   2245.317266   3114.739316   4341.763610
0.284375   1233.279270   2352.941944   3462.227881   4996.852716
0.290625   1172.870245   2380.882652   3341.439636   4664.947761
0.296875   1221.773200   2403.336143   3152.776799   4273.666370
0.303125   1223.163878   2329.246565   2998.211369   4184.513421
0.309375   1285.587192   2222.441335   3017.835052   4013.586210
0.315625   1316.677685   2226.385751   2928.076411   4064.545119
0.321875   1157.056651   2326.033430   3114.692013   3915.157712
0.328125   1296.218529   2125.093822   2907.664695   4030.327712
0.334375   1135.790352   2027.745426   2982.193493   4160.018478
0.340625   1066.427010   2004.488597   3068.248943   4101.532495
0.346875   974.074870   2137.673895   3175.412707   4035.977147
0.353125   1207.057735   1958.530835   3184.602140   4122.227593
0.359375   1144.978311   2197.473862   3175.210907   4140.012117
0.365625   1136.327770   2321.921504   3221.953359   4039.391786
0.371875   1233.127887   1982.101619   2997.965794   4117.342951
0.378125   1237.919457   1923.300472   2951.786310   4079.698504
0.384375   1557.649096   1593.793703   2923.613604   4025.051337
0.390625   1084.610617   1950.534796   3009.979177   4119.210759
0.396875   880.783860   2031.055079   2968.121095   4093.241089
0.403125   855.980425   2085.066894   3010.681126   4068.291823
0.409375   1193.730812   1999.017940   3138.124917   3985.017071
0.415625   1249.380717   2057.332531   3246.676749   4069.861418
0.421875   1046.749994   2122.560963   3160.401109   4105.818803
0.428125   1065.385128   2141.002892   3169.354135   3992.510790
0.434375   981.875296   2150.780848   3203.493981   3923.601332
0.440625   916.243765   2060.717966   3222.206106   4109.211481
0.446875   1161.507208   1926.310536   3084.295026   4206.485617
0.453125   989.972307   1971.466392   3050.259388   4136.585491
0.459375   975.344224   2191.415273   3081.289547   4043.746454
0.465625   983.422663   2113.923624   3144.462020   4002.417258
0.471875   1123.818503   2180.290586   2951.950866   4009.198103
0.478125   1190.613946   2011.038832   3003.806214   4097.856579
0.484375   1078.678735   2038.330234   3064.593589   4242.824972
0.490625   1019.655794   2106.797532   3144.447599   4224.094540
0.496875   1081.451367   2272.705017   3214.205652   4257.649490
0.503125   1147.594007   2329.622033   3374.321537   3956.767978
0.509375   1058.079024   2299.276882   3491.370877   4029.149084
0.515625   946.577728   2164.534273   3332.090659   4162.307120
0.521875   1013.248727   2010.443821   3142.554822   4112.680623
0.528125   1057.825122   1921.447707   3137.043207   4158.086887
0.534375   1218.071169   2135.066845   3134.202656   4198.856192
0.540625   1162.411676   2459.957724   2818.627040   4044.723954
0.546875   1064.606041   2061.183254   2972.515751   4052.916169
0.553125   1089.512834   2344.953205   3034.604616   4020.122096
0.559375   1126.205935   2344.304242   2911.552327   4051.980110
0.565625   1132.713626   2089.521877   2901.229987   4155.861711
0.571875   1218.620209   1999.356021   3003.044842   4088.658954
0.578125   1165.674067   2038.666569   3060.296361   3988.694246
0.584375   1084.192845   2060.276552   3022.366307   4044.384269
0.590625   1020.672894   2067.403172   3143.829045   3979.066483
0.596875   1006.777134   2016.280978   3046.561932   3911.357832
0.603125   1068.664162   2316.813776   3373.511854   4690.357617
0.609375   1088.444876   2337.176462   3196.165486   4405.201734
0.615625   1104.268025   2436.270486   3394.751311   4090.182420
0.621875   1106.968370   2404.040834   3472.474263   3990.246430
0.628125   1057.215528   2501.850172   3355.604720   3928.356133
0.634375   884.135216   1829.799965   3271.494482   3883.018151
0.640625   1032.655928   2154.787956   2940.263302   4063.930625
0.646875   852.383501   2119.557097   3093.892834   4112.788589
0.653125   826.211781   1985.623084   3038.008612   4223.124343
