Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   943.844671   2005.387952   3272.080046   4600.423312
0.034375   691.882614   1865.980684   3179.471465   4342.231578
0.040625   532.714543   1675.258998   2074.459405   3555.982101
0.046875   786.679787   2278.164749   3740.286189   4766.060875
0.053125   873.465294   2344.201068   3781.158630   4760.421575
0.059375   881.962805   2094.798657   3386.238384   4410.169140
0.065625   666.517944   1953.807435   3295.881230   4675.413352
0.071875   867.728433   2081.184912   3380.184011   4278.591744
0.078125   376.543219   1088.726830   2180.551422   3626.438417
0.084375   513.869092   1767.113090   2855.441321   3769.767270
0.090625   592.330171   1579.005498   2715.422381   3866.345455
0.096875   533.551984   1641.908074   2877.390146   4092.242476
0.103125   485.101890   1342.507366   2435.503773   4069.905155
0.109375   419.760295   1345.544895   2408.199691   4232.660149
0.115625   481.120983   1149.472255   2557.771600   3984.907163
0.121875   1157.200518   2665.020378   3893.637204   4856.057969
0.128125   491.102496   1543.857866   2866.047037   3976.158908
0.134375   778.246068   1960.264307   3522.052130   4179.846474
0.140625   878.455634   2039.631028   3371.277406   4239.258023
0.146875   749.958146   2186.094219   3346.151806   4132.115394
0.153125   1063.167990   2383.869422   3697.732414   4108.200443
0.159375   228.294031   1515.986759   2646.672453   3772.738123
0.165625   329.600720   1419.269158   2638.166127   3731.551208
0.171875   338.967878   1177.105812   2739.353087   3663.215086
0.178125   381.617199   1314.764590   2917.354509   3688.830128
0.184375   301.892966   1344.168295   3207.777303   3625.002535
0.190625   272.270647   1450.234516   3047.954272   4120.481558
0.196875   405.716461   1446.397750   3004.178302   3970.128455
0.203125   455.191835   2003.402034   3197.046596   4085.519927
0.209375   705.402743   2279.915267   3590.419082   4792.119681
0.215625   766.217578   1597.043943   2390.498568   3478.674986
0.221875   1036.860943   2135.412957   3343.482760   4153.656747
0.228125   1029.783700   2220.013444   3567.119116   4366.867453
0.234375   949.832739   2297.279020   3364.419550   4475.521329
0.240625   939.546801   2018.981556   3276.141353   4385.361362
0.246875   918.434627   2174.806832   3053.991536   4288.069590
0.253125   620.110372   1266.973679   2509.954590   3760.697858
0.259375   619.082458   1375.986581   2407.180078   3733.992742
0.265625   881.255962   2326.429462   3666.622805   3957.239424
0.271875   990.393547   2376.208109   3316.317055   4502.457280
0.278125   1046.214248   2483.300550   3565.214398   4792.231753
0.284375   1025.252179   2477.306326   3739.117520   4810.813866
0.290625   906.819831   2335.454534   3350.390354   4360.988719
0.296875   1070.782179   2304.857509   3089.865574   4222.218148
0.303125   1030.492584   2438.734426   3013.058732   4091.745288
0.309375   1039.481197   2721.492890   3803.028074   5174.898353
0.315625   453.227785   1301.963195   2762.679702   3836.139769
0.321875   1191.084765   2705.839072   3768.024035   4845.213886
0.328125   969.402303   2498.520000   3323.306360   4737.902103
0.334375   982.492597   2692.789002   3233.114443   4744.248785
0.340625   292.457457   1568.118349   2827.447153   3738.923881
0.346875   1132.744609   2715.678980   3582.318266   4880.627174
0.353125   340.080528   1467.405745   2849.900508   3636.922980
0.359375   322.529487   1490.822998   2880.122120   3798.273950
0.365625   1026.267656   2726.773812   3028.774708   4182.751929
0.371875   1020.276011   2633.337691   --undefined--   --undefined--
0.378125   539.958603   1429.249102   2786.320317   3818.216124
0.384375   520.791355   2220.481632   2768.353197   4014.455131
0.390625   456.789177   1609.333623   2871.266919   3619.244246
0.396875   586.431865   1567.997257   2898.631492   3649.788078
0.403125   441.891860   1719.172917   2983.151266   3526.149131
0.409375   875.039337   2181.984836   3111.326212   4153.223202
0.415625   895.751837   2164.491742   2987.345692   4133.258710
0.421875   1375.532478   2876.303777   3807.326354   4789.103922
0.428125   1414.429947   2867.110653   3743.858617   4652.644811
0.434375   1133.001702   2705.306344   3079.268212   4364.933189
0.440625   115.528616   1394.057389   2580.821672   3545.136255
0.446875   1032.080056   2486.477678   3548.908682   4777.011289
0.453125   949.950552   2657.573310   3318.503451   4198.867082
0.459375   966.530884   2714.606572   3458.521108   4196.103631
0.465625   1192.372441   2847.625607   3165.780708   4153.695197
0.471875   1051.981670   2615.139631   3801.166848   4693.981261
0.478125   243.916982   1624.049417   2712.876437   3725.229955
0.484375   1401.777603   2438.669300   3520.656522   4719.620773
0.490625   962.133296   2619.711332   3708.853483   4960.853707
0.496875   336.135618   1616.490721   2889.342697   3667.710196
0.503125   331.796285   1911.475915   2924.018736   3838.184172
0.509375   487.627662   1896.250607   2769.679869   3832.168983
0.515625   557.967645   1446.988500   2650.724147   3708.400302
0.521875   958.105551   2603.127384   3662.329554   4949.911807
0.528125   1208.786656   2517.779003   3557.492450   4446.379923
0.534375   788.153095   2374.609517   3414.892222   5092.506861
0.540625   808.505944   2376.919786   3430.624112   4853.406302
0.546875   478.458475   1475.136567   2545.704499   3637.412704
0.553125   325.090232   1564.964702   2603.714993   3755.191675
0.559375   474.705106   1819.627966   2662.570943   3869.706430
0.565625   510.238964   1846.659441   2767.674948   3908.924140
0.571875   924.524055   2480.517427   3284.367366   4534.137040
0.578125   982.231016   2474.081460   3493.761575   4502.273258
0.584375   771.029315   2323.750702   3251.031821   3948.002334
0.590625   1192.018442   1984.137148   2975.965277   4192.955538
0.596875   1031.990246   2354.619879   3480.123876   5000.664101
0.603125   907.134068   2359.807025   3409.921975   4274.869353
0.609375   919.629215   2335.050032   3675.436700   3955.406437
0.615625   916.966357   2249.981835   3654.514726   4582.840775
0.621875   791.740414   2201.639458   3690.518315   4871.470927
0.628125   572.249826   1581.461461   2434.889987   3742.502945
0.634375   1106.487086   2208.102321   3627.555736   3686.885034
0.640625   321.257837   1892.966515   3269.649309   3694.311135
0.646875   366.375960   1623.725959   3119.987281   3813.403475
0.653125   1439.679658   1572.365009   3151.486710   4103.994615
0.659375   741.205688   1784.504665   3160.287386   4216.776800
0.665625   525.239756   1697.204531   2743.212244   3804.724821
0.671875   488.531334   1259.333892   2811.281453   3765.822743
0.678125   601.957387   1595.540785   2832.107506   3695.334622
0.684375   570.940492   1673.457741   2787.318405   3636.454899
0.690625   441.232179   1657.492173   2647.869943   3789.369629
0.696875   477.631392   1780.939301   2601.692287   3829.034180
0.703125   432.145880   1529.000239   2847.426220   3968.433132
0.709375   491.567840   1570.193163   2856.346552   3707.390358
0.715625   1007.177898   1927.750206   3617.660705   4025.629421
0.721875   650.330132   1780.887304   3388.778318   3833.818619
0.728125   636.778366   1719.058608   3351.719819   3792.506807
0.734375   576.930408   1644.908364   3167.465277   3739.586049
0.740625   686.385312   1755.610949   3113.664271   3697.978720
0.746875   577.736601   1740.917553   2917.814787   3860.244775
0.753125   513.831549   2041.745385   3610.973819   4029.180317
0.759375   515.417391   1832.252847   2532.853386   3984.351141
0.765625   517.568856   1704.331576   2588.120896   3990.801245
0.771875   513.717874   1382.503753   2509.326603   3900.083718
0.778125   516.201494   1434.304663   2626.472707   3397.762348
0.784375   525.009560   2531.641009   2658.786149   4418.483577
0.790625   534.100674   2415.673217   2945.543329   4387.243544
0.796875   532.438156   2403.013635   2972.947047   4403.782851
0.803125   533.014583   2444.723434   2955.917051   4427.247848
0.809375   533.818951   2513.079608   2918.270818   4432.192756
0.815625   528.916288   2520.930049   2921.877955   4379.357769
0.821875   525.038420   2626.431791   3010.763983   4369.716997
0.828125   526.989580   2672.879309   3078.546051   4361.054871
0.834375   530.857775   2762.794655   3079.914327   4387.970584
0.840625   530.909857   2877.776424   3141.458580   4379.769602
0.846875   529.805110   2836.125916   3219.686693   4324.700877
0.853125   529.702757   2865.890281   3255.196782   4348.513844
0.859375   533.988544   2792.333948   3213.497934   4291.868801
0.865625   546.916706   2821.270274   3221.403537   4366.439141
0.871875   559.936957   2862.560330   3240.697980   4485.716246
0.878125   588.472458   2825.817134   3254.221103   4488.031469
0.884375   592.178250   2827.014726   3311.561282   4457.268085
0.890625   574.255046   2870.791815   3270.110473   4384.510588
