Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1766.503490   2804.765046   --undefined--   --undefined--
0.034375   283.770826   1747.349687   2733.617332   3908.088437
0.040625   512.005207   1777.182310   2721.142670   3952.308982
0.046875   521.606875   1702.099980   3087.895018   4459.736011
0.053125   520.898643   1798.893341   3164.353468   4448.593131
0.059375   1100.475883   1984.244466   3527.296834   4622.319755
0.065625   964.639068   2100.907293   3348.449055   4567.774384
0.071875   489.590432   1841.380860   2625.404777   4197.057109
0.078125   1251.823387   2637.683711   --undefined--   --undefined--
0.084375   1551.927782   2638.782671   3812.234162   4981.463678
0.090625   466.299640   2052.111781   2311.173843   3682.335569
0.096875   1897.528670   2514.539655   3668.968476   4933.164647
0.103125   1302.569288   2092.708624   3492.795802   4296.672772
0.109375   1170.855092   1975.356015   3436.550533   4301.664694
0.115625   112.252625   1767.129986   2813.261589   3829.737947
0.121875   368.422853   1862.190474   2693.507755   3803.427241
0.128125   372.313943   1885.353610   2927.584408   4287.176082
0.134375   237.377915   1821.945017   2939.109544   4230.414102
0.140625   1191.215101   2006.690934   3158.930283   4336.177186
0.146875   1285.432618   2020.795838   3353.729204   4083.134881
0.153125   1793.668862   3320.435460   3675.469908   4826.451635
0.159375   1121.024321   1923.639189   3367.625994   4832.699661
0.165625   860.241401   2062.573350   3376.349836   4785.399269
0.171875   975.679046   2060.442186   3407.739731   4680.367107
0.178125   690.887004   1842.817586   3204.417113   4722.182030
0.184375   993.509047   1783.336766   3120.637634   4487.610451
0.190625   1133.330969   1898.436487   3132.596902   4310.043071
0.196875   1145.342951   2077.949368   3259.780045   4411.889454
0.203125   785.389156   2168.921429   3349.708083   4447.529771
0.209375   463.770735   2003.616601   3075.784490   4336.403234
0.215625   382.949401   2005.883339   3127.331432   4290.190407
0.221875   1412.131879   2562.691069   4028.526977   4659.149006
0.228125   209.645506   1577.778039   2671.475586   4001.711554
0.234375   125.989369   1558.856997   2498.813979   3953.135108
0.240625   1690.474289   2421.494960   --undefined--   --undefined--
0.246875   1883.175760   2751.705142   --undefined--   --undefined--
0.253125   1851.791971   3517.503978   3584.668311   4723.640713
0.259375   366.412004   1852.993253   3179.161346   4422.515114
0.265625   956.048321   2065.716944   3165.641975   4466.961149
0.271875   1010.341510   2031.668174   3130.220245   4331.287331
0.278125   928.607680   2093.962276   3661.355461   5092.758047
0.284375   500.789540   1997.618048   3227.174696   3961.250641
0.290625   568.056595   1894.410021   2927.903268   4183.937800
0.296875   438.213350   1825.407996   2637.509809   4052.407168
0.303125   406.914362   1772.345224   2706.996470   3911.654957
0.309375   437.993637   1741.034728   2695.857381   3988.516087
0.315625   334.737524   1719.362275   2729.756345   4119.681845
0.321875   925.414723   1997.390187   3173.982795   4265.950083
0.328125   965.255192   1988.012579   3366.906972   4452.420955
