Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1827.970672   2230.797869   3798.909306   4457.067809
0.034375   1892.341668   2101.063241   3575.472612   4503.864551
0.040625   1804.123430   3194.686078   3561.846668   4200.861986
0.046875   1624.592171   3051.333544   3249.663447   4262.923255
0.053125   1402.323388   2682.848020   3646.964193   4490.289972
0.059375   1235.905757   2578.630226   3804.077097   4316.482511
0.065625   1064.285673   2219.644077   3383.070107   4278.316973
0.071875   1141.036158   2402.850833   3484.316721   4427.407198
0.078125   1344.407034   2419.673178   3821.365833   4408.538644
0.084375   1280.797875   2397.379476   4022.087906   4419.059037
0.090625   1378.326456   2914.981477   3385.059099   4335.278889
0.096875   1430.665346   2794.381405   3180.287215   4367.974684
0.103125   1237.985787   2868.197266   2963.616754   4351.229310
0.109375   1019.412479   2209.835925   2990.226136   4279.516446
0.115625   1491.297986   1666.023433   2823.538861   4317.037420
0.121875   1582.301290   2432.545179   3390.736502   4487.166442
0.128125   1373.705031   2357.613818   3553.738994   4474.655010
0.134375   1450.837499   2460.261409   3560.007848   4469.969473
0.140625   1549.669356   2523.436714   3485.604755   4596.882216
0.146875   920.915493   2239.479825   3330.553953   4695.660544
0.153125   1112.924662   2288.240428   3332.193662   4504.455943
0.159375   1359.777806   2468.381432   3776.233492   4555.370452
0.165625   1465.298818   2452.227187   3623.030759   4624.873372
0.171875   1516.944512   2468.337641   3628.505880   4642.788848
0.178125   1495.381370   2510.999611   3687.236389   4558.287034
0.184375   1564.592117   2510.605161   3655.833438   4400.742452
0.190625   1027.730676   2282.022938   3580.125208   4554.528961
0.196875   962.007027   2290.219576   3389.982713   4456.674693
0.203125   1110.423213   2483.159006   3695.560823   4659.062773
0.209375   1113.493749   2266.949417   2726.325164   3911.296388
0.215625   993.742139   1849.842931   2927.729664   3898.870344
0.221875   1703.235981   2838.555914   3886.466939   5051.856940
0.228125   848.761685   1749.796988   2912.672878   3985.920161
0.234375   921.241061   1977.200890   3087.183208   3908.140308
0.240625   817.695429   2074.294937   3246.987850   4111.833750
0.246875   815.789991   2092.472785   3386.751288   4463.172266
0.253125   1885.670645   3417.322115   --undefined--   --undefined--
0.259375   1607.078581   2494.404609   3590.969698   4482.607998
0.265625   1553.445636   2634.574351   3498.405032   4526.089721
0.271875   1490.824718   2735.978813   3506.839742   4574.522573
0.278125   1594.091008   3087.545264   4177.645385   4487.182367
0.284375   1634.070989   2943.395748   3190.769753   4384.754736
0.290625   1122.574254   2337.483473   3202.679979   4068.575980
0.296875   1393.807017   2275.781428   3160.082806   4095.627965
0.303125   1494.477579   2520.936263   3478.145583   4405.514197
0.309375   1526.019569   2556.580024   3349.348292   4365.250823
0.315625   1442.682526   2548.656131   3666.522388   4424.705384
0.321875   1570.737821   2633.995241   3794.121520   4420.934896
0.328125   1428.718630   2520.306571   3572.071340   4669.868336
0.334375   1412.552581   2418.565349   3481.671020   4480.696921
0.340625   1616.972426   2505.980064   3491.564888   4343.279475
0.346875   1665.601564   2542.965548   3522.096142   4367.903987
0.353125   1656.549718   2808.782470   --undefined--   --undefined--
0.359375   1329.506423   2629.991214   3452.219438   4436.960197
0.365625   1009.216937   2377.576896   3303.373504   4371.146098
0.371875   1248.566562   2513.799858   3420.122323   4546.205528
0.378125   885.021371   2000.938993   3153.661705   4360.655748
0.384375   1501.718826   2935.067184   3299.960092   4352.681335
0.390625   1485.967231   2696.556277   3494.667257   4575.931509
0.396875   1602.219037   2628.152692   3573.486669   4413.126126
0.403125   1452.830465   2353.739482   3589.910872   4539.414678
0.409375   1350.931655   2389.132776   3558.949450   4621.651034
0.415625   1302.584572   2515.200557   3555.399015   4231.280598
0.421875   1250.573997   2226.921247   2767.496621   4081.996336
0.428125   344.341861   1421.933838   2679.701307   3864.005099
0.434375   342.800287   1431.616672   2679.646548   3838.455250
0.440625   333.947823   1461.651736   2686.081949   3847.655710
0.446875   109.292670   1449.339498   2838.439625   4386.673206
0.453125   497.054983   1544.614083   3009.239935   4285.479327
0.459375   1097.424195   1866.057721   3134.881391   4241.861939
0.465625   321.492194   1612.046968   3048.392510   4309.032915
0.471875   289.144558   1589.881861   2947.108586   4124.614685
0.478125   190.978371   1607.741535   2916.879351   4243.194460
0.484375   126.473641   1518.731844   2633.308426   3743.892993
0.490625   1401.744246   2862.080514   3957.211430   4744.554224
0.496875   190.722518   1394.138256   3005.580522   4344.606444
0.503125   341.513392   1502.791931   3049.872425   4434.698806
0.509375   1210.357880   1918.425742   3308.187672   4806.074921
0.515625   1276.017021   1568.591979   3318.622749   4654.429067
0.521875   448.933254   1684.656722   2219.347111   3365.033746
0.528125   464.456349   1827.889987   3215.999719   4846.816359
0.534375   319.273698   1418.471755   2629.025868   4252.326615
0.540625   338.157240   1493.622983   2769.341359   4328.939139
0.546875   1487.220380   2834.230977   --undefined--   --undefined--
0.553125   417.795679   1593.041399   2912.401837   3334.694365
0.559375   469.827179   1625.353322   3056.937914   3255.666692
0.565625   605.710477   1647.121719   3124.937086   4433.594188
0.571875   460.079018   1729.070540   3105.520763   4486.344263
0.578125   394.491565   1536.535752   2446.884992   3592.093685
0.584375   428.758490   1535.065981   2825.593781   3625.816130
0.590625   677.504969   1687.219881   3103.897728   4374.011101
0.596875   636.570841   1846.763035   3224.718286   4558.262887
0.603125   987.362763   1914.883607   3191.651779   4511.384453
0.609375   1207.320814   2565.983157   3836.853286   4674.229886
0.615625   1293.485837   2645.737226   4027.678476   5212.176210
0.621875   439.846283   1479.606979   3002.787510   4015.210668
0.628125   348.738821   1410.667687   2758.469861   3712.023124
0.634375   248.091809   1405.438687   2580.002806   3638.988369
0.640625   290.110818   1443.385852   2619.835933   3713.641723
0.646875   341.073834   1626.888592   3306.698444   4190.774978
0.653125   364.856612   1534.137814   3080.861981   4317.510891
0.659375   400.621146   1370.739569   2989.065676   3887.283150
0.665625   303.495977   1412.659875   2841.527124   3723.007000
0.671875   338.531467   1726.310503   3109.417531   4286.831936
0.678125   914.784064   1644.200519   3180.484631   4105.279342
0.684375   349.646542   1490.611578   2777.431058   3776.100134
0.690625   495.774193   1635.548826   2791.930260   3741.778883
0.696875   564.899448   1606.873281   2721.622619   3577.857634
0.703125   1371.342264   2491.431598   3493.952390   4791.882789
0.709375   306.772888   1790.930492   2497.169855   3599.637849
0.715625   286.230924   1722.308562   2510.058063   3583.841450
0.721875   297.764111   1846.046168   2293.607206   3267.894423
0.728125   309.578457   1813.486465   2524.324584   3057.017886
0.734375   313.299094   1882.067349   2969.714867   3254.089189
0.740625   312.779828   2024.180679   2066.229958   3236.743695
0.746875   310.699332   1924.195689   2046.584315   3248.519425
0.753125   350.574410   1983.067912   1995.574230   3467.369160
0.759375   343.289599   1784.601490   2037.371872   3467.089697
0.765625   318.070849   1738.749675   2586.856192   3585.095702
0.771875   357.098094   1950.072568   2740.445021   3644.260803
0.778125   412.263618   1857.039505   2726.286900   3627.406105
0.784375   420.931288   2474.932342   2945.120899   4557.362111
0.790625   423.344197   2477.876096   3102.909479   4605.106078
0.796875   416.742542   2484.822800   3055.961037   4668.316678
0.803125   413.033145   2422.317830   3017.533773   4692.721457
0.809375   422.357259   2458.540774   3040.221854   4688.616551
0.815625   426.909552   2511.594793   3068.018841   4706.734645
0.821875   430.559864   2544.963944   3060.595588   4662.437684
0.828125   432.096977   2534.287732   3047.574935   4698.869057
0.834375   425.849913   2543.992366   3052.699250   4713.101064
0.840625   423.186701   2565.061089   3047.996561   4746.643421
0.846875   422.597015   2583.727546   3048.043709   4744.184294
0.853125   424.532434   2601.177149   3019.260673   4679.558949
0.859375   429.352678   2631.427315   2999.760467   4711.870837
0.865625   433.688973   2670.620954   3013.004558   4697.986853
0.871875   429.833605   2708.547759   3048.445391   4769.104739
0.878125   422.915887   2583.818579   3055.500168   4693.806509
0.884375   416.696562   2388.769628   3063.175656   4629.066912
0.890625   413.401661   2331.933025   3075.134765   4644.227703
0.896875   408.969706   2240.537160   3092.302959   4680.866239
0.903125   409.485935   2166.828885   3145.213985   4727.999476
0.909375   413.355776   2159.207389   3161.843124   4759.650767
0.915625   411.819972   2138.970574   3159.238491   4752.506521
0.921875   401.074472   2107.128752   3148.359005   4763.554870
0.928125   394.605588   2111.172297   3221.116940   4830.480806
0.934375   396.535457   2120.516159   3298.095237   4799.444330
0.940625   391.859283   2251.342587   3468.941605   4888.877908
0.946875   358.926196   1855.353704   3200.920414   4393.237089
0.953125   318.394670   1943.785476   3205.787766   4553.712851
0.959375   378.791317   2087.388826   3286.238938   4469.433901
0.965625   405.187108   2067.965681   3251.037048   4751.701303
0.971875   389.161255   2054.325835   3183.117049   4836.504201
0.978125   361.467998   2058.866200   3346.512820   4540.005374
0.984375   369.642342   2107.743600   3291.758475   4679.517138
0.990625   371.730059   2040.554092   3211.852088   4813.951395
0.996875   355.613922   2012.354660   3315.834603   4705.978719
1.003125   352.950693   2121.296460   3351.642154   4953.744792
1.009375   345.968144   2074.496471   3238.484588   4545.320679
1.015625   341.873186   2081.611000   3190.767907   4922.458523
1.021875   332.130536   2122.291287   3311.515489   4928.629577
1.028125   499.815666   2109.044563   3385.911733   4929.111715
1.034375   349.910210   1731.764111   3111.797438   4460.070189
1.040625   394.821588   1645.246693   2743.493504   4193.812401
1.046875   250.884099   1494.533486   2835.591671   4056.140881
1.053125   301.094842   1537.015134   2892.559913   4243.534528
1.059375   294.071690   1580.796951   2982.986670   4882.911006
1.065625   276.903402   1570.709580   3517.570366   3787.293733
1.071875   1467.207883   3184.747712   3429.588230   5237.452452
1.078125   281.785594   1562.903390   3214.245651   4463.422194
1.084375   153.693434   1488.113226   3240.354488   4448.229768
1.090625   262.300182   1414.506199   3027.171050   4450.292020
1.096875   289.584548   1586.501541   3126.724448   4478.100154
1.103125   285.037685   1493.964887   2788.339400   3718.733288
1.109375   827.459435   1726.631268   3221.069766   4996.601616
1.115625   839.222964   1224.742181   3177.701622   4996.149984
1.121875   858.689406   1013.878867   3015.662411   4978.903550
1.128125   626.447566   1454.481034   2971.101883   4935.526207
1.134375   456.984026   1344.626002   2612.814999   3209.956012
1.140625   461.903858   875.462876   2859.890772   3321.813692
1.146875   450.153855   862.012014   2741.381611   3620.781799
1.153125   436.483849   863.780893   2754.586903   3757.569098
1.159375   430.033715   844.285955   2839.915065   3825.704304
1.165625   437.821532   843.131750   2834.934441   3811.905627
1.171875   457.510981   854.014583   2779.147147   3721.645706
1.178125   464.612765   888.754794   2780.276454   3642.107674
1.184375   462.676227   868.014842   2786.932253   3597.255821
1.190625   469.815259   829.784744   2849.357549   3525.957003
1.196875   468.019508   804.706632   2840.956548   3662.712119
1.203125   472.146646   840.633111   2918.254801   3635.450327
1.209375   493.697281   876.361062   2908.537136   3441.926879
1.215625   509.467988   808.707041   2805.759151   3580.436467
1.221875   531.480840   772.419674   2737.339435   3536.707432
1.228125   528.132260   833.480385   2720.050507   3725.491464
1.234375   511.919301   863.962502   2747.643319   3694.486900
1.240625   495.327254   858.467214   2842.337653   3671.647180
1.246875   482.930409   854.694131   2788.186931   3737.311495
1.253125   490.647598   863.702180   2731.797022   3764.469568
1.259375   506.210094   839.263588   2699.718344   3751.309648
1.265625   507.251769   831.208288   2723.269232   3680.934422
