Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   392.071949   1713.596636   2891.539864   3600.201750
0.034375   361.866118   1708.861391   3163.000218   3832.660884
0.040625   353.115048   1665.353005   3131.725720   3967.018484
0.046875   445.182393   1658.301966   3233.769926   3779.566073
0.053125   311.773287   1789.367501   3316.134493   4287.026509
0.059375   693.485833   2185.360726   3643.875971   4631.223617
0.065625   786.360481   2129.354422   3676.319892   4723.793462
0.071875   624.159342   2167.638226   3510.536703   4661.944066
0.078125   535.343599   2041.540754   2907.069031   3349.826458
0.084375   590.115002   1781.574429   2695.439942   3866.893472
0.090625   358.578380   1517.572141   2658.668167   3732.201673
0.096875   255.891116   1768.982086   2804.376609   3778.558461
0.103125   526.854068   1726.235652   2990.711602   4270.841850
0.109375   504.815333   1780.016602   3029.080604   4230.025675
0.115625   397.128169   1742.321812   2991.535858   4276.864341
0.121875   434.327868   1820.727110   3071.068013   4254.333675
0.128125   385.432741   1742.147314   3074.133170   3898.969020
0.134375   402.749578   1631.301302   2849.328464   3818.612411
0.140625   519.834311   1757.086135   3028.485927   3883.054617
0.146875   479.124600   1815.442708   3452.698884   3591.684704
0.153125   377.177486   1923.141842   3361.983292   4626.329977
0.159375   435.079221   1925.899946   3142.930023   4007.093504
0.165625   454.975120   1941.618577   3009.221798   3864.766343
0.171875   412.068508   1932.885330   3055.336387   3424.022419
0.178125   440.115045   1872.601276   3069.401254   4359.167998
0.184375   459.452961   1797.759265   3038.136398   4546.955382
0.190625   1733.649544   1811.437117   3213.138896   4581.645316
0.196875   1391.347749   2555.016430   3520.733309   4592.434739
0.203125   617.018142   2026.558058   3120.639020   4578.588001
0.209375   1183.851664   1948.109285   3121.244570   4658.297472
0.215625   412.789069   1970.760738   2916.433936   4393.086990
0.221875   1411.947164   1865.249391   2928.011657   4411.936882
0.228125   556.993811   1932.297710   2869.061583   4511.758727
0.234375   655.311344   2187.239802   3028.098823   4612.627932
0.240625   773.057935   2267.837421   3118.757632   4508.075840
0.246875   1255.319742   2310.756645   3200.269272   4490.372156
0.253125   1321.219115   2388.529550   3089.584075   4376.825619
0.259375   1388.779419   2698.496002   2929.501608   4301.883612
0.265625   1409.269022   2552.073368   3792.644438   4102.899988
0.271875   518.459886   1489.000767   2030.839207   3116.369250
0.278125   955.014063   1676.770819   2904.015377   3013.888201
0.284375   1114.246099   1705.159002   2401.501550   3094.505035
0.290625   1069.469743   1651.563029   2540.712321   3192.153617
0.296875   991.071781   1672.611542   2589.732264   3608.826124
0.303125   846.839396   1726.955341   2912.925859   4435.079492
0.309375   838.154058   1788.727728   2867.965994   4464.676269
0.315625   616.873652   1933.774947   2894.084056   4374.884401
0.321875   1213.679147   2161.123987   3067.605109   4425.086757
0.328125   1262.197805   2238.063214   3125.886161   4493.393336
0.334375   1288.050298   2283.221115   3182.355166   4502.969990
0.340625   1252.371531   2194.977560   3172.379226   4430.250511
0.346875   911.822663   2262.188495   3171.496157   4404.818678
0.353125   628.270246   2234.844414   3202.706065   4355.077945
0.359375   550.075609   2209.729319   3227.466497   4395.132021
0.365625   569.373554   2136.198126   3159.006607   4393.055544
0.371875   651.428986   2181.674726   2804.015047   4162.342031
0.378125   621.002404   2170.777281   2954.524054   3945.803123
0.384375   596.230197   2131.957326   3242.366809   4559.460746
0.390625   615.777854   2167.644796   3217.798189   4680.373164
0.396875   467.658956   2240.659163   2969.621887   4001.651334
0.403125   379.820538   2327.673395   3230.923891   4209.443503
0.409375   305.979369   2275.761883   3283.897851   4155.494083
0.415625   486.118937   2207.330410   2737.062610   4038.538834
0.421875   538.828952   2285.836412   2848.760537   4369.982931
0.428125   1695.307064   2592.567660   3469.302693   4730.856200
0.434375   610.087056   1833.585071   2604.294000   3625.377533
0.440625   673.637651   2087.196383   2882.695609   3603.912018
0.446875   582.997225   2186.848200   2729.324241   3670.026686
0.453125   532.453502   2140.727010   2594.038918   3787.069224
0.459375   496.442312   2113.512281   2555.109311   3731.858976
0.465625   455.795627   2129.369609   2683.608153   3710.717786
0.471875   553.011622   2099.077169   3010.616794   3804.269821
0.478125   550.383872   2100.190255   2738.726179   3837.140128
0.484375   622.714684   2146.090992   2718.230938   4037.338216
0.490625   678.765557   2161.484049   2924.825931   4119.917423
0.496875   662.179764   2170.586336   2833.797121   4138.161336
0.503125   782.903362   2195.620315   3029.261656   4263.972152
0.509375   429.738715   2151.712233   2977.676879   4317.914243
0.515625   398.563179   2179.065587   3001.908196   4477.286373
0.521875   774.701638   2201.577657   2994.664068   4441.720063
0.528125   616.702973   2201.518141   2958.265234   4370.478682
0.534375   484.515989   1827.518640   2718.295350   3649.692845
0.540625   516.698350   1719.594664   2967.906274   3637.614460
0.546875   454.394911   1733.804006   2927.148764   3899.079582
0.553125   467.551269   1739.603221   2781.554509   4406.404584
0.559375   441.750714   1584.940478   2742.102184   4140.583405
0.565625   1078.474993   2120.796553   3098.008674   4443.274284
0.571875   903.015456   2038.749133   3273.602598   4497.619889
0.578125   591.329282   1996.902680   3278.599013   4612.812755
0.584375   294.704689   1889.314920   3057.617782   4524.069975
0.590625   385.329763   1769.772510   3085.327299   3517.516457
0.596875   387.542954   1730.194439   2636.737363   3449.677670
0.603125   339.763462   1849.524441   2558.847856   3564.516360
0.609375   315.296728   1766.669102   2606.125368   3655.833028
0.615625   247.419440   1489.042780   2590.303242   3641.364283
0.621875   181.916667   1525.369426   2678.645012   3432.418408
0.628125   193.031154   1636.217951   2636.957605   3514.571648
0.634375   248.760509   1798.259889   3012.805768   3421.349079
0.640625   657.511167   1887.044721   3136.474385   4096.926447
0.646875   787.370887   1948.327096   3222.420246   4395.184609
0.653125   416.533191   2037.642600   3186.843447   4514.954048
0.659375   366.981675   1748.969370   2757.892618   3957.193943
0.665625   347.790335   1695.953840   2755.486014   3933.790897
0.671875   357.842334   1639.565160   2739.597041   4018.393105
0.678125   349.409328   1806.074228   2377.116712   3732.659636
0.684375   142.789456   1819.258718   2413.616010   3741.085117
0.690625   429.226678   1890.655265   2525.039301   3740.127297
0.696875   472.899335   1936.541116   2583.501205   3704.239218
0.703125   614.279142   2098.634367   2508.656966   3539.961547
0.709375   604.042164   2238.055738   2578.515978   3684.411680
0.715625   447.511029   2184.673807   2702.181657   3868.320917
0.721875   480.191798   2193.192654   2732.955933   3770.897972
0.728125   514.592870   2060.028138   2838.179885   3737.527235
0.734375   288.711307   2085.438591   2949.417850   3795.148580
0.740625   326.499936   2045.027836   3107.145372   3880.974344
0.746875   348.291018   2081.786016   3313.282855   3740.271360
0.753125   366.530937   2113.299962   3137.770576   4169.961039
0.759375   370.088224   2194.576437   3128.522746   4159.826761
0.765625   363.455588   2241.268701   3175.366598   4296.304636
0.771875   349.496686   2213.678233   3348.757986   4302.992157
0.778125   347.045222   2134.013185   3448.206730   3565.483894
0.784375   332.545062   2272.756600   2525.992901   3409.239338
0.790625   328.718943   2281.160596   2825.200727   3416.263981
0.796875   385.373061   2378.043906   2863.124682   2919.970192
0.803125   434.523215   2401.849145   2983.962687   4525.210882
0.809375   433.090705   2481.154946   3117.141030   4488.630600
0.815625   402.224532   2506.139559   3116.596251   4365.601657
0.821875   383.901148   2526.274024   3152.316889   4335.906776
0.828125   369.261313   2550.540038   3288.336021   4438.165088
0.834375   392.299215   2564.201254   3313.200957   4427.239989
0.840625   392.665300   2582.425536   3339.549610   4440.240016
0.846875   402.032639   2612.214597   3309.336774   4313.039465
0.853125   398.208263   2632.252926   3286.739588   4276.675532
0.859375   357.197757   2643.784562   3288.627491   4309.055661
0.865625   311.022229   2661.730324   3299.325144   4346.371101
0.871875   291.869661   2677.674940   3338.335201   4461.001862
0.878125   293.919475   2697.025019   3356.218932   4415.304263
0.884375   294.412295   2708.384410   3354.573907   4460.080564
0.890625   296.926764   2727.460930   3341.398558   4640.820427
0.896875   290.861181   2758.284556   3171.186857   4249.229332
0.903125   287.188607   2810.588597   2929.479478   4149.707332
0.909375   288.651124   2546.506610   2961.892957   3580.185050
