Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   510.108725   1873.703460   2586.021496   3822.860147
0.034375   1539.646296   2528.674000   --undefined--   --undefined--
0.040625   1474.596253   2528.321919   --undefined--   --undefined--
0.046875   1498.191698   2620.391033   --undefined--   --undefined--
0.053125   1630.522198   2642.573553   --undefined--   --undefined--
0.059375   1715.420494   2669.280991   --undefined--   --undefined--
0.065625   1898.619234   2574.312351   --undefined--   --undefined--
0.071875   2017.978812   2596.010289   3277.082410   5333.971384
0.078125   1837.595577   2512.322253   3300.962531   5152.698880
0.084375   1709.455287   2504.700069   3332.092874   5147.874493
0.090625   1861.277399   2505.747657   3454.823515   5273.913732
0.096875   2045.978938   2680.891044   --undefined--   --undefined--
0.103125   1693.302763   2290.553934   --undefined--   --undefined--
0.109375   1531.016421   2655.578702   --undefined--   --undefined--
0.115625   1446.879935   2565.452089   --undefined--   --undefined--
0.121875   1449.368015   2291.009989   3240.116764   5446.851545
0.128125   1520.423969   2376.964132   --undefined--   --undefined--
0.134375   1485.623094   2466.888951   3202.130636   5446.495575
0.140625   1383.530188   2581.683399   --undefined--   --undefined--
0.146875   1393.765047   2674.274057   --undefined--   --undefined--
0.153125   1419.100307   2524.358212   --undefined--   --undefined--
0.159375   1484.514461   2518.766783   --undefined--   --undefined--
0.165625   1369.405864   2471.433158   --undefined--   --undefined--
0.171875   1458.794073   2622.354719   --undefined--   --undefined--
0.178125   1529.693888   2528.854331   --undefined--   --undefined--
0.184375   1490.233867   2450.105586   --undefined--   --undefined--
0.190625   1565.346337   2746.295770   --undefined--   --undefined--
0.196875   1603.420187   2803.249197   --undefined--   --undefined--
0.203125   1559.321277   2899.456128   --undefined--   --undefined--
0.209375   1612.461743   2690.204958   --undefined--   --undefined--
0.215625   1543.351784   2462.766331   --undefined--   --undefined--
0.221875   1386.551634   2635.263336   3465.019068   5258.586480
0.228125   1363.882864   2712.799713   3446.282328   5118.294949
0.234375   1403.359262   2634.455597   --undefined--   --undefined--
0.240625   1451.696857   2583.570922   --undefined--   --undefined--
0.246875   1540.023483   2474.336754   --undefined--   --undefined--
0.253125   1573.982274   2532.016546   --undefined--   --undefined--
0.259375   1641.003920   2658.046066   --undefined--   --undefined--
0.265625   1599.951689   2573.003304   --undefined--   --undefined--
0.271875   1635.121903   2330.821652   --undefined--   --undefined--
0.278125   1534.181292   2310.784584   3252.488005   5418.747083
0.284375   1557.616452   2579.825216   --undefined--   --undefined--
