Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   681.091996   1992.673767   3004.446717   4006.197457
0.034375   720.687055   2051.392968   3046.877965   4079.071852
0.040625   1150.185335   2011.345057   3022.429670   4121.250296
0.046875   1204.896540   1829.141343   2878.718501   4037.851113
0.053125   1031.314532   1856.720610   3097.341895   4080.581237
0.059375   1076.402294   2035.977081   3133.607046   4271.052637
0.065625   1062.601429   2049.989634   2835.422228   4079.317935
0.071875   1232.666547   2780.336188   3319.476783   4129.676250
0.078125   1359.423135   2357.562120   2893.156200   4061.714228
0.084375   1361.903600   2853.297404   --undefined--   --undefined--
0.090625   1449.617392   2817.560818   --undefined--   --undefined--
0.096875   311.763689   1529.787004   2874.268983   4082.381178
0.103125   1552.340112   2874.192042   --undefined--   --undefined--
0.109375   1648.572000   2907.163097   --undefined--   --undefined--
0.115625   335.105428   1606.779707   2948.548516   4045.508626
0.121875   1535.689993   2955.525072   --undefined--   --undefined--
0.128125   529.803903   1577.627092   2935.161400   3936.076953
0.134375   833.344938   1644.476898   2930.194695   3999.235301
0.140625   846.884951   1557.065958   2949.650298   4078.044142
0.146875   803.995405   1595.390722   2990.865125   3998.600036
0.153125   635.469793   1707.070303   2891.347036   3796.810524
0.159375   372.840396   1311.041400   2867.370849   3970.976783
0.165625   753.667314   1712.770267   2926.219729   3929.346205
0.171875   846.993497   1844.046935   3048.919923   3939.611635
0.178125   954.130592   2039.752452   3153.349036   4185.110755
0.184375   955.546777   1844.920520   3039.393861   4287.008556
0.190625   921.044631   1909.015610   2998.213743   4229.662522
0.196875   857.634450   2085.538345   3104.587008   4206.377955
0.203125   899.825542   2018.018101   2899.930111   4107.521705
0.209375   891.595173   2288.113674   3142.140922   4281.412248
0.215625   851.074338   2067.784319   2926.270270   4200.362039
0.221875   842.364835   1999.726124   2919.915086   4274.821951
0.228125   414.184651   2007.273863   3009.251515   4222.189795
0.234375   742.027168   2094.302383   3037.577660   4179.394509
0.240625   659.912846   2058.167157   2992.966679   4348.552024
0.246875   318.291634   2029.759332   2951.481416   4314.615117
0.253125   140.349308   1988.436425   2940.425466   4373.928304
0.259375   1073.036691   2037.492864   2993.617402   4413.695642
0.265625   1248.740522   2098.928788   3203.500128   4473.212163
0.271875   1378.964416   2064.438052   3213.716422   4392.536670
0.278125   1071.946356   1968.061588   3121.503362   4250.744625
0.284375   1691.395472   1935.035387   3093.163109   4431.024379
0.290625   1513.039898   1900.990352   3115.046912   4433.410429
0.296875   1171.826922   2100.321770   3185.198700   4280.679877
0.303125   1171.845467   2285.635879   3231.456217   4180.681629
0.309375   1209.563780   2390.615091   3135.339517   4276.615167
0.315625   1135.052366   1977.935173   2993.902787   4407.045728
0.321875   1325.503231   2027.606853   3074.530131   4317.337022
0.328125   1292.783964   2205.606077   3010.784598   4405.702973
0.334375   1258.873573   2336.112770   3017.073219   4441.440359
0.340625   1179.440513   2641.309509   3046.694658   4292.870928
0.346875   1153.793515   2597.736982   3194.037186   4342.382537
0.353125   1181.763871   2522.294242   3110.408766   4449.619378
0.359375   1207.316845   1854.689551   2909.040894   4219.557725
0.365625   1099.990136   1367.985327   2899.442113   4240.858070
0.371875   870.475978   1658.215620   2889.945310   4078.395245
0.378125   909.548694   1776.382525   2899.762798   4012.287050
0.384375   940.236290   2080.225725   3074.799953   4082.243800
0.390625   964.470928   2127.292572   3033.119871   4108.697498
0.396875   931.481641   2249.328225   3061.028491   4135.034638
0.403125   956.952883   2533.937030   2940.223058   4240.122318
0.409375   1145.289278   2902.091749   3036.077019   4076.458688
0.415625   1530.598023   2920.295892   --undefined--   --undefined--
0.421875   266.377247   1604.470815   2911.012163   3966.128914
0.428125   457.990916   1596.705918   2906.102822   4013.136975
0.434375   1429.497831   2880.769198   --undefined--   --undefined--
0.440625   458.311724   1488.621900   2893.628985   3866.361921
0.446875   538.723868   1475.134603   2883.441716   3820.340652
0.453125   1293.454843   2888.594533   --undefined--   --undefined--
0.459375   389.387118   1575.312831   2900.333750   3891.313788
0.465625   1393.840560   2158.245287   2878.636861   4010.648736
0.471875   967.882131   2402.683764   3110.132845   4467.949443
0.478125   1026.580605   2456.775760   3058.843167   4488.108634
0.484375   1337.363754   2911.680242   3392.544704   4923.892479
0.490625   1335.549857   2955.412772   3539.038299   4913.176739
0.496875   1225.881359   2979.057624   3589.670052   4587.429531
0.503125   802.936964   2189.626180   3207.006474   3794.371817
0.509375   821.498682   1684.810935   3105.754658   3916.815329
