Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   774.086997   1690.750856   3054.515828   4382.981529
0.034375   902.688830   1687.174695   3089.509346   3690.670636
0.040625   799.246521   1482.924721   3106.771241   3210.848063
0.046875   837.382857   1588.751154   2985.450862   3422.486602
0.053125   774.675662   1693.513069   2949.188271   3523.966595
0.059375   875.654695   1681.070442   2957.001488   3669.451358
0.065625   911.453601   1700.065775   2997.973537   3765.917658
0.071875   798.151650   1712.259613   2974.653921   4163.279837
0.078125   761.349701   1653.957755   2826.053412   3570.199872
0.084375   884.270562   1545.806608   2853.237080   3432.754911
0.090625   997.597785   1633.988751   2837.318455   3389.407869
0.096875   889.226174   1675.151872   2840.840372   3649.334480
0.103125   899.063244   1633.164415   2756.482365   3575.091880
0.109375   930.424130   1616.878926   2756.098726   3530.689835
0.115625   902.319771   1611.417714   2666.633579   3488.943930
0.121875   899.396113   1613.086143   2941.995962   3613.770653
0.128125   977.792222   1601.644919   2895.502205   3708.803240
0.134375   903.449470   1573.463465   2879.999471   3628.610110
0.140625   905.226110   1640.145740   2901.338363   3584.352256
0.146875   923.807652   1621.209851   3108.410147   3346.826856
0.153125   951.171236   1621.267561   3076.056424   4169.118938
0.159375   920.273147   1648.396451   2934.117750   3742.896059
0.165625   920.675394   1571.503318   2777.916273   3677.778273
0.171875   863.962475   1540.853401   2744.577045   3641.187135
0.178125   821.864290   1634.521053   2815.843223   3702.802160
0.184375   880.631104   1675.467056   2905.852446   3960.152424
0.190625   928.806295   1654.184623   2986.128150   3789.738024
0.196875   861.041277   1624.360024   2954.178863   3527.356430
0.203125   832.797019   1618.614737   3043.223861   4193.286074
0.209375   799.912086   1602.198670   2970.802359   3014.779892
0.215625   797.351580   940.127685   2310.912121   3357.429233
0.221875   938.832386   2026.393198   3304.840201   4612.574089
0.228125   978.816072   1995.968116   3284.525795   4511.732328
0.234375   842.977786   1802.415288   2883.171275   4263.300208
0.240625   862.710137   1782.796591   2914.856633   3150.097957
0.246875   821.616201   1725.436751   2744.360350   3483.239310
0.253125   780.893684   1671.058253   2691.276952   3496.731490
0.259375   977.481182   1688.430395   2779.660887   3774.184952
0.265625   906.623187   1717.374909   2780.984671   3735.495820
0.271875   1004.820627   1873.506538   2944.966486   4201.058710
0.278125   944.780944   1889.818588   2964.508037   4246.826904
0.284375   829.678529   1818.099942   3082.801146   4281.051934
0.290625   1008.830267   1844.542765   3063.002477   4243.734817
0.296875   1023.407383   1805.834551   3045.390021   4260.834768
0.303125   865.047832   1797.986987   2908.710958   4131.298505
0.309375   871.204340   1800.870822   3082.505546   4062.678987
0.315625   1062.819836   1872.302591   3202.109059   4308.187976
0.321875   980.982386   1925.650464   3272.100874   4337.067305
0.328125   950.847695   1903.362766   3153.527221   4015.291013
0.334375   1053.548050   1940.001116   3195.291734   4126.780393
0.340625   1099.663274   1900.394093   3181.428678   4208.696522
0.346875   1140.932360   1722.145986   3099.915601   4290.306967
0.353125   1192.526954   1958.310666   3219.495225   4278.898970
0.359375   1042.967984   1749.523740   3142.702290   3392.338631
0.365625   963.180770   1884.769210   2867.498096   3974.223420
0.371875   1056.106977   2148.080646   2903.672049   4130.699901
0.378125   997.502900   2073.596263   2953.066579   4163.415014
0.384375   1143.055110   1189.433646   2386.625490   3370.980275
0.390625   448.841353   1099.939049   2350.399120   3254.112949
0.396875   977.063969   2105.214602   3034.214469   4272.121986
0.403125   1048.773167   2286.827242   3015.902122   4271.666351
0.409375   1018.788411   2439.874164   3220.449649   4274.835574
0.415625   1001.925043   1856.875279   2553.679664   3549.178449
0.421875   1000.155523   1760.580321   2710.329451   3659.893299
0.428125   980.770492   1721.231241   2877.312305   3553.894052
0.434375   927.627362   1784.285151   2892.171239   3505.725059
0.440625   892.039965   1759.120572   2952.420456   4223.343075
0.446875   907.710368   1676.545944   2914.094482   4218.365632
0.453125   851.191326   1745.154748   2833.878462   3936.397228
0.459375   919.369607   1792.070737   2933.176080   4340.131320
0.465625   927.394198   1691.435724   2962.527012   4255.372359
0.471875   898.015693   1644.982001   3014.358319   4225.570926
0.478125   934.765646   1669.538734   2947.477157   4184.486531
0.484375   892.022200   1653.609389   2861.969083   4076.659123
0.490625   904.398144   1707.954806   2851.782428   3875.237178
0.496875   873.408742   1713.203256   2951.045181   3623.954656
0.503125   900.728484   1656.598196   3044.373894   3952.543670
0.509375   1021.514113   1767.797490   3118.731680   4313.050112
0.515625   915.349706   1717.068475   2779.852586   3827.133288
0.521875   930.275870   1732.160016   2906.610323   3349.190342
0.528125   847.243385   1646.832247   3138.723941   3454.627120
0.534375   949.766078   1693.898223   2619.139114   3392.819458
0.540625   895.753077   1687.982682   2750.886303   3581.022906
0.546875   893.976893   1647.789023   2747.929060   3611.431432
0.553125   1049.730080   1525.268129   2663.295390   3646.077814
0.559375   1171.031244   1341.461124   2414.354801   3285.272544
0.565625   1083.780789   1831.340210   3160.318465   4379.610714
0.571875   832.519643   1535.638133   2806.220679   3490.096239
0.578125   904.137090   1619.535799   2943.368919   3803.213225
0.584375   980.866303   1737.425590   2922.955457   4000.754981
0.590625   896.287037   1800.275435   3020.736188   4230.169558
0.596875   1038.762746   1816.666636   3030.204987   4315.725981
0.603125   918.960431   1688.923282   2678.077044   3556.440377
0.609375   929.126125   1562.391040   2665.322671   3594.095088
0.615625   874.898503   1601.622624   2807.137694   3421.844738
0.621875   816.334483   1666.319127   3318.437353   3353.853819
0.628125   818.933156   1667.215618   3052.207569   3927.385888
0.634375   863.748759   1674.689991   2723.752353   3703.878185
0.640625   856.482716   1628.052394   2726.943475   3701.883091
