Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1791.531665   2259.117197   3889.303917   4574.439636
0.034375   2030.018939   2174.674810   3877.772079   4665.286932
0.040625   2119.370230   2215.439571   3846.301165   4601.730002
0.046875   1837.976057   2269.013867   3678.265107   4401.969021
0.053125   2057.585880   2268.233813   3929.766300   4682.855510
0.059375   489.487944   2241.817462   2649.045949   3932.234001
0.065625   1813.109171   2243.767829   3895.786413   4771.274954
0.071875   2184.451234   2512.101958   3985.432166   4813.324911
0.078125   2220.204514   2396.465873   3886.530913   5010.176781
0.084375   2032.033901   2259.331089   3803.984784   4564.024104
0.090625   1792.520532   2257.618759   3408.984799   4140.366520
0.096875   1307.565183   2189.609332   3332.054142   4111.455715
0.103125   1700.500462   2135.755823   3510.655667   4147.113250
0.109375   1826.445568   2254.353007   3521.182083   4180.965695
0.115625   2076.447653   2264.679283   3187.722416   4158.285088
0.121875   2131.207091   2272.159000   3197.355213   4136.596223
0.128125   1898.854119   2132.674293   3463.254328   4060.996265
0.134375   1862.942564   2121.294560   3539.954472   3918.835586
0.140625   1198.147498   2211.225485   3271.443736   4176.014618
0.146875   1782.763860   2211.653483   3406.935932   4219.886513
0.153125   2018.460360   2087.590634   3562.497244   4094.762129
0.159375   437.988352   2052.668489   2787.032387   4066.362459
0.165625   1651.043477   2107.838362   3453.995943   4241.172109
0.171875   1771.998575   2154.913549   3255.276631   4312.918135
0.178125   2145.026215   2554.789490   4194.853166   5195.385732
0.184375   2146.806422   2319.732211   3605.926648   4153.959767
0.190625   1700.330358   2083.819579   3333.134884   4179.650248
0.196875   1858.673245   2093.595755   3162.213411   4145.070197
0.203125   606.097215   2136.960735   2772.994996   4038.646158
0.209375   2085.965603   3300.074406   3929.866350   4645.069671
0.215625   2017.959153   2967.530236   4243.767454   4655.144715
0.221875   2128.543985   2536.989276   --undefined--   --undefined--
0.228125   397.761362   2082.925497   3269.148891   4018.832759
0.234375   523.163742   2050.231053   3117.401526   3874.631131
0.240625   2046.370097   2197.948672   3834.414174   4969.006600
0.246875   1901.908638   2116.881140   3847.440650   4372.525737
0.253125   1898.890577   2105.540850   3739.309543   4115.127435
0.259375   1762.319552   2121.076634   3645.156396   4153.729216
0.265625   1586.754682   2170.790163   3657.021802   4129.849722
0.271875   1664.726034   2176.405938   3742.345954   4031.875156
0.278125   1612.840241   2078.387571   3622.429871   4133.432030
0.284375   1925.910484   2060.527267   3660.191109   4299.565477
0.290625   1997.209442   2058.135139   3630.264323   3948.948989
0.296875   2013.699127   2264.773052   3881.895406   3946.596139
0.303125   1807.431036   2143.616382   3551.309358   4228.629128
0.309375   1528.526530   2105.864807   3455.860389   4072.888438
0.315625   1771.362829   2096.412779   3516.645999   4009.746671
0.321875   2037.833359   2571.961890   3647.015324   3971.898581
0.328125   2096.768856   2126.164075   3847.706284   3927.323735
0.334375   1940.218769   2159.707896   3665.894463   3973.200833
0.340625   1791.692077   2240.107185   3592.424249   4094.570986
0.346875   1489.267119   2137.768828   3547.309453   4124.726781
0.353125   662.611631   2010.502746   3291.720065   3999.734139
0.359375   1912.931796   2082.807159   3894.192091   5142.338215
0.365625   1719.518546   2090.644070   3771.516461   4405.965365
0.371875   140.929740   1991.796364   2448.536028   3875.297139
0.378125   2024.403356   2480.442860   3486.110623   3935.212452
0.384375   1598.997952   2160.870443   3627.719075   3973.897501
0.390625   2004.385137   2118.321926   3850.146574   3950.030330
0.396875   2075.022275   2709.066575   3037.197448   3878.770034
0.403125   1854.104469   2062.207334   3448.852651   4036.650876
0.409375   2021.529184   2081.160806   3844.842777   4110.535380
0.415625   1844.934571   2214.723064   3567.841874   4071.809153
0.421875   2020.717609   2052.490556   3569.924170   4286.763095
0.428125   1718.139825   2117.296457   3730.640670   4009.958272
0.434375   330.646987   2021.982407   2753.733376   3903.249521
0.440625   2047.950021   2586.299094   3889.993464   5019.408407
0.446875   318.479111   2054.097385   2607.314477   3845.508363
0.453125   328.747813   2070.654919   2331.040487   3836.826157
0.459375   1562.690768   2008.437038   3755.648605   5178.868918
0.465625   1792.401279   1975.300267   3746.346925   4969.443768
0.471875   360.842708   1854.082133   2819.034041   4300.600294
0.478125   1854.896854   2808.525965   4010.956580   4940.194318
0.484375   1817.218244   2262.781207   3843.705764   4887.587018
0.490625   488.345375   2076.688078   2158.360237   3737.595499
0.496875   1004.857912   2154.095991   3466.463817   5007.446257
0.503125   431.695761   1558.196192   3013.456208   3932.416365
0.509375   490.985570   1772.470727   2901.014598   4084.575245
0.515625   407.430569   1844.271591   2087.226464   4027.823388
0.521875   1241.216854   2244.814924   4018.196359   4782.662702
0.528125   1488.263841   2275.283590   4267.498364   5123.288298
0.534375   390.101119   1934.579991   2530.776861   4281.288549
0.540625   383.384031   1831.451438   2621.889125   4271.063917
0.546875   552.000552   2304.681865   3638.035039   4422.203859
0.553125   462.146610   2247.858978   3972.090273   4770.042555
0.559375   65.312040   1423.869937   2692.017790   3854.681428
0.565625   1427.926971   2795.777673   3776.381858   4833.791694
0.571875   1526.195613   2822.724982   3792.113467   4870.897538
0.578125   1500.944316   2572.421314   3662.965538   4883.939347
0.584375   1229.995628   2089.244994   3644.176792   4877.397219
0.590625   1117.013778   2228.502109   3635.499534   4839.044249
0.596875   1025.261341   2319.894369   3788.769534   4973.390832
0.603125   1105.174719   2295.240970   3733.920377   4900.249736
0.609375   1201.866682   2480.577949   3664.357004   4722.490534
0.615625   1553.624496   2106.440167   3579.251353   4523.257550
0.621875   1603.124036   2104.877936   3537.416190   4387.094506
0.628125   1472.323263   2106.111533   3490.693587   4345.232296
0.634375   1735.986390   1898.841010   3422.435975   4349.811377
0.640625   286.685209   1966.277736   3410.881268   4221.207774
0.646875   338.873470   2054.849735   3633.777555   4189.704331
0.653125   330.185684   2106.073704   3749.160546   4285.422407
0.659375   357.764564   2139.654965   3753.557081   4305.116973
0.665625   357.570175   2350.956026   4021.799679   4252.889376
0.671875   375.363939   2443.758999   4194.059097   4550.687220
0.678125   347.829162   2383.066876   3854.404497   4329.027889
0.684375   361.466602   2316.056165   3512.954475   4318.630378
0.690625   436.381933   2325.115817   3281.032853   4340.293189
0.696875   479.162849   2353.659832   3378.882617   4350.742983
0.703125   467.648868   2312.016837   3406.289844   4337.999913
0.709375   459.173245   2308.554978   3333.825494   4287.576353
0.715625   453.783179   2355.161291   3273.690471   4270.051858
0.721875   451.077260   2495.157818   3242.830765   4356.212255
0.728125   469.910171   2480.443023   3236.916962   4346.606272
0.734375   471.982399   2396.655164   3238.531699   4359.123687
0.740625   447.661096   2383.591571   3226.933761   4397.050786
0.746875   381.226528   2371.257232   3133.028564   4367.663690
