Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1090.583796   2062.095929   3231.470818   4493.046455
0.034375   1171.108148   2104.527015   3268.492016   4549.748336
0.040625   1348.786031   2242.296752   3406.823026   4644.491246
0.046875   1532.419224   2609.881970   3619.425565   4747.952472
0.053125   1543.726525   2679.401354   3692.234456   4591.166338
0.059375   1635.395832   2552.515323   3678.050373   4590.281616
0.065625   1613.386281   2609.181022   3571.115455   4705.452388
0.071875   1569.892000   2654.657585   3591.282226   4731.169287
0.078125   1468.010822   2656.145889   3593.778538   4574.650598
0.084375   1534.928806   2605.038229   3585.079249   4512.020134
0.090625   1562.784511   2737.193511   3557.773320   4718.061786
0.096875   1539.650274   3076.784298   3608.695619   5023.011049
0.103125   1545.674892   2744.304597   3604.578498   4505.958920
0.109375   1664.748537   2504.570381   3534.606715   4443.045274
0.115625   1606.113820   2545.682633   3532.800560   4525.705899
0.121875   1488.126279   2475.548678   3493.465897   4595.814877
0.128125   1495.498041   2458.417169   3474.823284   4537.384519
0.134375   1658.943453   2444.287771   3415.042516   4508.700584
0.140625   1693.582371   2720.747428   3356.774297   4603.735542
0.146875   1726.580474   2561.964515   3459.877074   4610.807858
0.153125   1631.972703   2625.152233   3463.474311   4679.432651
0.159375   1571.906892   2762.686441   3439.907901   4425.585233
0.165625   1594.308370   2711.283522   3734.937240   4418.877606
0.171875   1464.566367   2747.900692   3728.000969   4627.979008
0.178125   1405.117862   2648.003430   3550.427756   4685.115861
0.184375   1549.890149   2619.997690   3574.728013   4458.369538
0.190625   1534.145437   2643.151117   3594.642129   4474.999112
0.196875   1462.703290   2598.723324   3630.591353   4559.257792
0.203125   1431.105857   2673.019016   3532.511263   4566.756702
0.209375   1584.663837   2729.688121   3390.779058   4404.369698
0.215625   1481.530404   2655.657213   3614.691821   4439.965338
0.221875   1699.499358   2539.813069   3520.927438   4508.348493
0.228125   1583.893236   2410.930418   3533.088676   4508.538896
0.234375   1641.707970   2414.693610   3578.221171   4400.891028
0.240625   1790.300317   2422.676377   3433.621649   4399.727225
0.246875   1592.635746   2703.423860   3337.634724   4491.027964
0.253125   1462.053380   2648.217611   3496.571667   4563.844080
0.259375   1584.443038   2610.909758   3385.348232   4565.800868
0.265625   1654.030041   2525.433994   3264.160005   4485.586017
0.271875   1549.453321   2551.383824   3380.616043   4506.402581
0.278125   1559.151411   2675.951244   3462.909611   4571.347460
0.284375   1524.293788   2857.925956   3488.052858   4539.472189
0.290625   1581.758924   2854.140326   3505.755214   4470.454062
0.296875   1572.331763   2538.202122   3611.202415   4568.468624
0.303125   1505.940620   2503.075311   3519.597537   4553.343502
0.309375   1602.591212   2570.104617   3613.157473   4468.251909
0.315625   1747.925530   2670.113803   3693.431233   4259.034051
0.321875   1822.654739   2638.845859   3577.406740   4338.635497
0.328125   1783.460149   2321.604371   3503.693176   4473.706927
0.334375   1652.894260   2482.180110   3511.848786   4455.288969
0.340625   1550.565850   2661.052578   3534.936549   4480.966396
0.346875   1749.529534   3002.131028   3842.047468   4096.252657
0.353125   1753.127967   2852.046863   4047.066055   4185.687898
0.359375   1562.331711   2655.122503   3690.812827   4642.835901
0.365625   1691.995621   2624.475472   3613.090379   4609.983080
0.371875   1666.174535   2503.856986   3519.974058   4572.528375
0.378125   1767.817482   2530.485320   3394.769943   4531.248467
0.384375   1769.306057   2917.870477   3292.625512   4409.771354
0.390625   1651.503889   2750.884736   3362.885023   4579.330009
0.396875   1653.572741   2752.948649   3656.781215   4554.763392
0.403125   1604.464493   2547.177067   3787.335522   4540.417720
0.409375   1696.325262   2660.503936   4006.094909   4268.016524
0.415625   1524.375765   2753.788596   3679.434996   4456.661889
0.421875   1489.655802   2671.606432   3694.377391   4739.468215
0.428125   1584.740562   2549.582211   3671.080499   4674.980235
0.434375   1721.377434   2627.316940   3644.204922   4654.119176
0.440625   1764.580177   2440.920854   3580.204881   4628.312203
0.446875   1460.932486   2509.529295   3527.418546   4635.972970
0.453125   1570.391235   2681.899324   3456.174546   4606.408445
0.459375   1599.763394   2664.484733   3751.414444   4512.847268
0.465625   1577.503010   2585.132885   3754.138235   4643.473327
0.471875   1435.459696   2738.474142   3855.564514   4654.689973
0.478125   1486.823498   2830.062766   3801.016004   4592.826810
0.484375   1544.118126   2774.760521   3363.888316   4682.425966
0.490625   1432.116291   2536.446777   3592.420956   4743.275805
0.496875   1470.076415   2645.538968   3808.858383   4686.074544
0.503125   1573.277504   2593.520660   3743.961430   4585.990044
0.509375   1378.147009   2543.605530   3587.163864   4746.054787
