Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   602.591390   1942.959694   2897.174075   4060.369468
0.034375   426.406010   1912.973193   2661.346962   4086.141974
0.040625   151.264201   1637.806691   2620.191525   4019.724527
0.046875   213.618407   1761.008132   2784.251654   3909.880061
0.053125   1977.033917   2126.698241   --undefined--   --undefined--
0.059375   906.372579   2083.841198   3401.898908   4273.281440
0.065625   971.764890   2286.307844   3636.609918   4467.724923
0.071875   1950.670171   2063.365388   3531.412169   4675.964664
0.078125   529.393705   1959.671732   3229.248144   4358.525128
0.084375   906.397984   2205.742177   3325.701057   4390.854630
0.090625   997.062495   2146.582819   3424.209618   4314.068555
0.096875   145.446713   1613.789227   2706.479127   3840.378865
0.103125   199.546725   1571.327635   2742.734923   3809.040395
0.109375   1528.152308   2906.867200   4205.819891   5135.116838
0.115625   1432.461180   2275.273380   2767.896676   4276.928683
0.121875   1465.351463   2736.116740   4077.740084   4784.833312
0.128125   1368.236976   2719.852393   4124.132399   4880.895174
0.134375   1141.979610   2682.834755   3976.531098   4959.942922
0.140625   264.144177   1123.123219   2578.090698   3936.796449
0.146875   1101.708103   2342.502609   3966.724413   4803.920472
0.153125   1086.961030   2182.282676   3355.424024   4511.173082
0.159375   1374.412800   2983.649145   4063.551518   4864.002990
0.165625   1356.734310   3051.493880   4001.311622   4847.245410
0.171875   1205.894144   2781.749832   3578.016066   4954.913182
0.178125   1403.959149   2615.269437   3814.001049   5192.135932
0.184375   1494.653697   2566.779571   3691.663416   4157.932538
0.190625   1193.302824   2079.377209   3287.921776   4397.303075
0.196875   1088.206113   2225.069381   3527.888286   4305.988283
0.203125   1351.583527   2585.313410   3987.879090   4006.595731
0.209375   1360.361995   2638.302924   3587.887207   4298.951051
0.215625   1156.554132   2306.353992   3482.469247   4350.637341
0.221875   1093.651054   2288.528434   3481.469866   4538.050857
0.228125   1022.223938   2329.950584   3620.877900   4728.861487
0.234375   1186.155553   2355.817315   3483.190040   4388.062474
0.240625   1213.776404   2404.150109   3209.666084   4363.222051
0.246875   1147.746932   2691.502208   3060.902649   4386.655206
0.253125   1302.344111   2394.245589   3518.795324   4700.824829
0.259375   1310.266717   2378.896413   3542.202745   4596.876742
0.265625   1355.930024   2980.349535   3588.013357   4744.304884
0.271875   647.283383   2367.771833   3159.285081   4744.685297
0.278125   1241.911496   2442.966252   3430.073677   4714.013140
0.284375   1367.432655   2846.504289   3195.235501   4718.097418
0.290625   1289.580702   2496.369395   3463.375106   4837.403363
0.296875   1184.361602   2326.537697   3293.999707   4776.126459
0.303125   1243.626646   2487.539221   3372.674760   4851.252271
0.309375   1277.336915   2355.388616   3439.653887   4570.582642
0.315625   1352.467007   2279.224138   3295.164400   4409.129742
0.321875   1401.148025   2456.484371   3170.789552   4469.991513
0.328125   1429.824164   2399.623671   3246.629609   4576.612812
0.334375   1457.600489   2395.809791   3483.679083   4561.601838
0.340625   1525.320949   2332.664836   3558.572114   4717.953053
0.346875   2077.221812   3557.341043   --undefined--   --undefined--
0.353125   330.033234   2029.102585   3580.868409   4665.897629
0.359375   1274.241529   1890.235264   3430.756470   4607.562162
0.365625   210.149106   1865.365641   3026.766711   3803.667856
0.371875   1513.442443   2366.963712   --undefined--   --undefined--
0.378125   952.672677   2076.536867   3479.594489   4423.598653
0.384375   799.886466   2055.619184   3366.223841   4461.093426
0.390625   650.043417   2087.391906   3247.958664   4043.942120
0.396875   90.496815   2082.584244   3305.476263   3733.419188
0.403125   401.080662   2068.004881   2997.616326   3839.438798
0.409375   526.572632   2063.619237   3174.196179   3862.097517
0.415625   522.163782   2083.988948   3179.295228   3940.625110
0.421875   526.134638   2072.850778   3041.559492   3946.506111
0.428125   484.846130   2030.848949   3009.309870   3863.086509
0.434375   471.995377   2025.322850   3156.794587   3836.640339
0.440625   277.549521   2055.375117   3119.309776   3828.839215
0.446875   2072.979217   2975.848955   3587.906193   4852.275457
0.453125   2110.897552   2250.794932   3668.957202   4829.900000
0.459375   2001.124256   3294.535300   3459.986576   4793.099686
0.465625   242.681102   2070.409338   3191.648092   3895.198487
0.471875   2131.561033   2977.757849   3711.434971   4774.635637
0.478125   245.249374   2125.357433   2773.132664   3697.549239
0.484375   603.684557   2108.813210   3030.738765   3803.521775
0.490625   591.420335   2080.100253   2847.010602   3679.660671
0.496875   259.148637   2030.205809   2346.574076   3752.168287
0.503125   1831.761823   2228.801818   3683.453770   4746.418720
0.509375   1808.659653   2289.624868   3612.001330   4870.574319
0.515625   625.183226   2027.590255   2799.903907   3772.482384
0.521875   540.681586   1988.580959   2918.112926   3640.279489
0.528125   580.727266   1954.924959   3060.376378   3628.730279
0.534375   704.814244   2022.538358   2787.356024   3654.257414
0.540625   2013.449743   2279.874899   3531.447254   4700.113330
0.546875   1986.820099   2423.451736   3559.280875   4707.133216
0.553125   282.638885   1910.286692   2835.534211   3847.478626
0.559375   473.805905   1912.823705   2988.743052   3803.842848
0.565625   550.349201   1900.725071   3302.931947   3618.249588
0.571875   640.850996   1865.245360   3061.932599   3739.140173
0.578125   619.631700   1866.777056   3036.767874   3836.449404
0.584375   696.005603   1919.530853   3106.946544   3745.668085
0.590625   631.744798   1950.779899   3031.799357   3740.111651
0.596875   736.428052   1922.254107   2907.581076   3850.956951
0.603125   834.929628   1953.347623   3039.583923   3740.610433
0.609375   907.660851   1983.678054   3023.684877   3652.622041
0.615625   763.553403   2016.110622   3034.573911   3885.973729
0.621875   635.895769   2059.869102   2856.751581   3862.138164
0.628125   815.596316   2006.950034   2962.755357   3712.361814
0.634375   856.059333   1950.012597   2756.243598   3751.263861
0.640625   937.241911   1903.178923   2766.525700   3738.687764
0.646875   719.387981   1739.447736   2802.282696   3732.100569
0.653125   1639.944221   1928.300088   3210.366470   4379.119370
0.659375   838.192202   1920.723704   3254.611825   4354.273736
0.665625   1209.999632   2001.736615   3289.181574   4370.984441
0.671875   714.032728   1957.074851   3208.814535   4398.914002
0.678125   687.015795   2013.054961   3275.734671   4227.948726
0.684375   840.226286   1947.250471   3311.141538   3809.879697
0.690625   1088.507263   1945.742459   3574.940411   4398.567875
0.696875   666.918452   1895.741416   3400.476667   4394.574824
0.703125   571.009128   1896.408499   3069.999142   3885.414564
0.709375   576.239975   1892.789153   3252.512743   4111.691280
0.715625   634.739316   1777.492279   3111.855784   4129.589572
0.721875   1252.422674   2573.066235   3334.729603   4352.184892
0.728125   1387.611552   2729.380251   --undefined--   --undefined--
0.734375   709.368856   1194.769548   2717.786548   4026.469081
0.740625   917.110929   2225.036307   3076.002367   4306.220517
0.746875   884.005457   2359.912189   3301.262745   4439.560784
0.753125   1663.076942   2861.145627   3316.249274   4233.277925
0.759375   1260.182159   2475.855581   3582.513085   4215.141350
0.765625   1279.645700   2533.004998   3812.645750   4602.900707
0.771875   1271.380624   2564.238921   3567.196261   4555.459465
0.778125   1323.765983   2553.940438   3623.530061   4487.117770
0.784375   1295.126282   2733.247556   3764.779923   5070.260254
0.790625   1270.742729   2702.564281   3668.410074   4937.154864
0.796875   1304.516089   2388.703919   3262.446414   4612.013864
0.803125   1255.781635   2345.070991   3324.583713   4554.543037
0.809375   1343.888184   2487.763048   3380.690120   4438.556283
0.815625   1531.030842   2624.985240   3635.858664   4248.584145
0.821875   1533.117215   2839.644849   3822.465052   5010.434055
0.828125   1205.044460   2484.723482   3292.344803   4507.621742
0.834375   1463.810318   2411.681620   3198.815478   4622.305932
0.840625   1561.584922   2225.549362   3170.183419   4436.494654
0.846875   1479.550213   2521.128724   3211.506206   4504.304362
0.853125   409.021064   1626.764106   2696.205644   3856.239929
0.859375   330.284737   1634.332397   2637.969451   3778.692516
0.865625   334.276221   1556.651510   2820.592587   3759.856988
0.871875   494.286849   1635.694271   2681.259317   3885.055320
0.878125   1119.717252   2204.510066   3433.897178   4571.342570
0.884375   1091.564061   2271.749039   3456.485190   4575.277713
0.890625   1564.825400   2493.273236   3656.642398   4470.322179
0.896875   1691.896569   2573.289879   3825.740358   4590.193362
0.903125   426.053896   1753.113585   2598.674196   3850.040099
0.909375   1752.968153   2514.202903   3826.778747   4812.990253
0.915625   1750.005274   2248.337839   3609.764836   4535.182464
0.921875   1912.954739   2567.381814   3799.078668   4759.327701
0.928125   158.578817   2021.439887   2733.253138   3949.815354
0.934375   243.300589   2149.231912   2855.436933   3981.284506
0.940625   249.870455   2115.879307   2887.583226   4096.553721
0.946875   256.604223   2144.607137   2838.731753   4106.201546
0.953125   261.483176   2079.171590   2844.630775   4228.674967
0.959375   265.752744   2018.227267   2767.931835   4332.189886
0.965625   268.060886   2209.423526   2878.558056   4321.446739
0.971875   289.861230   2282.738235   2982.079047   4350.776056
0.978125   325.132941   2389.201451   2982.117403   4298.884104
0.984375   321.415630   2591.073390   2815.639266   3409.859894
