Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   566.655853   2015.618662   2563.139069   3889.083257
0.034375   488.323915   1897.082546   2511.494900   3912.831936
0.040625   581.279035   1750.894421   2443.493442   3927.658199
0.046875   701.865912   2234.343881   3723.953640   4628.845120
0.053125   626.858328   2121.486064   3197.753945   4460.264404
0.059375   534.551985   2032.848905   2973.614035   3941.404477
0.065625   571.040852   1857.807203   2886.911936   3838.261886
0.071875   483.232638   1832.550542   2916.310381   3958.248513
0.078125   466.336762   2058.150565   3409.065746   3451.621682
0.084375   1374.108383   2499.249960   3556.395915   4959.020907
0.090625   1412.164997   2638.848265   3786.146865   4855.577649
0.096875   1200.768676   2557.817357   3844.395499   4744.917051
0.103125   1317.522505   2724.062165   3765.779192   4855.561827
0.109375   1301.301932   2740.647837   3639.668688   4892.011330
0.115625   1215.913033   2400.756011   3246.718106   4550.672869
0.121875   1103.677993   2131.666164   3103.420456   4368.617832
0.128125   491.845394   1930.577154   3124.656447   4316.633572
0.134375   459.693547   1934.243508   3253.970386   4324.051959
0.140625   467.395132   1911.837956   3238.434047   4299.852704
0.146875   450.297549   1995.857082   3095.053104   4366.351195
0.153125   373.133595   1998.333755   3027.442938   4259.886688
0.159375   398.618029   1875.766134   2969.399743   3964.254108
0.165625   416.551835   2023.911929   3247.873255   4497.210836
0.171875   1094.305150   2666.696388   3547.360254   4580.003142
0.178125   1031.325036   2604.267765   3683.525066   4894.798667
0.184375   503.744820   1497.051251   2811.547560   3860.507708
0.190625   500.197219   1825.968281   2834.863255   4072.892340
0.196875   531.947815   1995.383267   3178.778904   4341.281672
0.203125   431.169693   1947.460958   3089.555403   4246.404881
0.209375   356.969302   2285.284251   2909.076216   4189.418458
0.215625   709.326816   2372.980684   3677.342810   4351.200491
0.221875   587.353152   2168.421969   3711.743520   4148.926737
0.228125   1035.842511   2294.327643   3515.147251   4375.501146
0.234375   632.139164   1212.213256   2645.489956   3873.328661
0.240625   463.117898   1826.476804   2915.300443   3990.993679
0.246875   448.872558   2019.902825   2817.434302   3882.371605
0.253125   477.530088   1821.468221   2766.175970   3917.089963
0.259375   566.306348   1871.470932   2734.761336   3928.887996
0.265625   426.999698   1894.653204   2687.058154   3947.519328
0.271875   385.505735   1884.262184   2794.463025   4081.094279
0.278125   506.561891   1891.877823   2941.308087   3954.732135
0.284375   564.932952   1954.482070   3185.740068   4527.640864
0.290625   607.811201   1780.523342   3111.359915   4336.745194
0.296875   546.837391   1988.818565   2991.482914   4281.736330
0.303125   124.343009   2045.797957   3109.630922   3958.424197
0.309375   474.339108   1795.869112   2653.204013   3831.153451
0.315625   409.865294   1643.222585   2309.098462   3761.647148
0.321875   408.395125   1905.339163   2870.071729   3596.646217
0.328125   535.877977   1724.328612   2924.460025   3748.376817
0.334375   1298.386084   2379.442569   3159.349801   4427.942434
0.340625   1386.344714   2584.828517   3662.744673   4923.267759
0.346875   1412.229957   2594.540279   3536.610349   4852.464477
0.353125   342.452262   1650.896885   2850.264555   3807.614179
0.359375   478.995988   1734.391335   2829.264433   3845.746645
0.365625   581.610073   1909.785215   2852.071100   3966.982833
0.371875   593.501597   1905.681911   2567.691641   4117.966292
0.378125   806.249750   1870.878013   2602.099640   4151.647888
0.384375   957.699088   1684.149102   2550.074140   4149.663024
0.390625   938.197021   1925.598904   2769.258228   4088.190797
0.396875   828.371764   1998.043934   3208.874576   4376.984400
0.403125   857.831474   1864.695818   2695.973145   4296.683575
0.409375   907.611921   1785.434447   2575.086320   4189.382545
0.415625   1010.326836   1516.686013   2517.401073   4158.188009
0.421875   1236.762744   1366.550954   2477.156647   4286.003484
0.428125   1112.406492   1710.541392   2806.445252   4313.386045
0.434375   1092.547834   1899.973693   2775.842518   4212.594627
0.440625   1017.652363   1951.429742   2673.600496   4196.976480
0.446875   863.344523   1871.581383   2755.838534   4373.123492
0.453125   403.100821   1790.257261   2460.777110   4129.380896
0.459375   414.011267   1600.166365   2403.165154   4184.744374
0.465625   489.965513   1729.933280   2916.887305   4334.082875
0.471875   507.827646   1968.567195   2987.972552   4259.440075
0.478125   490.876831   1942.892541   2546.046524   4201.714729
0.484375   538.800294   1887.448162   2844.335378   4357.493757
0.490625   564.684686   1943.946694   2871.963425   4499.534145
0.496875   562.275888   2055.835971   2910.028129   4400.854086
0.503125   557.133263   2140.116999   2908.549238   4279.724565
0.509375   552.834951   2313.064133   2914.526130   4353.554532
0.515625   545.045380   2400.631259   2945.142151   4371.216687
0.521875   525.885765   2489.809210   2956.207594   4377.227717
0.528125   509.585164   2662.588737   2958.193930   4453.852469
0.534375   496.849131   2719.188324   3181.957983   4478.655492
0.540625   486.113178   2745.055824   3389.853554   4490.100331
0.546875   444.604746   2814.105095   3577.354222   4498.322415
0.553125   480.098378   2830.707118   3414.449173   4397.030104
0.559375   563.878925   2948.886172   3010.720284   4335.980967
0.565625   590.238145   3019.849024   3056.617054   4384.101833
0.571875   606.896502   2983.313422   3052.843986   4423.901730
0.578125   626.216299   2648.662536   3199.976859   4485.031557
0.584375   624.281258   2722.670856   3212.498792   4504.653622
0.590625   604.827527   2738.595200   3214.297887   4515.004218
0.596875   572.023582   2716.565108   3274.516139   4551.599411
0.603125   525.961642   2716.195573   3346.743310   4542.050280
0.609375   495.879943   2521.575992   3169.571231   4541.163307
0.615625   485.275032   2440.159712   3220.473250   4584.739874
0.621875   465.835618   2271.471691   3147.308925   4546.067921
0.628125   422.922754   2238.517739   3109.289776   4231.203826
0.634375   398.355502   1405.740893   2231.021734   3391.784728
0.640625   390.693807   1993.080094   2206.331261   3373.203141
0.646875   396.850307   1973.507497   3229.867618   4863.902477
0.653125   399.570177   1954.719105   3176.217775   4461.603356
0.659375   400.190649   1970.897363   2811.792193   4117.851651
0.665625   391.860305   1986.796536   2769.682187   4095.639069
0.671875   382.588722   2081.632545   2807.707847   4135.786529
0.678125   397.182758   2062.213216   2901.311725   4175.594030
0.684375   411.305417   2080.386720   3013.864151   4120.167382
0.690625   374.146067   2118.056959   3071.766693   4451.931183
0.696875   166.133319   2155.589595   3159.009609   4424.541940
0.703125   1713.868783   2063.241180   3169.121842   4410.653493
0.709375   463.117614   1951.868877   2853.625729   4165.983510
0.715625   408.772166   1935.148882   2800.541419   4107.748691
0.721875   1953.624137   2681.439621   4047.253869   4928.194732
0.728125   659.454437   1849.044755   2722.137059   4237.745373
0.734375   1570.244919   1869.589972   2728.252070   4274.854352
0.740625   1461.479566   2059.263312   3112.183550   4437.665470
0.746875   1384.146280   2129.097527   3332.470748   4668.139468
0.753125   1308.948260   2155.527393   3370.342028   4610.578451
0.759375   379.303726   1761.502057   3012.244426   4475.358830
0.765625   445.902387   1741.537242   2987.154293   4109.459722
0.771875   456.870166   1848.954047   2626.743164   3823.618355
0.778125   505.662176   2098.366436   3118.518799   3807.203216
0.784375   497.163571   1989.500143   3103.409949   4308.234532
0.790625   1826.433096   2584.717780   3794.223933   5280.992014
0.796875   1671.389388   2136.308046   2707.255938   4421.123868
0.803125   1657.298927   1748.897265   2379.327251   4055.759458
0.809375   1035.743357   1651.134007   2438.229369   4532.043718
0.815625   968.669494   1662.158141   2619.163950   4213.874750
0.821875   1186.783610   1710.494571   2330.714042   4212.941866
0.828125   1468.327758   1951.766950   4402.041523   4878.830213
0.834375   1421.692777   1498.893273   1990.887431   4130.787552
0.840625   1039.768147   1611.241532   2613.106666   4283.676781
0.846875   1023.622996   1622.208497   2747.048413   4436.177047
0.853125   958.102726   1757.390000   2815.292223   4355.186906
0.859375   1019.072233   1709.862346   2816.180258   4163.215155
0.865625   1041.772913   1587.783556   2746.512501   4085.157012
0.871875   969.907915   1630.019092   2596.137054   4196.794820
0.878125   791.043208   1367.889220   2867.293969   4291.067808
0.884375   765.072672   1379.494007   2867.778905   4251.476496
0.890625   764.000577   1358.934432   2739.645159   4211.839999
0.896875   786.650953   1253.818964   2688.891893   4321.650202
0.903125   809.021341   1250.178214   2748.028947   4212.382118
0.909375   784.469274   1238.797092   2663.164501   4112.248095
0.915625   771.386236   1201.231266   1918.593399   3899.053342
0.921875   778.297230   1188.698628   1978.416904   3938.876689
0.928125   786.925925   1217.425372   3687.428217   4161.880695
0.934375   787.038213   1219.057306   3628.939810   4137.273018
0.940625   780.236448   1212.400784   3488.221393   4134.535374
0.946875   773.687280   1210.322729   2466.310678   4130.845295
0.953125   770.201543   1206.521529   2219.667637   4131.135592
0.959375   770.034662   1205.089130   3109.730403   4177.237467
0.965625   768.474913   1208.201346   3373.105889   4188.219711
0.971875   767.314439   1217.644053   3433.636966   4177.055969
0.978125   762.548339   1222.972868   3755.952911   4183.438932
0.984375   763.077171   1227.141259   3681.230608   4224.638036
0.990625   765.041627   1203.827390   3490.599555   4181.757387
0.996875   762.308923   1207.869352   3527.983928   4117.854536
1.003125   752.421178   1152.589624   4018.914112   4243.725843
1.009375   724.343571   1055.587858   4179.300374   4351.748175
1.015625   653.629379   1001.557032   3830.401117   4567.198347
1.021875   575.432278   945.699677   3629.401671   4518.406487
1.028125   540.625279   857.456578   3187.561879   4381.419514
1.034375   537.338592   828.379116   3073.419696   4411.893471
1.040625   552.194289   762.031008   2822.076946   3888.078887
1.046875   636.916554   2207.828672   4138.085334   4948.688435
1.053125   581.918282   2153.521646   2221.133126   4258.105730
1.059375   644.300049   1764.082136   2577.761566   4238.073139
1.065625   642.483404   1915.574356   2996.101144   4425.834510
1.071875   549.652583   1962.080022   2677.541894   4191.464776
1.078125   590.743701   2013.632741   3335.029860   4607.478690
1.084375   796.620236   1943.769099   3375.490528   4459.723819
1.090625   571.200179   1872.279884   3215.643007   4797.578105
