Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1125.464025   1965.209383   3379.730636   4564.718437
0.034375   1071.097848   2001.762929   3349.700438   4513.019865
0.040625   934.816816   2048.068787   3326.377540   4418.823015
0.046875   757.842799   2030.848359   3475.209891   4444.667660
0.053125   1350.168933   2325.958625   3705.644934   4796.493397
0.059375   867.839682   2101.735775   2158.693999   3639.824711
0.065625   1042.641485   2284.081762   3518.976948   4667.171793
0.071875   1164.002427   2412.223690   3578.900241   4553.856387
0.078125   1419.207570   2765.565099   3841.955079   5016.289651
0.084375   1075.823875   2085.395452   3334.954163   4444.600742
0.090625   813.803596   2007.282656   3094.909282   4131.504600
0.096875   757.889339   1967.195494   2715.371074   3900.449353
0.103125   642.187213   2129.778963   3518.903012   4012.001266
0.109375   522.952954   2012.127644   3129.047219   4408.386774
0.115625   332.898984   1905.567609   2992.792010   4202.061887
0.121875   1489.531627   2715.117954   --undefined--   --undefined--
0.128125   920.534583   1835.374608   2859.960053   3799.270144
0.134375   857.229852   1862.218902   2971.300444   3970.903578
0.140625   960.540457   1836.286579   3020.324476   3920.506823
0.146875   1350.997254   2447.130065   3456.485521   4455.669542
0.153125   1240.183371   2332.057022   3466.718459   4437.601684
0.159375   1235.792270   2393.421492   3577.337928   4759.795482
0.165625   1086.125857   1250.826172   2880.054937   3587.164604
0.171875   967.303400   1961.984094   2712.586116   3722.276145
0.178125   969.474676   2350.947228   3223.434575   4266.450354
0.184375   1200.241419   2222.957812   3064.260424   4103.318691
0.190625   982.354583   1834.959605   3013.393220   4171.577840
0.196875   941.064297   1838.075571   2662.001650   3745.858721
0.203125   1079.102001   2502.098786   3619.565244   4817.451018
0.209375   896.017863   2387.563524   3441.741213   4768.161624
0.215625   805.050272   1534.258965   2917.224892   3457.959359
0.221875   810.274467   1443.437026   2636.086949   3664.540349
0.228125   882.057487   1773.870924   2463.213086   3625.624835
0.234375   925.078122   1601.159175   2403.203973   3614.067525
0.240625   1238.072481   2450.530614   3712.319449   4768.789187
0.246875   639.847362   1294.974470   2579.184049   3827.756829
0.253125   879.656476   1416.884328   2771.225314   3846.328981
0.259375   754.327856   1503.415927   2883.979262   4126.553954
0.265625   623.921130   1432.870251   2891.789268   4236.145218
0.271875   753.928015   1723.448011   2832.113640   4019.185064
0.278125   620.519334   1858.323175   2721.018026   3940.289837
0.284375   735.449697   1777.464820   2770.602649   3988.063609
0.290625   905.960696   1804.173205   2889.572556   3905.948699
0.296875   946.567919   1793.049382   2839.751832   3899.237214
0.303125   550.421809   1818.041643   2790.430445   3901.419480
0.309375   582.769922   1956.526592   2771.015413   4205.860831
0.315625   524.420219   1932.254999   2670.570489   4254.880306
0.321875   1557.413762   2588.514374   3574.409835   4985.376375
0.328125   1147.675147   2105.116086   3498.337337   4798.140382
0.334375   458.972272   1809.898039   2913.686756   3737.910757
0.340625   1374.278453   2120.180260   3268.460493   4756.846631
0.346875   1266.889166   2267.514043   3272.082347   4307.590258
0.353125   1322.190416   2295.540270   3356.595594   4301.875172
0.359375   1387.613935   2187.577678   3344.987432   4691.884428
0.365625   667.566898   1938.007490   3254.398457   4290.042057
0.371875   600.623915   1814.143958   3155.273409   4035.777933
0.378125   456.920480   1647.467599   2960.234888   3819.013042
0.384375   1628.191984   2895.091792   3937.009200   4959.336897
0.390625   1889.677217   2548.343016   3696.022268   4931.044939
0.396875   477.677636   2179.037263   3356.105161   4655.141216
0.403125   513.028288   1981.574898   3122.467672   4240.040424
0.409375   540.451133   1966.828515   3045.319148   4205.965646
0.415625   603.425871   2037.611716   2909.336868   4003.182488
0.421875   759.582486   2025.302353   2959.615565   3982.458884
0.428125   678.563570   1849.255578   2981.534694   4007.199607
0.434375   615.136106   1772.671350   2931.914336   4161.079096
0.440625   604.479605   1773.791508   2977.725271   4308.131160
0.446875   631.740272   1816.929198   2948.840085   3940.561567
0.453125   661.165882   1942.991457   2919.000225   3934.292569
0.459375   673.772155   2035.205329   3013.520485   3973.235463
0.465625   683.234691   2212.297679   3020.667386   4092.320830
0.471875   653.905614   2300.815722   3035.793109   3585.843662
0.478125   480.665371   2215.843436   3011.560501   4088.867998
0.484375   412.859850   1931.961202   3005.040108   3985.019763
0.490625   443.329118   2112.693666   3060.609886   3924.880707
0.496875   451.881589   2204.279368   3138.224353   3883.515227
0.503125   455.419605   2265.128905   3255.935188   3873.164531
0.509375   444.276448   2199.995965   3156.325960   3815.795322
0.515625   445.380473   2176.121789   3277.008018   3825.457591
0.521875   446.611044   1992.119852   3119.227940   3849.253869
0.528125   434.915235   1968.875457   3206.123123   3857.999349
0.534375   428.845809   2018.078156   2601.218860   3722.352290
0.540625   427.022251   2032.985235   2713.259674   3927.792330
0.546875   426.557405   2141.978324   2904.830328   3896.960157
0.553125   438.138267   2218.883091   2775.934171   3881.855384
0.559375   445.319127   2310.179931   3032.356454   3939.150195
0.565625   446.584521   2206.496680   3207.870389   3979.040184
0.571875   448.811117   2253.318772   2916.304536   3970.863231
0.578125   451.101514   2268.946327   2867.662393   3946.324817
0.584375   451.714525   2274.564330   2889.519011   3989.979491
0.590625   458.239995   2268.259091   3013.678333   3952.928057
0.596875   452.388449   2285.992763   3106.073032   3932.016458
0.603125   470.432723   2259.942985   3199.332964   3948.359814
0.609375   428.745834   2294.316458   3324.537968   3974.681744
0.615625   368.530534   2307.737416   3104.438638   3927.243849
0.621875   361.811549   2267.304898   3145.841026   3924.924870
0.628125   357.879533   2302.040210   3210.995873   4006.734221
0.634375   337.792382   2329.222594   2809.486173   3955.635001
0.640625   346.046165   2337.582133   2530.304315   3977.345782
0.646875   347.985395   2226.227294   2316.132855   3999.088971
0.653125   347.215240   2304.217247   2574.007827   4069.199720
0.659375   355.640421   2233.917066   3559.048400   4392.114018
0.665625   424.035305   2243.471118   3655.111079   4632.716290
0.671875   392.443231   2232.025331   3840.356643   4590.123825
0.678125   355.250703   2254.357548   3799.694430   4175.834359
0.684375   382.963317   2168.891203   3880.195975   4233.033443
0.690625   461.753888   2215.357439   3686.582969   4303.331497
0.696875   464.250992   2262.840424   3748.141353   4363.987681
0.703125   215.463478   2202.762865   3865.213960   4674.485273
0.709375   297.219981   2176.914091   3782.041121   4668.187689
0.715625   354.217558   2152.047385   3646.583487   4466.576054
0.721875   1806.502808   3581.303351   4447.338077   5028.006643
0.728125   1724.341056   3729.577877   4202.719713   4719.294636
0.734375   1632.184147   2572.504312   4200.436379   4733.981228
0.740625   1620.334519   2608.159013   4274.654590   4919.498661
0.746875   1710.104607   2902.083607   4357.413953   4958.334630
0.753125   1863.118333   2726.807983   4423.534972   5079.456166
0.759375   2056.148480   2129.484688   3835.473387   4519.060908
0.765625   1520.603553   2359.830226   3685.989562   4508.468219
0.771875   1112.751303   2215.156335   3484.300999   4483.601436
0.778125   295.152613   1881.998697   3275.952448   4385.149395
0.784375   1600.654409   2495.034159   3958.127586   4380.051584
0.790625   1586.160221   2510.110723   4194.840628   4412.216962
0.796875   1311.159318   2468.758615   4078.819155   4281.741034
0.803125   1307.425615   2244.242576   2322.877256   4167.574347
0.809375   1298.788653   1378.454604   1977.211954   3908.206127
0.815625   1301.039563   2069.015015   3918.861875   4505.486478
0.821875   1376.509043   2074.630129   3875.064428   4556.114639
0.828125   1397.229920   1807.331407   3620.348103   4265.932599
0.834375   1320.547945   2059.635522   3455.934403   4178.909647
0.840625   1249.561752   2023.128036   3445.766083   4136.521871
0.846875   1206.878493   1931.488355   3477.040570   4085.740660
