Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1819.175922   2401.816495   3201.291774   4232.430617
0.034375   1824.858089   2512.935897   3184.902862   4233.956886
0.040625   1815.914077   2457.622647   3145.255040   4369.719888
0.046875   1826.007377   2419.005774   3138.235255   4514.686353
0.053125   1876.458149   2436.861962   3045.575305   4492.815284
0.059375   2070.553385   2485.043235   3068.775726   4625.881835
0.065625   2129.197598   2603.128549   3125.392493   5060.287373
0.071875   2033.791547   2641.126366   3123.099317   4615.399400
0.078125   2009.735395   2623.763958   3127.082744   4589.171183
0.084375   1710.102598   2271.617667   3034.442214   4516.989009
0.090625   1584.090343   2309.554894   2977.439473   4515.910723
0.096875   1536.353359   2137.034994   2872.766196   4495.071958
0.103125   1304.023164   2049.771809   2893.257592   4151.504705
0.109375   1282.455060   2186.798325   2862.493423   4168.010963
0.115625   1239.456621   2162.876272   2784.387063   3998.857950
0.121875   1152.878711   2082.346541   2864.735359   4079.655917
0.128125   1176.021699   2346.602131   2948.491733   3583.367661
0.134375   1110.824753   1894.520335   2719.810531   3823.581893
0.140625   1137.623158   1947.223080   2792.631811   3855.981278
0.146875   1042.358526   1904.038457   2857.014026   4101.543837
0.153125   1019.187611   1874.495576   2982.451457   4434.107061
0.159375   1271.417519   1934.918307   2944.195326   4326.898925
0.165625   1292.158784   1979.337042   2787.218253   3946.405320
0.171875   1289.512076   2139.103822   2860.636976   3806.617793
0.178125   1393.742683   2217.180233   3066.336545   4759.921015
0.184375   1709.461794   2223.603359   3158.105285   4540.599702
0.190625   1720.377537   2302.058202   3109.715798   4389.577566
0.196875   1604.695230   2338.285794   3074.978423   4210.815325
0.203125   1614.645394   2351.397748   --undefined--   --undefined--
0.209375   1177.783367   2024.870733   2854.828126   3953.614539
0.215625   1118.979373   2065.592895   2970.826037   4080.853310
0.221875   1227.866888   1955.765361   2916.368882   4319.727257
0.228125   1477.878605   2040.525489   2865.674859   4579.229189
0.234375   1349.471479   2240.248777   2939.507543   4127.455711
0.240625   1236.418084   2056.621965   2888.596571   4001.273789
0.246875   1103.976224   1994.059981   2877.845201   4152.393694
0.253125   1076.843287   2053.255953   2911.737892   4296.907653
0.259375   1275.868396   2082.049737   3065.920908   4282.626512
0.265625   1296.503100   2028.810221   3204.465040   4563.217730
0.271875   1266.022591   2102.807094   3153.131938   4482.145857
0.278125   1095.886466   1987.326029   2923.198622   3814.152375
0.284375   1055.371048   2008.644976   2970.265349   3941.676669
0.290625   1080.278312   2111.882874   2995.800510   4214.937657
0.296875   1084.580550   1914.143142   2810.507284   4290.640701
0.303125   1012.538680   1897.098075   2882.365314   4282.066598
0.309375   1065.139301   2028.065095   2937.467184   4227.684564
0.315625   1106.960898   2062.574928   2920.200123   4205.877924
0.321875   1189.665621   2199.242221   2893.815076   3939.673143
0.328125   1189.942643   2123.130685   2948.956444   4251.694102
0.334375   1181.659256   2097.650352   2911.640210   4637.610800
0.340625   1180.405429   2078.486205   2781.426321   4613.259809
0.346875   1258.908081   2075.303686   2949.626967   4319.802410
0.353125   1311.874784   2091.879310   2991.665938   3944.502225
0.359375   1319.022328   1755.999754   2996.970931   4105.402415
0.365625   1117.257774   1744.223490   2830.773477   3941.787559
