Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026817   1308.949433   2830.756796   --undefined--   --undefined--
0.033067   1259.002621   2207.491845   2890.456505   4285.199921
0.039317   1246.207713   2134.292767   3023.549607   4295.758088
0.045567   1029.339569   2065.742155   3135.087893   4286.755733
0.051817   952.952953   1974.636714   3020.070959   4232.549595
0.058067   1056.967698   1773.313022   2574.355115   3207.158004
0.064317   1256.243935   2223.612253   3599.635286   4972.341294
0.070567   980.991425   2152.633881   3488.995889   4979.155244
0.076817   1038.110396   2019.855370   3396.386112   4396.667151
0.083067   1175.881432   2225.729050   3347.974000   4288.342692
0.089317   1139.744850   2288.504408   3178.024303   4449.997361
0.095567   1039.156472   1851.083915   2609.781758   4352.746752
0.101817   898.761585   1668.390634   2685.004379   3940.729533
0.108067   823.912569   1478.907856   2922.164455   3700.341180
0.114317   474.413927   1475.863430   2627.038594   3872.010426
0.120567   1237.922539   2241.825012   3832.282858   4771.844013
0.126817   1032.016982   1068.327658   2480.249029   3710.007414
0.133067   878.708940   1498.920938   2765.218340   3709.306597
0.139317   1125.562942   2005.859567   3227.766809   4214.389130
0.145567   1238.086089   2201.274850   3520.443299   4823.674440
0.151817   1132.621448   1787.825196   3471.099176   4720.508853
0.158067   910.079910   2021.995010   3660.290398   3774.116706
0.164317   961.172769   2080.662067   2985.295717   4015.480845
0.170567   1127.387913   1612.126782   2967.750726   4033.186903
0.176817   947.359565   1873.201645   3497.065499   3763.585527
0.183067   1006.293042   2108.377095   3493.154761   4736.982089
0.189317   994.128144   2115.119150   3525.770994   4808.526730
0.195567   903.270705   1834.062369   3317.015159   3435.672015
0.201817   931.136580   1853.752080   3373.665175   4583.608430
0.208067   1054.119319   2041.729880   3444.746180   4434.717012
0.214317   1075.937208   2280.974694   3574.087527   4378.373549
0.220567   1145.852608   2185.872819   3596.827477   4866.688958
0.226817   821.804597   1836.206012   3273.786799   4457.764185
0.233067   854.046203   1777.266853   2999.819354   4243.045362
0.239317   932.594375   1928.525904   3016.183425   3499.474925
0.245567   949.830499   2024.849252   3375.547984   4305.646660
0.251817   991.742531   1934.250880   3450.970589   4362.335352
0.258067   1071.018512   1989.983084   3350.548190   4021.578263
0.264317   1079.572121   2127.873597   3321.551609   4193.277622
0.270567   867.593769   1676.014148   2667.764547   4154.437495
0.276817   800.754754   1559.202387   2708.009932   4106.549724
0.283067   1054.771369   1151.837249   2534.401387   3888.358926
0.289317   881.879188   2322.889032   3820.207397   4217.849271
0.295567   870.227749   2442.041287   3774.685487   4183.509657
0.301817   1035.525130   2337.316181   3917.303600   3997.436781
0.308067   977.433695   2040.480305   3699.072120   4527.699688
0.314317   983.917139   2001.755570   3378.155104   4638.495695
0.320567   936.489232   2009.530422   3307.001134   4557.924767
0.326817   1085.527536   1950.220576   3373.630740   4500.345332
0.333067   744.319298   1763.411995   3481.266537   4690.498350
0.339317   685.717083   1834.174530   3418.662032   3523.942716
0.345567   793.583776   1986.534200   3417.100917   4699.901819
0.351817   744.867114   1882.317993   3349.390802   4641.851463
0.358067   726.744525   1967.027943   3249.953347   4474.018891
0.364317   728.665654   1989.149977   3322.952324   4717.435205
0.370567   754.024041   1868.106786   2457.217704   3414.871511
0.376817   1204.942655   2061.498488   3457.797450   4823.973557
0.383067   383.308248   1472.890195   2383.636665   3703.577657
0.389317   907.078233   2100.942292   3494.685655   4842.300384
0.395567   829.445830   2029.093587   3282.230338   4699.548214
0.401817   888.979943   1812.457549   3378.946074   4887.748328
0.408067   1001.234177   1925.468408   3455.153056   4563.267831
0.414317   948.188906   2027.919545   3443.722059   4524.219115
0.420567   955.469175   2010.805126   3422.461062   4655.749299
0.426817   1012.561291   2065.438967   3459.366798   4620.166572
0.433067   1021.191907   2217.058321   3550.903533   4843.817407
0.439317   705.469505   1750.461747   2662.738935   3698.336470
