Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   896.628461   2095.178120   3081.591822   4067.481892
0.034375   917.869658   2149.733908   3214.117080   4170.171566
0.040625   944.434091   2211.766662   3232.270576   4255.345755
0.046875   967.503871   2355.010950   3483.683280   4401.399008
0.053125   976.651636   2149.148715   3527.232456   4562.486099
0.059375   902.323160   2019.947915   3393.168449   4411.716372
0.065625   885.214358   2209.993110   3262.331388   4336.924096
0.071875   907.017382   2295.312694   3180.235609   4197.436423
0.078125   1017.080951   2112.844667   2956.174542   4052.090028
0.084375   993.422704   2323.755104   2813.508484   3984.891130
0.090625   1024.394293   2400.904889   2649.220680   3984.149162
0.096875   1034.873518   2190.425885   3488.631638   4386.443942
0.103125   1055.620343   2152.069385   3603.086615   4511.389071
0.109375   1110.654561   2212.545864   3601.350365   4556.620769
0.115625   1008.485647   2149.544399   3652.231144   4666.501674
0.121875   1055.277009   2123.163608   3827.264598   4787.833139
0.128125   976.330906   2104.666334   3873.444613   4797.899742
0.134375   918.020252   2010.392480   3789.578329   4580.976762
0.140625   893.904016   1996.375429   3788.902244   4478.277221
0.146875   861.173821   2019.838003   3804.866411   4608.344812
0.153125   912.492611   2070.919064   3817.131770   4618.835266
0.159375   850.885217   2047.255224   3763.434958   4298.520594
0.165625   1024.639786   2066.057275   3736.769131   4444.929472
0.171875   1097.810694   2194.919080   3539.449135   4363.120488
0.178125   1190.449715   2321.609879   3463.708322   4190.926999
0.184375   968.537536   2242.646893   3452.855803   4424.181243
0.190625   716.955029   2249.399386   3389.887767   4596.913900
0.196875   778.683376   2248.239612   3321.046773   4561.996678
0.203125   890.541405   2288.944190   3379.821541   4493.735659
0.209375   991.563926   2299.287084   3709.994942   4247.273633
0.215625   1028.726694   2234.048990   3240.308676   3964.562399
0.221875   944.392962   2200.305771   3248.512522   4002.211245
0.228125   979.090123   2170.660453   2992.156318   3947.566256
0.234375   1224.075342   2130.132959   3624.808349   3826.845137
0.240625   1186.061181   2319.334232   2780.218996   4215.134822
0.246875   934.024787   2326.109897   3194.520992   4503.908147
0.253125   1031.845453   2363.915287   3542.004987   4494.238714
0.259375   969.204054   2265.439148   3596.635917   4448.347774
0.265625   1001.323969   2314.188407   3577.438128   4407.549496
0.271875   1222.630299   2446.736735   3650.373545   4432.121135
0.278125   890.636184   2242.387712   3237.996141   4301.332491
0.284375   962.119016   2278.440491   3216.727115   4311.401257
0.290625   1035.212880   2321.789161   3407.692125   4396.949967
