Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   845.031205   2004.635505   2992.729337   4305.582389
0.034375   909.613291   2003.576775   2957.780995   4248.944562
0.040625   874.169940   2120.204623   3139.411246   4275.608341
0.046875   632.362261   2069.705937   3067.161328   4086.550119
0.053125   543.218733   2103.108194   2932.321069   4011.453532
0.059375   990.545546   2355.936261   2913.853524   3963.201636
0.065625   823.203911   2185.406955   3085.870213   4031.422785
0.071875   946.415939   2213.599424   2882.864762   3903.905634
0.078125   1603.111932   2686.282525   3850.534643   4986.608163
0.084375   506.735553   1939.294625   2812.647785   3829.368656
0.090625   1856.742267   2792.998701   --undefined--   --undefined--
0.096875   1437.189451   2515.446309   3702.143753   4547.391423
0.103125   957.214446   2316.509382   3106.843246   3764.690036
0.109375   1046.616212   2185.360565   2902.520378   3791.736150
0.115625   1505.251391   2646.028407   3817.366104   3840.145200
0.121875   1374.710897   2585.222335   3423.144125   4222.699726
0.128125   1341.686750   2659.356476   3541.007976   4443.568453
0.134375   1059.352723   2607.255414   3594.492315   4688.988230
0.140625   879.625192   1623.335126   2754.632598   3631.212496
0.146875   1565.827480   2088.485421   3351.767250   4201.669675
0.153125   1578.924606   2054.912986   3345.160007   4297.015248
0.159375   1562.613926   2921.393605   --undefined--   --undefined--
0.165625   675.453231   1961.742014   2928.624477   3903.749805
0.171875   587.599957   1954.639753   3040.602795   3849.779448
0.178125   636.960469   1942.926490   2959.536897   3846.723754
0.184375   945.712688   2153.356108   3143.201867   3884.857481
0.190625   825.041586   2129.993502   3057.603133   4227.765771
0.196875   893.567770   2116.832029   3066.174660   4310.213609
0.203125   920.345486   2210.283705   3055.906033   4187.418768
0.209375   1389.800916   2221.912763   2997.016363   4194.589766
0.215625   1539.690910   2429.988745   3429.880824   4092.235719
0.221875   1565.701399   2444.639659   3853.850616   4856.233715
0.228125   1660.195078   2777.991558   4042.223502   4983.806384
0.234375   1800.185711   2839.072585   4026.998210   4894.848760
0.240625   1535.027617   2078.491796   3451.159005   4395.847321
0.246875   1221.706398   2103.891225   3464.441081   4370.584231
0.253125   936.192213   2098.748222   3131.973546   4071.291597
0.259375   704.819273   2132.435654   3093.240690   4018.375245
0.265625   828.570855   2329.348132   3202.985028   4192.831177
0.271875   1275.957935   2530.259391   3662.088645   4493.696421
0.278125   1424.624323   2513.864963   3784.642618   4467.750638
0.284375   1308.402178   2425.856525   3543.981977   4357.505323
0.290625   1488.765329   2396.985820   3437.121268   4318.421806
0.296875   1123.360209   2367.250992   3409.105663   4282.294577
0.303125   963.480837   2360.161099   3499.546321   3689.383863
0.309375   1231.441547   1478.190186   2681.482377   3647.399038
0.315625   1612.675529   2765.015244   3745.845364   4054.320012
0.321875   728.713902   1881.970396   2779.445764   3988.296821
0.328125   907.483538   2302.522877   3013.392249   4031.923747
0.334375   1028.390800   2350.036751   3032.469221   4060.894325
0.340625   1298.573314   2590.824107   3982.433458   4067.420342
0.346875   1836.956628   2429.350060   --undefined--   --undefined--
0.353125   945.527107   2075.289900   2920.294544   3883.377570
0.359375   1064.085790   2261.328912   2877.561925   4004.499639
0.365625   1136.620997   2382.159495   3526.871257   4270.055422
0.371875   1107.634734   2382.098613   3562.028137   4363.829384
0.378125   1035.486801   2237.907959   2880.234150   3798.838621
0.384375   1334.460709   2340.529452   3418.064531   4429.939499
0.390625   1566.334679   2499.480822   3703.141085   4241.348095
0.396875   1464.019048   2465.535476   3838.736233   4284.983655
0.403125   1365.985481   2452.126809   3900.285499   4648.402734
0.409375   1561.022688   2295.734805   3920.460296   4090.965248
0.415625   955.769494   1729.427161   3334.190119   4239.304271
0.421875   1695.946135   2830.794061   3920.067599   4755.908072
0.428125   1745.141511   2917.167108   3937.890057   4870.863039
0.434375   1895.492727   3002.271330   4132.199877   5258.128858
0.440625   637.091389   1801.368040   2753.049103   3932.280904
0.446875   1653.101208   2703.262590   3865.268610   4795.670298
0.453125   1543.642995   2620.276280   2932.620778   4223.946904
0.459375   881.533672   1962.231611   3004.933625   4138.753131
0.465625   806.624217   1741.508471   2839.744306   4010.046727
0.471875   565.531597   1730.737105   2875.653828   3944.225499
0.478125   358.298898   1796.530969   2768.255046   3979.573060
0.484375   1666.030900   2272.354864   3858.340799   4980.171568
0.490625   1622.523578   3051.692282   3699.983255   4727.880793
0.496875   822.926974   1732.741316   3275.928552   4154.014789
0.503125   955.773941   1638.844629   3009.043935   4030.944881
0.509375   1612.963160   2572.196893   3606.278273   5114.029765
0.515625   200.482684   1647.013540   2787.775587   3768.537984
0.521875   925.554205   1650.367133   2878.880200   4060.392952
0.528125   702.223595   1767.022937   3026.784885   4244.147139
0.534375   151.769212   1715.325118   2531.890709   3823.955002
0.540625   1631.026504   2371.752843   3879.103842   5064.789035
0.546875   1619.360197   2464.281879   3779.749176   5382.855200
0.553125   1709.757803   2201.643392   3452.640232   4185.524471
0.559375   1682.040304   2226.330838   3383.195190   4268.486080
0.565625   1699.693883   2395.327903   3535.474749   4226.571388
0.571875   1686.285387   2335.035031   3498.226715   4456.391413
0.578125   1656.830219   2478.983269   3356.261565   4187.195669
0.584375   530.923736   1646.432909   2904.450505   3853.559915
0.590625   942.365399   1650.475653   2874.057481   3903.900289
0.596875   1607.853061   2195.784887   3452.505821   4274.655674
0.603125   1610.301349   1822.571646   3412.778601   4328.162659
0.609375   1696.102093   2090.231886   3579.758700   4299.237256
0.615625   1694.036837   2421.516394   3932.229943   4747.433479
0.621875   1751.142065   1918.616596   3039.886633   4254.358229
0.628125   63.081286   1700.672710   2832.924113   4016.181666
0.634375   1655.630791   2539.461444   3757.090134   4096.215973
0.640625   1645.694375   2214.300429   3446.897827   4302.576544
0.646875   1700.473122   2512.303219   3965.760677   3980.538040
0.653125   750.724414   1845.241397   2806.415238   3872.907847
0.659375   700.706294   1673.002258   2483.836453   3786.318168
0.665625   1640.201261   2650.491844   3775.575477   3938.227490
0.671875   1681.633835   2398.392000   3061.453253   4037.806364
0.678125   1590.715660   2323.682716   3444.780022   4239.532163
0.684375   1641.516572   2325.972154   3230.170778   4308.030339
0.690625   1735.701544   2597.650107   3834.024013   4843.652991
0.696875   1854.465582   2421.582289   3783.914784   4881.214256
0.703125   1571.264682   2295.761440   3760.040400   4856.330795
0.709375   1666.145283   2293.265210   3775.150864   4548.371521
0.715625   1722.317556   2215.797257   3269.660830   4299.070866
0.721875   1768.209089   1923.518146   3216.722501   4261.165201
0.728125   1744.716234   2131.009724   3439.213285   4223.207226
0.734375   1673.686923   2200.934970   3507.864392   4316.571087
0.740625   1555.102656   2124.728033   3903.765959   3998.665933
0.746875   1608.769038   2173.665074   3420.937705   4065.126496
0.753125   1746.042995   1869.563087   3318.762752   4140.306929
0.759375   845.376762   2021.771256   3348.085664   4015.623589
0.765625   535.262762   1821.378292   2698.107796   3882.027526
0.771875   646.806443   1865.253468   3066.074406   3843.488505
0.778125   674.127811   2018.070442   3594.862454   4427.630500
0.784375   861.106295   1975.779251   3081.300682   4074.205495
0.790625   689.737520   1846.478840   3055.062327   4125.362615
0.796875   706.380493   1769.603247   2965.078677   4088.053021
0.803125   580.654750   1820.911833   3166.502915   4116.104287
0.809375   1688.604735   2682.074675   3461.927353   4056.877578
0.815625   1702.278325   2910.613723   2988.643586   4075.278757
0.821875   738.536710   1898.017404   2960.837734   3997.489987
0.828125   664.260936   1767.834740   2860.254244   3965.110071
0.834375   901.020442   1710.068103   2734.681331   3964.471026
0.840625   708.343622   1815.377283   2913.144599   3992.468923
0.846875   605.230450   1882.951707   2940.848549   3956.018317
0.853125   1854.846731   2808.513376   3958.709086   5038.975679
0.859375   1863.350012   2832.225448   3627.048054   4063.898770
0.865625   1459.506156   2516.806606   3677.050599   4267.734492
0.871875   1317.434172   2525.802764   3522.402896   4420.681761
0.878125   1208.573556   2360.119324   3514.446526   4411.592380
0.884375   1026.447249   2259.085304   3581.901722   4254.630980
0.890625   762.833820   2223.624650   3112.196326   3839.903573
0.896875   821.850224   2302.074028   3250.277977   3922.914847
0.903125   910.629073   2392.104459   3317.950201   4119.319403
0.909375   1034.746312   2206.114020   3300.848373   4282.155900
0.915625   1016.690368   2320.293797   3051.992531   4266.839095
0.921875   741.412444   2224.264927   3050.362593   3943.939987
0.928125   642.568138   2209.174379   3125.137079   4023.893355
0.934375   793.744530   2188.962281   3248.103731   4195.941319
0.940625   720.153942   2172.308621   3076.155978   4192.791463
0.946875   1997.112848   2897.215126   --undefined--   --undefined--
0.953125   301.546487   1960.804661   3161.883167   4054.175609
0.959375   1564.500447   2162.160634   3394.030557   4310.011963
0.965625   833.020238   2437.860053   3404.052414   3975.148876
0.971875   1418.249325   2599.287252   3812.522467   4541.930522
0.978125   1365.604396   2510.926920   3505.983931   4295.730297
0.984375   1013.127198   2430.755819   3466.715208   4325.073841
0.990625   1291.397743   2467.777036   3354.266061   4356.017757
0.996875   1318.936394   2211.664983   3206.201408   4249.457863
1.003125   904.819417   2188.691524   3007.476015   4154.055407
1.009375   1365.203429   2404.511761   3375.074577   4301.148555
1.015625   1648.896574   2281.922541   3335.767936   4348.583598
1.021875   786.584449   1808.502603   3126.771596   4074.859879
1.028125   1463.291285   2302.402970   3382.819178   4338.705662
