Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1259.268001   2621.441145   --undefined--   --undefined--
0.034375   1463.782212   2672.002778   --undefined--   --undefined--
0.040625   1556.661546   2643.963060   --undefined--   --undefined--
0.046875   1523.298910   2824.910106   3868.796375   5382.581081
0.053125   1638.799332   2842.188666   --undefined--   --undefined--
0.059375   1556.163783   2821.017150   3933.997406   4351.634258
0.065625   1686.962881   3113.343798   3982.073050   4185.518805
0.071875   1652.681486   3196.116640   3231.697188   4442.708296
0.078125   747.128806   1687.230873   3078.419895   4383.512915
0.084375   1031.392526   1948.314679   3053.636092   4018.178865
0.090625   1492.704944   2542.279608   3604.184258   4707.546227
0.096875   1423.897563   2647.698981   3448.629548   4546.512906
0.103125   1263.873232   2606.490085   3470.153636   4567.674314
0.109375   1301.243726   2522.944777   3578.544774   4656.109712
0.115625   1370.969337   2562.084376   3641.627697   4647.326557
0.121875   1546.407577   2636.425197   3716.658853   4604.082005
0.128125   1543.426106   2728.651575   3763.211514   4563.958414
0.134375   1310.993488   2701.948846   3548.213450   4638.199940
0.140625   1500.032824   2509.036463   3758.289483   4721.608471
0.146875   1645.291403   2518.920210   3740.861712   4629.806686
0.153125   1666.902998   2490.379585   3745.261370   4668.779797
0.159375   1715.106646   2656.507075   3719.472403   4659.082718
0.165625   1728.211109   2810.530409   3821.311147   4481.956407
0.171875   1757.095107   2688.026103   3597.104007   4490.435223
0.178125   1714.052135   2678.477186   3813.656392   4529.060562
0.184375   2045.943138   3047.291079   --undefined--   --undefined--
0.190625   1833.643965   3134.404065   --undefined--   --undefined--
0.196875   1916.049364   3377.000801   --undefined--   --undefined--
0.203125   775.184199   1978.754167   3173.179481   4106.128481
0.209375   1304.599233   2753.052893   3849.214052   4343.676609
0.215625   1413.338705   2637.607192   3523.077036   4632.313877
0.221875   1477.369537   2695.317968   3587.066195   4477.981487
0.228125   1551.781610   2852.500320   4110.828685   4731.983044
0.234375   1791.310275   2992.300672   --undefined--   --undefined--
0.240625   1724.756151   2926.657360   --undefined--   --undefined--
0.246875   1451.996520   2726.690820   3583.313347   4574.325189
0.253125   1365.911355   2572.773187   3634.189910   4760.786971
0.259375   1567.335695   2595.552202   3513.687525   4594.101847
0.265625   850.031547   2125.958982   2945.867841   4102.418827
0.271875   769.494555   2161.434275   3101.364461   4223.909313
0.278125   872.880549   2172.467157   3440.496420   4567.239713
0.284375   1680.286030   2452.536340   3775.080789   4325.115312
0.290625   690.783443   1983.394587   3093.971289   4098.232624
0.296875   926.181980   1809.272063   2972.321260   4071.796523
0.303125   912.819003   1832.040665   3123.456992   4021.038693
0.309375   521.412781   2064.568980   3297.195598   4113.371523
0.315625   742.993779   2022.922633   3385.867714   4397.853014
0.321875   1327.321907   2310.865486   3568.677755   4745.640862
0.328125   1611.654483   2327.826770   3625.931787   4746.578529
0.334375   1600.265341   2466.642455   3703.184282   4763.294746
0.340625   1404.134808   2609.293574   3707.630619   4766.740975
0.346875   883.441242   2146.079899   3379.544812   4545.233958
0.353125   1123.769861   1825.822135   3334.660400   4538.005153
0.359375   1646.988376   3070.098224   --undefined--   --undefined--
0.365625   1697.411984   2819.157947   --undefined--   --undefined--
0.371875   1677.593005   2658.868686   --undefined--   --undefined--
0.378125   1061.259663   1694.779207   2842.735388   4092.436836
0.384375   675.456611   1893.995336   3134.161287   4187.142926
0.390625   923.591454   2466.970608   3710.856396   4508.290016
0.396875   1293.724682   2401.567778   3627.205815   4744.635436
0.403125   1723.331806   2871.669418   --undefined--   --undefined--
0.409375   1667.487400   2848.655256   3897.728330   4604.556951
0.415625   1657.577580   3013.356732   4316.451196   5291.609815
0.421875   1660.043009   2944.962318   --undefined--   --undefined--
0.428125   1675.827863   2913.505853   --undefined--   --undefined--
0.434375   1420.505747   2753.959602   3589.497156   4681.803574
0.440625   1320.331251   2582.618086   3808.960307   4744.069823
0.446875   1691.467165   2664.976891   --undefined--   --undefined--
0.453125   1719.196692   2578.947072   --undefined--   --undefined--
0.459375   2008.054832   3006.030207   --undefined--   --undefined--
0.465625   671.463232   2557.716943   2611.264492   4033.425125
0.471875   1601.608399   2651.838365   --undefined--   --undefined--
0.478125   1807.549626   2785.988195   --undefined--   --undefined--
0.484375   1629.340482   2439.763083   3694.101532   4825.182899
0.490625   1513.910491   2271.688374   3584.413300   4764.858106
0.496875   808.554422   1954.798267   3139.830735   4039.394950
0.503125   502.530404   1850.806093   2990.954981   3954.795980
0.509375   1714.466664   2608.304827   --undefined--   --undefined--
0.515625   1625.874936   2787.930177   --undefined--   --undefined--
0.521875   1886.868263   3341.807418   --undefined--   --undefined--
0.528125   631.122681   1882.827602   3295.755902   4261.235924
0.534375   672.605809   1878.194339   3195.998536   4082.015881
0.540625   684.166789   1871.498496   3142.022881   4173.309914
0.546875   774.196001   2094.429499   3130.231818   4432.864042
0.553125   725.981839   1764.554276   2993.104359   4343.589482
0.559375   711.230105   1851.340901   2971.097670   4471.814100
0.565625   577.268084   1971.233246   3103.947916   4398.285720
0.571875   583.865525   1837.867664   3050.760051   4408.742304
0.578125   501.907678   1704.382463   2901.327330   4368.712798
0.584375   463.352369   1648.962308   2775.413866   4163.960920
0.590625   296.014495   1516.747454   2926.007274   3924.030278
