Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   646.646622   1800.845838   2673.881280   4114.522819
0.034375   1198.572215   2529.974010   2748.165949   4471.788469
0.040625   1454.773462   2640.088023   3326.674664   4572.778682
0.046875   1521.834312   2582.014804   3523.890182   4521.130153
0.053125   1559.086584   2511.174868   3640.390902   4455.051031
0.059375   1573.052687   2441.565508   3649.347515   4534.191117
0.065625   1253.331694   2449.067283   3588.153140   4482.536139
0.071875   1403.108476   2474.542635   3550.170777   4535.149988
0.078125   1168.093441   2339.238711   3650.765351   4296.366570
0.084375   937.587615   2227.304446   3237.270529   4149.759536
0.090625   652.861401   1920.428792   3012.481148   4168.877146
0.096875   1374.607499   2493.283102   3537.675081   4416.939314
0.103125   1099.985960   2470.388634   3471.063531   4485.569910
0.109375   1191.865430   2444.935389   3508.265373   4355.714829
0.115625   1333.314436   2278.684887   3489.471094   4427.128439
0.121875   1496.319136   2247.225847   3572.295924   4478.511790
0.128125   1474.297606   2378.682348   3469.809631   4551.403394
0.134375   1522.205804   2652.160553   3388.491807   4428.352922
0.140625   1624.116234   2772.809396   3088.270300   4521.879869
0.146875   2030.567196   3091.647623   --undefined--   --undefined--
0.153125   776.185785   2254.334037   3360.199465   4346.849940
0.159375   1744.477890   2568.417169   3467.406652   4301.552011
0.165625   1601.598956   2689.090984   3546.441079   4320.745360
0.171875   1175.550677   2183.040893   3363.716598   4557.957815
0.178125   1405.088090   2432.704581   3537.070949   4770.348395
0.184375   1499.307959   2404.583488   3638.774267   4753.346073
0.190625   1821.526325   2652.878883   3379.366705   4488.302123
0.196875   1309.109285   2484.580689   3432.709727   4511.086146
0.203125   1479.980551   2553.166600   3595.473265   4437.005038
0.209375   1504.317282   2505.101221   3483.544400   4595.028372
0.215625   1524.828704   2776.140923   3397.093481   4583.833950
0.221875   1646.032270   2631.860215   3113.051735   4538.317649
0.228125   1540.884318   2644.561367   3279.760816   4541.479163
0.234375   1615.518089   2346.261891   3339.246852   4415.721804
0.240625   1308.667022   2511.567494   3531.962061   4451.990412
0.246875   1208.087552   2513.250527   3489.553304   4578.492179
0.253125   1485.245346   2429.560387   3426.035571   4513.779212
0.259375   1471.112324   2403.856022   3385.965278   4541.161861
0.265625   1461.253683   2642.954712   3381.462340   4393.930714
0.271875   1668.265430   2756.046369   3666.304575   4294.282740
0.278125   1814.951494   2916.819944   3199.830063   4362.014706
0.284375   1943.953230   2014.456214   3313.358515   4375.325290
0.290625   1567.556179   2391.924607   3433.527995   4459.219049
0.296875   1942.641402   2211.880332   3143.371355   4332.383145
0.303125   1596.076153   2955.037682   3331.869484   4160.758701
0.309375   1529.543934   2542.183414   3572.427254   4464.889503
0.315625   1555.746365   2577.087621   3601.253990   4601.624293
0.321875   1589.090389   2530.322119   3513.827870   4503.381057
0.328125   1737.568813   2902.173939   2924.050351   4387.975424
0.334375   1873.819715   2980.507972   --undefined--   --undefined--
0.340625   963.859873   2039.291139   3001.642164   4305.295052
0.346875   1704.759761   2955.661113   3067.885828   4302.343647
0.353125   1428.764528   2626.745668   3580.434369   4400.785729
0.359375   1709.333991   2264.837391   3716.951456   4369.005837
0.365625   1585.055474   2299.436083   3477.726889   4423.946361
0.371875   1717.190472   2545.645281   3288.655426   4406.993084
0.378125   1813.897389   2455.444757   3202.397913   4369.055365
0.384375   1636.572098   2511.788109   3375.784742   4546.263630
0.390625   1608.198147   2625.634591   3510.825666   4451.864724
0.396875   1509.480641   2278.757025   3152.886707   4246.981844
0.403125   1397.520029   2251.646655   3223.281387   4375.376059
0.409375   1561.073454   2356.875028   3473.631207   4453.357848
0.415625   1522.286137   2316.628935   3447.422481   4530.119165
0.421875   1670.721244   2403.212251   3416.439958   4485.922492
0.428125   1719.771881   2985.838244   3790.530346   4241.170545
0.434375   1613.146762   3015.915759   3451.653807   4375.537922
0.440625   1448.627027   2939.045840   3181.766753   4379.495132
0.446875   1595.194702   3031.729478   --undefined--   --undefined--
0.453125   845.005682   2029.699853   3553.379825   4226.964454
0.459375   1351.895073   2230.028282   3745.429125   4398.545582
0.465625   1503.584859   2476.935077   3570.627937   4389.334023
0.471875   1596.333687   1775.839387   3117.934536   4383.198618
0.478125   1451.478762   2573.262105   3320.324032   4473.931918
0.484375   1433.552706   2625.035996   3453.162776   4454.490560
0.490625   1418.712581   2463.701327   3491.736500   4427.526395
0.496875   1505.531938   2605.252626   3510.833613   4475.171973
0.503125   1561.075899   2558.983125   3576.760925   4662.408159
0.509375   1542.463712   2521.984042   3606.172308   4648.788557
0.515625   1739.090716   2481.933574   3446.272646   4301.133707
0.521875   1620.295514   2862.715100   2933.292043   4227.846039
0.528125   1486.165537   2759.577039   3570.929065   4498.247973
0.534375   1534.901305   2621.851528   3609.259813   4632.357625
0.540625   1791.157666   2681.710993   --undefined--   --undefined--
0.546875   1676.136940   2550.522407   3996.090119   4507.198328
0.553125   1565.977637   2235.739615   3414.565819   4462.774695
0.559375   1646.582977   2879.559827   3010.365641   4488.715888
0.565625   1552.418395   2766.063935   3256.870616   4582.243256
0.571875   1496.068409   2422.316201   3564.887058   4593.293365
0.578125   1634.738289   2413.906233   3467.082523   4503.938014
0.584375   1612.931100   2613.030097   3573.634693   4434.379051
0.590625   1469.075515   2557.256233   3788.494898   4237.991446
0.596875   1581.130091   1747.451357   3227.868301   4287.579722
0.603125   1688.405930   2171.465916   3463.092856   4472.249013
0.609375   1575.228707   2457.379506   3488.810473   4501.768788
0.615625   1477.803675   2664.292541   3416.881695   4468.451052
0.621875   609.485715   1709.462523   3094.418318   4232.351937
0.628125   530.501501   1646.015229   3039.985337   4200.638371
0.634375   454.883739   1617.818066   2959.482864   4115.495113
0.640625   421.011695   1657.969652   2798.326589   4018.792038
0.646875   351.879302   1813.400014   2783.564568   4143.514007
0.653125   160.350672   1843.847588   2946.191508   4297.548284
0.659375   243.365264   1796.522389   3017.167489   4168.696076
0.665625   350.214705   1723.535749   2665.321293   4135.250329
0.671875   492.706786   1703.235177   2536.970654   4147.451796
0.678125   427.515074   2057.945853   2558.177972   4154.524773
0.684375   384.016484   2045.196672   2669.020622   4123.130750
0.690625   327.352040   2001.787779   2614.723425   4039.020800
