Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   182.548063   1858.966221   2980.804861   4246.149619
0.034375   1038.527745   2055.964255   3126.450104   4437.673727
0.040625   1153.141158   2089.316354   3210.099300   4463.848754
0.046875   1464.140816   2743.120716   3527.296053   4482.224036
0.053125   1653.316603   2884.358056   3403.677989   4443.306347
0.059375   1600.031527   2628.082055   3676.712323   4589.313979
0.065625   1744.393433   2776.485697   3343.119920   4500.621170
0.071875   1784.175838   2570.822740   3441.777333   4384.673829
0.078125   1641.855267   2649.634411   3622.289768   4418.799076
0.084375   1624.096135   2587.367022   3627.800284   4522.495983
0.090625   1611.068525   2452.624496   3527.410436   4581.655083
0.096875   1533.027759   2709.745310   3496.184538   4589.870228
0.103125   1590.002786   2677.721213   3655.995833   4541.500918
0.109375   1496.852250   2532.867855   3666.649283   4546.697451
0.115625   1504.554167   2604.930610   3931.449717   4516.571819
0.121875   1696.697813   2651.583981   3948.732967   4362.922504
0.128125   1681.125920   2607.716089   3774.269785   4508.665559
0.134375   1596.655142   2597.056624   3743.359470   4518.362151
0.140625   1630.144481   2552.817305   3777.106074   4510.444414
0.146875   1646.328625   2594.197183   3631.267430   4574.101250
0.153125   1543.080654   2695.933733   3637.653406   4531.492048
0.159375   1477.645869   2771.789047   3895.389528   4420.608717
0.165625   1543.188331   2658.415903   3606.651770   4426.944692
0.171875   1629.484801   2427.367310   3631.638448   4570.998149
0.178125   1677.811105   2594.694960   3805.328149   4451.069441
0.184375   1703.130272   2556.689428   3588.169905   4554.632335
0.190625   1706.979134   2457.117787   3583.251874   4542.511819
0.196875   1724.739175   2494.639640   3549.304749   4437.777780
0.203125   1905.282503   2866.776234   --undefined--   --undefined--
0.209375   1713.899225   2882.173587   4177.278531   4525.833680
0.215625   1810.139211   2824.816442   4090.302947   5204.040886
0.221875   1642.180987   2647.076078   3782.840054   4477.775947
0.228125   1665.657032   2481.552482   3573.955123   4525.900220
0.234375   1572.780328   2567.608830   3616.179665   4579.381801
0.240625   1474.704964   2511.621578   3616.698026   4621.910640
0.246875   1593.794114   2596.723539   3676.105360   4565.699846
0.253125   1730.704809   2375.330411   3630.068161   4536.777517
0.259375   1605.109833   2481.420787   3492.865092   4576.609879
0.265625   1585.963640   2767.543775   3527.530423   4476.227378
0.271875   1597.251673   2856.759547   3531.236764   4536.143794
0.278125   1582.580568   2713.376139   3749.785466   4704.984254
0.284375   1566.337101   2718.586710   3669.200180   4737.487884
0.290625   1513.778730   2841.623376   3730.524180   4608.568228
0.296875   1480.361871   2779.304676   3845.132674   4488.724773
0.303125   1506.444124   2969.999533   3646.861070   4554.185905
0.309375   1556.270014   2659.189214   3603.145307   4592.553595
0.315625   1587.979095   2543.845156   3615.624869   4578.520989
0.321875   1809.592872   2437.582323   3527.706693   4571.463336
0.328125   1753.057823   2571.726506   3626.201507   4585.674608
0.334375   1592.572608   2608.386929   3466.242344   4600.914963
0.340625   1415.852446   2556.971155   3588.079714   4594.532617
0.346875   1536.422611   2694.328429   3589.028946   4658.177010
0.353125   1656.933737   2664.713785   3662.099126   4814.204330
0.359375   1507.918136   2642.758938   3863.209249   4800.180037
0.365625   1566.227392   2616.635056   3963.726881   4949.635887
0.371875   1609.008006   2450.618128   3646.141921   4760.202856
0.378125   1512.866944   2469.399466   3684.337234   4764.660745
0.384375   1553.935504   2622.001010   3604.610463   4712.637784
0.390625   1483.710610   2635.369747   3892.418031   4435.339221
0.396875   1644.541885   2689.267107   3957.745077   4549.043704
0.403125   1731.333851   2940.244918   --undefined--   --undefined--
0.409375   1766.649209   2900.376619   --undefined--   --undefined--
0.415625   1610.384594   2661.326083   3604.524297   4797.799663
0.421875   1460.755975   2634.559758   3682.651143   4740.304650
0.428125   1724.906722   2545.293934   3659.469311   4775.448483
