Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   361.761643   1949.066627   2792.291003   3888.669383
0.034375   1929.131716   2356.519134   3393.636486   4916.545239
0.040625   1551.288586   2030.795018   3333.393125   4504.197528
0.046875   745.909808   1586.924613   3289.830358   3795.189898
0.053125   295.411916   1771.617674   3012.568278   3978.213199
0.059375   1429.244923   1800.056754   3071.442345   4242.673580
0.065625   546.055850   1804.537109   2804.616452   3635.155977
0.071875   439.602954   1682.736463   2975.854657   3626.780681
0.078125   309.367221   1656.296410   3051.069021   3988.258777
0.084375   1521.290316   2063.988106   3256.124322   4349.973248
0.090625   199.042950   1838.754985   3208.347977   4281.956269
0.096875   1727.322669   3164.734985   3995.158441   4748.216571
0.103125   1457.530947   2168.325743   3516.586481   4775.610145
0.109375   725.246822   2009.430670   3475.509192   4746.876061
0.115625   613.603256   1810.355798   3060.037712   3777.423443
0.121875   618.556632   1543.193474   2843.906665   4001.345926
0.128125   573.657149   1439.238226   2677.224303   3715.242751
0.134375   506.666865   1793.364103   2892.462939   3759.035970
0.140625   563.996663   1864.419077   2936.786275   3708.976677
0.146875   952.123562   2140.974940   3653.188615   4849.868102
0.153125   1066.558962   2212.637756   3447.701278   4425.168049
0.159375   557.469291   2153.729240   2311.849035   3733.688939
0.165625   876.479555   1965.792931   3138.604814   4349.807782
0.171875   245.740241   1795.758589   3099.920071   4345.819139
0.178125   294.394024   1905.156661   3165.193015   3875.953939
0.184375   486.262878   1915.004456   2667.298781   3832.782488
0.190625   487.235252   1724.513393   2883.845406   3978.728975
0.196875   364.356482   1639.097167   3218.413699   4147.261176
0.203125   383.273431   1742.602257   3310.350290   4113.562213
0.209375   406.941253   1880.829188   3479.319399   3717.340731
0.215625   395.077365   1869.038457   2949.171375   3920.806399
0.221875   399.787731   1760.015179   2971.858619   3863.392796
0.228125   334.812735   1691.980204   2919.859222   3754.294539
0.234375   355.931043   1882.197576   2891.747582   3819.943113
0.240625   413.312046   1871.668031   3219.071245   4052.834576
0.246875   424.329164   1742.115065   3019.153263   4186.479231
0.253125   537.329675   1694.485025   2890.770255   4131.193382
0.259375   498.381290   1769.410944   2938.049295   4001.989542
0.265625   359.087085   1766.567258   3082.981372   3946.688321
0.271875   400.466725   1703.810238   2988.763685   3836.792999
0.278125   427.520766   1665.039005   2774.708192   3792.466723
0.284375   381.091471   1674.335949   2827.515168   3699.775809
0.290625   440.525356   1787.261236   3121.572015   4063.120545
